,Model,Feature_Selection,F1_macro_CV,F1_macro_Testing,Accuracy_Testing,Precision_macro_Testing,Recall_macro_Testing,AUC_macro_Testing,Precision_weighted_Testing,Recall_weighted_Testing,F1_weighted_Testing,AUC_weighted_Testing,Accuracy_CV,Precision_macro_CV,Recall_macro_CV,AUC_macro_CV,Precision_weighted_CV,Recall_weighted_CV,F1_weighted_CV,AUC_weighted_CV
0,decision_tree,spearman_corr,0.5193 ± 0.0299,0.5134 ± 0.0306,0.7264 ± 0.0218,0.5143 ± 0.0344,0.5191 ± 0.0340,0.7097 ± 0.0196,0.7413 ± 0.0160,0.7264 ± 0.0218,0.7324 ± 0.0184,0.8006 ± 0.0143,0.7211 ± 0.0164,0.5196 ± 0.0289,0.5211 ± 0.0313,0.7095 ± 0.0177,0.7345 ± 0.0141,0.7211 ± 0.0164,0.7273 ± 0.0150,0.7959 ± 0.0118
1,decision_tree,mutual_info,0.5199 ± 0.0222,0.5180 ± 0.0328,0.7341 ± 0.0238,0.5198 ± 0.0318,0.5223 ± 0.0420,0.7120 ± 0.0235,0.7408 ± 0.0156,0.7341 ± 0.0238,0.7363 ± 0.0187,0.8035 ± 0.0161,0.7198 ± 0.0147,0.5195 ± 0.0220,0.5229 ± 0.0228,0.7104 ± 0.0122,0.7349 ± 0.0128,0.7198 ± 0.0147,0.7268 ± 0.0131,0.7957 ± 0.0110
2,decision_tree,spearman_sulov,0.5204 ± 0.0210,0.5439 ± 0.0406,0.7377 ± 0.0168,0.5518 ± 0.0459,0.5486 ± 0.0512,0.7260 ± 0.0281,0.7480 ± 0.0156,0.7377 ± 0.0168,0.7414 ± 0.0159,0.8069 ± 0.0130,0.7299 ± 0.0158,0.5206 ± 0.0191,0.5221 ± 0.0238,0.7113 ± 0.0133,0.7380 ± 0.0117,0.7299 ± 0.0158,0.7336 ± 0.0134,0.8009 ± 0.0104
3,decision_tree,chi2,0.5118 ± 0.0339,0.5010 ± 0.0467,0.7256 ± 0.0256,0.5101 ± 0.0551,0.4987 ± 0.0447,0.6987 ± 0.0258,0.7332 ± 0.0195,0.7256 ± 0.0256,0.7282 ± 0.0211,0.7974 ± 0.0166,0.7203 ± 0.0208,0.5125 ± 0.0311,0.5140 ± 0.0381,0.7064 ± 0.0219,0.7376 ± 0.0182,0.7203 ± 0.0208,0.7282 ± 0.0192,0.7975 ± 0.0150
4,decision_tree,chi2_mi_union_topk,0.5269 ± 0.0262,0.5382 ± 0.0450,0.7337 ± 0.0334,0.5427 ± 0.0385,0.5406 ± 0.0517,0.7200 ± 0.0310,0.7489 ± 0.0191,0.7337 ± 0.0334,0.7396 ± 0.0265,0.8032 ± 0.0218,0.7280 ± 0.0148,0.5257 ± 0.0252,0.5303 ± 0.0284,0.7137 ± 0.0164,0.7397 ± 0.0143,0.7280 ± 0.0148,0.7334 ± 0.0143,0.7982 ± 0.0113
5,random_forest,spearman_corr,0.4673 ± 0.0148,0.4669 ± 0.0118,0.8381 ± 0.0105,0.5652 ± 0.0929,0.4918 ± 0.0072,0.8935 ± 0.0098,0.7905 ± 0.0417,0.8381 ± 0.0105,0.7843 ± 0.0095,0.9300 ± 0.0058,0.8333 ± 0.0049,0.6326 ± 0.0757,0.4915 ± 0.0088,0.8948 ± 0.0041,0.8114 ± 0.0269,0.8333 ± 0.0049,0.7792 ± 0.0052,0.9296 ± 0.0044
6,random_forest,mutual_info,0.4879 ± 0.0144,0.5087 ± 0.0326,0.8443 ± 0.0105,0.6727 ± 0.1041,0.5154 ± 0.0194,0.8929 ± 0.0127,0.8252 ± 0.0253,0.8443 ± 0.0105,0.7990 ± 0.0120,0.9308 ± 0.0073,0.8349 ± 0.0051,0.6864 ± 0.0843,0.5018 ± 0.0086,0.8940 ± 0.0079,0.8161 ± 0.0121,0.8349 ± 0.0051,0.7857 ± 0.0062,0.9285 ± 0.0044
7,random_forest,spearman_sulov,0.4652 ± 0.0120,0.4731 ± 0.0193,0.8425 ± 0.0091,0.5796 ± 0.0987,0.4962 ± 0.0113,0.8965 ± 0.0078,0.7994 ± 0.0449,0.8425 ± 0.0091,0.7895 ± 0.0122,0.9311 ± 0.0065,0.8321 ± 0.0046,0.6200 ± 0.0828,0.4898 ± 0.0065,0.8933 ± 0.0074,0.8013 ± 0.0262,0.8321 ± 0.0046,0.7780 ± 0.0063,0.9279 ± 0.0030
8,random_forest,chi2,0.5005 ± 0.0248,0.5158 ± 0.0314,0.8465 ± 0.0089,0.7321 ± 0.1197,0.5209 ± 0.0199,0.8915 ± 0.0151,0.8381 ± 0.0200,0.8465 ± 0.0089,0.7997 ± 0.0104,0.9281 ± 0.0089,0.8352 ± 0.0061,0.7043 ± 0.1124,0.5088 ± 0.0153,0.8948 ± 0.0064,0.8193 ± 0.0204,0.8352 ± 0.0061,0.7879 ± 0.0065,0.9279 ± 0.0040
9,random_forest,chi2_mi_union_topk,0.5266 ± 0.0301,0.5258 ± 0.0478,0.8410 ± 0.0058,0.6862 ± 0.1274,0.5257 ± 0.0307,0.8804 ± 0.0108,0.8126 ± 0.0252,0.8410 ± 0.0058,0.7978 ± 0.0083,0.9238 ± 0.0067,0.8358 ± 0.0074,0.7263 ± 0.1041,0.5237 ± 0.0198,0.8913 ± 0.0076,0.8136 ± 0.0184,0.8358 ± 0.0074,0.7949 ± 0.0085,0.9272 ± 0.0038
10,extra_trees,spearman_corr,0.4708 ± 0.0215,0.4879 ± 0.0328,0.8381 ± 0.0097,0.6738 ± 0.1661,0.5031 ± 0.0202,0.8990 ± 0.0079,0.8175 ± 0.0482,0.8381 ± 0.0097,0.7870 ± 0.0104,0.9318 ± 0.0061,0.8286 ± 0.0062,0.6263 ± 0.1506,0.4917 ± 0.0130,0.8941 ± 0.0069,0.7933 ± 0.0423,0.8286 ± 0.0062,0.7761 ± 0.0082,0.9273 ± 0.0046
11,extra_trees,mutual_info,0.5112 ± 0.0342,0.5301 ± 0.0424,0.8447 ± 0.0090,0.7143 ± 0.1036,0.5291 ± 0.0278,0.8936 ± 0.0117,0.8299 ± 0.0220,0.8447 ± 0.0090,0.8012 ± 0.0093,0.9283 ± 0.0084,0.8325 ± 0.0070,0.7166 ± 0.1065,0.5145 ± 0.0210,0.8964 ± 0.0080,0.8158 ± 0.0213,0.8325 ± 0.0070,0.7867 ± 0.0094,0.9281 ± 0.0044
