epoch,train_loss,val_loss,val_acc,val_balanced_acc,val_f1_macro,val_f1_weighted,val_recall_0,val_recall_1,val_recall_2
1,0.6146269030869007,0.7785169689551644,0.6521739130434783,0.6666666666666666,0.5296296296296296,0.5222222222222221,1.0,0.0,1.0
2,0.5690929293632507,0.7563160865203195,0.6521739130434783,0.6666666666666666,0.5296296296296296,0.5222222222222221,1.0,0.0,1.0
3,0.47655145078897476,0.7172689671101777,0.6521739130434783,0.6666666666666666,0.5296296296296296,0.5222222222222221,1.0,0.0,1.0
4,0.5027527958154678,0.671449961869613,0.6521739130434783,0.6666666666666666,0.5296296296296296,0.5222222222222221,1.0,0.0,1.0
5,0.49309106543660164,0.6688393043435138,0.6956521739130435,0.7083333333333334,0.6211328976034858,0.6177038931514633,1.0,0.125,1.0
6,0.4066011570394039,0.6622387844583263,0.7391304347826086,0.75,0.6926728586171311,0.690752456589043,1.0,0.25,1.0
7,0.43026531115174294,0.6455232475114905,0.7391304347826086,0.75,0.6926728586171311,0.690752456589043,1.0,0.25,1.0
8,0.4193394221365452,0.6610668793968533,0.7391304347826086,0.75,0.6926728586171311,0.690752456589043,1.0,0.25,1.0
