,model,used_sample_weight,accuracy_cv_mean,accuracy_cv_std,accuracy_test_mean,accuracy_test_std,f1_macro_cv_mean,f1_macro_cv_std,f1_macro_test_mean,f1_macro_test_std,f1_weighted_cv_mean,f1_weighted_cv_std,f1_weighted_test_mean,f1_weighted_test_std,recall_macro_cv_mean,recall_macro_cv_std,recall_macro_test_mean,recall_macro_test_std,recall_weighted_cv_mean,recall_weighted_cv_std,recall_weighted_test_mean,recall_weighted_test_std,precision_macro_cv_mean,precision_macro_cv_std,precision_macro_test_mean,precision_macro_test_std,precision_weighted_cv_mean,precision_weighted_cv_std,precision_weighted_test_mean,precision_weighted_test_std,mae_cv_mean,mae_cv_std,mae_test_mean,mae_test_std,qwk_cv_mean,qwk_cv_std,qwk_test_mean,qwk_test_std,auc_ovr_macro_cv_mean,auc_ovr_macro_cv_std,auc_ovr_macro_test_mean,auc_ovr_macro_test_std,auc_ovr_weighted_cv_mean,auc_ovr_weighted_cv_std,auc_ovr_weighted_test_mean,auc_ovr_weighted_test_std,precision_class_0_cv_mean,precision_class_0_cv_std,precision_class_0_test_mean,precision_class_0_test_std,recall_class_0_cv_mean,recall_class_0_cv_std,recall_class_0_test_mean,recall_class_0_test_std,f1_class_0_cv_mean,f1_class_0_cv_std,f1_class_0_test_mean,f1_class_0_test_std,support_class_0_cv_mean,support_class_0_cv_std,support_class_0_test_mean,support_class_0_test_std,precision_class_1_cv_mean,precision_class_1_cv_std,precision_class_1_test_mean,precision_class_1_test_std,recall_class_1_cv_mean,recall_class_1_cv_std,recall_class_1_test_mean,recall_class_1_test_std,f1_class_1_cv_mean,f1_class_1_cv_std,f1_class_1_test_mean,f1_class_1_test_std,support_class_1_cv_mean,support_class_1_cv_std,support_class_1_test_mean,support_class_1_test_std,precision_class_2_cv_mean,precision_class_2_cv_std,precision_class_2_test_mean,precision_class_2_test_std,recall_class_2_cv_mean,recall_class_2_cv_std,recall_class_2_test_mean,recall_class_2_test_std,f1_class_2_cv_mean,f1_class_2_cv_std,f1_class_2_test_mean,f1_class_2_test_std,support_class_2_cv_mean,support_class_2_cv_std,support_class_2_test_mean,support_class_2_test_std,conf_0_to_1_cv_mean,conf_0_to_1_cv_std,conf_0_to_1_test_mean,conf_0_to_1_test_std,conf_0_to_2_cv_mean,conf_0_to_2_cv_std,conf_0_to_2_test_mean,conf_0_to_2_test_std,conf_0_to_1_given_error_cv_mean,conf_0_to_1_given_error_cv_std,conf_0_to_1_given_error_test_mean,conf_0_to_1_given_error_test_std,conf_0_to_2_given_error_cv_mean,conf_0_to_2_given_error_cv_std,conf_0_to_2_given_error_test_mean,conf_0_to_2_given_error_test_std,conf_1_to_0_cv_mean,conf_1_to_0_cv_std,conf_1_to_0_test_mean,conf_1_to_0_test_std,conf_1_to_2_cv_mean,conf_1_to_2_cv_std,conf_1_to_2_test_mean,conf_1_to_2_test_std,conf_1_to_0_given_error_cv_mean,conf_1_to_0_given_error_cv_std,conf_1_to_0_given_error_test_mean,conf_1_to_0_given_error_test_std,conf_1_to_2_given_error_cv_mean,conf_1_to_2_given_error_cv_std,conf_1_to_2_given_error_test_mean,conf_1_to_2_given_error_test_std,conf_2_to_0_cv_mean,conf_2_to_0_cv_std,conf_2_to_0_test_mean,conf_2_to_0_test_std,conf_2_to_1_cv_mean,conf_2_to_1_cv_std,conf_2_to_1_test_mean,conf_2_to_1_test_std,conf_2_to_0_given_error_cv_mean,conf_2_to_0_given_error_cv_std,conf_2_to_0_given_error_test_mean,conf_2_to_0_given_error_test_std,conf_2_to_1_given_error_cv_mean,conf_2_to_1_given_error_cv_std,conf_2_to_1_given_error_test_mean,conf_2_to_1_given_error_test_std
0,decision_tree,True,0.8218848167539268,0.011491321671705024,0.8267399267399267,0.01445224002825426,0.6423137093089945,0.017659312229667767,0.6253813248322967,0.019111186128802048,0.8219669527653146,0.011499571003126461,0.8260072743267102,0.01327583130181786,0.647582945736434,0.020165324944279157,0.6252720179549448,0.02264533204498757,0.8218848167539268,0.011491321671705024,0.8267399267399267,0.01445224002825426,0.6478122977764291,0.019058636719243148,0.6318955251274279,0.021335677900784743,0.8245215018846069,0.01154161744751624,0.8265458976290206,0.012835237347669077,0.18115183246073296,0.012058313905846219,0.17472527472527472,0.014244432803994999,0.6864082935128746,0.023420606611902626,0.6991013209126775,0.0226121178860123,0.7685564498267423,0.012439682559432343,0.7588878565451094,0.013757922337454234,0.8342949308755759,0.011631059835878397,0.8387555427029112,0.012348581093084832,0.8434623055434747,0.011223605366684996,0.8421884637281483,0.02057399840272661,0.8453488372093023,0.018063845267800034,0.8642276422764228,0.0223638818816019,0.8434633973023613,0.01409704517205014,0.8527743928584917,0.013348670492253531,86.0,0.0,123.0,0.0,0.8362734278346533,0.013660110886793152,0.8432600164160403,0.015465850688475667,0.8294,0.008745792639257425,0.8258741258741258,0.02938357652989636,0.8320047069163042,0.0100184661249821,0.8341555036627103,0.016126277707181818,100.0,0.0,143.0,0.0,0.26370115995115995,0.05845334891821575,0.21023809523809525,0.05643074806598323,0.26799999999999996,0.05672545969648706,0.18571428571428567,0.06900655593423542,0.2514730237083178,0.048505810925844495,0.18921407797568787,0.045780114254669955,5.0,0.0,7.0,0.0,0.15267441860465117,0.017566736434312065,0.13495934959349595,0.02368755922321101,0.0019767441860465114,0.0024544403409283043,0.0008130081300813009,0.0025709574472913654,0.9866379879020041,0.015219169665082183,0.9923076923076923,0.02432521277052598,0.01336201209799608,0.015219169665082166,0.007692307692307693,0.024325212770525996,0.1323,0.009569047322835582,0.13776223776223778,0.022850957451100176,0.0383,0.0049227363664260245,0.03636363636363637,0.017065739130744176,0.7778208507716988,0.032531200616518485,0.7941429016674458,0.0769126600584802,0.22217914922830118,0.03253120061651844,0.20585709833255414,0.07691266005848021,0.08199999999999999,0.04049691346263318,0.04285714285714286,0.06900655593423542,0.6499999999999999,0.041365578819969544,0.7714285714285714,0.09988655696858584,0.10199999999999998,0.05259207094159656,0.05333333333333333,0.08635270767877977,0.898,0.052592070941596576,0.9466666666666667,0.08635270767877974
1,random_forest,True,0.9024607329842933,0.006576651693142252,0.9021978021978022,0.01171779547156051,0.6099386901835485,0.004481358352563946,0.6095645937036289,0.007940482460186677,0.8903930149627788,0.006543819004989502,0.8902748307863277,0.01157797645905613,0.6186286821705427,0.004297135791709706,0.6188128944226505,0.007975689742683954,0.9024607329842933,0.006576651693142252,0.9021978021978022,0.01171779547156051,0.6020261954695619,0.004362082188461792,0.6013961431390117,0.00778645465369015,0.8794229370473697,0.006081514620745241,0.8798410669219712,0.011249709758577161,0.09753926701570681,0.006576651693142265,0.0978021978021978,0.011717795471560514,0.8220389290099694,0.01177088764354965,0.8218899863448081,0.021221117779237846,0.9496020729999349,0.007856838760366053,0.9331689710261422,0.01913659764692578,0.9602230033660536,0.004151266507405317,0.9569830189731869,0.006192596590192936,0.9027198332014962,0.010659429829370438,0.8901167068468953,0.0172303810792482,0.944186046511628,0.003378991429101304,0.9585365853658537,0.01775016031849627,0.9226100855124129,0.006756593297436634,0.9229090947094658,0.012341046347537757,86.0,0.0,123.0,0.0,0.9033587532071895,0.003081876223890579,0.9140717225701398,0.014053068622907589,0.9117000000000001,0.010770845422301393,0.8979020979020979,0.018115952659883867,0.9072059850382324,0.006694717319242586,0.905784686401421,0.011589750273273403,100.0,0.0,143.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,7.0,0.0,0.055813953488372106,0.0033789914291012984,0.04146341463414634,0.017750160318496272,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.08829999999999999,0.010770845422301408,0.10209790209790211,0.018115952659883867,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2,extra_trees,True,0.9024083769633506,0.003973542609635674,0.9047619047619048,0.00945783478927329,0.6277912896358657,0.01687795771073129,0.6331410096781818,0.04845141801298057,0.892079302175439,0.004309287592453927,0.8947219141795602,0.010267032810289053,0.6299899224806202,0.011455350157870144,0.6341068145946195,0.03269435792934099,0.9024083769633506,0.003973542609635674,0.9047619047619048,0.00945783478927329,0.6408878695175766,0.03640466649337266,0.6597986233571161,0.12179500349979906,0.8839610796073021,0.005439625778414656,0.8882693041305616,0.014602942540632277,0.09764397905759162,0.004019648448963708,0.09560439560439561,0.009210267235968794,0.8233680014098264,0.00745553904970206,0.8261499910299179,0.01688508339940677,0.9584145651797564,0.006960356960941575,0.9467886996506809,0.01630046597117448,0.9628291089083184,0.0034117017494130707,0.9591728751294974,0.007072827525907397,0.904509141686547,0.008102400144952693,0.8944711362946389,0.017562744625688288,0.9440697674418604,0.005864124611097524,0.9601626016260163,0.018559234328741393,0.9234865431301621,0.004005327677080589,0.9259205290460043,0.009364026660613237,86.0,0.0,123.0,0.0,0.90482113353285,0.004455841252387246,0.9182580671100423,0.015971798282501802,0.9099,0.008999382694879071,0.8993006993006993,0.016873623376087513,0.9070301829202922,0.004205814762220753,0.9085024999885409,0.009525360587691297,100.0,0.0,143.0,0.0,0.11333333333333336,0.10622594135748552,0.16666666666666666,0.3600411499115478,0.03600000000000001,0.033730961708462716,0.04285714285714286,0.09642122253007898,0.05285714285714286,0.04858219094375987,0.065,0.14151953143569188,5.0,0.0,7.0,0.0,0.05593023255813954,0.005864124611097543,0.03983739837398374,0.01855923432874139,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.08639999999999999,0.008527081042837061,0.0972027972027972,0.018190781366085474,0.0037000000000000006,0.00262678510731274,0.003496503496503497,0.0036856382985645444,0.9608272381213556,0.026110695731986124,0.9624531024531026,0.04091201328558629,0.03917276187864423,0.026110695731986135,0.03754689754689755,0.04091201328558628,0.002,0.006324555320336759,0.014285714285714285,0.04517539514526255,0.9620000000000001,0.03190262963734773,0.9428571428571428,0.09988655696858587,0.002,0.006324555320336759,0.014285714285714285,0.04517539514526255,0.998,0.006324555320336729,0.9857142857142858,0.04517539514526258
3,xgboost,True,0.8906282722513088,0.004807703260577236,0.8941391941391942,0.013536052797963946,0.6813216305367338,0.020924291281997163,0.7050581277047718,0.05465870094117413,0.8844213141155768,0.005429651284672818,0.8888850964374247,0.013458055558783929,0.666506976744186,0.01717019176306747,0.680820805211049,0.044450367324298454,0.8906282722513088,0.004807703260577236,0.8941391941391942,0.013536052797963946,0.7388397340982268,0.032390348022466424,0.8090230504735196,0.09399039477719999,0.8825767935684009,0.005902128114503663,0.8911252896033096,0.013855323464364227,0.1094764397905759,0.004731071393182065,0.10659340659340659,0.012385792090760205,0.805406955643571,0.008673286162161798,0.8088417387416659,0.01827497593134321,0.9488400220934354,0.011117835916902364,0.9350221880963179,0.01992816540994553,0.9565705228735121,0.004347629202119979,0.9564015392100991,0.007082061075462367,0.8950418565169123,0.009381512304126335,0.8830175629051504,0.01882325473417034,0.9237209302325583,0.007213885348298793,0.9414634146341465,0.02387286237999482,0.9086887846121259,0.0052842791432475035,0.9110637577449919,0.014437917352971922,86.0,0.0,123.0,0.0,0.8946440124444347,0.004676700092543622,0.9107182551820747,0.021668930441413613,0.8977999999999998,0.008350648677398277,0.8867132867132866,0.018589652249302455,0.895798473520442,0.004997254938568336,0.898353049611748,0.014136258054697277,100.0,0.0,143.0,0.0,0.42683333333333334,0.0956925697284516,0.6333333333333333,0.28920922410711936,0.17800000000000002,0.05116422361159973,0.21428571428571427,0.13883218797250713,0.23947763347763348,0.05991069242491822,0.3057575757575758,0.16776720614877857,5.0,0.0,7.0,0.0,0.07627906976744185,0.007213885348298818,0.058536585365853655,0.02387286237999484,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0938,0.01003106286602882,0.1062937062937063,0.020796930557758005,0.0084,0.003921450978627397,0.006993006993006994,0.005709766300193889,0.920284618159618,0.03911709057564167,0.9350700280112043,0.051880460039815585,0.07971538184038184,0.03911709057564173,0.0649299719887955,0.051880460039815585,0.004,0.012649110640673518,0.02857142857142857,0.06023386019368342,0.818,0.05452828012447608,0.757142857142857,0.15133570078162575,0.005,0.015811388300841896,0.03666666666666667,0.07769837216465374,0.9949999999999999,0.01581138830084191,0.9633333333333333,0.07769837216465371
4,adaboost,True,0.7627748691099477,0.02059847009893859,0.7326007326007327,0.025141953946244196,0.6225769328299048,0.02567235640103197,0.575592828278263,0.030010721638842778,0.7657079272115186,0.021250281251924737,0.7374126742697131,0.028267012754601653,0.7474271317829458,0.034474332256915756,0.6939726939726939,0.06086450979818535,0.7627748691099477,0.02059847009893859,0.7326007326007327,0.025141953946244196,0.6399839476427964,0.01572994219447576,0.612046642139344,0.01979155645345545,0.8520644235125794,0.0100114371077591,0.8431296144700603,0.016507481205354838,0.24015706806282724,0.021221310390562114,0.2695970695970695,0.026538174333376623,0.6684965973132412,0.024846591585876928,0.6468861623031003,0.03539714750948422,0.9276129315295856,0.010913904249422875,0.9041920743901869,0.021288086938793038,0.9364128479188436,0.007843142045697138,0.9367791145940364,0.009295534076203692,0.746008059739331,0.01716736124933896,0.7378095404543976,0.02622124934351405,0.9955813953488372,0.0018829391940296276,1.0,0.0,0.8524708901970193,0.01107728585604642,0.8488897724808651,0.017389123714281092,86.0,0.0,123.0,0.0,0.9759778193407886,0.006788435385016028,0.9686433718580156,0.01677235619848555,0.5667,0.03933629932320077,0.5104895104895104,0.04754330548804462,0.7143307157788727,0.03151891279618146,0.6673161549559395,0.04065658126057167,100.0,0.0,143.0,0.0,0.19796596384826956,0.03245324911996301,0.12968701410561875,0.03257380573817487,0.6799999999999999,0.09568466729604884,0.5714285714285714,0.17817416127494962,0.30092919251382255,0.04254314836623103,0.21057255739798433,0.05338932055223188,5.0,0.0,7.0,0.0,0.0030232558139534882,0.001991508926924826,0.0,0.0,0.0013953488372093023,0.001320107470226853,0.0,0.0,0.23500000000000004,0.14729034063523802,0.0,0.0,0.10500000000000001,0.09846036991827954,0.0,0.0,0.2894,0.025794917673405693,0.3027972027972028,0.03901209402205216,0.14389999999999997,0.027598107825638252,0.18671328671328674,0.032642356580765135,0.6727539832430811,0.041214451614822,0.6185394773538186,0.05239391729882663,0.327246016756919,0.04121445161482201,0.3814605226461813,0.052393917298826635,0.088,0.047328638264796934,0.08571428571428572,0.09988655696858587,0.23200000000000004,0.08702490065109718,0.34285714285714286,0.18070158058105024,0.21666666666666665,0.10122703976826998,0.2483333333333333,0.32777306964603603,0.6333333333333333,0.16573815433529218,0.7516666666666666,0.32777306964603603
5,svm,True,0.8153403141361256,0.011304940810228472,0.8153846153846154,0.016399641895365906,0.5887527462409133,0.031043432936619018,0.6359356716260413,0.058197356069619614,0.806260284152685,0.011004543728790355,0.8090542409697766,0.016785886583067407,0.5857728682170543,0.02135735527638144,0.6148815953694002,0.040510034851252916,0.8153403141361256,0.011304940810228472,0.8153846153846154,0.016399641895365906,0.6364125963877169,0.07331476768062488,0.7566188760198852,0.13002406020397028,0.8071368639299422,0.010759789401475626,0.8162485640179297,0.01744690640527086,0.18581151832460735,0.011658802781344412,0.1846153846153846,0.016399641895365868,0.6650868495733343,0.021887693277130187,0.6733992265479979,0.028291113114268095,0.8823952974965354,0.014991843182151559,0.8973832458988829,0.026616304907638756,0.9101820997220423,0.005010196556516559,0.9145288729007641,0.013455383689578323,0.7800455646925771,0.014998506371450651,0.7810153251151299,0.027333298925926154,0.8994186046511627,0.012284437202899613,0.8934959349593496,0.025837802572472687,0.8349923677781949,0.011733307359819936,0.8330075449189109,0.017164094924253387,86.0,0.0,123.0,0.0,0.8571922244705734,0.010258844789776794,0.8555079696111921,0.01721158292061969,0.7799,0.016940746408847733,0.7797202797202797,0.03477024216824312,0.8161056977843721,0.01188188387240335,0.8153550255147686,0.019359529117942486,100.0,0.0,143.0,0.0,0.27199999999999996,0.22393892465426513,0.6333333333333333,0.3912625969257558,0.078,0.06828046735503662,0.17142857142857143,0.1312766547818116,0.11516017316017316,0.0969703691870124,0.2594444444444445,0.18047814104880808,5.0,0.0,7.0,0.0,0.10046511627906977,0.01218559282742271,0.1065040650406504,0.025837802572472694,0.00011627906976744185,0.00036770670467074177,0.0,0.0,0.999,0.003162277660168382,1.0,0.0,0.001,0.0031622776601683794,0.0,0.0,0.21760000000000002,0.01704373459335979,0.2167832167832168,0.036856382985645454,0.0025,0.0011785113019775792,0.003496503496503497,0.003685638298564545,0.9884256078907109,0.005039177950252186,0.9825732951595022,0.018544328315685855,0.011574392109289134,0.005039177950252185,0.017426704840497943,0.01854432831568586,0.041999999999999996,0.0304776785350999,0.0,0.0,0.8800000000000001,0.058878405775519005,0.8285714285714285,0.13127665478181164,0.04583333333333333,0.03290699576640764,0.0,0.0,0.9541666666666668,0.03290699576640762,1.0,0.0
6,logistic_regression,True,0.876544502617801,0.006472789171279528,0.8684981684981684,0.02260996243518089,0.7270116442360179,0.035559025816191595,0.714313201496695,0.05283200461496243,0.8756479267683368,0.006473909237231361,0.8682858380799441,0.020803295241326243,0.7290511627906977,0.03643528214797498,0.7171059293010513,0.06111988958932004,0.876544502617801,0.006472789171279528,0.8684981684981684,0.02260996243518089,0.7418977270642367,0.0397368908859259,0.7356103158365461,0.08486625190654871,0.8771055048273148,0.006342545136315062,0.8711286393966002,0.01925468560677543,0.12418848167539265,0.006607837803113002,0.13296703296703297,0.023804827187758126,0.7877305691106515,0.01197854562984957,0.7717694370759421,0.039221910244967545,0.9207577380150898,0.01623634915532966,0.9135584126861053,0.012275174272144111,0.937547918781663,0.006191722562968292,0.93024050616821,0.007569748563087031,0.8850130407335538,0.010106045841557386,0.8765067755017502,0.028513486196046336,0.9089534883720931,0.010357616112105596,0.9040650406504065,0.027046016151489757,0.8963936304538602,0.008709673774038014,0.889630102026491,0.018456060776093294,86.0,0.0,123.0,0.0,0.8917118864909023,0.0074377827976230436,0.8874670291507453,0.02262287537598193,0.8722,0.006713171133426172,0.8615384615384615,0.03577917735076903,0.8814283713942037,0.006276727599323356,0.8738556230097145,0.02225649289755552,100.0,0.0,143.0,0.0,0.44896825396825396,0.12490122913885356,0.4428571428571428,0.24537803579064627,0.406,0.11432896007185192,0.3857142857142857,0.19107050140703696,0.4032129308599897,0.1103316134354576,0.37945387945387943,0.1429413280663997,5.0,0.0,7.0,0.0,0.0908139534883721,0.01042124020743645,0.0951219512195122,0.026566560288677443,0.0002325581395348837,0.0004902756062276557,0.0008130081300813009,0.0025709574472913654,0.9978888888888889,0.004458311699497521,0.9928571428571429,0.022587697572631273,0.002111111111111111,0.004458311699497529,0.007142857142857143,0.022587697572631276,0.1012,0.010184956226382783,0.10839160839160837,0.028213795890233578,0.026600000000000002,0.008527081042837056,0.030069930069930074,0.023321675409381376,0.7930406278877642,0.06265074746402445,0.7880198022513014,0.13739320963219642,0.2069593721122359,0.06265074746402442,0.21198019774869872,0.13739320963219642,0.024,0.027968235951204047,0.04285714285714286,0.06900655593423542,0.5700000000000001,0.12083045973594572,0.5714285714285714,0.15058465048420855,0.03949999999999999,0.05182502612959625,0.05333333333333333,0.08635270767877977,0.9505000000000001,0.07836701403581031,0.9466666666666669,0.08635270767877974
7,knn,False,0.7997382198952879,0.01344880691461873,0.8073260073260073,0.017456474725920896,0.560534307869215,0.02505526094319087,0.5615582276015163,0.03899269862141175,0.7893760956937457,0.013525898014965173,0.7967131554265047,0.01812719058341525,0.564191472868217,0.016262228296675497,0.5654508093532484,0.024591776685853137,0.7997382198952879,0.01344880691461873,0.8073260073260073,0.017456474725920896,0.5926166684482211,0.06671308110502512,0.6083775160030679,0.14368943676281334,0.7929208478685811,0.010800136679366657,0.8006520413384542,0.02162125247230883,0.20109947643979056,0.013905756533989113,0.19377289377289375,0.016422352946124465,0.640198285983369,0.023937039192776077,0.6498629214637817,0.0257670923789015,0.8184168247190001,0.01668680289458456,0.8135036215741543,0.027078595398010392,0.8649301161879273,0.012396419644638217,0.8742242165006768,0.017827541193730406,0.7559251374929077,0.018737834046393967,0.7607973539959069,0.02147026833625019,0.9076744186046513,0.010403204749997374,0.9146341463414634,0.026621792282369237,0.8242882345597355,0.010918289520255317,0.8302894104807359,0.015477588401235403,86.0,0.0,123.0,0.0,0.8560915345184226,0.0070438468434558385,0.8643351940132968,0.023114503824885984,0.7449,0.02785857139194328,0.7531468531468531,0.03346429682239272,0.7957418174750381,0.01667696806628788,0.8043852723238128,0.02114242982970455,100.0,0.0,143.0,0.0,0.16583333333333333,0.20001736035765608,0.2,0.42163702135578396,0.04,0.045215533220835116,0.02857142857142857,0.06023386019368342,0.06157287157287157,0.07107465485269045,0.05,0.10540925533894599,5.0,0.0,7.0,0.0,0.0922093023255814,0.010544487981369957,0.08536585365853659,0.02662179228236924,0.00011627906976744185,0.00036770670467074177,0.0,0.0,0.9983333333333334,0.00527046276694728,1.0,0.0,0.0016666666666666666,0.005270462766947298,0.0,0.0,0.25250000000000006,0.02623928352680386,0.24615384615384617,0.03309694983552234,0.0026000000000000003,0.0021705094128132946,0.0006993006993006993,0.0022113829791387267,0.9907964197151141,0.006897312463542243,0.9973684210526315,0.008321783316232567,0.009203580284885795,0.006897312463542255,0.002631578947368421,0.008321783316232576,0.030000000000000006,0.02867441755680876,0.04285714285714286,0.06900655593423542,0.93,0.06342099196813483,0.9285714285714285,0.12140522651411392,0.03300000000000001,0.03128720008068618,0.047619047619047616,0.07694729932406871,0.967,0.03128720008068619,0.9523809523809523,0.0769472993240687
8,gaussian_nb,True,0.8080104712041886,0.026284889439235976,0.7890109890109891,0.047921770307344035,0.6049844715097219,0.018750278191573353,0.6025100906111758,0.037693006189947656,0.8265452416359194,0.018126301506766505,0.8157437482954304,0.033968614209255746,0.6252806201550387,0.01873590750531201,0.648824887849278,0.06432723658405384,0.8080104712041886,0.026284889439235976,0.7890109890109891,0.047921770307344035,0.61061727106801,0.011050084493242473,0.6149462843501718,0.021195211730895645,0.851296405087564,0.007156358571283488,0.8591234579296186,0.013280529019946748,0.1945026178010471,0.02682873596077055,0.215018315018315,0.049808769006315125,0.7150531438443017,0.02074633800136971,0.7081793634018657,0.04083418738134102,0.7457949077012843,0.023184980094430537,0.7531690929510477,0.05173096675521242,0.8366368964875128,0.020398342575343127,0.8341619892221397,0.029421213135374016,0.8961466732964185,0.009001605823791456,0.8843278145160276,0.021822290766341103,0.8824418604651164,0.014182551354919182,0.9130081300813009,0.02738334542887613,0.8885974583674979,0.005041371827590238,0.8979906779343839,0.012587018004653465,86.0,0.0,123.0,0.0,0.8510576186178389,0.012265117918995313,0.8753294526439195,0.0276724879324672,0.7734,0.04964809496177405,0.7048951048951049,0.08850444736659607,0.8086208416004993,0.03175958007040622,0.7785177407458039,0.05996635618809326,100.0,0.0,143.0,0.0,0.08464752128977251,0.025897478382207295,0.08518158589056832,0.05081604887941282,0.22000000000000003,0.03771236166328254,0.32857142857142857,0.19107050140703696,0.11773511456116856,0.030687950376402876,0.1310218531533398,0.07325897776610343,5.0,0.0,7.0,0.0,0.1119767441860465,0.012785411169677637,0.07804878048780488,0.022082979715407437,0.005581395348837209,0.003945119581395186,0.008943089430894311,0.010460845022015603,0.9540634674063467,0.03143771052514245,0.9130244755244755,0.09372153815550462,0.04593653259365334,0.03143771052514247,0.08697552447552447,0.09372153815550462,0.08879999999999999,0.00976160278278567,0.1034965034965035,0.023725893986013002,0.13779999999999998,0.046642374629848236,0.19160839160839163,0.0888964955640319,0.4196408252543356,0.06781706861315508,0.3773085659732513,0.12998967459337527,0.5803591747456645,0.06781706861315505,0.6226914340267486,0.12998967459337527,0.0,0.0,0.0,0.0,0.78,0.037712361663282554,0.6714285714285715,0.19107050140703696,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
