epoch,train_loss,val_loss,val_acc,val_f1,val_balanced_acc
1,0.5587139935106844,0.37363881033820073,0.9054054054054054,0.9113924050632911,0.9071310116086235
2,0.28162978186800675,0.23444419736797745,0.9054054054054054,0.9113924050632911,0.9071310116086235
3,0.1656418856535409,0.21418414506557826,0.9121621621621622,0.9202453987730062,0.9107241569928137
4,0.12056014505592552,0.2292172041897838,0.8986486486486487,0.9079754601226994,0.8970886309194767
5,0.08504076883498882,0.26085512433201075,0.8918918918918919,0.9024390243902439,0.8896259443523125
6,0.05366696711830996,0.29345328125448245,0.8783783783783784,0.891566265060241,0.8747005712179841
7,0.034279041319481424,0.31061460459730716,0.8851351351351351,0.896969696969697,0.8821632577851484
8,0.02683628680234825,0.32002705814493065,0.8851351351351351,0.896969696969697,0.8821632577851484
9,0.015287118488796861,0.35558645084903046,0.8716216216216216,0.8862275449101796,0.86723788465082
10,0.010567045172777128,0.36889464802870126,0.8851351351351351,0.896969696969697,0.8821632577851484
11,0.0091635100386181,0.4032054284966639,0.8716216216216216,0.8862275449101796,0.86723788465082
12,0.005680301404444853,0.4161463687589669,0.8783783783783784,0.8902439024390244,0.8759904182789755
13,0.005308311284721099,0.43117694695624903,0.8783783783783784,0.891566265060241,0.8747005712179841
14,0.004531315956941202,0.4418764682337201,0.8851351351351351,0.896969696969697,0.8821632577851484
15,0.0029667258007779113,0.45002134120000553,0.8851351351351351,0.896969696969697,0.8821632577851484
16,0.002433643167023547,0.46389909012155056,0.8783783783783784,0.8902439024390244,0.8759904182789755
17,0.0022068840346922093,0.45946798476467626,0.8986486486486487,0.9079754601226994,0.8970886309194767
18,0.00225263306944996,0.4544868593452643,0.8918918918918919,0.9024390243902439,0.8896259443523125
