modelo,n_samples,n_samples_evaluadas,n_clusters,samples_por_grupo,silhouette,calinski_harabasz,davies_bouldin,homogeneity,completeness,v_measure,adjusted_rand_index,adjusted_mutual_info,normalized_mutual_info,Subdomain
agglo,909,909,3,"{0: 384, 1: 469, 2: 56}",0.1296115373847453,38.63474643135575,4.271047248253274,0.4670904403297642,0.4244959802908432,0.44477576097278215,0.5031749997732289,0.4432398544741857,0.4447757609727822,examen_motor
kmeans,909,909,3,"{0: 597, 1: 277, 2: 35}",0.1884289739481316,50.54383074391637,3.5228336214483202,0.3462200093796719,0.3614107125663003,0.3536523116195962,0.29634573222697785,0.3517314397391261,0.3536523116195962,examen_motor
gmm,909,909,3,"{0: 575, 1: 116, 2: 218}",0.1867101004154311,50.24867524221898,4.242859888597148,0.3225053709886375,0.28729456361792466,0.303883403603174,0.25025756879007705,0.3020101347892332,0.303883403603174,examen_motor
agglo,909,909,3,"{0: 639, 1: 237, 2: 33}",0.057524097506640406,45.772956699877454,3.1515671878649614,0.14099937512239108,0.15640809342181455,0.14830457045689469,0.11538267980862675,0.14569808940602122,0.14830457045689469,impacto_motor
kmeans,909,909,3,"{0: 101, 1: 112, 2: 696}",0.2783126901428318,70.06889282245955,3.0476695153686877,0.1509889954800453,0.17034977374575688,0.16008613763035187,0.08836100175296374,0.1574977410619518,0.16008613763035187,impacto_motor
gmm,909,909,3,"{0: 640, 1: 6, 2: 263}",0.24760072164641783,50.1204251104448,2.858795945290224,0.15867490214093946,0.19794619973820338,0.1761482632806999,0.14649844315165214,0.17372840784263074,0.1761482632806999,impacto_motor
agglo,909,909,3,"{0: 602, 1: 168, 2: 139}",0.08360165262961257,26.308842130331442,4.803293504033529,0.009384270681389636,0.008577713597896606,0.008962883496443745,0.01252314689335442,0.00626270531579766,0.008962883496443745,non_motor
kmeans,909,909,3,"{0: 219, 1: 30, 2: 660}",0.1656141319058539,42.39010700663403,3.3206101375025536,0.02611146622497236,0.03025860837841468,0.0280324848333682,0.026320928515067503,0.025001488402745114,0.0280324848333682,non_motor
gmm,909,909,3,"{0: 761, 1: 47, 2: 101}",0.23960350719088386,20.27267547173317,4.604790723198497,0.010688979097211946,0.015603686319164263,0.012686996488466806,0.014074112995838398,0.009207626548356225,0.012686996488466808,non_motor
agglo,909,909,3,"{0: 358, 1: 513, 2: 38}",0.06366279776461627,33.851610870787724,4.699886750744643,0.3521570624054582,0.34128330024129394,0.3466349261882758,0.3830946068045532,0.3447639231466067,0.34663492618827585,MOTOR
kmeans,909,909,3,"{0: 79, 1: 289, 2: 541}",0.15520673042544095,49.13974310437758,4.107230467411641,0.39952545598996414,0.3596749330281061,0.37855431505263254,0.3625151941071353,0.37685634449329647,0.3785543150526326,MOTOR
gmm,909,909,3,"{0: 98, 1: 531, 2: 280}",0.1530583592995524,49.08453548757441,4.2547009528392,0.4088574965633624,0.35546462068573625,0.3802961386319525,0.3666894183142913,0.37864488183400735,0.3802961386319525,MOTOR
agglo,909,909,3,"{0: 324, 1: 468, 2: 117}",0.09584058205487316,32.26790883750017,4.8843843408833125,0.32980324956632856,0.2700939532162885,0.296977092227672,0.3277594332211772,0.29517455105169677,0.296977092227672,FULL
kmeans,909,909,3,"{0: 277, 1: 564, 2: 68}",0.1494142040468736,43.72261624710443,4.029105335415843,0.344933310776863,0.3226443686002242,0.3334167504480697,0.30718924491510563,0.33155027935589676,0.3334167504480697,FULL
gmm,909,909,3,"{0: 276, 1: 604, 2: 29}",0.1722262225776122,43.5423867685068,3.5019723882554543,0.31256904692034787,0.33515589766464543,0.3234686586600202,0.2755845639825909,0.32144122905776845,0.3234686586600202,FULL
