modelo,n_samples,n_samples_evaluadas,n_clusters,samples_por_grupo,silhouette,calinski_harabasz,davies_bouldin,homogeneity,completeness,v_measure,adjusted_rand_index,adjusted_mutual_info,normalized_mutual_info,Subdomain,LDA_components
agglo,909,909,3,"{0: 429, 1: 440, 2: 40}",0.34232361267472,604.0163310130738,0.9035098104457745,0.5905372486752859,0.5583974702731781,0.5740178276867854,0.6611803508548592,0.572813012133391,0.5740178276867854,examen_motor,2
kmeans,909,909,3,"{0: 466, 1: 403, 2: 40}",0.6010942175359852,1299.86899415062,0.6117478972177541,0.6803404577411315,0.6451788967530292,0.6622933183942548,0.7067132583767303,0.6613367041298843,0.6622933183942548,examen_motor,2
gmm,909,909,3,"{0: 57, 1: 409, 2: 443}",0.5664822843050915,993.9347385338691,0.8236358109802352,0.6275287191215848,0.5663372025115593,0.5953647773056828,0.7036974571203107,0.5942499633576793,0.5953647773056829,examen_motor,2
agglo,909,909,3,"{0: 369, 1: 445, 2: 95}",0.5037919755148731,630.278121651245,1.0182276604868845,0.4457883148385551,0.3734056509607431,0.40639917490253064,0.4855002928321942,0.40484912792304717,0.40639917490253064,impacto_motor,2
kmeans,909,909,3,"{0: 8, 1: 418, 2: 483}",0.5211700117485569,951.172798377071,0.5727781686453661,0.4560279726970367,0.49467185874177305,0.47456452064555776,0.5428150410984734,0.4731007548760278,0.4745645206455579,impacto_motor,2
gmm,909,909,3,"{0: 543, 1: 351, 2: 15}",0.4137710409068712,570.2028061677433,0.7377641117338823,0.3972546736465503,0.426242411956139,0.4112383473270703,0.4784893797673063,0.4095357261194253,0.4112383473270703,impacto_motor,2
agglo,909,909,3,"{0: 396, 1: 265, 2: 248}",0.36175133307240803,571.3507511170166,0.9505929461713984,0.13861163053472622,0.10271789463003328,0.11799546574371847,0.12403613976209994,0.11588271629682122,0.11799546574371846,non_motor,2
kmeans,909,909,3,"{0: 294, 1: 424, 2: 191}",0.3918859964756903,631.2839160084759,0.901145944993079,0.14989180187538817,0.1139489981798392,0.12947217151779575,0.14036320543672356,0.12735204478488407,0.12947217151779575,non_motor,2
gmm,909,909,3,"{0: 268, 1: 526, 2: 115}",0.385843527620391,500.74759742067175,1.0105315855879216,0.14854736815136443,0.12621572065822517,0.13647403080477222,0.15723063489854336,0.13421174672191466,0.13647403080477222,non_motor,2
agglo,909,909,3,"{0: 330, 1: 448, 2: 131}",0.5482515052918874,966.7861347371052,0.9275308005912098,0.6726310462694631,0.5384879776718705,0.5981306951091252,0.6189013775271689,0.5971162954435555,0.5981306951091251,MOTOR,2
kmeans,909,909,3,"{0: 454, 1: 434, 2: 21}",0.6174764373701996,1422.1260396827158,0.5201678271378382,0.7200396219801771,0.7295485661238031,0.7247629058774905,0.7735510629266114,0.7239731752054219,0.7247629058774904,MOTOR,2
gmm,909,909,3,"{0: 446, 1: 420, 2: 43}",0.6011422582279,1064.041624201652,0.8114076256710451,0.6899529999001609,0.6467310541935493,0.6676432319258451,0.7620305358953444,0.6667071213012752,0.6676432319258451,MOTOR,2
agglo,909,909,3,"{0: 449, 1: 404, 2: 56}",0.6051508945868316,1102.4296998780046,0.8649798958722781,0.7175000931582179,0.6495819625611132,0.6818539043821438,0.7442517509957215,0.6809756499602935,0.6818539043821439,FULL,2
kmeans,909,909,3,"{0: 432, 1: 451, 2: 26}",0.6230027104550481,1530.663831525757,0.5172016191787471,0.7644019530369577,0.7588872263518046,0.7616346072790843,0.798989442313075,0.7609507074130043,0.7616346072790843,FULL,2
gmm,909,909,3,"{0: 424, 1: 454, 2: 31}",0.6111655690648944,1278.193060396707,0.6065716308618239,0.7270048753962384,0.7087618123095268,0.7177674443290826,0.7965456705015309,0.7169602475681579,0.7177674443290827,FULL,2
