epoch,train_loss,val_loss,val_acc,val_balanced_acc,val_f1_macro,val_f1_weighted,val_recall_0,val_recall_1,val_recall_2
1,0.6152854450047016,0.7381759052691252,0.6521739130434783,0.6666666666666666,0.5296296296296296,0.5222222222222221,1.0,0.0,1.0
2,0.5612255409359932,0.713925926581673,0.6521739130434783,0.6666666666666666,0.5296296296296296,0.5222222222222221,1.0,0.0,1.0
3,0.47492779418826103,0.6813812100368998,0.7391304347826086,0.75,0.6888888888888888,0.6850241545893719,1.0,0.25,1.0
4,0.48264679685235023,0.6412546427353568,0.7391304347826086,0.75,0.6888888888888888,0.6850241545893719,1.0,0.25,1.0
5,0.46670981869101524,0.6367037050102068,0.7391304347826086,0.75,0.6888888888888888,0.6850241545893719,1.0,0.25,1.0
6,0.38727640733122826,0.6309262449326722,0.782608695652174,0.7916666666666666,0.7548029312735195,0.7538040249037692,1.0,0.375,1.0
7,0.41520566307008266,0.6195393735947816,0.8260869565217391,0.8333333333333334,0.8104575163398694,0.8098891730605287,1.0,0.5,1.0
8,0.40680505707859993,0.6332103467505911,0.8260869565217391,0.8333333333333334,0.8104575163398694,0.8098891730605287,1.0,0.5,1.0
