epoch,train_loss,val_loss,val_acc,val_balanced_acc,val_f1_macro,val_f1_weighted,val_recall_0,val_recall_1,val_recall_2
1,0.8619661276990717,0.7305268049240112,0.625,0.5555555555555555,0.4761904761904761,0.5357142857142857,1.0,0.6666666666666666,0.0
2,0.608378366990523,0.7087848782539368,0.625,0.5555555555555555,0.4761904761904761,0.5357142857142857,1.0,0.6666666666666666,0.0
3,0.6626300974325701,0.6849085688591003,0.625,0.5555555555555555,0.4761904761904761,0.5357142857142857,1.0,0.6666666666666666,0.0
4,0.5444058667529713,0.6595021486282349,0.875,0.8888888888888888,0.8857142857142857,0.8714285714285714,1.0,0.6666666666666666,1.0
5,0.5534686879678206,0.6435951590538025,0.875,0.8888888888888888,0.8857142857142857,0.8714285714285714,1.0,0.6666666666666666,1.0
6,0.6554290381344882,0.6334416270256042,0.875,0.8888888888888888,0.8857142857142857,0.8714285714285714,1.0,0.6666666666666666,1.0
7,0.6494208574295044,0.6292134523391724,0.875,0.8888888888888888,0.8857142857142857,0.8714285714285714,1.0,0.6666666666666666,1.0
8,0.4283285005526109,0.6258739233016968,0.875,0.8888888888888888,0.8857142857142857,0.8714285714285714,1.0,0.6666666666666666,1.0
9,0.5788256796923551,0.6231206655502319,0.875,0.8888888888888888,0.8857142857142857,0.8714285714285714,1.0,0.6666666666666666,1.0
10,0.4906879175793041,0.6216052174568176,0.875,0.8888888888888888,0.8857142857142857,0.8714285714285714,1.0,0.6666666666666666,1.0
11,0.4978974082253196,0.6194137930870056,0.875,0.8888888888888888,0.8857142857142857,0.8714285714285714,1.0,0.6666666666666666,1.0
12,0.3833067471330816,0.619678795337677,0.875,0.8888888888888888,0.8857142857142857,0.8714285714285714,1.0,0.6666666666666666,1.0
