epoch,train_loss,val_loss,val_acc,val_balanced_acc,val_f1
1,0.35606614765019967,0.2091895995025863,0.9041916167664671,0.9082972582972583,0.9058823529411765
2,0.1922285454026584,0.18218573811882272,0.9281437125748503,0.9305194805194805,0.9310344827586207
3,0.15580048687990639,0.1793156845305494,0.9341317365269461,0.9370129870129871,0.9364161849710982
4,0.1379309545370235,0.1917927684541234,0.9221556886227545,0.924963924963925,0.9248554913294798
5,0.14742762669139,0.1904456535142339,0.9281437125748503,0.9305194805194805,0.9310344827586207
6,0.11221105896908304,0.21795971548842813,0.9221556886227545,0.9230880230880231,0.9265536723163842
7,0.0929244416004893,0.23692790579474615,0.9161676646706587,0.9165945165945166,0.9213483146067416
8,0.08597745715394041,0.263005828072211,0.9221556886227545,0.9230880230880231,0.9265536723163842
9,0.07796500297891593,0.26235077846906857,0.9281437125748503,0.9286435786435787,0.9325842696629213
10,0.06324813347114348,0.26604215800762177,0.9341317365269461,0.9351370851370852,0.9378531073446328
11,0.03910436176847125,0.29280770315738497,0.9281437125748503,0.9305194805194805,0.9310344827586207
12,0.04554035997079654,0.2832526233560311,0.9341317365269461,0.9360750360750361,0.9371428571428572
13,0.030510283143691037,0.2963977311542648,0.9341317365269461,0.9370129870129871,0.9364161849710982
