Model,Feature_Selection,F1_macro_CV,F1_macro_Testing,Accuracy_Testing,Precision_macro_Testing,Recall_macro_Testing,AUC_macro_Testing,Precision_weighted_Testing,Recall_weighted_Testing,F1_weighted_Testing,AUC_weighted_Testing,Accuracy_CV,Precision_macro_CV,Recall_macro_CV,AUC_macro_CV,Precision_weighted_CV,Recall_weighted_CV,F1_weighted_CV,AUC_weighted_CV
decision_tree,spearman_corr,0.6464 ± 0.0360,0.6382 ± 0.0207,0.8326 ± 0.0190,0.6447 ± 0.0388,0.6430 ± 0.0232,0.7704 ± 0.0102,0.8361 ± 0.0150,0.8326 ± 0.0190,0.8335 ± 0.0163,0.8466 ± 0.0159,0.8318 ± 0.0123,0.6444 ± 0.0339,0.6495 ± 0.0384,0.7731 ± 0.0212,0.8334 ± 0.0119,0.8318 ± 0.0123,0.8324 ± 0.0120,0.8450 ± 0.0108
decision_tree,mutual_info,0.6486 ± 0.0303,0.6118 ± 0.0309,0.8311 ± 0.0196,0.6139 ± 0.0393,0.6150 ± 0.0305,0.7558 ± 0.0179,0.8322 ± 0.0159,0.8311 ± 0.0196,0.8310 ± 0.0173,0.8448 ± 0.0163,0.8357 ± 0.0176,0.6517 ± 0.0322,0.6486 ± 0.0335,0.7734 ± 0.0210,0.8358 ± 0.0177,0.8357 ± 0.0176,0.8354 ± 0.0173,0.8473 ± 0.0166
decision_tree,spearman_sulov,0.6484 ± 0.0258,0.6233 ± 0.0365,0.8315 ± 0.0207,0.6237 ± 0.0369,0.6290 ± 0.0447,0.7634 ± 0.0228,0.8355 ± 0.0189,0.8315 ± 0.0207,0.8326 ± 0.0192,0.8465 ± 0.0199,0.8291 ± 0.0128,0.6453 ± 0.0258,0.6548 ± 0.0278,0.7752 ± 0.0153,0.8327 ± 0.0091,0.8291 ± 0.0128,0.8306 ± 0.0110,0.8435 ± 0.0101
decision_tree,chi2,0.6438 ± 0.0226,0.6162 ± 0.0341,0.8293 ± 0.0193,0.6133 ± 0.0325,0.6228 ± 0.0391,0.7591 ± 0.0207,0.8311 ± 0.0152,0.8293 ± 0.0193,0.8294 ± 0.0166,0.8433 ± 0.0162,0.8269 ± 0.0112,0.6452 ± 0.0228,0.6442 ± 0.0248,0.7684 ± 0.0147,0.8276 ± 0.0123,0.8269 ± 0.0112,0.8270 ± 0.0117,0.8391 ± 0.0115
decision_tree,chi2_mi_union_topk,0.6510 ± 0.0383,0.6241 ± 0.0436,0.8333 ± 0.0181,0.6245 ± 0.0456,0.6302 ± 0.0489,0.7621 ± 0.0289,0.8350 ± 0.0196,0.8333 ± 0.0181,0.8331 ± 0.0179,0.8440 ± 0.0172,0.8327 ± 0.0140,0.6562 ± 0.0372,0.6496 ± 0.0421,0.7714 ± 0.0249,0.8322 ± 0.0159,0.8327 ± 0.0140,0.8321 ± 0.0150,0.8415 ± 0.0148
random_forest,spearman_corr,0.6092 ± 0.0034,0.6262 ± 0.0384,0.9026 ± 0.0101,0.6683 ± 0.1438,0.6281 ± 0.0234,0.9364 ± 0.0160,0.8854 ± 0.0178,0.9026 ± 0.0101,0.8915 ± 0.0110,0.9591 ± 0.0074,0.9003 ± 0.0050,0.6002 ± 0.0034,0.6186 ± 0.0034,0.9523 ± 0.0097,0.8748 ± 0.0048,0.9003 ± 0.0050,0.8873 ± 0.0049,0.9612 ± 0.0039
random_forest,mutual_info,0.6180 ± 0.0159,0.6344 ± 0.0390,0.9026 ± 0.0109,0.7016 ± 0.1597,0.6326 ± 0.0217,0.9374 ± 0.0211,0.8879 ± 0.0147,0.9026 ± 0.0109,0.8920 ± 0.0106,0.9586 ± 0.0074,0.8980 ± 0.0049,0.6988 ± 0.1598,0.6220 ± 0.0081,0.9529 ± 0.0074,0.8811 ± 0.0129,0.8980 ± 0.0049,0.8857 ± 0.0047,0.9607 ± 0.0030
random_forest,spearman_sulov,0.6147 ± 0.0204,0.6071 ± 0.0074,0.8985 ± 0.0109,0.5990 ± 0.0072,0.6163 ± 0.0076,0.9390 ± 0.0113,0.8763 ± 0.0105,0.8985 ± 0.0109,0.8867 ± 0.0108,0.9587 ± 0.0047,0.8987 ± 0.0054,0.6326 ± 0.1048,0.6209 ± 0.0109,0.9515 ± 0.0069,0.8762 ± 0.0095,0.8987 ± 0.0054,0.8862 ± 0.0053,0.9609 ± 0.0027
random_forest,chi2,0.6240 ± 0.0232,0.6335 ± 0.0420,0.9011 ± 0.0126,0.7009 ± 0.1626,0.6316 ± 0.0251,0.9396 ± 0.0193,0.8868 ± 0.0189,0.9011 ± 0.0126,0.8907 ± 0.0130,0.9588 ± 0.0085,0.8970 ± 0.0036,0.7316 ± 0.1717,0.6248 ± 0.0121,0.9509 ± 0.0092,0.8831 ± 0.0144,0.8970 ± 0.0036,0.8853 ± 0.0037,0.9610 ± 0.0038
random_forest,chi2_mi_union_topk,0.6357 ± 0.0308,0.6858 ± 0.0622,0.9044 ± 0.0113,0.8032 ± 0.1569,0.6657 ± 0.0401,0.9442 ± 0.0175,0.8984 ± 0.0199,0.9044 ± 0.0113,0.8966 ± 0.0123,0.9572 ± 0.0070,0.8987 ± 0.0076,0.7033 ± 0.1179,0.6332 ± 0.0179,0.9507 ± 0.0101,0.8832 ± 0.0107,0.8987 ± 0.0076,0.8880 ± 0.0069,0.9588 ± 0.0041
extra_trees,spearman_corr,0.6374 ± 0.0265,0.6404 ± 0.0548,0.9026 ± 0.0092,0.6860 ± 0.1440,0.6373 ± 0.0349,0.9517 ± 0.0111,0.8883 ± 0.0161,0.9026 ± 0.0092,0.8930 ± 0.0102,0.9632 ± 0.0051,0.8992 ± 0.0045,0.7305 ± 0.1321,0.6337 ± 0.0147,0.9560 ± 0.0088,0.8864 ± 0.0102,0.8992 ± 0.0045,0.8887 ± 0.0043,0.9625 ± 0.0026
extra_trees,mutual_info,0.6673 ± 0.0328,0.6538 ± 0.0517,0.8985 ± 0.0123,0.7496 ± 0.1659,0.6431 ± 0.0313,0.9538 ± 0.0083,0.8886 ± 0.0175,0.8985 ± 0.0123,0.8897 ± 0.0114,0.9615 ± 0.0068,0.8986 ± 0.0066,0.8274 ± 0.1151,0.6504 ± 0.0193,0.9572 ± 0.0071,0.8934 ± 0.0118,0.8986 ± 0.0066,0.8897 ± 0.0063,0.9616 ± 0.0028
extra_trees,spearman_sulov,0.6307 ± 0.0217,0.6252 ± 0.0363,0.9018 ± 0.0109,0.6520 ± 0.1151,0.6278 ± 0.0232,0.9493 ± 0.0089,0.8849 ± 0.0157,0.9018 ± 0.0109,0.8913 ± 0.0114,0.9611 ± 0.0059,0.8970 ± 0.0043,0.7651 ± 0.1555,0.6285 ± 0.0115,0.9566 ± 0.0067,0.8864 ± 0.0116,0.8970 ± 0.0043,0.8859 ± 0.0042,0.9622 ± 0.0030
extra_trees,chi2,0.6626 ± 0.0186,0.6611 ± 0.0462,0.9004 ± 0.0105,0.7568 ± 0.1468,0.6490 ± 0.0295,0.9453 ± 0.0120,0.8916 ± 0.0140,0.9004 ± 0.0105,0.8920 ± 0.0094,0.9594 ± 0.0064,0.8997 ± 0.0048,0.8255 ± 0.0642,0.6477 ± 0.0112,0.9564 ± 0.0082,0.8944 ± 0.0067,0.8997 ± 0.0048,0.8905 ± 0.0045,0.9613 ± 0.0038
