,model,target_type,classes,n_classes,accuracy_cv_mean,accuracy_cv_std,accuracy_test_mean,accuracy_test_std,f1_macro_cv_mean,f1_macro_cv_std,f1_macro_test_mean,f1_macro_test_std,f1_weighted_cv_mean,f1_weighted_cv_std,f1_weighted_test_mean,f1_weighted_test_std,recall_macro_cv_mean,recall_macro_cv_std,recall_macro_test_mean,recall_macro_test_std,recall_weighted_cv_mean,recall_weighted_cv_std,recall_weighted_test_mean,recall_weighted_test_std,precision_macro_cv_mean,precision_macro_cv_std,precision_macro_test_mean,precision_macro_test_std,precision_weighted_cv_mean,precision_weighted_cv_std,precision_weighted_test_mean,precision_weighted_test_std,mae_cv_mean,mae_cv_std,mae_test_mean,mae_test_std,qwk_cv_mean,qwk_cv_std,qwk_test_mean,qwk_test_std,misclassification_disease_cost_mean_cv_mean,misclassification_disease_cost_mean_cv_std,misclassification_disease_cost_mean_test_mean,misclassification_disease_cost_mean_test_std,misclassification_disease_cost_total_cv_mean,misclassification_disease_cost_total_cv_std,misclassification_disease_cost_total_test_mean,misclassification_disease_cost_total_test_std,misclassification_disease_score_cv_mean,misclassification_disease_score_cv_std,misclassification_disease_score_test_mean,misclassification_disease_score_test_std,misclassification_disease_cost_mean_true_class_0_cv_mean,misclassification_disease_cost_mean_true_class_0_cv_std,misclassification_disease_cost_mean_true_class_0_test_mean,misclassification_disease_cost_mean_true_class_0_test_std,misclassification_disease_cost_mean_true_class_1_cv_mean,misclassification_disease_cost_mean_true_class_1_cv_std,misclassification_disease_cost_mean_true_class_1_test_mean,misclassification_disease_cost_mean_true_class_1_test_std,misclassification_disease_cost_mean_true_class_2_cv_mean,misclassification_disease_cost_mean_true_class_2_cv_std,misclassification_disease_cost_mean_true_class_2_test_mean,misclassification_disease_cost_mean_true_class_2_test_std,auc_ovr_macro_cv_mean,auc_ovr_macro_cv_std,auc_ovr_macro_test_mean,auc_ovr_macro_test_std,auc_ovr_weighted_cv_mean,auc_ovr_weighted_cv_std,auc_ovr_weighted_test_mean,auc_ovr_weighted_test_std,precision_class_0_cv_mean,precision_class_0_cv_std,precision_class_0_test_mean,precision_class_0_test_std,recall_class_0_cv_mean,recall_class_0_cv_std,recall_class_0_test_mean,recall_class_0_test_std,f1_class_0_cv_mean,f1_class_0_cv_std,f1_class_0_test_mean,f1_class_0_test_std,support_class_0_cv_mean,support_class_0_cv_std,support_class_0_test_mean,support_class_0_test_std,precision_class_1_cv_mean,precision_class_1_cv_std,precision_class_1_test_mean,precision_class_1_test_std,recall_class_1_cv_mean,recall_class_1_cv_std,recall_class_1_test_mean,recall_class_1_test_std,f1_class_1_cv_mean,f1_class_1_cv_std,f1_class_1_test_mean,f1_class_1_test_std,support_class_1_cv_mean,support_class_1_cv_std,support_class_1_test_mean,support_class_1_test_std,precision_class_2_cv_mean,precision_class_2_cv_std,precision_class_2_test_mean,precision_class_2_test_std,recall_class_2_cv_mean,recall_class_2_cv_std,recall_class_2_test_mean,recall_class_2_test_std,f1_class_2_cv_mean,f1_class_2_cv_std,f1_class_2_test_mean,f1_class_2_test_std,support_class_2_cv_mean,support_class_2_cv_std,support_class_2_test_mean,support_class_2_test_std,conf_0_to_1_cv_mean,conf_0_to_1_cv_std,conf_0_to_1_test_mean,conf_0_to_1_test_std,conf_0_to_2_cv_mean,conf_0_to_2_cv_std,conf_0_to_2_test_mean,conf_0_to_2_test_std,conf_0_to_1_given_error_cv_mean,conf_0_to_1_given_error_cv_std,conf_0_to_1_given_error_test_mean,conf_0_to_1_given_error_test_std,conf_0_to_2_given_error_cv_mean,conf_0_to_2_given_error_cv_std,conf_0_to_2_given_error_test_mean,conf_0_to_2_given_error_test_std,conf_1_to_0_cv_mean,conf_1_to_0_cv_std,conf_1_to_0_test_mean,conf_1_to_0_test_std,conf_1_to_2_cv_mean,conf_1_to_2_cv_std,conf_1_to_2_test_mean,conf_1_to_2_test_std,conf_1_to_0_given_error_cv_mean,conf_1_to_0_given_error_cv_std,conf_1_to_0_given_error_test_mean,conf_1_to_0_given_error_test_std,conf_1_to_2_given_error_cv_mean,conf_1_to_2_given_error_cv_std,conf_1_to_2_given_error_test_mean,conf_1_to_2_given_error_test_std,conf_2_to_0_cv_mean,conf_2_to_0_cv_std,conf_2_to_0_test_mean,conf_2_to_0_test_std,conf_2_to_1_cv_mean,conf_2_to_1_cv_std,conf_2_to_1_test_mean,conf_2_to_1_test_std,conf_2_to_0_given_error_cv_mean,conf_2_to_0_given_error_cv_std,conf_2_to_0_given_error_test_mean,conf_2_to_0_given_error_test_std,conf_2_to_1_given_error_cv_mean,conf_2_to_1_given_error_cv_std,conf_2_to_1_given_error_test_mean,conf_2_to_1_given_error_test_std,global_final_hyperparams_avg
0,minmax_decision_tree,multiclass,"[np.int64(0), np.int64(1), np.int64(2)]",3,0.8384816753926702,0.015732478535000913,0.8168498168498168,0.037988642701108785,0.6867886325839458,0.02613644982626479,0.6434207914133363,0.037755426813677856,0.8458276149706825,0.016980880069788658,0.8259604999215775,0.03264195046881955,0.7383031007751939,0.03743214412868973,0.7061247695394035,0.06296569965008925,0.8384816753926702,0.015732478535000913,0.8168498168498168,0.037988642701108785,0.67693731319755,0.028622913032580355,0.6327407564956384,0.03141079236523533,0.8625840820565527,0.018289152281306044,0.8436327134955978,0.029190438264794116,0.1630890052356021,0.015453158447102211,0.18498168498168496,0.04043155235604016,0.7456677441820102,0.0254912071843137,0.7177530418530157,0.05324404295497817,0.17308900523560208,0.014547480504014334,0.19194139194139195,0.055072434087690005,33.06,2.778568776266739,52.4,15.034774505939371,-0.17308900523560208,0.014547480504014334,-0.19194139194139195,0.055072434087690005,0.11686046511627908,0.03329838622348892,0.1268292682926829,0.08899458320552323,0.20429999999999998,0.032369567326253984,0.22657342657342658,0.052765161088749325,0.5160000000000001,0.1086482601998046,0.6285714285714286,0.18070158058105026,0.8433250817741065,0.01695478232151176,0.8381389123498477,0.028504837032499557,0.8875359600428846,0.0220658177898823,0.8808693662869487,0.029203188900381018,0.8652462072493725,0.031912771344705326,0.8541239330377787,0.02744147564572646,0.9072093023255816,0.026818792690345105,0.8878048780487806,0.05551257508539562,0.8843883266697408,0.021203265318539905,0.8698968477843565,0.0343615914129386,86.0,0.0,123.0,0.0,0.8896269177646229,0.025635895972425146,0.8672485195993197,0.0404063262089433,0.7957000000000001,0.032369567326253956,0.7734265734265734,0.05276516108874932,0.8380609527409701,0.018846471710819514,0.8166716582053326,0.03818738720100556,100.0,0.0,143.0,0.0,0.2759388145786551,0.10242304203830718,0.17684981684981688,0.07803330824349498,0.5119999999999999,0.10336558636434294,0.45714285714285713,0.23133252955221179,0.3379166183411271,0.0847820483610167,0.24369386825031986,0.10555586881824691,5.0,0.0,7.0,0.0,0.09011627906976745,0.0278975543955654,0.11056910569105691,0.052994716798180234,0.002674418604651163,0.0031985551993453883,0.0016260162601626018,0.005141914894582731,0.9662839799089799,0.051288235725207604,0.9916666666666666,0.026352313834736504,0.03371602009102009,0.0512882357252076,0.008333333333333333,0.02635231383473649,0.12390000000000001,0.036786017875153475,0.12867132867132866,0.02820416496457655,0.0804,0.027451775898837582,0.09790209790209792,0.0532571545864609,0.6109600933384038,0.12072550553242828,0.5899065019375668,0.17460974512502622,0.38903990666159627,0.1207255055324283,0.4100934980624332,0.17460974512502625,0.014000000000000002,0.031340424729448424,0.04285714285714286,0.06900655593423542,0.4740000000000001,0.11432896007185192,0.5,0.2796985743921602,0.024166666666666666,0.0503766676346829,0.13333333333333333,0.2194268628681278,0.9458333333333332,0.07888595456201627,0.8666666666666666,0.21942686286812776,"{'model__criterion': 'gini', 'model__max_depth': 15, 'model__max_features': None, 'model__min_samples_leaf': 3, 'model__min_samples_split': 12}"
1,minmax_random_forest,multiclass,"[np.int64(0), np.int64(1), np.int64(2)]",3,0.9036125654450261,0.008342168867529252,0.8934065934065935,0.021598265714397005,0.7830750854910556,0.030325156023311216,0.7317073697365174,0.04824146564275774,0.9033452960996804,0.007569100624654164,0.8935250423459538,0.018744973196459264,0.7855883720930232,0.036795081802541804,0.7354962111059672,0.04217505172894761,0.9036125654450261,0.008342168867529252,0.8934065934065935,0.021598265714397005,0.8060152502021088,0.044477617324229224,0.7426945098974777,0.06550327691489403,0.907058014164748,0.006488678056535303,0.8979103630352165,0.014384311271534216,0.09638743455497382,0.008342168867529235,0.10659340659340659,0.021598265714397012,0.8389635658550729,0.011781102751414804,0.8233623260898228,0.027317848566877568,0.09638743455497382,0.008342168867529235,0.10659340659340659,0.021598265714397012,18.41,1.5933542536980838,29.1,5.896326540030383,-0.09638743455497382,0.008342168867529235,-0.10659340659340659,0.021598265714397012,0.049534883720930234,0.0073172710337452455,0.04146341463414634,0.02376494446438347,0.1177,0.018761959149063055,0.13776223776223778,0.03956528851054348,0.476,0.1130584902704004,0.6142857142857142,0.1355261854357877,0.9602517370185039,0.004618909923924214,0.950241584432559,0.01146126782091463,0.9638711613781703,0.003791541312842112,0.9620688605142045,0.0067459814721197225,0.8982928095371999,0.009413066778478392,0.8888771728476368,0.0181457821147496,0.9504651162790699,0.007317271033745231,0.9585365853658535,0.023764944464383472,0.9233172303674912,0.0035079150455640663,0.9221412844610629,0.013536676384801933,86.0,0.0,123.0,0.0,0.930485625051811,0.009444507673913069,0.9295822966944204,0.020127884253302007,0.8822999999999999,0.018761959149063038,0.8622377622377624,0.03956528851054351,0.9053066275042774,0.00913276356625633,0.8941036235183469,0.023876752634114335,100.0,0.0,143.0,0.0,0.589267316017316,0.13064646825212206,0.4096240601503759,0.18951381004881904,0.524,0.11305849027040037,0.3857142857142856,0.13552618543578768,0.5206013986013985,0.08291919435617094,0.37887720123014235,0.13091149845095576,5.0,0.0,7.0,0.0,0.049534883720930234,0.0073172710337452455,0.04146341463414634,0.02376494446438347,0.0,0.0,0.0,0.0,0.9800000000000001,0.04216370213557838,1.0,0.0,0.0,0.0,0.0,0.0,0.0933,0.010509783801561076,0.1034965034965035,0.019724191889329768,0.024399999999999998,0.013384900281868204,0.03426573426573427,0.028059304402432,0.8062532821682439,0.0896846627272754,0.7700767973856208,0.12022248529722517,0.19374671783175618,0.08968466272727545,0.22992320261437907,0.12022248529722519,0.0,0.0,0.0,0.0,0.476,0.1130584902704004,0.6142857142857142,0.1355261854357877,0.0,0.0,0.0,0.0,0.99,0.031622776601683784,1.0,0.0,"{'model__bootstrap': True, 'model__criterion': 'gini', 'model__max_depth': 12, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 12, 'model__min_samples_split': 22, 'model__n_estimators': 477}"
2,minmax_extra_trees,multiclass,"[np.int64(0), np.int64(1), np.int64(2)]",3,0.900104712041885,0.009725638817099152,0.8875457875457874,0.021981413386417747,0.781710771147394,0.02482593019825295,0.7223553361265236,0.03594677334740282,0.9006270193514059,0.008641349905192323,0.887820523802685,0.01968762468227712,0.7947767441860465,0.023776095070885177,0.73603009456668,0.05281938543421132,0.900104712041885,0.009725638817099152,0.8875457875457874,0.021981413386417747,0.7916785482532618,0.04018942947050218,0.7263411014648005,0.04198286444158288,0.9056501328262815,0.006871745335200073,0.892632446365939,0.01680396860708289,0.1,0.009973634947455175,0.11245421245421246,0.021981413386417754,0.8348271821075745,0.01414551162214589,0.8146666911257198,0.03027851578483664,0.10083769633507852,0.012101680206312984,0.11245421245421246,0.021981413386417754,19.26,2.3114209194057818,30.7,6.000925854492047,-0.10083769633507852,0.012101680206312984,-0.11245421245421246,0.021981413386417754,0.05116279069767442,0.011300294369855232,0.04715447154471545,0.021949546592213102,0.12660000000000002,0.02150038759340553,0.14475524475524476,0.04091556540322167,0.44000000000000006,0.07363574011458175,0.6,0.17561037061510262,0.9599292156830416,0.0050885888818483025,0.9482664075339382,0.010681364896625417,0.9634741866814152,0.003124638107630955,0.9595650636876778,0.007658856964083957,0.895406371068491,0.011174250731918368,0.8849329398741104,0.020920474396733557,0.9509302325581395,0.013095958015325279,0.9528455284552845,0.021949546592213095,0.9218687230922266,0.007251295080516382,0.9174298910566675,0.015719991032484858,86.0,0.0,123.0,0.0,0.9323798009418217,0.012238465862098756,0.9248770125128214,0.021003716559769865,0.8734,0.021500387593405536,0.8552447552447553,0.04091556540322168,0.9012919216677606,0.010564606293405512,0.8881152468889895,0.02392853310889773,100.0,0.0,143.0,0.0,0.5472494727494727,0.12336680047599662,0.3692133520074697,0.10880074539148085,0.5599999999999999,0.0736357401145817,0.39999999999999997,0.17561037061510262,0.5219716686821949,0.06673234868926804,0.36152087043391384,0.09141558702987083,5.0,0.0,7.0,0.0,0.04883720930232558,0.013482579171260535,0.04715447154471545,0.021949546592213102,0.0002325581395348837,0.0007354134093414835,0.0,0.0,0.9641666666666666,0.08425875050721462,0.9,0.31622776601683794,0.005833333333333333,0.018446619684315543,0.0,0.0,0.09659999999999999,0.012038826077875424,0.106993006993007,0.021629390600768385,0.030000000000000006,0.016302692347516648,0.03776223776223776,0.025577373844932784,0.7747432128415099,0.08860366981642027,0.7565400903444381,0.09943655889196511,0.22525678715848999,0.08860366981642027,0.2434599096555618,0.09943655889196512,0.0,0.0,0.0,0.0,0.44000000000000006,0.07363574011458175,0.6,0.17561037061510262,0.0,0.0,0.0,0.0,0.9800000000000001,0.04216370213557838,1.0,0.0,"{'model__bootstrap': False, 'model__criterion': 'gini', 'model__max_depth': 11, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 9, 'model__min_samples_split': 21, 'model__n_estimators': 316}"
3,minmax_xgboost,multiclass,"[np.int64(0), np.int64(1), np.int64(2)]",3,0.9007329842931938,0.005960313914453508,0.8996336996336997,0.010948235297416311,0.7115499348561354,0.025830920242221833,0.694850780004851,0.06720806949969074,0.8947474389904885,0.00659045807906632,0.8929417416276341,0.012337438447621285,0.6888565891472866,0.02213090855390567,0.6759040417577002,0.050402883954348665,0.9007329842931938,0.005960313914453508,0.8996336996336997,0.010948235297416311,0.8084538158224358,0.039142483165256724,0.7874445474661698,0.14096695664860923,0.8958120075483406,0.006497259488155478,0.8937334012156223,0.017442237489565485,0.0993717277486911,0.0059223791324343735,0.10036630036630037,0.01094823529741631,0.8231205132967085,0.010995733136500643,0.8213841367509552,0.020355089537684827,0.10020942408376965,0.006273990441443039,0.10036630036630037,0.01094823529741631,19.140000000000004,1.1983321743156197,27.4,2.988868236194653,-0.10020942408376965,0.006273990441443039,-0.10036630036630037,0.01094823529741631,0.06302325581395347,0.011069268006017883,0.04471544715447155,0.013950718348220866,0.0985,0.009868580895391645,0.11328671328671329,0.01999777211144729,0.774,0.06397916327472047,0.8142857142857143,0.15133570078162575,0.9446899805079475,0.008321005302545655,0.9377847936464082,0.01820673529338782,0.9576613271320247,0.0047267943860474235,0.9578909248325094,0.008401243256289442,0.8965631884522145,0.01033976117776345,0.8832246165560983,0.019135503415860244,0.9390697674418608,0.006959496337197961,0.9552845528455285,0.013950718348220875,0.9168739630480841,0.006063961124617283,0.917672235664629,0.010971384121140485,86.0,0.0,123.0,0.0,0.9089649256817595,0.0058071571365265855,0.9191090258424108,0.014282855670458356,0.9015000000000001,0.009868580895391617,0.8867132867132866,0.019997772111447293,0.904807587552068,0.006108920523955245,0.9024356599054799,0.011107435459779519,100.0,0.0,143.0,0.0,0.6198333333333332,0.11828102651975887,0.56,0.4159772073528032,0.22600000000000003,0.06397916327472042,0.18571428571428572,0.15133570078162575,0.31296825396825395,0.07385295985389018,0.2644444444444444,0.1981083379876953,5.0,0.0,7.0,0.0,0.06069767441860465,0.0067535353533719365,0.04471544715447155,0.013950718348220866,0.0002325581395348837,0.0007354134093414835,0.0,0.0,0.9855,0.03320391543176797,1.0,0.0,0.0045,0.014230249470757707,0.0,0.0,0.09419999999999999,0.010819735055289787,0.10909090909090909,0.02063957447196145,0.0043,0.001946506842754191,0.004195804195804196,0.0048895517397209865,0.9552030567471744,0.023447954749992384,0.9619683257918551,0.043679737430741,0.04479694325282561,0.023447954749992395,0.0380316742081448,0.04367973743074101,0.0,0.0,0.0,0.0,0.774,0.06397916327472047,0.8142857142857143,0.15133570078162575,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,"{'model__colsample_bytree': 0.7578012952286783, 'model__gamma': 0.6089398027554648, 'model__learning_rate': 0.18377718473422183, 'model__max_depth': 8, 'model__min_child_weight': 2, 'model__n_estimators': 409, 'model__reg_alpha': 0.12580004416880392, 'model__reg_lambda': 2.641176765615726, 'model__subsample': 0.8025091319644307}"
4,minmax_adaboost,multiclass,"[np.int64(0), np.int64(1), np.int64(2)]",3,0.8863874345549739,0.011885316470493165,0.8813186813186812,0.01787839337506532,0.726617206261879,0.03241126097255118,0.7113461065878838,0.0320300427113762,0.8837624451992344,0.012319799300697813,0.8792919872412439,0.016128199296118577,0.7176767441860467,0.02798808412987016,0.7078314639290249,0.04931650918025009,0.8863874345549739,0.011885316470493165,0.8813186813186812,0.01787839337506532,0.769661028212823,0.046246567988717034,0.7769919912171492,0.09034106554980322,0.8849258278543559,0.011912843510224693,0.8838591341624188,0.015667162954064204,0.11366492146596859,0.011858250272625265,0.11868131868131868,0.017878393375065322,0.8036925108637808,0.02131921853772219,0.797292075077183,0.026897399769327597,0.11371727748691099,0.01183343882864306,0.11868131868131868,0.017878393375065322,21.720000000000002,2.260186816270824,32.4,4.880801391392834,-0.11371727748691099,0.01183343882864306,-0.11868131868131868,0.017878393375065322,0.08906976744186047,0.019589562948259358,0.08130081300813008,0.03695984199725164,0.10790000000000002,0.013110216541986542,0.1237762237762238,0.04157426139977346,0.6539999999999999,0.0632806798671162,0.6714285714285714,0.1656431155326294,0.9263655462400399,0.01045638751244982,0.9143181217970536,0.019503460504538987,0.933383756703804,0.016527335159739344,0.9294823435031647,0.02346896764792221,0.8978723884930725,0.013799576771554708,0.8885153160051192,0.022033803992112383,0.9109302325581397,0.019589562948259413,0.9186991869918699,0.03695984199725162,0.9036974329099368,0.012173545972916472,0.9027094671382369,0.016955717832527237,86.0,0.0,123.0,0.0,0.892086886621587,0.015508674309943089,0.8963892290748994,0.02722169176586035,0.8921000000000001,0.01311021654198653,0.8762237762237761,0.04157426139977346,0.8915776512991656,0.011069489732512774,0.8852510741946951,0.019086972806959507,100.0,0.0,143.0,0.0,0.5190238095238096,0.13381180578453813,0.5460714285714285,0.2658055173736308,0.35,0.06944222218666553,0.3285714285714285,0.1656431155326294,0.3845765345765345,0.08229842304637067,0.3460777784307196,0.09293188965391742,5.0,0.0,7.0,0.0,0.08906976744186047,0.019589562948259358,0.08130081300813008,0.03695984199725164,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0142672897060218,0.1,0.02401045553718991,0.0179,0.009515484456634063,0.02377622377622378,0.02288659712565702,0.8402276620438386,0.08220106575034358,0.8370261437908496,0.13251487242941012,0.1597723379561615,0.08220106575034358,0.1629738562091503,0.13251487242941012,0.002,0.006324555320336759,0.0,0.0,0.648,0.07315128919650775,0.6714285714285714,0.1656431155326294,0.0025,0.007905694150420948,0.0,0.0,0.9974999999999999,0.007905694150420955,1.0,0.0,"{'model__learning_rate': 0.49729836728081994, 'model__n_estimators': 273}"
5,minmax_svm,multiclass,"[np.int64(0), np.int64(1), np.int64(2)]",3,0.8871727748691101,0.01582897995231677,0.8761904761904761,0.022234294779174678,0.7396619447275156,0.022302174385933092,0.6890509764560921,0.04918282618030632,0.8858426552455005,0.014816837663673416,0.875595045715896,0.018962104394406053,0.7439395348837209,0.020428257727615865,0.7074486489120636,0.06736027509480501,0.8871727748691101,0.01582897995231677,0.8761904761904761,0.022234294779174678,0.7662605417352184,0.05069984495973415,0.700210180738192,0.06103146202347578,0.8944180351886448,0.010566304384280294,0.8870882565151085,0.013018775107680722,0.11293193717277487,0.01584590338272713,0.12417582417582418,0.022675804049331182,0.8122423848506214,0.02185060588032386,0.7965448906022805,0.028552571097102505,0.11340314136125654,0.01654023111109129,0.12454212454212454,0.023166869305262856,21.66,3.159184142218438,34.0,6.324555320336759,-0.11340314136125654,0.01654023111109129,-0.12454212454212454,0.023166869305262856,0.026627906976744185,0.007837703846563935,0.01951219512195122,0.010974773296106551,0.16460000000000002,0.03776888784289114,0.1867132867132867,0.050216737284882275,0.5819999999999999,0.07627435858647238,0.7,0.20701966780270625,0.9495035035315604,0.005055948540668068,0.9368769132907996,0.01441870954532426,0.9570992357864508,0.0031027760124371713,0.9532075412538108,0.008620944302250098,0.8608262198595483,0.02285304678177531,0.8540235166728325,0.02044685051479405,0.9744186046511626,0.008331079558218836,0.9804878048780488,0.010974773296106535,0.9136199950154682,0.009925014605759357,0.9127143610044859,0.011062222917064013,86.0,0.0,123.0,0.0,0.9432948714355733,0.0074375882132380645,0.9441467080814263,0.019521975355135942,0.8354000000000001,0.03776888784289116,0.8132867132867133,0.05021673728488227,0.885239982997105,0.018875553236304504,0.8727390521936862,0.026570445749848254,100.0,0.0,143.0,0.0,0.49466053391053394,0.14000565577957774,0.30246031746031743,0.17171022081638773,0.42200000000000004,0.0702060459568041,0.32857142857142857,0.2238601766389173,0.42012585616997383,0.04860014934652073,0.2816995161701044,0.1412680567546231,5.0,0.0,7.0,0.0,0.025465116279069767,0.00846435666864728,0.01951219512195122,0.010974773296106551,0.00011627906976744185,0.00036770670467074177,0.0,0.0,0.8875,0.11501811451535217,1.0,0.0,0.0025,0.007905694150420948,0.0,0.0,0.137,0.02719068467937748,0.14405594405594405,0.02335659682960438,0.027600000000000003,0.014033293744995626,0.04265734265734266,0.030294063582815348,0.8403278803730337,0.05951472815564382,0.7920164280164281,0.10325969578120903,0.15967211962696623,0.05951472815564383,0.207983571983572,0.10325969578120907,0.002,0.006324555320336759,0.014285714285714285,0.04517539514526256,0.576,0.06785605679999716,0.6571428571428571,0.24467109673647866,0.0025,0.007905694150420948,0.03333333333333333,0.10540925533894598,0.9875,0.031732387941099616,0.9666666666666666,0.10540925533894599,"{'model__C': 123.37548817727073, 'model__gamma': 0.0009763598940513612}"
6,minmax_logistic_regression,multiclass,"[np.int64(0), np.int64(1), np.int64(2)]",3,0.8898429319371729,0.008593053500019841,0.8805860805860807,0.016216808513683983,0.7368921828611356,0.030779343802006528,0.7204271971082707,0.06251101812036075,0.8898460318752746,0.007883582388373655,0.8811490581216596,0.015267795301417498,0.7529193798449613,0.03783021334724211,0.7460214582165802,0.0748782205862074,0.8898429319371729,0.008593053500019841,0.8805860805860807,0.016216808513683983,0.7430123146977963,0.032025073042464616,0.7116241200052648,0.061460731466975484,0.8968939115471788,0.005950741757003295,0.8901894547737121,0.014534584215744733,0.11036649214659686,0.008911808880765867,0.1194139194139194,0.016216808513683997,0.8182344481870409,0.012886923555829995,0.8059184966192922,0.02336479708958701,0.11204188481675392,0.011563189370664882,0.1194139194139194,0.016216808513683997,21.4,2.2085691697969922,32.6,4.427188724235731,-0.11204188481675392,0.011563189370664882,-0.1194139194139194,0.016216808513683997,0.03662790697674419,0.006351151010920132,0.029268292682926834,0.014942058267848477,0.1548,0.02242914770263611,0.17552447552447553,0.03270887189493902,0.554,0.11852800887928928,0.5571428571428572,0.22787592598105522,0.945349793767123,0.00660170182150988,0.9370091252914257,0.01579281024167831,0.9513994239167353,0.0028765287979389048,0.94866520485491,0.00949005921983765,0.8758099606757079,0.014514109916936744,0.8630581762586178,0.015806816942621513,0.9675581395348839,0.0073018565000179106,0.9707317073170731,0.01494205826784849,0.9190425753932405,0.005765860892961177,0.9135764147094321,0.009140161208393302,86.0,0.0,123.0,0.0,0.9391678481085455,0.009468557113908017,0.9409034278464207,0.021699914480291158,0.8452,0.022429147702636154,0.8244755244755245,0.032708871894939,0.8891027446148201,0.0101042134350614,0.8783077766297446,0.018143509181036997,100.0,0.0,143.0,0.0,0.4140591353091353,0.0929200834275911,0.3309107559107559,0.1683516239751387,0.44600000000000006,0.11852800887928928,0.4428571428571429,0.22787592598105522,0.4025312285753461,0.09116537999834104,0.36939739998563526,0.17731030138539378,5.0,0.0,7.0,0.0,0.031976744186046506,0.007833869353258815,0.029268292682926834,0.014942058267848477,0.0004651162790697674,0.0008130301148605825,0.0,0.0,0.9041666666666668,0.08812606710675168,1.0,0.0,0.02583333333333333,0.047214051580717654,0.0,0.0,0.11910000000000001,0.016636305679647342,0.13286713286713286,0.018937152458358884,0.0357,0.009580651798749859,0.04265734265734265,0.018487067653984477,0.7757488246180466,0.046375598856274465,0.7646488103974985,0.07156000433715194,0.22425117538195344,0.046375598856274416,0.23535118960250143,0.07156000433715196,0.0,0.0,0.0,0.0,0.554,0.11852800887928928,0.5571428571428572,0.22787592598105522,0.0,0.0,0.0,0.0,0.9700000000000001,0.06749485577105527,1.0,0.0,"{'model__C': 0.034342099893006815, 'model__solver': 'newton-cg'}"
7,minmax_knn,multiclass,"[np.int64(0), np.int64(1), np.int64(2)]",3,0.7384816753926702,0.016613815675968393,0.7388278388278389,0.0315127145165465,0.5321113992695152,0.026476394211260287,0.5038588953617564,0.02468726778471119,0.7252023042783331,0.01756550542190984,0.7253713185554148,0.03152601378800978,0.5371302325581395,0.017207171691091896,0.5182040182040182,0.022305438762268516,0.7384816753926702,0.016613815675968393,0.7388278388278389,0.0315127145165465,0.5874157953102106,0.056829959183517534,0.519464087564215,0.02972636230123277,0.758387308028935,0.015297547767901754,0.7544305664905269,0.03225982157081984,0.2626178010471204,0.016884670192508482,0.2637362637362637,0.03160483298057335,0.5454034208560982,0.027269599422209422,0.5366386729985397,0.05387472783044933,0.263717277486911,0.017177686977487297,0.26630036630036624,0.03188894290986051,50.37,3.280938212700074,72.7,8.70568141439192,-0.263717277486911,0.017177686977487297,-0.26630036630036624,0.03188894290986051,0.0672093023255814,0.02924135406325564,0.06666666666666665,0.040523741230392936,0.3954,0.03573109445722467,0.393006993006993,0.04048166591345904,1.0100000000000002,0.06200358412579428,1.1857142857142855,0.19107050140703696,0.733208434114023,0.04762584990750812,0.7204093361156939,0.06270777338200637,0.800418489971437,0.049173628738723725,0.7983725755640158,0.059933328848031625,0.6745425780621412,0.018134190464211487,0.6745274456567223,0.026998872051563504,0.9327906976744187,0.029241354063255592,0.9333333333333333,0.04052374123039294,0.7821513406451474,0.013815918196143778,0.7828184435918991,0.028557610183744225,86.0,0.0,123.0,0.0,0.8568714745351574,0.025131738916272506,0.8588648170359228,0.04590071195685032,0.6045999999999999,0.035731094457224694,0.606993006993007,0.04048166591345906,0.7071337951143363,0.023564475272731773,0.710576424311552,0.03716721717060083,100.0,0.0,143.0,0.0,0.2308333333333333,0.17141612425416983,0.025,0.07905694150420949,0.074,0.04812021982031624,0.014285714285714285,0.04517539514526255,0.10704906204906203,0.07113919914464527,0.01818181818181818,0.0574959574576069,5.0,0.0,7.0,0.0,0.0672093023255814,0.02924135406325564,0.06666666666666665,0.040523741230392936,0.0,0.0,0.0,0.0,0.97,0.09486832980505139,1.0,0.0,0.0,0.0,0.0,0.0,0.38780000000000003,0.03618409718217229,0.38321678321678326,0.04061566716013894,0.0076,0.004948624949305503,0.009790209790209791,0.006755886594960112,0.9802049435482445,0.012463410428513632,0.9750147537647536,0.01631899862467955,0.019795056451755492,0.01246341042851359,0.024985246235246235,0.01631899862467954,0.04200000000000001,0.02573367875415838,0.09999999999999998,0.09642122253007898,0.884,0.0594792213951879,0.8857142857142858,0.11268723396380222,0.04816666666666667,0.029621584555943967,0.10238095238095238,0.09788002281473554,0.9518333333333333,0.029621584555944012,0.8976190476190478,0.09788002281473555,"{'model__n_neighbors': 3, 'model__p': 2, 'model__weights': 'distance'}"
