experiment,fold,loss,acc,f1_macro,recall_0,recall_1,recall_2,best_epoch_head,best_val_loss_head,best_epoch_ft,best_val_loss_ft
X_VX_STATS_V2,1,0.703349232673645,0.8636363636363636,0.8642533936651584,0.875,0.7142857142857143,1.0,48,0.5765762904943046,12,0.436940242173308
X_VX_STATS_V2,2,0.32854926586151123,0.7727272727272727,0.7737525632262474,0.75,1.0,0.5714285714285714,50,0.5882811556428166,16,0.4770489052190619
X_VX_STATS_V2,3,0.46119412779808044,0.9545454545454546,0.9555555555555556,1.0,0.875,1.0,49,0.6029579023183402,7,0.5176812491174472
X_VX_STATS_V2,4,0.2979045808315277,0.9545454545454546,0.9547511312217195,0.8571428571428571,1.0,1.0,50,0.5411212929224564,16,0.4084205975977041
X_VX_STATS_V2,5,0.4697329103946686,0.7727272727272727,0.7797385620915033,0.7142857142857143,0.8571428571428571,0.75,44,0.6146416350946589,9,0.46301766169273245
X_VX_STATS_V2,6,0.6533443331718445,0.6818181818181818,0.6780587833219411,0.8571428571428571,0.8571428571428571,0.375,50,0.5859383940696716,21,0.4285325236239676
X_VX_STATS_V2,7,0.4886213541030884,0.8095238095238095,0.8000000000000002,1.0,0.5714285714285714,0.8571428571428571,44,0.6301068148370517,8,0.5406325883784536
X_VX_STATS_V2,8,0.6928448677062988,0.7619047619047619,0.7543345543345543,1.0,0.5714285714285714,0.7142857142857143,49,0.6601239816617157,1,0.64152544837887
X_VX_STATS_V2,9,0.4263973832130432,0.8571428571428571,0.8564102564102564,1.0,0.7142857142857143,0.8571428571428571,49,0.6046170460975776,12,0.4477801272424601
X_VX_STATS_V2,10,0.46184736490249634,0.9523809523809523,0.9521367521367522,1.0,0.8571428571428571,1.0,44,0.5848725923037125,13,0.4963678353923862
