,Accuracy_Testing,Precision_macro_Testing,Recall_macro_Testing,F1_macro_Testing,AUC_macro_Testing,Precision_weighted_Testing,Recall_weighted_Testing,F1_weighted_Testing,AUC_weighted_Testing,Accuracy_CV,Precision_macro_CV,Recall_macro_CV,F1_macro_CV,AUC_macro_CV,Precision_weighted_CV,Recall_weighted_CV,F1_weighted_CV,AUC_weighted_CV
decision_tree,0.6967 ± 0.0228,0.5441 ± 0.0187,0.5476 ± 0.0181,0.5448 ± 0.0182,0.6576 ± 0.0221,0.6892 ± 0.0152,0.6967 ± 0.0228,0.6919 ± 0.0183,0.7226 ± 0.0205,0.6892 ± 0.0136,0.5598 ± 0.0137,0.5585 ± 0.0154,0.5584 ± 0.0146,0.6642 ± 0.0119,0.6973 ± 0.0106,0.6892 ± 0.0136,0.6926 ± 0.0119,0.7244 ± 0.0090
random_forest,0.7799 ± 0.0215,0.5781 ± 0.0288,0.5950 ± 0.0169,0.5801 ± 0.0185,0.7810 ± 0.0187,0.7353 ± 0.0196,0.7799 ± 0.0215,0.7540 ± 0.0185,0.8608 ± 0.0153,0.7623 ± 0.0154,0.5758 ± 0.0227,0.5858 ± 0.0154,0.5759 ± 0.0174,0.7722 ± 0.0161,0.7280 ± 0.0136,0.7623 ± 0.0154,0.7424 ± 0.0132,0.8497 ± 0.0118
extra_trees,0.7832 ± 0.0249,0.5750 ± 0.0417,0.5941 ± 0.0229,0.5754 ± 0.0253,0.7741 ± 0.0236,0.7319 ± 0.0267,0.7832 ± 0.0249,0.7527 ± 0.0235,0.8530 ± 0.0182,0.7676 ± 0.0142,0.5611 ± 0.0230,0.5822 ± 0.0136,0.5652 ± 0.0163,0.7678 ± 0.0157,0.7208 ± 0.0155,0.7676 ± 0.0142,0.7403 ± 0.0137,0.8437 ± 0.0118
xgboost,0.7656 ± 0.0257,0.5913 ± 0.0378,0.5943 ± 0.0217,0.5861 ± 0.0245,0.7726 ± 0.0269,0.7314 ± 0.0226,0.7656 ± 0.0257,0.7455 ± 0.0219,0.8537 ± 0.0218,0.7489 ± 0.0199,0.5868 ± 0.0299,0.5877 ± 0.0228,0.5841 ± 0.0251,0.7651 ± 0.0147,0.7249 ± 0.0195,0.7489 ± 0.0199,0.7355 ± 0.0192,0.8412 ± 0.0136
adaboost,0.7689 ± 0.0209,0.6104 ± 0.0391,0.6134 ± 0.0288,0.6104 ± 0.0336,0.8014 ± 0.0172,0.7535 ± 0.0255,0.7689 ± 0.0209,0.7601 ± 0.0220,0.8751 ± 0.0120,0.7508 ± 0.0128,0.6102 ± 0.0222,0.6105 ± 0.0239,0.6099 ± 0.0229,0.7999 ± 0.0117,0.7500 ± 0.0112,0.7508 ± 0.0128,0.7501 ± 0.0110,0.8671 ± 0.0073
svm,0.7956 ± 0.0229,0.5892 ± 0.0534,0.6076 ± 0.0243,0.5893 ± 0.0322,0.7895 ± 0.0196,0.7416 ± 0.0326,0.7956 ± 0.0229,0.7642 ± 0.0244,0.8691 ± 0.0164,0.7747 ± 0.0121,0.5992 ± 0.0297,0.5993 ± 0.0122,0.5904 ± 0.0159,0.7816 ± 0.0152,0.7386 ± 0.0138,0.7747 ± 0.0121,0.7529 ± 0.0101,0.8580 ± 0.0088
logistic_regression,0.7055 ± 0.0236,0.6109 ± 0.0232,0.6017 ± 0.0291,0.5947 ± 0.0251,0.8056 ± 0.0196,0.7600 ± 0.0183,0.7055 ± 0.0236,0.7234 ± 0.0211,0.8729 ± 0.0124,0.7008 ± 0.0084,0.6091 ± 0.0082,0.6037 ± 0.0124,0.5953 ± 0.0098,0.7941 ± 0.0081,0.7554 ± 0.0077,0.7008 ± 0.0084,0.7203 ± 0.0087,0.8601 ± 0.0064
knn,0.6897 ± 0.0288,0.5621 ± 0.0287,0.5539 ± 0.0354,0.5524 ± 0.0329,0.7543 ± 0.0275,0.7086 ± 0.0207,0.6897 ± 0.0288,0.6922 ± 0.0256,0.8305 ± 0.0210,0.6714 ± 0.0207,0.5654 ± 0.0207,0.5586 ± 0.0251,0.5538 ± 0.0230,0.7445 ± 0.0231,0.7054 ± 0.0186,0.6714 ± 0.0207,0.6803 ± 0.0201,0.8175 ± 0.0167
gaussian_nb,0.6484 ± 0.0385,0.5621 ± 0.0311,0.5453 ± 0.0365,0.5323 ± 0.0358,0.7808 ± 0.0229,0.6971 ± 0.0233,0.6484 ± 0.0385,0.6483 ± 0.0337,0.8421 ± 0.0163,0.6355 ± 0.0187,0.5593 ± 0.0220,0.5453 ± 0.0255,0.5284 ± 0.0200,0.7679 ± 0.0157,0.6904 ± 0.0217,0.6355 ± 0.0187,0.6372 ± 0.0167,0.8266 ± 0.0121
