,Accuracy_Testing,Precision_macro_Testing,Recall_macro_Testing,F1_macro_Testing,AUC_macro_Testing,Precision_weighted_Testing,Recall_weighted_Testing,F1_weighted_Testing,AUC_weighted_Testing,Accuracy_CV,Precision_macro_CV,Recall_macro_CV,F1_macro_CV,AUC_macro_CV,Precision_weighted_CV,Recall_weighted_CV,F1_weighted_CV,AUC_weighted_CV
decision_tree,0.6967 ± 0.0192,0.5574 ± 0.0260,0.5584 ± 0.0262,0.5566 ± 0.0256,0.6669 ± 0.0195,0.6971 ± 0.0177,0.6967 ± 0.0192,0.6956 ± 0.0174,0.7255 ± 0.0146,0.6827 ± 0.0163,0.5466 ± 0.0177,0.5455 ± 0.0193,0.5451 ± 0.0187,0.6511 ± 0.0201,0.6881 ± 0.0140,0.6827 ± 0.0163,0.6844 ± 0.0151,0.7124 ± 0.0168
random_forest,0.7901 ± 0.0183,0.5886 ± 0.0401,0.6027 ± 0.0163,0.5856 ± 0.0212,0.7843 ± 0.0230,0.7411 ± 0.0221,0.7901 ± 0.0183,0.7607 ± 0.0173,0.8650 ± 0.0159,0.7744 ± 0.0097,0.5773 ± 0.0160,0.5901 ± 0.0080,0.5748 ± 0.0104,0.7735 ± 0.0175,0.7288 ± 0.0090,0.7744 ± 0.0097,0.7472 ± 0.0083,0.8521 ± 0.0118
extra_trees,0.7839 ± 0.0224,0.5728 ± 0.0346,0.5947 ± 0.0182,0.5753 ± 0.0203,0.7765 ± 0.0204,0.7309 ± 0.0238,0.7839 ± 0.0224,0.7529 ± 0.0206,0.8539 ± 0.0178,0.7726 ± 0.0135,0.5718 ± 0.0325,0.5870 ± 0.0149,0.5703 ± 0.0185,0.7660 ± 0.0154,0.7250 ± 0.0172,0.7726 ± 0.0135,0.7442 ± 0.0136,0.8422 ± 0.0111
xgboost,0.7692 ± 0.0272,0.5952 ± 0.0398,0.5953 ± 0.0211,0.5857 ± 0.0233,0.7735 ± 0.0263,0.7326 ± 0.0237,0.7692 ± 0.0272,0.7468 ± 0.0228,0.8558 ± 0.0218,0.7555 ± 0.0153,0.5803 ± 0.0365,0.5853 ± 0.0219,0.5777 ± 0.0271,0.7630 ± 0.0120,0.7219 ± 0.0196,0.7555 ± 0.0153,0.7364 ± 0.0167,0.8421 ± 0.0108
adaboost,0.7777 ± 0.0219,0.6149 ± 0.0426,0.6191 ± 0.0291,0.6143 ± 0.0364,0.8010 ± 0.0242,0.7560 ± 0.0287,0.7777 ± 0.0219,0.7653 ± 0.0240,0.8754 ± 0.0158,0.7552 ± 0.0104,0.6078 ± 0.0198,0.6083 ± 0.0174,0.6072 ± 0.0191,0.7920 ± 0.0193,0.7439 ± 0.0131,0.7552 ± 0.0104,0.7491 ± 0.0111,0.8636 ± 0.0122
svm,0.7897 ± 0.0278,0.6086 ± 0.0629,0.6090 ± 0.0299,0.5980 ± 0.0366,0.7940 ± 0.0158,0.7484 ± 0.0347,0.7897 ± 0.0278,0.7644 ± 0.0277,0.8718 ± 0.0146,0.7670 ± 0.0101,0.6012 ± 0.0343,0.6059 ± 0.0224,0.6009 ± 0.0287,0.7800 ± 0.0122,0.7416 ± 0.0187,0.7670 ± 0.0101,0.7530 ± 0.0134,0.8574 ± 0.0081
logistic_regression,0.7125 ± 0.0189,0.6172 ± 0.0206,0.6111 ± 0.0279,0.6027 ± 0.0231,0.8042 ± 0.0190,0.7650 ± 0.0147,0.7125 ± 0.0189,0.7298 ± 0.0170,0.8722 ± 0.0142,0.6976 ± 0.0119,0.6114 ± 0.0153,0.6057 ± 0.0209,0.5957 ± 0.0161,0.7919 ± 0.0106,0.7580 ± 0.0131,0.6976 ± 0.0119,0.7190 ± 0.0121,0.8598 ± 0.0078
knn,0.6769 ± 0.0327,0.5706 ± 0.0308,0.5585 ± 0.0373,0.5561 ± 0.0345,0.7541 ± 0.0283,0.7152 ± 0.0260,0.6769 ± 0.0327,0.6873 ± 0.0296,0.8277 ± 0.0222,0.6516 ± 0.0205,0.5645 ± 0.0160,0.5528 ± 0.0199,0.5454 ± 0.0186,0.7453 ± 0.0188,0.7061 ± 0.0156,0.6516 ± 0.0205,0.6671 ± 0.0190,0.8147 ± 0.0156
gaussian_nb,0.6597 ± 0.0382,0.5695 ± 0.0299,0.5572 ± 0.0356,0.5456 ± 0.0356,0.7849 ± 0.0212,0.7015 ± 0.0216,0.6597 ± 0.0382,0.6607 ± 0.0324,0.8474 ± 0.0142,0.6480 ± 0.0146,0.5623 ± 0.0191,0.5540 ± 0.0223,0.5399 ± 0.0165,0.7728 ± 0.0157,0.6911 ± 0.0205,0.6480 ± 0.0146,0.6503 ± 0.0127,0.8316 ± 0.0118
