,Accuracy_Testing,Precision_macro_Testing,Recall_macro_Testing,F1_macro_Testing,AUC_macro_Testing,Precision_weighted_Testing,Recall_weighted_Testing,F1_weighted_Testing,AUC_weighted_Testing,Accuracy_CV,Precision_macro_CV,Recall_macro_CV,F1_macro_CV,AUC_macro_CV,Precision_weighted_CV,Recall_weighted_CV,F1_weighted_CV,AUC_weighted_CV
decision_tree,0.4264 ± 0.0316,0.2875 ± 0.0545,0.2812 ± 0.0348,0.2812 ± 0.0383,0.5195 ± 0.0237,0.4262 ± 0.0304,0.4264 ± 0.0316,0.4254 ± 0.0306,0.5264 ± 0.0250,0.3998 ± 0.0193,0.2703 ± 0.0210,0.2719 ± 0.0205,0.2707 ± 0.0205,0.5112 ± 0.0147,0.4036 ± 0.0215,0.3998 ± 0.0193,0.4015 ± 0.0204,0.5102 ± 0.0192
random_forest,0.5092 ± 0.0206,0.2731 ± 0.0540,0.2951 ± 0.0130,0.2764 ± 0.0146,0.5996 ± 0.0329,0.4515 ± 0.0294,0.5092 ± 0.0206,0.4750 ± 0.0190,0.6039 ± 0.0273,0.4811 ± 0.0216,0.2512 ± 0.0192,0.2791 ± 0.0130,0.2616 ± 0.0126,0.5747 ± 0.0214,0.4240 ± 0.0200,0.4811 ± 0.0216,0.4494 ± 0.0198,0.5683 ± 0.0192
extra_trees,0.5011 ± 0.0218,0.3016 ± 0.0475,0.2941 ± 0.0127,0.2790 ± 0.0136,0.5915 ± 0.0308,0.4596 ± 0.0235,0.5011 ± 0.0218,0.4700 ± 0.0203,0.5857 ± 0.0253,0.4755 ± 0.0138,0.2622 ± 0.0303,0.2770 ± 0.0084,0.2603 ± 0.0091,0.5731 ± 0.0166,0.4246 ± 0.0181,0.4755 ± 0.0138,0.4444 ± 0.0125,0.5574 ± 0.0200
xgboost,0.4733 ± 0.0329,0.2713 ± 0.0361,0.2818 ± 0.0244,0.2718 ± 0.0266,0.5704 ± 0.0316,0.4320 ± 0.0295,0.4733 ± 0.0329,0.4496 ± 0.0299,0.5695 ± 0.0285,0.4476 ± 0.0162,0.2441 ± 0.0105,0.2617 ± 0.0092,0.2504 ± 0.0085,0.5560 ± 0.0159,0.4077 ± 0.0132,0.4476 ± 0.0162,0.4257 ± 0.0143,0.5455 ± 0.0178
adaboost,0.4960 ± 0.0259,0.2510 ± 0.0126,0.2858 ± 0.0147,0.2656 ± 0.0134,0.5841 ± 0.0260,0.4348 ± 0.0215,0.4960 ± 0.0259,0.4605 ± 0.0232,0.5647 ± 0.0273,0.4920 ± 0.0154,0.2801 ± 0.0524,0.2870 ± 0.0078,0.2694 ± 0.0087,0.5695 ± 0.0173,0.4402 ± 0.0289,0.4920 ± 0.0154,0.4580 ± 0.0149,0.5515 ± 0.0157
svm,0.5260 ± 0.0175,0.2620 ± 0.0088,0.3028 ± 0.0103,0.2803 ± 0.0097,0.6343 ± 0.0259,0.4537 ± 0.0153,0.5260 ± 0.0175,0.4860 ± 0.0167,0.6303 ± 0.0174,0.5052 ± 0.0143,0.2515 ± 0.0072,0.2915 ± 0.0083,0.2698 ± 0.0078,0.6248 ± 0.0221,0.4351 ± 0.0124,0.5052 ± 0.0143,0.4671 ± 0.0134,0.6042 ± 0.0156
logistic_regression,0.3707 ± 0.0235,0.3044 ± 0.0157,0.3140 ± 0.0266,0.2768 ± 0.0186,0.5327 ± 0.0134,0.4731 ± 0.0201,0.3707 ± 0.0235,0.4006 ± 0.0227,0.5596 ± 0.0071,0.3448 ± 0.0206,0.2867 ± 0.0130,0.2873 ± 0.0275,0.2607 ± 0.0181,0.5281 ± 0.0235,0.4450 ± 0.0135,0.3448 ± 0.0206,0.3765 ± 0.0183,0.5452 ± 0.0119
knn,0.4656 ± 0.0172,0.2668 ± 0.0279,0.2730 ± 0.0133,0.2535 ± 0.0177,0.5427 ± 0.0225,0.4297 ± 0.0243,0.4656 ± 0.0172,0.4225 ± 0.0212,0.5615 ± 0.0221,0.4470 ± 0.0182,0.2567 ± 0.0232,0.2645 ± 0.0143,0.2437 ± 0.0175,0.5285 ± 0.0147,0.4047 ± 0.0218,0.4470 ± 0.0182,0.4009 ± 0.0203,0.5435 ± 0.0160
gaussian_nb,0.3795 ± 0.0646,0.3045 ± 0.0208,0.3538 ± 0.0428,0.2733 ± 0.0248,0.6046 ± 0.0210,0.4534 ± 0.0238,0.3795 ± 0.0646,0.3780 ± 0.0474,0.5817 ± 0.0133,0.3541 ± 0.0670,0.2943 ± 0.0123,0.3216 ± 0.0197,0.2577 ± 0.0266,0.5711 ± 0.0195,0.4486 ± 0.0155,0.3541 ± 0.0670,0.3641 ± 0.0475,0.5595 ± 0.0089
