,Accuracy_Testing,Precision_macro_Testing,Recall_macro_Testing,F1_macro_Testing,AUC_macro_Testing,Precision_weighted_Testing,Recall_weighted_Testing,F1_weighted_Testing,AUC_weighted_Testing,Accuracy_CV,Precision_macro_CV,Recall_macro_CV,F1_macro_CV,AUC_macro_CV,Precision_weighted_CV,Recall_weighted_CV,F1_weighted_CV,AUC_weighted_CV
decision_tree,0.7377 ± 0.0175,0.5381 ± 0.0666,0.5289 ± 0.0524,0.5273 ± 0.0512,0.7157 ± 0.0277,0.7415 ± 0.0169,0.7377 ± 0.0175,0.7381 ± 0.0160,0.8051 ± 0.0119,0.7212 ± 0.0114,0.5143 ± 0.0214,0.5158 ± 0.0224,0.5138 ± 0.0212,0.7070 ± 0.0126,0.7345 ± 0.0111,0.7212 ± 0.0114,0.7273 ± 0.0103,0.7966 ± 0.0084
random_forest,0.8414 ± 0.0091,0.6062 ± 0.0844,0.4981 ± 0.0101,0.4781 ± 0.0178,0.8979 ± 0.0085,0.8105 ± 0.0388,0.8414 ± 0.0091,0.7906 ± 0.0108,0.9309 ± 0.0077,0.8349 ± 0.0057,0.6526 ± 0.1314,0.4976 ± 0.0117,0.4796 ± 0.0208,0.8952 ± 0.0073,0.8095 ± 0.0302,0.8349 ± 0.0057,0.7840 ± 0.0069,0.9290 ± 0.0051
extra_trees,0.8469 ± 0.0116,0.7436 ± 0.1275,0.5334 ± 0.0314,0.5330 ± 0.0481,0.8964 ± 0.0094,0.8322 ± 0.0416,0.8469 ± 0.0116,0.8006 ± 0.0141,0.9301 ± 0.0072,0.8325 ± 0.0076,0.7279 ± 0.1061,0.5123 ± 0.0207,0.5061 ± 0.0335,0.8963 ± 0.0081,0.8187 ± 0.0240,0.8325 ± 0.0076,0.7848 ± 0.0098,0.9293 ± 0.0039
xgboost,0.8311 ± 0.0175,0.7084 ± 0.1274,0.5727 ± 0.0485,0.5857 ± 0.0552,0.8804 ± 0.0205,0.8060 ± 0.0319,0.8311 ± 0.0175,0.8020 ± 0.0163,0.9244 ± 0.0087,0.8149 ± 0.0077,0.6263 ± 0.0431,0.5378 ± 0.0201,0.5497 ± 0.0268,0.8696 ± 0.0116,0.7758 ± 0.0121,0.8149 ± 0.0077,0.7847 ± 0.0082,0.9171 ± 0.0061
adaboost,0.8077 ± 0.0185,0.6368 ± 0.0717,0.5734 ± 0.0571,0.5818 ± 0.0538,0.8588 ± 0.0132,0.7792 ± 0.0137,0.8077 ± 0.0185,0.7878 ± 0.0137,0.9062 ± 0.0096,0.7719 ± 0.0131,0.5886 ± 0.0488,0.5364 ± 0.0305,0.5502 ± 0.0347,0.8534 ± 0.0058,0.7533 ± 0.0135,0.7719 ± 0.0131,0.7605 ± 0.0123,0.8984 ± 0.0045
svm,0.8322 ± 0.0084,0.4918 ± 0.1069,0.4835 ± 0.0067,0.4524 ± 0.0099,0.8871 ± 0.0074,0.7551 ± 0.0490,0.8322 ± 0.0084,0.7751 ± 0.0086,0.9241 ± 0.0052,0.8242 ± 0.0048,0.4777 ± 0.0570,0.4796 ± 0.0035,0.4486 ± 0.0064,0.8851 ± 0.0041,0.7436 ± 0.0244,0.8242 ± 0.0048,0.7677 ± 0.0046,0.9200 ± 0.0039
logistic_regression,0.7399 ± 0.0276,0.5558 ± 0.0414,0.5772 ± 0.0527,0.5600 ± 0.0460,0.8572 ± 0.0149,0.7690 ± 0.0190,0.7399 ± 0.0276,0.7506 ± 0.0220,0.9029 ± 0.0116,0.7316 ± 0.0068,0.5441 ± 0.0154,0.5562 ± 0.0221,0.5467 ± 0.0173,0.8528 ± 0.0114,0.7584 ± 0.0091,0.7316 ± 0.0068,0.7428 ± 0.0070,0.8970 ± 0.0079
knn,0.7835 ± 0.0119,0.5798 ± 0.1165,0.5074 ± 0.0377,0.5149 ± 0.0561,0.8110 ± 0.0248,0.7498 ± 0.0216,0.7835 ± 0.0119,0.7563 ± 0.0139,0.8937 ± 0.0123,0.7753 ± 0.0101,0.6211 ± 0.0923,0.4919 ± 0.0155,0.4977 ± 0.0241,0.7997 ± 0.0133,0.7440 ± 0.0161,0.7753 ± 0.0101,0.7466 ± 0.0108,0.8887 ± 0.0069
gaussian_nb,0.6388 ± 0.0325,0.5293 ± 0.0331,0.6321 ± 0.0501,0.4976 ± 0.0375,0.8429 ± 0.0332,0.7718 ± 0.0331,0.6388 ± 0.0325,0.6527 ± 0.0337,0.8920 ± 0.0132,0.6242 ± 0.0269,0.5182 ± 0.0194,0.6061 ± 0.0373,0.4886 ± 0.0266,0.8189 ± 0.0168,0.7573 ± 0.0206,0.6242 ± 0.0269,0.6429 ± 0.0303,0.8803 ± 0.0074
