,Accuracy_Testing,Precision_macro_Testing,Recall_macro_Testing,F1_macro_Testing,AUC_macro_Testing,Precision_weighted_Testing,Recall_weighted_Testing,F1_weighted_Testing,AUC_weighted_Testing,Accuracy_CV,Precision_macro_CV,Recall_macro_CV,F1_macro_CV,AUC_macro_CV,Precision_weighted_CV,Recall_weighted_CV,F1_weighted_CV,AUC_weighted_CV
decision_tree,0.7209 ± 0.0130,0.5103 ± 0.0360,0.5175 ± 0.0467,0.5102 ± 0.0374,0.6989 ± 0.0231,0.7233 ± 0.0185,0.7209 ± 0.0130,0.7201 ± 0.0144,0.7838 ± 0.0116,0.7176 ± 0.0162,0.5138 ± 0.0202,0.5193 ± 0.0286,0.5148 ± 0.0234,0.6989 ± 0.0171,0.7225 ± 0.0150,0.7176 ± 0.0162,0.7196 ± 0.0154,0.7846 ± 0.0128
random_forest,0.8326 ± 0.0149,0.6948 ± 0.1958,0.5091 ± 0.0301,0.5019 ± 0.0496,0.9006 ± 0.0077,0.8060 ± 0.0590,0.8326 ± 0.0149,0.7842 ± 0.0199,0.9287 ± 0.0046,0.8253 ± 0.0071,0.7033 ± 0.1394,0.5053 ± 0.0215,0.4987 ± 0.0369,0.8906 ± 0.0086,0.8042 ± 0.0256,0.8253 ± 0.0071,0.7781 ± 0.0098,0.9222 ± 0.0049
extra_trees,0.8315 ± 0.0147,0.7224 ± 0.1402,0.5290 ± 0.0492,0.5275 ± 0.0664,0.8996 ± 0.0098,0.8052 ± 0.0385,0.8315 ± 0.0147,0.7834 ± 0.0174,0.9286 ± 0.0068,0.8261 ± 0.0089,0.7635 ± 0.1174,0.5168 ± 0.0295,0.5146 ± 0.0444,0.8891 ± 0.0067,0.8044 ± 0.0332,0.8261 ± 0.0089,0.7776 ± 0.0099,0.9223 ± 0.0048
xgboost,0.8147 ± 0.0120,0.6533 ± 0.1032,0.5542 ± 0.0468,0.5662 ± 0.0565,0.8750 ± 0.0131,0.7777 ± 0.0198,0.8147 ± 0.0120,0.7854 ± 0.0136,0.9143 ± 0.0062,0.8047 ± 0.0150,0.6556 ± 0.0783,0.5393 ± 0.0377,0.5569 ± 0.0505,0.8659 ± 0.0116,0.7686 ± 0.0217,0.8047 ± 0.0150,0.7768 ± 0.0162,0.9074 ± 0.0065
adaboost,0.7989 ± 0.0193,0.5929 ± 0.0627,0.5690 ± 0.0480,0.5690 ± 0.0491,0.8537 ± 0.0139,0.7501 ± 0.0194,0.7989 ± 0.0193,0.7706 ± 0.0131,0.8970 ± 0.0103,0.7840 ± 0.0140,0.5904 ± 0.0350,0.5568 ± 0.0257,0.5642 ± 0.0275,0.8474 ± 0.0180,0.7502 ± 0.0124,0.7840 ± 0.0140,0.7636 ± 0.0118,0.8906 ± 0.0104
svm,0.8341 ± 0.0113,0.5919 ± 0.1691,0.5061 ± 0.0266,0.4902 ± 0.0424,0.9027 ± 0.0095,0.7484 ± 0.0408,0.8341 ± 0.0113,0.7776 ± 0.0117,0.9311 ± 0.0096,0.8230 ± 0.0083,0.5639 ± 0.1324,0.4928 ± 0.0218,0.4721 ± 0.0352,0.8877 ± 0.0055,0.7385 ± 0.0272,0.8230 ± 0.0083,0.7666 ± 0.0098,0.9201 ± 0.0048
logistic_regression,0.7615 ± 0.0127,0.6059 ± 0.0442,0.6419 ± 0.0377,0.6123 ± 0.0389,0.8849 ± 0.0182,0.7931 ± 0.0105,0.7615 ± 0.0127,0.7697 ± 0.0115,0.9198 ± 0.0115,0.7440 ± 0.0123,0.5875 ± 0.0254,0.6212 ± 0.0203,0.5960 ± 0.0228,0.8667 ± 0.0120,0.7772 ± 0.0118,0.7440 ± 0.0123,0.7554 ± 0.0119,0.9082 ± 0.0062
knn,0.7095 ± 0.0174,0.6049 ± 0.1285,0.4748 ± 0.0494,0.4887 ± 0.0671,0.7485 ± 0.0233,0.7138 ± 0.0260,0.7095 ± 0.0174,0.6812 ± 0.0214,0.8403 ± 0.0097,0.7057 ± 0.0118,0.6388 ± 0.0764,0.4638 ± 0.0260,0.4764 ± 0.0374,0.7499 ± 0.0146,0.7075 ± 0.0168,0.7057 ± 0.0118,0.6764 ± 0.0150,0.8350 ± 0.0091
gaussian_nb,0.6678 ± 0.0938,0.5395 ± 0.0305,0.5972 ± 0.0580,0.5180 ± 0.0703,0.8468 ± 0.0268,0.7654 ± 0.0175,0.6678 ± 0.0938,0.6781 ± 0.0940,0.8994 ± 0.0090,0.6406 ± 0.0660,0.5220 ± 0.0148,0.5787 ± 0.0281,0.4943 ± 0.0429,0.8229 ± 0.0270,0.7595 ± 0.0131,0.6406 ± 0.0660,0.6580 ± 0.0716,0.8875 ± 0.0090
