,MAE_Testing,RMSE_Testing,R2_Testing,MAE_CV,RMSE_CV,R2_CV
decision_tree,7.1634 ± 0.5790,111.5458 ± 16.0524,0.5425 ± 0.0431,7.0189 ± 0.1989,103.5353 ± 4.3709,0.5836 ± 0.0178
random_forest,4.9696 ± 0.3501,51.3308 ± 8.5412,0.7895 ± 0.0263,5.0140 ± 0.1015,51.0810 ± 2.1334,0.7946 ± 0.0075
gradient_boosting,5.4359 ± 0.3345,62.7309 ± 7.2762,0.7415 ± 0.0272,5.3971 ± 0.1166,59.6029 ± 2.5112,0.7602 ± 0.0132
ridge,6.1203 ± 0.3884,76.3775 ± 9.9751,0.6839 ± 0.0491,6.3115 ± 0.1702,80.0233 ± 5.1741,0.6780 ± 0.0244
lasso,4.9348 ± 0.2767,46.6632 ± 6.5906,0.8082 ± 0.0208,4.9684 ± 0.0682,46.6450 ± 1.6495,0.8124 ± 0.0071
svr,5.8694 ± 0.3343,74.5140 ± 11.0620,0.6944 ± 0.0278,6.0870 ± 0.1000,75.9907 ± 2.7388,0.6944 ± 0.0092
knn,5.7649 ± 0.5081,71.3681 ± 13.1522,0.7078 ± 0.0404,5.8288 ± 0.1455,71.9446 ± 3.3262,0.7107 ± 0.0112
