,MAE_Testing,RMSE_Testing,R2_Testing,MAE_CV,RMSE_CV,R2_CV
decision_tree,7.3357 ± 0.5050,113.5720 ± 14.9739,0.5301 ± 0.0711,7.4069 ± 0.1727,115.6809 ± 6.8987,0.5347 ± 0.0293
random_forest,5.0978 ± 0.3892,53.4682 ± 9.3804,0.7808 ± 0.0291,5.1901 ± 0.1021,53.7609 ± 2.2117,0.7838 ± 0.0081
gradient_boosting,5.3739 ± 0.2826,60.5591 ± 7.2224,0.7510 ± 0.0210,5.4300 ± 0.1174,59.9050 ± 3.3329,0.7591 ± 0.0136
ridge,10.3864 ± 0.7365,193.8988 ± 34.4726,0.1982 ± 0.1569,10.3543 ± 0.4434,187.7352 ± 17.3748,0.2449 ± 0.0704
lasso,4.9293 ± 0.2770,46.5732 ± 6.5789,0.8086 ± 0.0207,4.9685 ± 0.0679,46.6662 ± 1.6504,0.8123 ± 0.0071
svr,7.3533 ± 0.3867,104.7280 ± 14.3918,0.5707 ± 0.0285,7.7271 ± 0.0906,111.0105 ± 3.1031,0.5536 ± 0.0095
knn,7.5819 ± 0.7361,120.7648 ± 22.8654,0.5040 ± 0.0846,7.8053 ± 0.1849,123.9562 ± 6.1247,0.5016 ± 0.0212
