Model,Feature_Selection,Optimal_n_features_mean_CV,Best_selector_score_mean_CV,Optimal_n_features_last_training_split,F1_macro_Testing,F1_macro_CV,Accuracy_Testing,Precision_macro_Testing,Recall_macro_Testing,AUC_macro_Testing,Precision_weighted_Testing,Recall_weighted_Testing,F1_weighted_Testing,AUC_weighted_Testing,Accuracy_CV,Precision_macro_CV,Recall_macro_CV,AUC_macro_CV,Precision_weighted_CV,Recall_weighted_CV,F1_weighted_CV,AUC_weighted_CV
decision_tree,spearman_sulov + extratrees_ranking(top_pct) + recursive_xgboost(step=10),69.9200 ± 6.5063,0.6857 ± 0.0052,60,0.6083 ± 0.0222,0.6195 ± 0.0128,0.7502 ± 0.0158,0.6104 ± 0.0258,0.6102 ± 0.0231,0.7418 ± 0.0150,0.7598 ± 0.0223,0.7502 ± 0.0158,0.7533 ± 0.0150,0.8102 ± 0.0139,0.7579 ± 0.0199,0.6203 ± 0.0124,0.6199 ± 0.0132,0.7482 ± 0.0100,0.7655 ± 0.0108,0.7579 ± 0.0199,0.7613 ± 0.0154,0.8149 ± 0.0138
random_forest,spearman_sulov + extratrees_ranking(top_pct) + recursive_xgboost(step=10),69.9200 ± 6.5063,0.6857 ± 0.0052,60,0.6296 ± 0.0078,0.6304 ± 0.0163,0.8586 ± 0.0076,0.8010 ± 0.0967,0.6530 ± 0.0055,0.8844 ± 0.0119,0.8416 ± 0.0307,0.8586 ± 0.0076,0.8160 ± 0.0067,0.9351 ± 0.0077,0.8597 ± 0.0041,0.7476 ± 0.0674,0.6531 ± 0.0084,0.8878 ± 0.0094,0.8251 ± 0.0221,0.8597 ± 0.0041,0.8179 ± 0.0060,0.9380 ± 0.0039
extra_trees,spearman_sulov + extratrees_ranking(top_pct) + recursive_xgboost(step=10),69.9200 ± 6.5063,0.6857 ± 0.0052,60,0.6340 ± 0.0144,0.6293 ± 0.0113,0.8542 ± 0.0102,0.8371 ± 0.0932,0.6531 ± 0.0103,0.8771 ± 0.0074,0.8496 ± 0.0335,0.8542 ± 0.0102,0.8134 ± 0.0106,0.9310 ± 0.0047,0.8579 ± 0.0045,0.7437 ± 0.0365,0.6517 ± 0.0066,0.8832 ± 0.0099,0.8232 ± 0.0140,0.8579 ± 0.0045,0.8165 ± 0.0059,0.9359 ± 0.0048
xgboost,spearman_sulov + extratrees_ranking(top_pct) + recursive_xgboost(step=10),69.9200 ± 6.5063,0.6857 ± 0.0052,60,0.6528 ± 0.0240,0.6447 ± 0.0136,0.8388 ± 0.0073,0.6857 ± 0.0287,0.6583 ± 0.0168,0.8669 ± 0.0096,0.8014 ± 0.0137,0.8388 ± 0.0073,0.8128 ± 0.0111,0.9234 ± 0.0054,0.8365 ± 0.0050,0.6647 ± 0.0206,0.6517 ± 0.0090,0.8783 ± 0.0095,0.7968 ± 0.0079,0.8365 ± 0.0050,0.8114 ± 0.0059,0.9308 ± 0.0041
adaboost,spearman_sulov + extratrees_ranking(top_pct) + recursive_xgboost(step=10),69.9200 ± 6.5063,0.6857 ± 0.0052,60,0.6496 ± 0.0227,0.6428 ± 0.0106,0.8176 ± 0.0169,0.6615 ± 0.0350,0.6507 ± 0.0193,0.8542 ± 0.0140,0.7929 ± 0.0167,0.8176 ± 0.0169,0.8023 ± 0.0157,0.9198 ± 0.0083,0.8116 ± 0.0140,0.6468 ± 0.0172,0.6447 ± 0.0102,0.8354 ± 0.0164,0.7917 ± 0.0061,0.8116 ± 0.0140,0.8004 ± 0.0089,0.9142 ± 0.0049
svm,spearman_sulov + extratrees_ranking(top_pct) + recursive_xgboost(step=10),69.9200 ± 6.5063,0.6857 ± 0.0052,60,0.6063 ± 0.0119,0.6062 ± 0.0068,0.8520 ± 0.0131,0.6375 ± 0.1479,0.6397 ± 0.0108,0.8654 ± 0.0200,0.7842 ± 0.0481,0.8520 ± 0.0131,0.8052 ± 0.0110,0.9244 ± 0.0117,0.8506 ± 0.0074,0.6220 ± 0.0511,0.6382 ± 0.0059,0.8692 ± 0.0038,0.7791 ± 0.0184,0.8506 ± 0.0074,0.8053 ± 0.0069,0.9273 ± 0.0023
logistic_regression,spearman_sulov + extratrees_ranking(top_pct) + recursive_xgboost(step=10),69.9200 ± 6.5063,0.6857 ± 0.0052,60,0.6534 ± 0.0285,0.6462 ± 0.0086,0.7817 ± 0.0143,0.6575 ± 0.0274,0.6588 ± 0.0342,0.8577 ± 0.0185,0.8074 ± 0.0176,0.7817 ± 0.0143,0.7909 ± 0.0133,0.9186 ± 0.0094,0.7726 ± 0.0140,0.6507 ± 0.0056,0.6490 ± 0.0085,0.8600 ± 0.0026,0.8026 ± 0.0028,0.7726 ± 0.0140,0.7854 ± 0.0094,0.9207 ± 0.0017
knn,spearman_sulov + extratrees_ranking(top_pct) + recursive_xgboost(step=10),69.9200 ± 6.5063,0.6857 ± 0.0052,60,0.5811 ± 0.0317,0.5955 ± 0.0159,0.7941 ± 0.0187,0.5983 ± 0.0652,0.6029 ± 0.0231,0.7989 ± 0.0238,0.7476 ± 0.0285,0.7941 ± 0.0187,0.7576 ± 0.0215,0.8770 ± 0.0169,0.8069 ± 0.0104,0.6168 ± 0.0558,0.6138 ± 0.0099,0.8062 ± 0.0143,0.7614 ± 0.0179,0.8069 ± 0.0104,0.7728 ± 0.0096,0.8857 ± 0.0079
gaussian_nb,spearman_sulov + extratrees_ranking(top_pct) + recursive_xgboost(step=10),69.9200 ± 6.5063,0.6857 ± 0.0052,60,0.6535 ± 0.0273,0.6647 ± 0.0190,0.7670 ± 0.0244,0.6643 ± 0.0249,0.6629 ± 0.0330,0.8618 ± 0.0185,0.8158 ± 0.0193,0.7670 ± 0.0244,0.7843 ± 0.0205,0.9188 ± 0.0136,0.7730 ± 0.0154,0.6715 ± 0.0173,0.6748 ± 0.0221,0.8674 ± 0.0110,0.8202 ± 0.0147,0.7730 ± 0.0154,0.7920 ± 0.0150,0.9214 ± 0.0076
