,Model,Feature_Selection,Optimal_n_features_mean_CV,Best_selector_score_mean_CV,Optimal_n_features_last_training_split,F1_macro_Testing,F1_macro_CV,Accuracy_Testing,Precision_macro_Testing,Recall_macro_Testing,AUC_macro_Testing,Precision_weighted_Testing,Recall_weighted_Testing,F1_weighted_Testing,AUC_weighted_Testing,Accuracy_CV,Precision_macro_CV,Recall_macro_CV,AUC_macro_CV,Precision_weighted_CV,Recall_weighted_CV,F1_weighted_CV,AUC_weighted_CV
0,decision_tree,SULOV + ExtraTrees,259.1200 ± 1.0354,NA,259,0.5061 ± 0.0408,0.5089 ± 0.0244,0.7136 ± 0.0223,0.5066 ± 0.0372,0.5094 ± 0.0453,0.7020 ± 0.0255,0.7226 ± 0.0242,0.7136 ± 0.0223,0.7168 ± 0.0215,0.7891 ± 0.0159,0.7182 ± 0.0242,0.5128 ± 0.0251,0.5071 ± 0.0244,0.7013 ± 0.0152,0.7243 ± 0.0144,0.7182 ± 0.0242,0.7208 ± 0.0189,0.7909 ± 0.0151
1,random_forest,SULOV + ExtraTrees,259.1200 ± 1.0354,NA,259,0.4577 ± 0.0115,0.4451 ± 0.0018,0.8374 ± 0.0080,0.5023 ± 0.1148,0.4878 ± 0.0053,0.8844 ± 0.0081,0.7626 ± 0.0470,0.8374 ± 0.0080,0.7804 ± 0.0070,0.9259 ± 0.0023,0.8270 ± 0.0054,0.4641 ± 0.1094,0.4794 ± 0.0024,0.8902 ± 0.0037,0.7384 ± 0.0444,0.8270 ± 0.0054,0.7677 ± 0.0043,0.9252 ± 0.0028
2,extra_trees,SULOV + ExtraTrees,259.1200 ± 1.0354,NA,259,0.4547 ± 0.0194,0.4601 ± 0.0198,0.8374 ± 0.0131,0.4687 ± 0.1174,0.4866 ± 0.0128,0.8962 ± 0.0074,0.7475 ± 0.0591,0.8374 ± 0.0131,0.7791 ± 0.0162,0.9295 ± 0.0039,0.8296 ± 0.0071,0.5743 ± 0.1059,0.4877 ± 0.0123,0.8843 ± 0.0073,0.7779 ± 0.0530,0.8296 ± 0.0071,0.7729 ± 0.0062,0.9214 ± 0.0021
3,xgboost,SULOV + ExtraTrees,259.1200 ± 1.0354,NA,259,0.5279 ± 0.0295,0.5387 ± 0.0351,0.8330 ± 0.0148,0.6225 ± 0.1035,0.5309 ± 0.0238,0.8754 ± 0.0133,0.7890 ± 0.0213,0.8330 ± 0.0148,0.7933 ± 0.0148,0.9220 ± 0.0076,0.8226 ± 0.0104,0.6730 ± 0.0725,0.5297 ± 0.0264,0.8634 ± 0.0120,0.7880 ± 0.0232,0.8226 ± 0.0104,0.7848 ± 0.0098,0.9141 ± 0.0026
4,adaboost,SULOV + ExtraTrees,259.1200 ± 1.0354,NA,259,0.5485 ± 0.0471,0.5407 ± 0.0179,0.7971 ± 0.0126,0.5975 ± 0.0928,0.5420 ± 0.0428,0.8567 ± 0.0093,0.7696 ± 0.0102,0.7971 ± 0.0126,0.7791 ± 0.0098,0.9048 ± 0.0074,0.7638 ± 0.0146,0.5772 ± 0.0379,0.5270 ± 0.0150,0.8534 ± 0.0085,0.7532 ± 0.0113,0.7638 ± 0.0146,0.7568 ± 0.0114,0.8979 ± 0.0045
5,svm,SULOV + ExtraTrees,259.1200 ± 1.0354,NA,259,0.4479 ± 0.0064,0.4464 ± 0.0058,0.8359 ± 0.0117,0.4177 ± 0.0061,0.4830 ± 0.0069,0.8814 ± 0.0145,0.7233 ± 0.0106,0.8359 ± 0.0117,0.7754 ± 0.0110,0.9221 ± 0.0080,0.8274 ± 0.0069,0.5135 ± 0.1378,0.4799 ± 0.0047,0.8754 ± 0.0128,0.7585 ± 0.0612,0.8274 ± 0.0069,0.7680 ± 0.0067,0.9146 ± 0.0063
6,logistic_regression,SULOV + ExtraTrees,259.1200 ± 1.0354,NA,259,0.5560 ± 0.0520,0.5332 ± 0.0475,0.7480 ± 0.0246,0.5609 ± 0.0664,0.5603 ± 0.0403,0.8451 ± 0.0229,0.7681 ± 0.0142,0.7480 ± 0.0246,0.7563 ± 0.0199,0.9007 ± 0.0070,0.7399 ± 0.0154,0.5339 ± 0.0454,0.5341 ± 0.0502,0.8383 ± 0.0147,0.7493 ± 0.0184,0.7399 ± 0.0154,0.7441 ± 0.0162,0.8879 ± 0.0074
7,knn,SULOV + ExtraTrees,259.1200 ± 1.0354,NA,259,0.3912 ± 0.0214,0.4025 ± 0.0228,0.7121 ± 0.0234,0.4057 ± 0.0378,0.4129 ± 0.0176,0.7585 ± 0.0226,0.6615 ± 0.0292,0.7121 ± 0.0234,0.6642 ± 0.0252,0.8618 ± 0.0131,0.7116 ± 0.0114,0.4862 ± 0.1173,0.4194 ± 0.0141,0.7387 ± 0.0108,0.6697 ± 0.0221,0.7116 ± 0.0114,0.6643 ± 0.0148,0.8431 ± 0.0061
8,gaussian_nb,SULOV + ExtraTrees,259.1200 ± 1.0354,NA,259,0.5308 ± 0.0167,0.5389 ± 0.0157,0.7040 ± 0.0163,0.5279 ± 0.0190,0.6137 ± 0.0237,0.8524 ± 0.0249,0.7684 ± 0.0225,0.7040 ± 0.0163,0.7214 ± 0.0189,0.8973 ± 0.0105,0.7053 ± 0.0102,0.5329 ± 0.0114,0.6013 ± 0.0305,0.8252 ± 0.0175,0.7661 ± 0.0085,0.7053 ± 0.0102,0.7251 ± 0.0087,0.8903 ± 0.0054
