Model,Feature_Selection,Accuracy_Testing,Precision_Testing,Recall_Testing,F1_Testing,AUC_Testing,Accuracy_CV,Precision_CV,Recall_CV,F1_CV,AUC_CV
decision_tree,spearman_corr,0.7335 ± 0.0316,0.5609 ± 0.0756,0.5565 ± 0.0321,0.5488 ± 0.0351,0.7302 ± 0.0197,0.7257 ± 0.0140,0.5331 ± 0.0218,0.5395 ± 0.0211,0.5347 ± 0.0210,0.7198 ± 0.0126
decision_tree,mutual_info,0.7143 ± 0.0187,0.4999 ± 0.0437,0.5088 ± 0.0540,0.5002 ± 0.0445,0.7029 ± 0.0291,0.7241 ± 0.0173,0.5296 ± 0.0269,0.5341 ± 0.0303,0.5303 ± 0.0278,0.7169 ± 0.0180
decision_tree,chi2,0.7192 ± 0.0362,0.5175 ± 0.0606,0.5185 ± 0.0671,0.5137 ± 0.0609,0.7088 ± 0.0395,0.7217 ± 0.0131,0.5268 ± 0.0231,0.5348 ± 0.0264,0.5292 ± 0.0239,0.7168 ± 0.0143
random_forest,spearman_corr,0.8357 ± 0.0175,0.6197 ± 0.1610,0.5112 ± 0.0337,0.5014 ± 0.0552,0.8998 ± 0.0131,0.8336 ± 0.0048,0.6501 ± 0.0867,0.4989 ± 0.0090,0.4827 ± 0.0158,0.8949 ± 0.0070
random_forest,mutual_info,0.8423 ± 0.0149,0.7296 ± 0.1353,0.5355 ± 0.0304,0.5432 ± 0.0495,0.9023 ± 0.0144,0.8380 ± 0.0055,0.7367 ± 0.0706,0.5258 ± 0.0203,0.5285 ± 0.0327,0.8944 ± 0.0056
random_forest,chi2,0.8401 ± 0.0173,0.6974 ± 0.1184,0.5267 ± 0.0290,0.5272 ± 0.0458,0.8999 ± 0.0154,0.8362 ± 0.0045,0.7237 ± 0.0628,0.5175 ± 0.0164,0.5150 ± 0.0280,0.8941 ± 0.0053
extra_trees,spearman_corr,0.8335 ± 0.0135,0.6021 ± 0.1361,0.4988 ± 0.0214,0.4817 ± 0.0330,0.9036 ± 0.0116,0.8307 ± 0.0029,0.6400 ± 0.1156,0.4947 ± 0.0141,0.4751 ± 0.0262,0.8939 ± 0.0072
extra_trees,mutual_info,0.8385 ± 0.0116,0.6967 ± 0.1032,0.5204 ± 0.0284,0.5188 ± 0.0484,0.9006 ± 0.0175,0.8366 ± 0.0032,0.7348 ± 0.0505,0.5242 ± 0.0164,0.5246 ± 0.0264,0.8932 ± 0.0033
extra_trees,chi2,0.8379 ± 0.0119,0.7017 ± 0.1214,0.5266 ± 0.0289,0.5276 ± 0.0446,0.9013 ± 0.0205,0.8343 ± 0.0064,0.7185 ± 0.0842,0.5228 ± 0.0174,0.5240 ± 0.0276,0.8947 ± 0.0049
xgboost,spearman_corr,0.8170 ± 0.0197,0.6436 ± 0.1419,0.5506 ± 0.0454,0.5635 ± 0.0650,0.8729 ± 0.0235,0.8128 ± 0.0064,0.6204 ± 0.0338,0.5386 ± 0.0223,0.5494 ± 0.0270,0.8661 ± 0.0112
xgboost,mutual_info,0.8198 ± 0.0171,0.6408 ± 0.1125,0.5514 ± 0.0407,0.5623 ± 0.0542,0.8763 ± 0.0246,0.8150 ± 0.0063,0.6381 ± 0.0358,0.5497 ± 0.0249,0.5632 ± 0.0286,0.8648 ± 0.0120
xgboost,chi2,0.8253 ± 0.0121,0.6612 ± 0.0980,0.5629 ± 0.0380,0.5784 ± 0.0506,0.8703 ± 0.0277,0.8168 ± 0.0044,0.6453 ± 0.0327,0.5542 ± 0.0210,0.5699 ± 0.0263,0.8614 ± 0.0132
adaboost,spearman_corr,0.7863 ± 0.0257,0.5839 ± 0.0840,0.5454 ± 0.0549,0.5523 ± 0.0634,0.8615 ± 0.0188,0.7755 ± 0.0102,0.5702 ± 0.0348,0.5391 ± 0.0210,0.5483 ± 0.0250,0.8483 ± 0.0096
adaboost,mutual_info,0.7874 ± 0.0197,0.5982 ± 0.0720,0.5721 ± 0.0421,0.5753 ± 0.0495,0.8618 ± 0.0148,0.7770 ± 0.0112,0.5883 ± 0.0314,0.5547 ± 0.0139,0.5652 ± 0.0176,0.8497 ± 0.0099
adaboost,chi2,0.7890 ± 0.0176,0.6082 ± 0.0888,0.5732 ± 0.0432,0.5780 ± 0.0536,0.8598 ± 0.0165,0.7781 ± 0.0096,0.5801 ± 0.0334,0.5527 ± 0.0232,0.5615 ± 0.0262,0.8513 ± 0.0094
