Model,Feature_Selection,F1_macro_CV,F1_macro_Testing,Accuracy_Testing,Precision_macro_Testing,Recall_macro_Testing,AUC_macro_Testing,Precision_weighted_Testing,Recall_weighted_Testing,F1_weighted_Testing,AUC_weighted_Testing,Accuracy_CV,Precision_macro_CV,Recall_macro_CV,AUC_macro_CV,Precision_weighted_CV,Recall_weighted_CV,F1_weighted_CV,AUC_weighted_CV
adaboost,spearman_sulov,0.5644 ± 0.0233,0.5515 ± 0.0305,0.7875 ± 0.0279,0.5949 ± 0.0628,0.5462 ± 0.0374,0.8526 ± 0.0154,0.7619 ± 0.0215,0.7875 ± 0.0279,0.7704 ± 0.0209,0.9030 ± 0.0115,0.7791 ± 0.0102,0.5885 ± 0.0327,0.5546 ± 0.0213,0.8509 ± 0.0048,0.7589 ± 0.0110,0.7791 ± 0.0102,0.7671 ± 0.0104,0.8987 ± 0.0048
adaboost,mutual_info,0.5642 ± 0.0241,0.5871 ± 0.0260,0.7974 ± 0.0156,0.6237 ± 0.0358,0.5779 ± 0.0323,0.8589 ± 0.0131,0.7650 ± 0.0173,0.7974 ± 0.0156,0.7778 ± 0.0136,0.9056 ± 0.0098,0.7816 ± 0.0134,0.5956 ± 0.0387,0.5514 ± 0.0198,0.8528 ± 0.0097,0.7609 ± 0.0150,0.7816 ± 0.0134,0.7691 ± 0.0137,0.8988 ± 0.0065
adaboost,chi2,0.5630 ± 0.0316,0.5864 ± 0.0318,0.7963 ± 0.0180,0.6215 ± 0.0291,0.5762 ± 0.0372,0.8598 ± 0.0140,0.7689 ± 0.0176,0.7963 ± 0.0180,0.7788 ± 0.0158,0.9054 ± 0.0085,0.7797 ± 0.0160,0.5876 ± 0.0414,0.5523 ± 0.0267,0.8489 ± 0.0096,0.7594 ± 0.0173,0.7797 ± 0.0160,0.7677 ± 0.0159,0.8968 ± 0.0071
adaboost,chi2_mi_union_topk,0.5427 ± 0.0291,0.5807 ± 0.0294,0.7897 ± 0.0155,0.6052 ± 0.0333,0.5747 ± 0.0367,0.8513 ± 0.0137,0.7687 ± 0.0121,0.7897 ± 0.0155,0.7767 ± 0.0110,0.9035 ± 0.0089,0.7656 ± 0.0166,0.5610 ± 0.0373,0.5346 ± 0.0267,0.8460 ± 0.0078,0.7491 ± 0.0161,0.7656 ± 0.0166,0.7561 ± 0.0156,0.8952 ± 0.0046
svm,spearman_corr,0.4442 ± 0.0040,0.4500 ± 0.0097,0.8304 ± 0.0073,0.4908 ± 0.1221,0.4817 ± 0.0066,0.8818 ± 0.0071,0.7531 ± 0.0556,0.8304 ± 0.0073,0.7728 ± 0.0080,0.9208 ± 0.0060,0.8225 ± 0.0044,0.4641 ± 0.0826,0.4771 ± 0.0028,0.8817 ± 0.0037,0.7355 ± 0.0357,0.8225 ± 0.0044,0.7644 ± 0.0042,0.9181 ± 0.0039
svm,spearman_sulov,0.4481 ± 0.0058,0.4533 ± 0.0117,0.8344 ± 0.0066,0.4843 ± 0.1103,0.4846 ± 0.0068,0.8829 ± 0.0047,0.7526 ± 0.0494,0.8344 ± 0.0066,0.7768 ± 0.0077,0.9217 ± 0.0054,0.8234 ± 0.0045,0.5045 ± 0.0760,0.4791 ± 0.0039,0.8836 ± 0.0035,0.7542 ± 0.0346,0.8234 ± 0.0045,0.7667 ± 0.0052,0.9193 ± 0.0035
svm,mutual_info,0.4492 ± 0.0056,0.4558 ± 0.0119,0.8337 ± 0.0088,0.5211 ± 0.1176,0.4855 ± 0.0074,0.8866 ± 0.0077,0.7680 ± 0.0532,0.8337 ± 0.0088,0.7769 ± 0.0092,0.9242 ± 0.0057,0.8256 ± 0.0051,0.4945 ± 0.0608,0.4804 ± 0.0036,0.8837 ± 0.0045,0.7509 ± 0.0267,0.8256 ± 0.0051,0.7685 ± 0.0051,0.9193 ± 0.0041
svm,chi2,0.4493 ± 0.0071,0.4582 ± 0.0145,0.8355 ± 0.0087,0.5220 ± 0.1182,0.4872 ± 0.0087,0.8854 ± 0.0063,0.7696 ± 0.0541,0.8355 ± 0.0087,0.7791 ± 0.0102,0.9236 ± 0.0051,0.8263 ± 0.0048,0.5304 ± 0.1109,0.4808 ± 0.0040,0.8831 ± 0.0041,0.7666 ± 0.0484,0.8263 ± 0.0048,0.7688 ± 0.0052,0.9191 ± 0.0035
svm,chi2_mi_union_topk,0.4538 ± 0.0091,0.4769 ± 0.0373,0.8359 ± 0.0123,0.5970 ± 0.1597,0.4981 ± 0.0233,0.8837 ± 0.0097,0.7855 ± 0.0597,0.8359 ± 0.0123,0.7811 ± 0.0137,0.9226 ± 0.0084,0.8281 ± 0.0056,0.5007 ± 0.0665,0.4831 ± 0.0054,0.8793 ± 0.0055,0.7557 ± 0.0309,0.8281 ± 0.0056,0.7723 ± 0.0065,0.9178 ± 0.0046
logistic_regression,spearman_corr,0.5514 ± 0.0186,0.5598 ± 0.0349,0.7418 ± 0.0264,0.5516 ± 0.0282,0.5895 ± 0.0464,0.8596 ± 0.0170,0.7710 ± 0.0145,0.7418 ± 0.0264,0.7506 ± 0.0221,0.9047 ± 0.0122,0.7347 ± 0.0116,0.5456 ± 0.0158,0.5687 ± 0.0223,0.8587 ± 0.0091,0.7645 ± 0.0072,0.7347 ± 0.0116,0.7461 ± 0.0097,0.9021 ± 0.0063
