Model,Feature_Selection,Accuracy_Testing,Precision_Testing,Recall_Testing,F1_Testing,AUC_Testing,Accuracy_CV,Precision_CV,Recall_CV,F1_CV,AUC_CV
decision_tree,spearman_corr,0.4632 ± 0.0298,0.2930 ± 0.0454,0.2951 ± 0.0429,0.2932 ± 0.0440,0.5402 ± 0.0268,0.4491 ± 0.0201,0.2979 ± 0.0148,0.2982 ± 0.0144,0.2974 ± 0.0145,0.5391 ± 0.0091
decision_tree,mutual_info,0.4527 ± 0.0390,0.2928 ± 0.0308,0.2905 ± 0.0315,0.2904 ± 0.0305,0.5371 ± 0.0239,0.4538 ± 0.0132,0.2953 ± 0.0174,0.2947 ± 0.0172,0.2947 ± 0.0172,0.5383 ± 0.0102
decision_tree,chi2,0.4560 ± 0.0406,0.3023 ± 0.0489,0.3033 ± 0.0527,0.2999 ± 0.0495,0.5442 ± 0.0330,0.4545 ± 0.0121,0.3015 ± 0.0197,0.3019 ± 0.0197,0.3014 ± 0.0197,0.5419 ± 0.0106
random_forest,spearman_corr,0.5901 ± 0.0314,0.2945 ± 0.0158,0.3413 ± 0.0183,0.3161 ± 0.0170,0.6653 ± 0.0464,0.5997 ± 0.0108,0.2993 ± 0.0053,0.3464 ± 0.0061,0.3210 ± 0.0057,0.6734 ± 0.0160
random_forest,mutual_info,0.5967 ± 0.0411,0.2979 ± 0.0204,0.3452 ± 0.0236,0.3195 ± 0.0220,0.6893 ± 0.0321,0.6040 ± 0.0080,0.3017 ± 0.0041,0.3490 ± 0.0047,0.3236 ± 0.0044,0.6796 ± 0.0175
random_forest,chi2,0.5885 ± 0.0305,0.2943 ± 0.0157,0.3406 ± 0.0177,0.3155 ± 0.0166,0.6840 ± 0.0409,0.5882 ± 0.0149,0.3033 ± 0.0274,0.3405 ± 0.0086,0.3164 ± 0.0081,0.6783 ± 0.0179
extra_trees,spearman_corr,0.5918 ± 0.0293,0.2956 ± 0.0155,0.3423 ± 0.0174,0.3170 ± 0.0162,0.6719 ± 0.0347,0.5948 ± 0.0120,0.2969 ± 0.0061,0.3437 ± 0.0070,0.3185 ± 0.0065,0.6724 ± 0.0172
extra_trees,mutual_info,0.5995 ± 0.0367,0.2997 ± 0.0180,0.3469 ± 0.0211,0.3213 ± 0.0195,0.6841 ± 0.0243,0.6048 ± 0.0123,0.3022 ± 0.0061,0.3497 ± 0.0072,0.3241 ± 0.0066,0.6869 ± 0.0179
extra_trees,chi2,0.5852 ± 0.0225,0.3185 ± 0.0765,0.3398 ± 0.0126,0.3165 ± 0.0130,0.6860 ± 0.0327,0.5829 ± 0.0154,0.3174 ± 0.0407,0.3385 ± 0.0088,0.3161 ± 0.0088,0.6763 ± 0.0242
xgboost,spearman_corr,0.5951 ± 0.0281,0.3611 ± 0.0417,0.3516 ± 0.0169,0.3375 ± 0.0177,0.6819 ± 0.0293,0.5946 ± 0.0147,0.3671 ± 0.0935,0.3492 ± 0.0095,0.3328 ± 0.0130,0.6701 ± 0.0188
