Model,Feature_Selection,F1_macro_CV,F1_macro_Testing,Accuracy_Testing,Precision_macro_Testing,Recall_macro_Testing,AUC_macro_Testing,Precision_weighted_Testing,Recall_weighted_Testing,F1_weighted_Testing,AUC_weighted_Testing,Accuracy_CV,Precision_macro_CV,Recall_macro_CV,AUC_macro_CV,Precision_weighted_CV,Recall_weighted_CV,F1_weighted_CV,AUC_weighted_CV
decision_tree,spearman_corr,0.6168 ± 0.0227,0.6239 ± 0.0156,0.7590 ± 0.0140,0.6247 ± 0.0148,0.6244 ± 0.0160,0.7509 ± 0.0107,0.7671 ± 0.0134,0.7590 ± 0.0140,0.7624 ± 0.0139,0.8161 ± 0.0118,0.7498 ± 0.0194,0.6181 ± 0.0218,0.6169 ± 0.0236,0.7449 ± 0.0163,0.7622 ± 0.0171,0.7498 ± 0.0194,0.7556 ± 0.0181,0.8095 ± 0.0152
decision_tree,spearman_sulov,0.6184 ± 0.0206,0.6267 ± 0.0249,0.7652 ± 0.0202,0.6283 ± 0.0239,0.6274 ± 0.0262,0.7537 ± 0.0174,0.7700 ± 0.0186,0.7652 ± 0.0202,0.7668 ± 0.0177,0.8199 ± 0.0152,0.7538 ± 0.0139,0.6189 ± 0.0203,0.6183 ± 0.0210,0.7459 ± 0.0139,0.7599 ± 0.0133,0.7538 ± 0.0139,0.7567 ± 0.0134,0.8101 ± 0.0106
decision_tree,mutual_info,0.6221 ± 0.0258,0.6229 ± 0.0234,0.7557 ± 0.0258,0.6268 ± 0.0213,0.6228 ± 0.0250,0.7504 ± 0.0179,0.7734 ± 0.0184,0.7557 ± 0.0258,0.7632 ± 0.0209,0.8171 ± 0.0178,0.7530 ± 0.0202,0.6237 ± 0.0234,0.6221 ± 0.0280,0.7488 ± 0.0179,0.7675 ± 0.0128,0.7530 ± 0.0202,0.7598 ± 0.0164,0.8131 ± 0.0132
decision_tree,chi2,0.6218 ± 0.0302,0.6306 ± 0.0183,0.7648 ± 0.0221,0.6327 ± 0.0177,0.6321 ± 0.0197,0.7569 ± 0.0139,0.7766 ± 0.0159,0.7648 ± 0.0221,0.7694 ± 0.0175,0.8226 ± 0.0155,0.7494 ± 0.0198,0.6233 ± 0.0277,0.6223 ± 0.0329,0.7482 ± 0.0210,0.7667 ± 0.0165,0.7494 ± 0.0198,0.7575 ± 0.0181,0.8111 ± 0.0142
decision_tree,chi2_mi_union_topk,0.6332 ± 0.0208,0.6284 ± 0.0300,0.7656 ± 0.0268,0.6301 ± 0.0293,0.6293 ± 0.0317,0.7534 ± 0.0227,0.7756 ± 0.0235,0.7656 ± 0.0268,0.7697 ± 0.0238,0.8201 ± 0.0209,0.7635 ± 0.0120,0.6341 ± 0.0196,0.6344 ± 0.0231,0.7553 ± 0.0148,0.7785 ± 0.0143,0.7635 ± 0.0120,0.7705 ± 0.0127,0.8191 ± 0.0107
random_forest,spearman_corr,0.6039 ± 0.0027,0.6105 ± 0.0083,0.8623 ± 0.0067,0.6088 ± 0.1059,0.6466 ± 0.0060,0.8886 ± 0.0150,0.7795 ± 0.0358,0.8623 ± 0.0067,0.8130 ± 0.0066,0.9395 ± 0.0095,0.8564 ± 0.0041,0.5716 ± 0.0026,0.6404 ± 0.0030,0.8857 ± 0.0078,0.7646 ± 0.0035,0.8564 ± 0.0041,0.8078 ± 0.0037,0.9368 ± 0.0038
random_forest,spearman_sulov,0.6043 ± 0.0030,0.6095 ± 0.0089,0.8608 ± 0.0055,0.6080 ± 0.1069,0.6455 ± 0.0058,0.8875 ± 0.0085,0.7783 ± 0.0370,0.8608 ± 0.0055,0.8117 ± 0.0063,0.9391 ± 0.0066,0.8571 ± 0.0042,0.5719 ± 0.0029,0.6409 ± 0.0032,0.8819 ± 0.0071,0.7651 ± 0.0039,0.8571 ± 0.0042,0.8083 ± 0.0041,0.9354 ± 0.0037
random_forest,mutual_info,0.6187 ± 0.0132,0.6207 ± 0.0199,0.8630 ± 0.0099,0.6980 ± 0.1623,0.6513 ± 0.0119,0.8897 ± 0.0144,0.8091 ± 0.0553,0.8630 ± 0.0099,0.8162 ± 0.0117,0.9397 ± 0.0088,0.8602 ± 0.0040,0.7795 ± 0.1513,0.6483 ± 0.0066,0.8852 ± 0.0110,0.8346 ± 0.0477,0.8602 ± 0.0040,0.8144 ± 0.0052,0.9363 ± 0.0055
random_forest,chi2,0.6374 ± 0.0208,0.6414 ± 0.0159,0.8648 ± 0.0104,0.8111 ± 0.1090,0.6611 ± 0.0103,0.8872 ± 0.0132,0.8484 ± 0.0382,0.8648 ± 0.0104,0.8235 ± 0.0103,0.9382 ± 0.0077,0.8624 ± 0.0046,0.8313 ± 0.0665,0.6576 ± 0.0113,0.8870 ± 0.0067,0.8530 ± 0.0205,0.8624 ± 0.0046,0.8210 ± 0.0083,0.9370 ± 0.0035
random_forest,chi2_mi_union_topk,0.6574 ± 0.0183,0.6605 ± 0.0209,0.8659 ± 0.0120,0.7912 ± 0.0814,0.6711 ± 0.0136,0.8819 ± 0.0136,0.8452 ± 0.0298,0.8659 ± 0.0120,0.8306 ± 0.0116,0.9359 ± 0.0089,0.8618 ± 0.0065,0.7601 ± 0.0433,0.6670 ± 0.0116,0.8884 ± 0.0078,0.8325 ± 0.0171,0.8618 ± 0.0065,0.8274 ± 0.0090,0.9379 ± 0.0041
extra_trees,spearman_corr,0.6041 ± 0.0045,0.6064 ± 0.0078,0.8593 ± 0.0107,0.5737 ± 0.0077,0.6436 ± 0.0080,0.8787 ± 0.0094,0.7660 ± 0.0103,0.8593 ± 0.0107,0.8097 ± 0.0105,0.9347 ± 0.0065,0.8555 ± 0.0047,0.6042 ± 0.1057,0.6401 ± 0.0038,0.8784 ± 0.0110,0.7744 ± 0.0349,0.8555 ± 0.0047,0.8070 ± 0.0045,0.9332 ± 0.0050
extra_trees,spearman_sulov,0.6046 ± 0.0038,0.6074 ± 0.0062,0.8579 ± 0.0082,0.6061 ± 0.1031,0.6433 ± 0.0054,0.8805 ± 0.0176,0.7758 ± 0.0322,0.8579 ± 0.0082,0.8089 ± 0.0071,0.9356 ± 0.0103,0.8574 ± 0.0054,0.5723 ± 0.0035,0.6411 ± 0.0040,0.8826 ± 0.0086,0.7656 ± 0.0047,0.8574 ± 0.0054,0.8087 ± 0.0050,0.9352 ± 0.0045
extra_trees,mutual_info,0.6160 ± 0.0110,0.6248 ± 0.0137,0.8601 ± 0.0091,0.8129 ± 0.1394,0.6517 ± 0.0088,0.8868 ± 0.0163,0.8452 ± 0.0473,0.8601 ± 0.0091,0.8151 ± 0.0098,0.9382 ± 0.0095,0.8572 ± 0.0024,0.7308 ± 0.1275,0.6458 ± 0.0054,0.8834 ± 0.0084,0.8173 ± 0.0421,0.8572 ± 0.0024,0.8117 ± 0.0043,0.9352 ± 0.0044
extra_trees,chi2,0.6369 ± 0.0188,0.6442 ± 0.0129,0.8663 ± 0.0074,0.8810 ± 0.0702,0.6630 ± 0.0063,0.8829 ± 0.0123,0.8719 ± 0.0218,0.8663 ± 0.0074,0.8250 ± 0.0061,0.9357 ± 0.0086,0.8591 ± 0.0042,0.8092 ± 0.0499,0.6559 ± 0.0103,0.8868 ± 0.0070,0.8443 ± 0.0173,0.8591 ± 0.0042,0.8187 ± 0.0076,0.9365 ± 0.0037
extra_trees,chi2_mi_union_topk,0.6642 ± 0.0133,0.6654 ± 0.0226,0.8604 ± 0.0164,0.7801 ± 0.0842,0.6712 ± 0.0168,0.8821 ± 0.0135,0.8388 ± 0.0318,0.8604 ± 0.0164,0.8282 ± 0.0152,0.9355 ± 0.0084,0.8586 ± 0.0064,0.7470 ± 0.0239,0.6698 ± 0.0085,0.8868 ± 0.0072,0.8284 ± 0.0101,0.8586 ± 0.0064,0.8278 ± 0.0069,0.9360 ± 0.0048
xgboost,spearman_corr,0.6368 ± 0.0204,0.6304 ± 0.0247,0.8516 ± 0.0090,0.6826 ± 0.0887,0.6504 ± 0.0147,0.8821 ± 0.0122,0.8022 ± 0.0299,0.8516 ± 0.0090,0.8133 ± 0.0102,0.9335 ± 0.0075,0.8470 ± 0.0073,0.7021 ± 0.0635,0.6508 ± 0.0129,0.8748 ± 0.0110,0.8061 ± 0.0233,0.8470 ± 0.0073,0.8123 ± 0.0099,0.9279 ± 0.0057
