,Model,Feature_Selection,Optimal_n_features_mean_CV,Best_selector_score_mean_CV,Optimal_n_features_last_training_split,F1_macro_Testing,F1_macro_CV,Accuracy_Testing,Precision_macro_Testing,Recall_macro_Testing,AUC_macro_Testing,Precision_weighted_Testing,Recall_weighted_Testing,F1_weighted_Testing,AUC_weighted_Testing,Accuracy_CV,Precision_macro_CV,Recall_macro_CV,AUC_macro_CV,Precision_weighted_CV,Recall_weighted_CV,F1_weighted_CV,AUC_weighted_CV
0,decision_tree,SULOV + ExtraTrees,259.2800 ± 0.7430,NA,258,0.6166 ± 0.0138,0.6091 ± 0.0054,0.7560 ± 0.0218,0.6188 ± 0.0127,0.6164 ± 0.0141,0.7458 ± 0.0118,0.7624 ± 0.0155,0.7560 ± 0.0218,0.7585 ± 0.0174,0.8128 ± 0.0156,0.7528 ± 0.0102,0.6103 ± 0.0049,0.6089 ± 0.0060,0.7409 ± 0.0038,0.7574 ± 0.0041,0.7528 ± 0.0102,0.7548 ± 0.0051,0.8095 ± 0.0043
1,random_forest,SULOV + ExtraTrees,259.2800 ± 0.7430,NA,258,0.6041 ± 0.0056,0.6117 ± 0.0081,0.8564 ± 0.0079,0.5710 ± 0.0054,0.6414 ± 0.0060,0.8888 ± 0.0119,0.7625 ± 0.0072,0.8564 ± 0.0079,0.8067 ± 0.0075,0.9378 ± 0.0089,0.8601 ± 0.0011,0.7070 ± 0.1824,0.6453 ± 0.0037,0.8845 ± 0.0048,0.8108 ± 0.0591,0.8601 ± 0.0011,0.8124 ± 0.0026,0.9373 ± 0.0017
2,extra_trees,SULOV + ExtraTrees,259.2800 ± 0.7430,NA,258,0.6144 ± 0.0143,0.6064 ± 0.0060,0.8535 ± 0.0107,0.7037 ± 0.1382,0.6442 ± 0.0098,0.8788 ± 0.0146,0.8055 ± 0.0449,0.8535 ± 0.0107,0.8077 ± 0.0111,0.9325 ± 0.0087,0.8572 ± 0.0038,0.6058 ± 0.0763,0.6418 ± 0.0041,0.8809 ± 0.0017,0.7767 ± 0.0267,0.8572 ± 0.0038,0.8092 ± 0.0042,0.9357 ± 0.0020
3,xgboost,SULOV + ExtraTrees,259.2800 ± 0.7430,NA,258,0.6185 ± 0.0216,0.6404 ± 0.0235,0.8454 ± 0.0084,0.6442 ± 0.1004,0.6415 ± 0.0120,0.8801 ± 0.0057,0.7869 ± 0.0309,0.8454 ± 0.0084,0.8066 ± 0.0084,0.9314 ± 0.0029,0.8465 ± 0.0038,0.6919 ± 0.0537,0.6527 ± 0.0136,0.8842 ± 0.0092,0.8037 ± 0.0188,0.8465 ± 0.0038,0.8134 ± 0.0082,0.9338 ± 0.0035
4,adaboost,SULOV + ExtraTrees,259.2800 ± 0.7430,NA,258,0.6344 ± 0.0201,0.6450 ± 0.0189,0.8103 ± 0.0131,0.6414 ± 0.0322,0.6385 ± 0.0176,0.8546 ± 0.0072,0.7845 ± 0.0134,0.8103 ± 0.0131,0.7949 ± 0.0109,0.9192 ± 0.0086,0.8025 ± 0.0151,0.6472 ± 0.0228,0.6458 ± 0.0177,0.8414 ± 0.0138,0.7906 ± 0.0091,0.8025 ± 0.0151,0.7958 ± 0.0111,0.9156 ± 0.0053
5,svm,SULOV + ExtraTrees,259.2800 ± 0.7430,NA,258,0.6061 ± 0.0044,0.6044 ± 0.0033,0.8593 ± 0.0061,0.5733 ± 0.0039,0.6435 ± 0.0046,0.8733 ± 0.0093,0.7654 ± 0.0053,0.8593 ± 0.0061,0.8093 ± 0.0059,0.9284 ± 0.0054,0.8550 ± 0.0026,0.6366 ± 0.1480,0.6400 ± 0.0016,0.8777 ± 0.0052,0.7839 ± 0.0470,0.8550 ± 0.0026,0.8064 ± 0.0020,0.9317 ± 0.0035
6,logistic_regression,SULOV + ExtraTrees,259.2800 ± 0.7430,NA,258,0.6366 ± 0.0248,0.6409 ± 0.0145,0.7729 ± 0.0221,0.6394 ± 0.0251,0.6373 ± 0.0252,0.8513 ± 0.0110,0.7916 ± 0.0209,0.7729 ± 0.0221,0.7812 ± 0.0204,0.9128 ± 0.0061,0.7796 ± 0.0107,0.6421 ± 0.0134,0.6412 ± 0.0154,0.8528 ± 0.0058,0.7924 ± 0.0071,0.7796 ± 0.0107,0.7855 ± 0.0088,0.9127 ± 0.0032
7,knn,SULOV + ExtraTrees,259.2800 ± 0.7430,NA,258,0.5415 ± 0.0271,0.5388 ± 0.0175,0.7414 ± 0.0202,0.5978 ± 0.0543,0.5632 ± 0.0209,0.8021 ± 0.0251,0.7268 ± 0.0202,0.7414 ± 0.0202,0.7040 ± 0.0232,0.8729 ± 0.0186,0.7333 ± 0.0155,0.6249 ± 0.0797,0.5576 ± 0.0138,0.7956 ± 0.0095,0.7308 ± 0.0333,0.7333 ± 0.0155,0.6968 ± 0.0162,0.8680 ± 0.0070
8,gaussian_nb,SULOV + ExtraTrees,259.2800 ± 0.7430,NA,258,0.6500 ± 0.0414,0.6579 ± 0.0124,0.7641 ± 0.0336,0.6599 ± 0.0370,0.6606 ± 0.0488,0.8557 ± 0.0189,0.8087 ± 0.0273,0.7641 ± 0.0336,0.7789 ± 0.0298,0.9103 ± 0.0143,0.7692 ± 0.0084,0.6638 ± 0.0121,0.6674 ± 0.0153,0.8590 ± 0.0062,0.8111 ± 0.0106,0.7692 ± 0.0084,0.7854 ± 0.0088,0.9109 ± 0.0045
