,Model,Feature_Selection,Optimal_n_features_mean_CV,Best_selector_score_mean_CV,Optimal_n_features_last_training_split,F1_macro_Testing,F1_macro_CV,Accuracy_Testing,Precision_macro_Testing,Recall_macro_Testing,AUC_macro_Testing,Precision_weighted_Testing,Recall_weighted_Testing,F1_weighted_Testing,AUC_weighted_Testing,Accuracy_CV,Precision_macro_CV,Recall_macro_CV,AUC_macro_CV,Precision_weighted_CV,Recall_weighted_CV,F1_weighted_CV,AUC_weighted_CV
0,decision_tree,SULOV,517.8800 ± 1.8144,NA,517,0.4863 ± 0.0317,0.5032 ± 0.0141,0.6952 ± 0.0291,0.4967 ± 0.0336,0.4851 ± 0.0359,0.6865 ± 0.0209,0.7091 ± 0.0140,0.6952 ± 0.0291,0.7004 ± 0.0228,0.7756 ± 0.0166,0.7116 ± 0.0130,0.5052 ± 0.0145,0.5028 ± 0.0140,0.6982 ± 0.0083,0.7220 ± 0.0063,0.7116 ± 0.0130,0.7164 ± 0.0092,0.7872 ± 0.0069
1,random_forest,SULOV,517.8800 ± 1.8144,NA,517,0.4503 ± 0.0070,0.4442 ± 0.0013,0.8344 ± 0.0070,0.4674 ± 0.1110,0.4837 ± 0.0045,0.8773 ± 0.0179,0.7454 ± 0.0481,0.8344 ± 0.0070,0.7755 ± 0.0067,0.9241 ± 0.0072,0.8277 ± 0.0021,0.4148 ± 0.0014,0.4793 ± 0.0013,0.8872 ± 0.0043,0.7181 ± 0.0026,0.8277 ± 0.0021,0.7682 ± 0.0022,0.9226 ± 0.0023
2,extra_trees,SULOV,517.8800 ± 1.8144,NA,517,0.4473 ± 0.0065,0.4457 ± 0.0059,0.8344 ± 0.0120,0.4174 ± 0.0061,0.4824 ± 0.0070,0.8811 ± 0.0064,0.7233 ± 0.0106,0.8344 ± 0.0120,0.7745 ± 0.0112,0.9245 ± 0.0068,0.8252 ± 0.0049,0.5137 ± 0.1385,0.4789 ± 0.0041,0.8880 ± 0.0075,0.7595 ± 0.0622,0.8252 ± 0.0049,0.7670 ± 0.0056,0.9236 ± 0.0035
3,xgboost,SULOV,517.8800 ± 1.8144,NA,517,0.5278 ± 0.0560,0.5165 ± 0.0347,0.8300 ± 0.0112,0.5833 ± 0.0648,0.5377 ± 0.0489,0.8691 ± 0.0188,0.7732 ± 0.0290,0.8300 ± 0.0112,0.7868 ± 0.0117,0.9199 ± 0.0110,0.8195 ± 0.0086,0.6381 ± 0.0692,0.5153 ± 0.0249,0.8596 ± 0.0089,0.7735 ± 0.0154,0.8195 ± 0.0086,0.7785 ± 0.0088,0.9124 ± 0.0023
4,adaboost,SULOV,517.8800 ± 1.8144,NA,517,0.5502 ± 0.0436,0.5309 ± 0.0432,0.7949 ± 0.0137,0.5958 ± 0.0405,0.5413 ± 0.0422,0.8576 ± 0.0130,0.7662 ± 0.0151,0.7949 ± 0.0137,0.7762 ± 0.0137,0.9073 ± 0.0082,0.7720 ± 0.0159,0.5607 ± 0.0527,0.5203 ± 0.0367,0.8478 ± 0.0095,0.7528 ± 0.0178,0.7720 ± 0.0159,0.7605 ± 0.0167,0.8968 ± 0.0064
5,svm,SULOV,517.8800 ± 1.8144,NA,517,0.4448 ± 0.0059,0.4408 ± 0.0029,0.8300 ± 0.0109,0.4150 ± 0.0053,0.4796 ± 0.0066,0.8804 ± 0.0172,0.7184 ± 0.0097,0.8300 ± 0.0109,0.7699 ± 0.0104,0.9206 ± 0.0091,0.8223 ± 0.0053,0.4107 ± 0.0027,0.4758 ± 0.0031,0.8730 ± 0.0116,0.7100 ± 0.0044,0.8223 ± 0.0053,0.7620 ± 0.0049,0.9133 ± 0.0060
6,logistic_regression,SULOV,517.8800 ± 1.8144,NA,517,0.5363 ± 0.0269,0.5083 ± 0.0319,0.7407 ± 0.0123,0.5441 ± 0.0293,0.5326 ± 0.0270,0.8366 ± 0.0199,0.7551 ± 0.0071,0.7407 ± 0.0123,0.7470 ± 0.0097,0.8934 ± 0.0080,0.7362 ± 0.0135,0.5169 ± 0.0397,0.5028 ± 0.0272,0.8218 ± 0.0186,0.7375 ± 0.0137,0.7362 ± 0.0135,0.7365 ± 0.0135,0.8822 ± 0.0091
7,knn,SULOV,517.8800 ± 1.8144,NA,517,0.3622 ± 0.0104,0.3580 ± 0.0103,0.6623 ± 0.0128,0.3849 ± 0.0290,0.3843 ± 0.0057,0.7492 ± 0.0175,0.6338 ± 0.0095,0.6623 ± 0.0128,0.6131 ± 0.0097,0.8327 ± 0.0148,0.6481 ± 0.0106,0.3969 ± 0.0178,0.3788 ± 0.0077,0.7252 ± 0.0050,0.6272 ± 0.0086,0.6481 ± 0.0106,0.5982 ± 0.0118,0.8187 ± 0.0087
8,gaussian_nb,SULOV,517.8800 ± 1.8144,NA,517,0.3583 ± 0.0627,0.3854 ± 0.0383,0.4703 ± 0.0796,0.4425 ± 0.0417,0.4603 ± 0.0883,0.7273 ± 0.0495,0.6877 ± 0.0456,0.4703 ± 0.0796,0.5000 ± 0.0690,0.8381 ± 0.0143,0.5038 ± 0.0693,0.4532 ± 0.0106,0.4520 ± 0.0334,0.7125 ± 0.0237,0.7030 ± 0.0110,0.5038 ± 0.0693,0.5451 ± 0.0548,0.8278 ± 0.0072
