,Model,Feature_Selection,Optimal_n_features_mean_CV,Best_selector_score_mean_CV,Optimal_n_features_last_training_split,F1_macro_Testing,F1_macro_CV,Accuracy_Testing,Precision_macro_Testing,Recall_macro_Testing,AUC_macro_Testing,Precision_weighted_Testing,Recall_weighted_Testing,F1_weighted_Testing,AUC_weighted_Testing,Accuracy_CV,Precision_macro_CV,Recall_macro_CV,AUC_macro_CV,Precision_weighted_CV,Recall_weighted_CV,F1_weighted_CV,AUC_weighted_CV
0,decision_tree,SULOV,517.9600 ± 1.4993,NA,515,0.6215 ± 0.0280,0.5949 ± 0.0203,0.7575 ± 0.0203,0.6229 ± 0.0271,0.6225 ± 0.0299,0.7490 ± 0.0203,0.7622 ± 0.0232,0.7575 ± 0.0203,0.7593 ± 0.0201,0.8131 ± 0.0170,0.7450 ± 0.0132,0.5948 ± 0.0219,0.5957 ± 0.0189,0.7320 ± 0.0110,0.7471 ± 0.0111,0.7450 ± 0.0132,0.7458 ± 0.0111,0.8026 ± 0.0098
1,random_forest,SULOV,517.9600 ± 1.4993,NA,515,0.6103 ± 0.0129,0.6045 ± 0.0065,0.8593 ± 0.0067,0.6398 ± 0.1522,0.6453 ± 0.0082,0.8842 ± 0.0101,0.7873 ± 0.0535,0.8593 ± 0.0067,0.8105 ± 0.0083,0.9361 ± 0.0076,0.8547 ± 0.0041,0.6039 ± 0.0768,0.6399 ± 0.0044,0.8881 ± 0.0091,0.7741 ± 0.0274,0.8547 ± 0.0041,0.8066 ± 0.0048,0.9387 ± 0.0038
2,extra_trees,SULOV,517.9600 ± 1.4993,NA,515,0.6062 ± 0.0077,0.6088 ± 0.0053,0.8535 ± 0.0073,0.6361 ± 0.1471,0.6409 ± 0.0046,0.8782 ± 0.0210,0.7824 ± 0.0469,0.8535 ± 0.0073,0.8051 ± 0.0061,0.9325 ± 0.0118,0.8582 ± 0.0021,0.6728 ± 0.1496,0.6432 ± 0.0027,0.8814 ± 0.0073,0.7988 ± 0.0492,0.8582 ± 0.0021,0.8104 ± 0.0023,0.9353 ± 0.0035
3,xgboost,SULOV,517.9600 ± 1.4993,NA,515,0.6333 ± 0.0279,0.6326 ± 0.0200,0.8542 ± 0.0079,0.6912 ± 0.0854,0.6531 ± 0.0164,0.8758 ± 0.0086,0.8056 ± 0.0300,0.8542 ± 0.0079,0.8154 ± 0.0119,0.9293 ± 0.0052,0.8453 ± 0.0052,0.6709 ± 0.0425,0.6481 ± 0.0118,0.8792 ± 0.0103,0.7971 ± 0.0171,0.8453 ± 0.0052,0.8110 ± 0.0096,0.9312 ± 0.0036
4,adaboost,SULOV,517.9600 ± 1.4993,NA,515,0.6528 ± 0.0277,0.6524 ± 0.0240,0.8183 ± 0.0084,0.6606 ± 0.0276,0.6563 ± 0.0227,0.8544 ± 0.0065,0.7937 ± 0.0164,0.8183 ± 0.0084,0.8034 ± 0.0117,0.9199 ± 0.0086,0.8129 ± 0.0119,0.6559 ± 0.0285,0.6529 ± 0.0211,0.8412 ± 0.0124,0.7948 ± 0.0122,0.8129 ± 0.0119,0.8030 ± 0.0115,0.9162 ± 0.0041
5,svm,SULOV,517.9600 ± 1.4993,NA,515,0.6009 ± 0.0061,0.6019 ± 0.0028,0.8520 ± 0.0084,0.5683 ± 0.0056,0.6381 ± 0.0063,0.8670 ± 0.0136,0.7588 ± 0.0075,0.8520 ± 0.0084,0.8024 ± 0.0081,0.9250 ± 0.0065,0.8541 ± 0.0039,0.5694 ± 0.0027,0.6385 ± 0.0030,0.8724 ± 0.0070,0.7614 ± 0.0035,0.8541 ± 0.0039,0.8050 ± 0.0037,0.9294 ± 0.0037
6,logistic_regression,SULOV,517.9600 ± 1.4993,NA,515,0.6531 ± 0.0082,0.6416 ± 0.0124,0.7919 ± 0.0163,0.6541 ± 0.0079,0.6550 ± 0.0095,0.8367 ± 0.0132,0.8005 ± 0.0072,0.7919 ± 0.0163,0.7953 ± 0.0102,0.9047 ± 0.0067,0.7903 ± 0.0082,0.6418 ± 0.0126,0.6419 ± 0.0124,0.8468 ± 0.0054,0.7878 ± 0.0067,0.7903 ± 0.0082,0.7888 ± 0.0067,0.9101 ± 0.0034
7,knn,SULOV,517.9600 ± 1.4993,NA,515,0.4807 ± 0.0166,0.4898 ± 0.0171,0.6762 ± 0.0181,0.5253 ± 0.0263,0.5091 ± 0.0138,0.7751 ± 0.0084,0.6836 ± 0.0137,0.6762 ± 0.0181,0.6349 ± 0.0196,0.8404 ± 0.0100,0.6764 ± 0.0202,0.5587 ± 0.0286,0.5125 ± 0.0150,0.7777 ± 0.0107,0.6944 ± 0.0121,0.6764 ± 0.0202,0.6376 ± 0.0222,0.8416 ± 0.0115
8,gaussian_nb,SULOV,517.9600 ± 1.4993,NA,515,0.5159 ± 0.0393,0.5188 ± 0.0360,0.5619 ± 0.0605,0.6205 ± 0.0160,0.5625 ± 0.0382,0.8059 ± 0.0175,0.7791 ± 0.0193,0.5619 ± 0.0605,0.6110 ± 0.0463,0.8752 ± 0.0089,0.5601 ± 0.0591,0.6239 ± 0.0098,0.5764 ± 0.0272,0.8036 ± 0.0037,0.7814 ± 0.0109,0.5601 ± 0.0591,0.6101 ± 0.0457,0.8681 ± 0.0031
