Model,Feature_Selection,F1_macro_CV,F1_macro_Testing,Accuracy_Testing,Precision_macro_Testing,Recall_macro_Testing,AUC_macro_Testing,Precision_weighted_Testing,Recall_weighted_Testing,F1_weighted_Testing,AUC_weighted_Testing,Accuracy_CV,Precision_macro_CV,Recall_macro_CV,AUC_macro_CV,Precision_weighted_CV,Recall_weighted_CV,F1_weighted_CV,AUC_weighted_CV
decision_tree,spearman_corr,0.6335 ± 0.0260,0.6290 ± 0.0336,0.7542 ± 0.0223,0.6323 ± 0.0315,0.6309 ± 0.0388,0.7543 ± 0.0247,0.7748 ± 0.0236,0.7542 ± 0.0223,0.7628 ± 0.0212,0.8165 ± 0.0175,0.7649 ± 0.0231,0.6341 ± 0.0243,0.6344 ± 0.0276,0.7578 ± 0.0189,0.7758 ± 0.0182,0.7649 ± 0.0231,0.7700 ± 0.0203,0.8218 ± 0.0169
decision_tree,spearman_sulov,0.6269 ± 0.0162,0.6083 ± 0.0260,0.7527 ± 0.0217,0.6101 ± 0.0248,0.6080 ± 0.0274,0.7409 ± 0.0188,0.7589 ± 0.0190,0.7527 ± 0.0217,0.7549 ± 0.0200,0.8106 ± 0.0170,0.7627 ± 0.0159,0.6275 ± 0.0154,0.6272 ± 0.0171,0.7533 ± 0.0116,0.7711 ± 0.0114,0.7627 ± 0.0159,0.7667 ± 0.0136,0.8191 ± 0.0117
decision_tree,mutual_info,0.6346 ± 0.0229,0.6181 ± 0.0271,0.7524 ± 0.0228,0.6204 ± 0.0259,0.6186 ± 0.0294,0.7474 ± 0.0197,0.7681 ± 0.0189,0.7524 ± 0.0228,0.7593 ± 0.0201,0.8142 ± 0.0170,0.7615 ± 0.0198,0.6350 ± 0.0214,0.6358 ± 0.0243,0.7576 ± 0.0166,0.7738 ± 0.0162,0.7615 ± 0.0198,0.7672 ± 0.0179,0.8190 ± 0.0149
decision_tree,chi2,0.6283 ± 0.0291,0.6213 ± 0.0238,0.7579 ± 0.0176,0.6237 ± 0.0231,0.6219 ± 0.0261,0.7505 ± 0.0165,0.7727 ± 0.0164,0.7579 ± 0.0176,0.7644 ± 0.0154,0.8187 ± 0.0127,0.7594 ± 0.0184,0.6291 ± 0.0272,0.6291 ± 0.0314,0.7539 ± 0.0199,0.7723 ± 0.0166,0.7594 ± 0.0184,0.7655 ± 0.0171,0.8181 ± 0.0135
decision_tree,chi2_mi_union_topk,0.6385 ± 0.0209,0.6264 ± 0.0305,0.7634 ± 0.0261,0.6279 ± 0.0298,0.6277 ± 0.0314,0.7511 ± 0.0226,0.7704 ± 0.0211,0.7634 ± 0.0261,0.7660 ± 0.0217,0.8162 ± 0.0208,0.7637 ± 0.0155,0.6392 ± 0.0190,0.6403 ± 0.0233,0.7582 ± 0.0149,0.7795 ± 0.0112,0.7637 ± 0.0155,0.7710 ± 0.0128,0.8190 ± 0.0109
random_forest,spearman_corr,0.6319 ± 0.0148,0.6462 ± 0.0172,0.8670 ± 0.0086,0.8593 ± 0.0852,0.6644 ± 0.0091,0.8933 ± 0.0143,0.8658 ± 0.0278,0.8670 ± 0.0086,0.8264 ± 0.0080,0.9410 ± 0.0086,0.8621 ± 0.0065,0.8053 ± 0.0592,0.6548 ± 0.0089,0.8929 ± 0.0076,0.8445 ± 0.0203,0.8621 ± 0.0065,0.8195 ± 0.0082,0.9395 ± 0.0038
random_forest,spearman_sulov,0.6349 ± 0.0138,0.6442 ± 0.0200,0.8659 ± 0.0093,0.8343 ± 0.1138,0.6627 ± 0.0128,0.8908 ± 0.0104,0.8570 ± 0.0373,0.8659 ± 0.0093,0.8252 ± 0.0115,0.9402 ± 0.0063,0.8616 ± 0.0053,0.8214 ± 0.0724,0.6559 ± 0.0082,0.8947 ± 0.0067,0.8494 ± 0.0237,0.8616 ± 0.0053,0.8199 ± 0.0072,0.9403 ± 0.0034
random_forest,mutual_info,0.6496 ± 0.0165,0.6599 ± 0.0265,0.8692 ± 0.0099,0.8583 ± 0.0756,0.6719 ± 0.0160,0.8910 ± 0.0127,0.8667 ± 0.0274,0.8692 ± 0.0099,0.8315 ± 0.0130,0.9401 ± 0.0076,0.8627 ± 0.0048,0.8189 ± 0.0493,0.6634 ± 0.0093,0.8905 ± 0.0058,0.8499 ± 0.0162,0.8627 ± 0.0048,0.8248 ± 0.0069,0.9384 ± 0.0033
random_forest,chi2,0.6533 ± 0.0176,0.6568 ± 0.0286,0.8674 ± 0.0099,0.8444 ± 0.0772,0.6697 ± 0.0173,0.8896 ± 0.0149,0.8610 ± 0.0281,0.8674 ± 0.0099,0.8293 ± 0.0140,0.9390 ± 0.0097,0.8648 ± 0.0055,0.8246 ± 0.0501,0.6660 ± 0.0105,0.8915 ± 0.0072,0.8529 ± 0.0174,0.8648 ± 0.0055,0.8272 ± 0.0083,0.9390 ± 0.0039
random_forest,chi2_mi_union_topk,0.6596 ± 0.0136,0.6600 ± 0.0224,0.8648 ± 0.0126,0.7945 ± 0.0952,0.6703 ± 0.0152,0.8896 ± 0.0125,0.8462 ± 0.0326,0.8648 ± 0.0126,0.8300 ± 0.0130,0.9394 ± 0.0082,0.8608 ± 0.0046,0.7651 ± 0.0353,0.6678 ± 0.0084,0.8893 ± 0.0068,0.8336 ± 0.0120,0.8608 ± 0.0046,0.8273 ± 0.0063,0.9383 ± 0.0036
