,Model,Feature_Selection,Sampler,F1_macro_CV,F1_macro_Testing,Accuracy_Testing,Precision_macro_Testing,Recall_macro_Testing,AUC_macro_Testing,Precision_weighted_Testing,Recall_weighted_Testing,F1_weighted_Testing,AUC_weighted_Testing,Accuracy_CV,Precision_macro_CV,Recall_macro_CV,AUC_macro_CV,Precision_weighted_CV,Recall_weighted_CV,F1_weighted_CV,AUC_weighted_CV
14,extra_trees,chi2_mi_union_topk,SMOTE,0.6576 ± 0.0133,0.6577 ± 0.0229,0.8557 ± 0.0096,0.7375 ± 0.0617,0.6659 ± 0.0142,0.8941 ± 0.0117,0.8237 ± 0.0200,0.8557 ± 0.0096,0.8237 ± 0.0087,0.9401 ± 0.0080,0.8542 ± 0.0055,0.7263 ± 0.0256,0.6646 ± 0.0085,0.8876 ± 0.0114,0.8198 ± 0.0101,0.8542 ± 0.0055,0.8234 ± 0.0064,0.9360 ± 0.0066
15,xgboost,spearman_corr,SMOTE,0.6613 ± 0.0159,0.6635 ± 0.0300,0.8421 ± 0.0100,0.6929 ± 0.0394,0.6667 ± 0.0216,0.8810 ± 0.0141,0.8087 ± 0.0168,0.8421 ± 0.0100,0.8189 ± 0.0131,0.9332 ± 0.0091,0.8379 ± 0.0037,0.6888 ± 0.0202,0.6630 ± 0.0110,0.8811 ± 0.0083,0.8054 ± 0.0077,0.8379 ± 0.0037,0.8162 ± 0.0054,0.9324 ± 0.0046
16,xgboost,mutual_info,SMOTE,0.6643 ± 0.0224,0.6668 ± 0.0226,0.8436 ± 0.0079,0.7039 ± 0.0318,0.6686 ± 0.0161,0.8795 ± 0.0150,0.8122 ± 0.0122,0.8436 ± 0.0079,0.8204 ± 0.0100,0.9322 ± 0.0087,0.8399 ± 0.0067,0.6956 ± 0.0340,0.6653 ± 0.0163,0.8785 ± 0.0088,0.8082 ± 0.0129,0.8399 ± 0.0067,0.8181 ± 0.0090,0.9314 ± 0.0052
17,xgboost,spearman_sulov,SMOTE,0.6625 ± 0.0228,0.6551 ± 0.0258,0.8403 ± 0.0105,0.6820 ± 0.0389,0.6603 ± 0.0186,0.8765 ± 0.0141,0.8037 ± 0.0165,0.8403 ± 0.0105,0.8156 ± 0.0121,0.9308 ± 0.0086,0.8393 ± 0.0059,0.6909 ± 0.0293,0.6644 ± 0.0164,0.8792 ± 0.0071,0.8072 ± 0.0112,0.8393 ± 0.0059,0.8176 ± 0.0083,0.9314 ± 0.0038
18,xgboost,chi2,SMOTE,0.6613 ± 0.0203,0.6593 ± 0.0294,0.8410 ± 0.0101,0.6901 ± 0.0357,0.6633 ± 0.0215,0.8773 ± 0.0162,0.8062 ± 0.0175,0.8410 ± 0.0101,0.8167 ± 0.0142,0.9312 ± 0.0094,0.8390 ± 0.0055,0.6923 ± 0.0283,0.6631 ± 0.0142,0.8779 ± 0.0082,0.8058 ± 0.0115,0.8390 ± 0.0055,0.8163 ± 0.0081,0.9309 ± 0.0052
19,xgboost,chi2_mi_union_topk,SMOTE,0.6677 ± 0.0259,0.6728 ± 0.0295,0.8447 ± 0.0134,0.7065 ± 0.0457,0.6736 ± 0.0217,0.8754 ± 0.0071,0.8147 ± 0.0195,0.8447 ± 0.0134,0.8230 ± 0.0142,0.9292 ± 0.0056,0.8347 ± 0.0097,0.6877 ± 0.0327,0.6672 ± 0.0204,0.8581 ± 0.0118,0.8062 ± 0.0153,0.8347 ± 0.0097,0.8167 ± 0.0123,0.9188 ± 0.0067
20,adaboost,spearman_corr,SMOTE,0.6470 ± 0.0122,0.6459 ± 0.0233,0.8066 ± 0.0189,0.6502 ± 0.0280,0.6467 ± 0.0217,0.8459 ± 0.0214,0.7954 ± 0.0114,0.8066 ± 0.0189,0.7997 ± 0.0131,0.9201 ± 0.0114,0.7925 ± 0.0071,0.6469 ± 0.0123,0.6475 ± 0.0122,0.8355 ± 0.0094,0.7910 ± 0.0087,0.7925 ± 0.0071,0.7916 ± 0.0076,0.9131 ± 0.0043
21,adaboost,mutual_info,SMOTE,0.6506 ± 0.0169,0.6455 ± 0.0305,0.7989 ± 0.0277,0.6491 ± 0.0333,0.6467 ± 0.0296,0.8419 ± 0.0156,0.7922 ± 0.0177,0.7989 ± 0.0277,0.7942 ± 0.0205,0.9174 ± 0.0091,0.7987 ± 0.0117,0.6511 ± 0.0173,0.6508 ± 0.0164,0.8376 ± 0.0102,0.7928 ± 0.0114,0.7987 ± 0.0117,0.7956 ± 0.0112,0.9148 ± 0.0048
22,adaboost,spearman_sulov,SMOTE,0.6420 ± 0.0191,0.6493 ± 0.0373,0.8055 ± 0.0304,0.6574 ± 0.0442,0.6492 ± 0.0347,0.8474 ± 0.0166,0.7962 ± 0.0206,0.8055 ± 0.0304,0.7988 ± 0.0234,0.9189 ± 0.0086,0.7940 ± 0.0169,0.6429 ± 0.0206,0.6421 ± 0.0187,0.8358 ± 0.0097,0.7884 ± 0.0142,0.7940 ± 0.0169,0.7910 ± 0.0151,0.9129 ± 0.0047
23,adaboost,chi2,SMOTE,0.6562 ± 0.0159,0.6286 ± 0.0292,0.7989 ± 0.0180,0.6276 ± 0.0331,0.6325 ± 0.0259,0.8455 ± 0.0140,0.7835 ± 0.0159,0.7989 ± 0.0180,0.7902 ± 0.0146,0.9188 ± 0.0084,0.8003 ± 0.0088,0.6565 ± 0.0162,0.6563 ± 0.0153,0.8345 ± 0.0119,0.7954 ± 0.0101,0.8003 ± 0.0088,0.7977 ± 0.0094,0.9130 ± 0.0057
24,adaboost,chi2_mi_union_topk,SMOTE,0.6396 ± 0.0159,0.6233 ± 0.0252,0.7967 ± 0.0214,0.6237 ± 0.0297,0.6275 ± 0.0227,0.8368 ± 0.0097,0.7808 ± 0.0172,0.7967 ± 0.0214,0.7874 ± 0.0165,0.9156 ± 0.0067,0.7939 ± 0.0108,0.6394 ± 0.0161,0.6405 ± 0.0156,0.8378 ± 0.0113,0.7874 ± 0.0117,0.7939 ± 0.0108,0.7904 ± 0.0108,0.9135 ± 0.0045
