,Model,Feature_Selection,Sampler,F1_macro_CV,F1_macro_Testing,Accuracy_Testing,Precision_macro_Testing,Recall_macro_Testing,AUC_macro_Testing,Precision_weighted_Testing,Recall_weighted_Testing,F1_weighted_Testing,AUC_weighted_Testing,Accuracy_CV,Precision_macro_CV,Recall_macro_CV,AUC_macro_CV,Precision_weighted_CV,Recall_weighted_CV,F1_weighted_CV,AUC_weighted_CV
29,svm,chi2_mi_union_topk,RandomOverSampler,0.6654 ± 0.0124,0.6579 ± 0.0229,0.8491 ± 0.0127,0.6860 ± 0.0324,0.6651 ± 0.0166,0.8761 ± 0.0159,0.8113 ± 0.0149,0.8491 ± 0.0127,0.8232 ± 0.0120,0.9336 ± 0.0082,0.8392 ± 0.0069,0.6823 ± 0.0195,0.6665 ± 0.0099,0.8646 ± 0.0112,0.8091 ± 0.0084,0.8392 ± 0.0069,0.8207 ± 0.0069,0.9264 ± 0.0052
30,logistic_regression,spearman_corr,RandomOverSampler,0.6520 ± 0.0188,0.6669 ± 0.0205,0.7960 ± 0.0117,0.6678 ± 0.0207,0.6713 ± 0.0243,0.8547 ± 0.0152,0.8107 ± 0.0147,0.7960 ± 0.0117,0.8012 ± 0.0109,0.9177 ± 0.0067,0.7816 ± 0.0137,0.6532 ± 0.0172,0.6539 ± 0.0202,0.8528 ± 0.0097,0.7998 ± 0.0106,0.7816 ± 0.0137,0.7897 ± 0.0120,0.9140 ± 0.0045
31,logistic_regression,mutual_info,RandomOverSampler,0.6535 ± 0.0110,0.6573 ± 0.0167,0.7883 ± 0.0134,0.6594 ± 0.0167,0.6605 ± 0.0190,0.8522 ± 0.0162,0.8061 ± 0.0111,0.7883 ± 0.0134,0.7951 ± 0.0105,0.9160 ± 0.0078,0.7810 ± 0.0091,0.6549 ± 0.0100,0.6560 ± 0.0114,0.8492 ± 0.0131,0.8009 ± 0.0063,0.7810 ± 0.0091,0.7897 ± 0.0072,0.9123 ± 0.0065
32,logistic_regression,spearman_sulov,RandomOverSampler,0.6451 ± 0.0166,0.6558 ± 0.0138,0.7879 ± 0.0123,0.6579 ± 0.0144,0.6594 ± 0.0165,0.8528 ± 0.0135,0.8033 ± 0.0121,0.7879 ± 0.0123,0.7933 ± 0.0087,0.9165 ± 0.0065,0.7759 ± 0.0111,0.6470 ± 0.0153,0.6468 ± 0.0181,0.8518 ± 0.0109,0.7962 ± 0.0092,0.7759 ± 0.0111,0.7851 ± 0.0099,0.9131 ± 0.0053
33,logistic_regression,chi2,RandomOverSampler,0.6509 ± 0.0116,0.6575 ± 0.0259,0.7832 ± 0.0212,0.6611 ± 0.0240,0.6616 ± 0.0280,0.8499 ± 0.0182,0.8071 ± 0.0151,0.7832 ± 0.0212,0.7922 ± 0.0176,0.9155 ± 0.0094,0.7774 ± 0.0092,0.6529 ± 0.0106,0.6537 ± 0.0126,0.8499 ± 0.0157,0.8006 ± 0.0081,0.7774 ± 0.0092,0.7876 ± 0.0081,0.9134 ± 0.0080
34,logistic_regression,chi2_mi_union_topk,RandomOverSampler,0.6495 ± 0.0093,0.6697 ± 0.0135,0.7868 ± 0.0112,0.6744 ± 0.0133,0.6778 ± 0.0184,0.8630 ± 0.0108,0.8206 ± 0.0097,0.7868 ± 0.0112,0.7993 ± 0.0084,0.9253 ± 0.0046,0.7706 ± 0.0094,0.6557 ± 0.0075,0.6540 ± 0.0102,0.8554 ± 0.0142,0.8086 ± 0.0049,0.7706 ± 0.0094,0.7864 ± 0.0071,0.9192 ± 0.0070
35,knn,spearman_corr,RandomOverSampler,0.6054 ± 0.0139,0.6180 ± 0.0272,0.7436 ± 0.0206,0.6366 ± 0.0205,0.6259 ± 0.0297,0.8193 ± 0.0216,0.7795 ± 0.0168,0.7436 ± 0.0206,0.7457 ± 0.0218,0.8837 ± 0.0178,0.7230 ± 0.0126,0.6298 ± 0.0130,0.6153 ± 0.0173,0.8143 ± 0.0087,0.7789 ± 0.0105,0.7230 ± 0.0126,0.7328 ± 0.0105,0.8808 ± 0.0053
36,knn,mutual_info,RandomOverSampler,0.6184 ± 0.0156,0.6251 ± 0.0368,0.7505 ± 0.0281,0.6419 ± 0.0310,0.6328 ± 0.0396,0.8222 ± 0.0226,0.7894 ± 0.0201,0.7505 ± 0.0281,0.7565 ± 0.0257,0.8862 ± 0.0159,0.7363 ± 0.0124,0.6390 ± 0.0139,0.6289 ± 0.0186,0.8238 ± 0.0083,0.7869 ± 0.0107,0.7363 ± 0.0124,0.7455 ± 0.0105,0.8876 ± 0.0055
37,knn,spearman_sulov,RandomOverSampler,0.5992 ± 0.0150,0.6158 ± 0.0291,0.7399 ± 0.0221,0.6365 ± 0.0213,0.6248 ± 0.0312,0.8237 ± 0.0204,0.7811 ± 0.0171,0.7399 ± 0.0221,0.7430 ± 0.0245,0.8856 ± 0.0144,0.7160 ± 0.0121,0.6270 ± 0.0142,0.6104 ± 0.0192,0.8171 ± 0.0098,0.7760 ± 0.0106,0.7160 ± 0.0121,0.7250 ± 0.0103,0.8810 ± 0.0051
38,knn,chi2,RandomOverSampler,0.6150 ± 0.0127,0.6225 ± 0.0269,0.7469 ± 0.0232,0.6397 ± 0.0220,0.6301 ± 0.0291,0.8237 ± 0.0231,0.7833 ± 0.0168,0.7469 ± 0.0232,0.7507 ± 0.0225,0.8860 ± 0.0180,0.7305 ± 0.0078,0.6360 ± 0.0111,0.6257 ± 0.0156,0.8236 ± 0.0089,0.7822 ± 0.0079,0.7305 ± 0.0078,0.7398 ± 0.0082,0.8847 ± 0.0045
39,knn,chi2_mi_union_topk,RandomOverSampler,0.6408 ± 0.0180,0.6473 ± 0.0266,0.7773 ± 0.0228,0.6555 ± 0.0219,0.6513 ± 0.0276,0.8351 ± 0.0237,0.7993 ± 0.0151,0.7773 ± 0.0228,0.7814 ± 0.0208,0.8990 ± 0.0190,0.7574 ± 0.0142,0.6526 ± 0.0162,0.6490 ± 0.0208,0.8323 ± 0.0096,0.8008 ± 0.0115,0.7574 ± 0.0142,0.7702 ± 0.0121,0.8943 ± 0.0069
40,gaussian_nb,spearman_corr,RandomOverSampler,0.6046 ± 0.0184,0.6327 ± 0.0396,0.7212 ± 0.0449,0.6646 ± 0.0254,0.6569 ± 0.0407,0.8373 ± 0.0232,0.8165 ± 0.0201,0.7212 ± 0.0449,0.7483 ± 0.0373,0.9015 ± 0.0151,0.6901 ± 0.0238,0.6426 ± 0.0107,0.6273 ± 0.0182,0.8214 ± 0.0129,0.7989 ± 0.0096,0.6901 ± 0.0238,0.7232 ± 0.0205,0.8892 ± 0.0067
41,gaussian_nb,mutual_info,RandomOverSampler,0.6173 ± 0.0268,0.6400 ± 0.0400,0.7366 ± 0.0411,0.6643 ± 0.0333,0.6584 ± 0.0453,0.8437 ± 0.0226,0.8168 ± 0.0259,0.7366 ± 0.0411,0.7615 ± 0.0342,0.9059 ± 0.0151,0.7118 ± 0.0325,0.6446 ± 0.0183,0.6338 ± 0.0283,0.8299 ± 0.0121,0.8000 ± 0.0144,0.7118 ± 0.0325,0.7413 ± 0.0271,0.8950 ± 0.0067
42,gaussian_nb,spearman_sulov,RandomOverSampler,0.6024 ± 0.0203,0.6291 ± 0.0401,0.7161 ± 0.0451,0.6658 ± 0.0252,0.6555 ± 0.0414,0.8403 ± 0.0251,0.8194 ± 0.0206,0.7161 ± 0.0451,0.7441 ± 0.0387,0.9033 ± 0.0157,0.6860 ± 0.0262,0.6443 ± 0.0120,0.6278 ± 0.0192,0.8243 ± 0.0130,0.8012 ± 0.0113,0.6860 ± 0.0262,0.7196 ± 0.0235,0.8907 ± 0.0072
43,gaussian_nb,chi2,RandomOverSampler,0.6123 ± 0.0207,0.6290 ± 0.0458,0.7245 ± 0.0555,0.6600 ± 0.0328,0.6485 ± 0.0472,0.8448 ± 0.0259,0.8140 ± 0.0251,0.7245 ± 0.0555,0.7503 ± 0.0448,0.9060 ± 0.0164,0.7011 ± 0.0296,0.6463 ± 0.0115,0.6341 ± 0.0182,0.8335 ± 0.0112,0.8021 ± 0.0101,0.7011 ± 0.0296,0.7324 ± 0.0255,0.8961 ± 0.0063
44,gaussian_nb,chi2_mi_union_topk,RandomOverSampler,0.6502 ± 0.0143,0.6588 ± 0.0276,0.7590 ± 0.0287,0.6768 ± 0.0218,0.6736 ± 0.0317,0.8683 ± 0.0154,0.8304 ± 0.0168,0.7590 ± 0.0287,0.7839 ± 0.0228,0.9259 ± 0.0104,0.7461 ± 0.0126,0.6697 ± 0.0115,0.6652 ± 0.0185,0.8632 ± 0.0089,0.8254 ± 0.0089,0.7461 ± 0.0126,0.7756 ± 0.0101,0.9198 ± 0.0051
