,Model,Feature_Selection,Sampler,F1_macro_CV,F1_macro_Testing,Accuracy_Testing,Precision_macro_Testing,Recall_macro_Testing,AUC_macro_Testing,Precision_weighted_Testing,Recall_weighted_Testing,F1_weighted_Testing,AUC_weighted_Testing,Accuracy_CV,Precision_macro_CV,Recall_macro_CV,AUC_macro_CV,Precision_weighted_CV,Recall_weighted_CV,F1_weighted_CV,AUC_weighted_CV
35,knn,spearman_corr,SMOTE,0.5689 ± 0.0175,0.5905 ± 0.0222,0.6769 ± 0.0216,0.6476 ± 0.0158,0.6235 ± 0.0280,0.8172 ± 0.0237,0.8009 ± 0.0162,0.6769 ± 0.0216,0.6986 ± 0.0202,0.8726 ± 0.0160,0.6489 ± 0.0196,0.6404 ± 0.0106,0.6038 ± 0.0177,0.8043 ± 0.0083,0.7991 ± 0.0114,0.6489 ± 0.0196,0.6778 ± 0.0200,0.8630 ± 0.0075
36,knn,mutual_info,SMOTE,0.5789 ± 0.0164,0.5885 ± 0.0295,0.6703 ± 0.0299,0.6512 ± 0.0169,0.6228 ± 0.0339,0.8220 ± 0.0220,0.8087 ± 0.0158,0.6703 ± 0.0299,0.6981 ± 0.0285,0.8770 ± 0.0163,0.6552 ± 0.0160,0.6530 ± 0.0122,0.6241 ± 0.0202,0.8167 ± 0.0078,0.8103 ± 0.0112,0.6552 ± 0.0160,0.6824 ± 0.0154,0.8700 ± 0.0093
37,knn,spearman_sulov,SMOTE,0.5650 ± 0.0163,0.5714 ± 0.0245,0.6520 ± 0.0251,0.6461 ± 0.0150,0.6090 ± 0.0286,0.8151 ± 0.0163,0.8042 ± 0.0141,0.6520 ± 0.0251,0.6780 ± 0.0233,0.8706 ± 0.0110,0.6401 ± 0.0171,0.6472 ± 0.0108,0.6095 ± 0.0192,0.8082 ± 0.0084,0.8059 ± 0.0103,0.6401 ± 0.0171,0.6680 ± 0.0164,0.8620 ± 0.0063
38,knn,chi2,SMOTE,0.5827 ± 0.0151,0.5845 ± 0.0189,0.6700 ± 0.0229,0.6450 ± 0.0095,0.6158 ± 0.0196,0.8196 ± 0.0190,0.8009 ± 0.0101,0.6700 ± 0.0229,0.6947 ± 0.0208,0.8756 ± 0.0135,0.6575 ± 0.0161,0.6517 ± 0.0091,0.6256 ± 0.0198,0.8204 ± 0.0078,0.8075 ± 0.0080,0.6575 ± 0.0161,0.6861 ± 0.0148,0.8718 ± 0.0068
39,knn,chi2_mi_union_topk,SMOTE,0.6308 ± 0.0162,0.6329 ± 0.0229,0.7333 ± 0.0233,0.6576 ± 0.0181,0.6501 ± 0.0260,0.8411 ± 0.0179,0.8087 ± 0.0167,0.7333 ± 0.0233,0.7540 ± 0.0218,0.8968 ± 0.0158,0.7217 ± 0.0106,0.6610 ± 0.0166,0.6553 ± 0.0233,0.8354 ± 0.0095,0.8129 ± 0.0141,0.7217 ± 0.0106,0.7468 ± 0.0104,0.8887 ± 0.0062
40,gaussian_nb,spearman_corr,SMOTE,0.6188 ± 0.0136,0.6471 ± 0.0343,0.7454 ± 0.0350,0.6639 ± 0.0273,0.6634 ± 0.0372,0.8372 ± 0.0224,0.8120 ± 0.0208,0.7454 ± 0.0350,0.7675 ± 0.0288,0.9007 ± 0.0147,0.7173 ± 0.0197,0.6388 ± 0.0102,0.6321 ± 0.0150,0.8208 ± 0.0107,0.7915 ± 0.0094,0.7173 ± 0.0197,0.7438 ± 0.0148,0.8883 ± 0.0062
41,gaussian_nb,mutual_info,SMOTE,0.6287 ± 0.0169,0.6409 ± 0.0381,0.7491 ± 0.0379,0.6552 ± 0.0324,0.6503 ± 0.0425,0.8409 ± 0.0224,0.8063 ± 0.0236,0.7491 ± 0.0379,0.7696 ± 0.0309,0.9037 ± 0.0145,0.7344 ± 0.0205,0.6429 ± 0.0143,0.6385 ± 0.0195,0.8271 ± 0.0100,0.7955 ± 0.0107,0.7344 ± 0.0205,0.7577 ± 0.0153,0.8929 ± 0.0053
42,gaussian_nb,spearman_sulov,SMOTE,0.6179 ± 0.0196,0.6448 ± 0.0393,0.7414 ± 0.0382,0.6637 ± 0.0329,0.6629 ± 0.0434,0.8396 ± 0.0238,0.8121 ± 0.0253,0.7414 ± 0.0382,0.7642 ± 0.0326,0.9026 ± 0.0150,0.7151 ± 0.0232,0.6406 ± 0.0164,0.6333 ± 0.0246,0.8235 ± 0.0117,0.7942 ± 0.0139,0.7151 ± 0.0232,0.7422 ± 0.0189,0.8899 ± 0.0071
43,gaussian_nb,chi2,SMOTE,0.6261 ± 0.0176,0.6353 ± 0.0384,0.7421 ± 0.0429,0.6544 ± 0.0327,0.6467 ± 0.0432,0.8419 ± 0.0246,0.8075 ± 0.0244,0.7421 ± 0.0429,0.7640 ± 0.0328,0.9045 ± 0.0150,0.7267 ± 0.0241,0.6442 ± 0.0130,0.6392 ± 0.0186,0.8317 ± 0.0105,0.7966 ± 0.0102,0.7267 ± 0.0241,0.7518 ± 0.0184,0.8944 ± 0.0057
44,gaussian_nb,chi2_mi_union_topk,SMOTE,0.6511 ± 0.0141,0.6578 ± 0.0307,0.7630 ± 0.0303,0.6729 ± 0.0252,0.6691 ± 0.0363,0.8668 ± 0.0157,0.8268 ± 0.0185,0.7630 ± 0.0303,0.7864 ± 0.0244,0.9248 ± 0.0100,0.7528 ± 0.0119,0.6663 ± 0.0114,0.6623 ± 0.0180,0.8627 ± 0.0086,0.8217 ± 0.0079,0.7528 ± 0.0119,0.7798 ± 0.0095,0.9189 ± 0.0045
