,Model,Feature_Selection,Sampler,F1_macro_CV,F1_macro_Testing,Accuracy_Testing,Precision_macro_Testing,Recall_macro_Testing,AUC_macro_Testing,Precision_weighted_Testing,Recall_weighted_Testing,F1_weighted_Testing,AUC_weighted_Testing,Accuracy_CV,Precision_macro_CV,Recall_macro_CV,AUC_macro_CV,Precision_weighted_CV,Recall_weighted_CV,F1_weighted_CV,AUC_weighted_CV
0,decision_tree,spearman_corr,RandomOverSampler,0.6122 ± 0.0155,0.6277 ± 0.0248,0.7696 ± 0.0249,0.6299 ± 0.0248,0.6282 ± 0.0251,0.7550 ± 0.0178,0.7716 ± 0.0186,0.7696 ± 0.0249,0.7695 ± 0.0209,0.8228 ± 0.0175,0.7478 ± 0.0134,0.6135 ± 0.0148,0.6123 ± 0.0161,0.7421 ± 0.0104,0.7590 ± 0.0090,0.7478 ± 0.0134,0.7529 ± 0.0105,0.8078 ± 0.0085
1,decision_tree,mutual_info,RandomOverSampler,0.6154 ± 0.0166,0.6225 ± 0.0308,0.7678 ± 0.0250,0.6237 ± 0.0326,0.6235 ± 0.0302,0.7516 ± 0.0201,0.7658 ± 0.0211,0.7678 ± 0.0250,0.7658 ± 0.0221,0.8195 ± 0.0187,0.7495 ± 0.0098,0.6159 ± 0.0161,0.6162 ± 0.0177,0.7440 ± 0.0106,0.7580 ± 0.0102,0.7495 ± 0.0098,0.7533 ± 0.0086,0.8077 ± 0.0069
2,decision_tree,spearman_sulov,RandomOverSampler,0.6173 ± 0.0173,0.6452 ± 0.0189,0.7795 ± 0.0220,0.6469 ± 0.0183,0.6456 ± 0.0186,0.7659 ± 0.0138,0.7800 ± 0.0173,0.7795 ± 0.0220,0.7786 ± 0.0196,0.8292 ± 0.0173,0.7528 ± 0.0173,0.6179 ± 0.0170,0.6183 ± 0.0180,0.7462 ± 0.0125,0.7617 ± 0.0145,0.7528 ± 0.0173,0.7569 ± 0.0150,0.8110 ± 0.0131
3,decision_tree,chi2,RandomOverSampler,0.6173 ± 0.0091,0.6186 ± 0.0184,0.7659 ± 0.0150,0.6201 ± 0.0201,0.6196 ± 0.0174,0.7486 ± 0.0119,0.7607 ± 0.0155,0.7659 ± 0.0150,0.7623 ± 0.0139,0.8164 ± 0.0121,0.7470 ± 0.0072,0.6184 ± 0.0085,0.6180 ± 0.0098,0.7447 ± 0.0055,0.7599 ± 0.0061,0.7470 ± 0.0072,0.7530 ± 0.0055,0.8072 ± 0.0050
4,decision_tree,chi2_mi_union_topk,RandomOverSampler,0.6269 ± 0.0252,0.6449 ± 0.0374,0.7692 ± 0.0257,0.6464 ± 0.0370,0.6463 ± 0.0390,0.7534 ± 0.0289,0.7768 ± 0.0240,0.7692 ± 0.0257,0.7719 ± 0.0243,0.8127 ± 0.0229,0.7582 ± 0.0166,0.6274 ± 0.0237,0.6278 ± 0.0269,0.7401 ± 0.0202,0.7685 ± 0.0138,0.7582 ± 0.0166,0.7629 ± 0.0150,0.8051 ± 0.0147
5,random_forest,spearman_corr,RandomOverSampler,0.6641 ± 0.0121,0.6609 ± 0.0302,0.8648 ± 0.0113,0.7812 ± 0.0763,0.6711 ± 0.0189,0.8944 ± 0.0131,0.8409 ± 0.0294,0.8648 ± 0.0113,0.8296 ± 0.0139,0.9417 ± 0.0083,0.8619 ± 0.0027,0.7688 ± 0.0209,0.6708 ± 0.0067,0.8953 ± 0.0075,0.8360 ± 0.0069,0.8619 ± 0.0027,0.8295 ± 0.0040,0.9409 ± 0.0034
6,random_forest,mutual_info,RandomOverSampler,0.6541 ± 0.0145,0.6547 ± 0.0255,0.8612 ± 0.0115,0.7360 ± 0.0575,0.6667 ± 0.0152,0.8879 ± 0.0124,0.8254 ± 0.0229,0.8612 ± 0.0115,0.8263 ± 0.0121,0.9386 ± 0.0090,0.8549 ± 0.0053,0.7288 ± 0.0350,0.6629 ± 0.0094,0.8901 ± 0.0064,0.8202 ± 0.0114,0.8549 ± 0.0053,0.8226 ± 0.0069,0.9384 ± 0.0040
7,random_forest,spearman_sulov,RandomOverSampler,0.6649 ± 0.0165,0.6519 ± 0.0229,0.8659 ± 0.0098,0.7511 ± 0.0797,0.6669 ± 0.0123,0.8911 ± 0.0142,0.8317 ± 0.0267,0.8659 ± 0.0098,0.8282 ± 0.0094,0.9404 ± 0.0091,0.8619 ± 0.0054,0.7606 ± 0.0319,0.6711 ± 0.0106,0.8964 ± 0.0065,0.8337 ± 0.0123,0.8619 ± 0.0054,0.8298 ± 0.0076,0.9416 ± 0.0036
8,random_forest,chi2,RandomOverSampler,0.6553 ± 0.0163,0.6583 ± 0.0229,0.8615 ± 0.0100,0.7430 ± 0.0546,0.6686 ± 0.0138,0.8873 ± 0.0110,0.8283 ± 0.0196,0.8615 ± 0.0100,0.8277 ± 0.0094,0.9386 ± 0.0082,0.8561 ± 0.0038,0.7303 ± 0.0320,0.6642 ± 0.0097,0.8918 ± 0.0057,0.8213 ± 0.0107,0.8561 ± 0.0038,0.8238 ± 0.0050,0.9392 ± 0.0041
9,random_forest,chi2_mi_union_topk,RandomOverSampler,0.6694 ± 0.0125,0.6807 ± 0.0200,0.8601 ± 0.0106,0.7459 ± 0.0453,0.6809 ± 0.0143,0.8926 ± 0.0118,0.8317 ± 0.0170,0.8601 ± 0.0106,0.8339 ± 0.0109,0.9406 ± 0.0081,0.8535 ± 0.0069,0.7207 ± 0.0241,0.6717 ± 0.0090,0.8867 ± 0.0095,0.8205 ± 0.0104,0.8535 ± 0.0069,0.8273 ± 0.0072,0.9367 ± 0.0058
