,Accuracy_Testing,Precision_macro_Testing,Recall_macro_Testing,F1_macro_Testing,AUC_macro_Testing,Precision_weighted_Testing,Recall_weighted_Testing,F1_weighted_Testing,AUC_weighted_Testing,Accuracy_CV,Precision_macro_CV,Recall_macro_CV,F1_macro_CV,AUC_macro_CV,Precision_weighted_CV,Recall_weighted_CV,F1_weighted_CV,AUC_weighted_CV
decision_tree,0.5066 ± 0.0378,0.4402 ± 0.0409,0.4403 ± 0.0398,0.4394 ± 0.0403,0.5856 ± 0.0300,0.5068 ± 0.0381,0.5066 ± 0.0378,0.5058 ± 0.0373,0.5963 ± 0.0320,0.5011 ± 0.0205,0.4273 ± 0.0204,0.4264 ± 0.0197,0.4265 ± 0.0200,0.5769 ± 0.0144,0.4992 ± 0.0171,0.5011 ± 0.0205,0.4999 ± 0.0188,0.5912 ± 0.0146
random_forest,0.5872 ± 0.0222,0.5137 ± 0.0356,0.4697 ± 0.0272,0.4689 ± 0.0330,0.7488 ± 0.0132,0.5569 ± 0.0278,0.5872 ± 0.0222,0.5551 ± 0.0250,0.7547 ± 0.0139,0.5794 ± 0.0165,0.4927 ± 0.0191,0.4648 ± 0.0173,0.4645 ± 0.0197,0.7429 ± 0.0111,0.5455 ± 0.0176,0.5794 ± 0.0165,0.5512 ± 0.0179,0.7477 ± 0.0103
extra_trees,0.5912 ± 0.0231,0.4937 ± 0.0524,0.4799 ± 0.0309,0.4724 ± 0.0392,0.7460 ± 0.0145,0.5561 ± 0.0348,0.5912 ± 0.0231,0.5637 ± 0.0264,0.7552 ± 0.0159,0.5764 ± 0.0123,0.4849 ± 0.0245,0.4676 ± 0.0160,0.4642 ± 0.0194,0.7385 ± 0.0086,0.5456 ± 0.0164,0.5764 ± 0.0123,0.5527 ± 0.0138,0.7453 ± 0.0071
xgboost,0.5795 ± 0.0315,0.5018 ± 0.0432,0.4835 ± 0.0347,0.4862 ± 0.0375,0.7352 ± 0.0169,0.5582 ± 0.0332,0.5795 ± 0.0315,0.5638 ± 0.0311,0.7382 ± 0.0186,0.5616 ± 0.0192,0.4806 ± 0.0247,0.4695 ± 0.0241,0.4717 ± 0.0252,0.7131 ± 0.0151,0.5412 ± 0.0233,0.5616 ± 0.0192,0.5484 ± 0.0221,0.7159 ± 0.0153
adaboost,0.5824 ± 0.0143,0.5012 ± 0.0284,0.4725 ± 0.0212,0.4742 ± 0.0245,0.7307 ± 0.0156,0.5531 ± 0.0205,0.5824 ± 0.0143,0.5569 ± 0.0175,0.7412 ± 0.0153,0.5731 ± 0.0150,0.4927 ± 0.0222,0.4718 ± 0.0173,0.4752 ± 0.0192,0.7093 ± 0.0159,0.5468 ± 0.0169,0.5731 ± 0.0150,0.5535 ± 0.0154,0.7165 ± 0.0147
svm,0.6048 ± 0.0201,0.5356 ± 0.0415,0.4864 ± 0.0256,0.4810 ± 0.0309,0.7606 ± 0.0163,0.5773 ± 0.0302,0.6048 ± 0.0201,0.5708 ± 0.0236,0.7628 ± 0.0165,0.5869 ± 0.0137,0.5124 ± 0.0301,0.4726 ± 0.0207,0.4699 ± 0.0269,0.7462 ± 0.0111,0.5580 ± 0.0225,0.5869 ± 0.0137,0.5572 ± 0.0194,0.7463 ± 0.0103
logistic_regression,0.5220 ± 0.0193,0.4758 ± 0.0247,0.4832 ± 0.0270,0.4764 ± 0.0245,0.6358 ± 0.0237,0.5401 ± 0.0239,0.5220 ± 0.0193,0.5283 ± 0.0199,0.6462 ± 0.0226,0.5057 ± 0.0198,0.4538 ± 0.0194,0.4587 ± 0.0197,0.4550 ± 0.0197,0.5977 ± 0.0228,0.5184 ± 0.0183,0.5057 ± 0.0198,0.5110 ± 0.0191,0.6075 ± 0.0219
knn,0.5410 ± 0.0168,0.4888 ± 0.1187,0.3769 ± 0.0267,0.3306 ± 0.0404,0.6025 ± 0.0162,0.5176 ± 0.0970,0.5410 ± 0.0168,0.4361 ± 0.0291,0.6094 ± 0.0159,0.5473 ± 0.0096,0.4838 ± 0.0486,0.3838 ± 0.0117,0.3410 ± 0.0163,0.6042 ± 0.0146,0.5128 ± 0.0392,0.5473 ± 0.0096,0.4448 ± 0.0123,0.6112 ± 0.0172
gaussian_nb,0.5919 ± 0.0241,0.5205 ± 0.0204,0.5152 ± 0.0188,0.5144 ± 0.0198,0.7272 ± 0.0146,0.5913 ± 0.0171,0.5919 ± 0.0241,0.5887 ± 0.0200,0.7373 ± 0.0149,0.5736 ± 0.0095,0.5083 ± 0.0129,0.5088 ± 0.0152,0.5053 ± 0.0138,0.7114 ± 0.0077,0.5784 ± 0.0150,0.5736 ± 0.0095,0.5736 ± 0.0121,0.7208 ± 0.0081
