,Accuracy_Testing,Precision_macro_Testing,Recall_macro_Testing,F1_macro_Testing,AUC_macro_Testing,Precision_weighted_Testing,Recall_weighted_Testing,F1_weighted_Testing,AUC_weighted_Testing,Accuracy_CV,Precision_macro_CV,Recall_macro_CV,F1_macro_CV,AUC_macro_CV,Precision_weighted_CV,Recall_weighted_CV,F1_weighted_CV,AUC_weighted_CV
STACKING_decision_tree,0.6762 ± 0.0331,0.5483 ± 0.0261,0.5405 ± 0.0317,0.5418 ± 0.0292,0.7010 ± 0.0276,0.6931 ± 0.0208,0.6762 ± 0.0331,0.6820 ± 0.0268,0.7555 ± 0.0242,0.6730 ± 0.0143,0.5421 ± 0.0140,0.5400 ± 0.0162,0.5399 ± 0.0150,0.6941 ± 0.0196,0.6818 ± 0.0131,0.6730 ± 0.0143,0.6761 ± 0.0133,0.7430 ± 0.0156
STACKING_random_forest,0.7645 ± 0.0232,0.6015 ± 0.0336,0.5977 ± 0.0209,0.5926 ± 0.0226,0.7964 ± 0.0204,0.7402 ± 0.0133,0.7645 ± 0.0232,0.7486 ± 0.0156,0.8648 ± 0.0160,0.7563 ± 0.0107,0.5963 ± 0.0256,0.5952 ± 0.0158,0.5915 ± 0.0198,0.7820 ± 0.0158,0.7332 ± 0.0123,0.7563 ± 0.0107,0.7424 ± 0.0107,0.8527 ± 0.0097
STACKING_extra_trees,0.7604 ± 0.0196,0.5837 ± 0.0243,0.5864 ± 0.0169,0.5766 ± 0.0178,0.7827 ± 0.0266,0.7272 ± 0.0187,0.7604 ± 0.0196,0.7390 ± 0.0179,0.8523 ± 0.0191,0.7572 ± 0.0116,0.5929 ± 0.0270,0.5887 ± 0.0149,0.5818 ± 0.0189,0.7625 ± 0.0209,0.7273 ± 0.0131,0.7572 ± 0.0116,0.7373 ± 0.0118,0.8409 ± 0.0142
STACKING_xgboost,0.7418 ± 0.0354,0.5808 ± 0.0411,0.5823 ± 0.0388,0.5795 ± 0.0390,0.7925 ± 0.0276,0.7253 ± 0.0297,0.7418 ± 0.0354,0.7325 ± 0.0318,0.8514 ± 0.0245,0.7349 ± 0.0171,0.5687 ± 0.0253,0.5746 ± 0.0191,0.5705 ± 0.0216,0.7711 ± 0.0213,0.7148 ± 0.0167,0.7349 ± 0.0171,0.7243 ± 0.0164,0.8335 ± 0.0162
STACKING_adaboost,0.7714 ± 0.0195,0.6100 ± 0.0347,0.6035 ± 0.0206,0.5966 ± 0.0253,0.8094 ± 0.0136,0.7383 ± 0.0210,0.7714 ± 0.0195,0.7495 ± 0.0200,0.8790 ± 0.0093,0.7502 ± 0.0092,0.5922 ± 0.0176,0.5893 ± 0.0096,0.5832 ± 0.0143,0.7957 ± 0.0056,0.7203 ± 0.0089,0.7502 ± 0.0092,0.7307 ± 0.0078,0.8623 ± 0.0035
STACKING_svm,0.7216 ± 0.0228,0.6072 ± 0.0190,0.6014 ± 0.0235,0.6002 ± 0.0220,0.8069 ± 0.0211,0.7546 ± 0.0167,0.7216 ± 0.0228,0.7352 ± 0.0200,0.8739 ± 0.0166,0.7061 ± 0.0131,0.5952 ± 0.0132,0.5898 ± 0.0169,0.5888 ± 0.0148,0.7940 ± 0.0094,0.7413 ± 0.0106,0.7061 ± 0.0131,0.7217 ± 0.0113,0.8610 ± 0.0060
STACKING_knn,0.6700 ± 0.0395,0.5750 ± 0.0281,0.5667 ± 0.0370,0.5611 ± 0.0326,0.7602 ± 0.0287,0.7120 ± 0.0250,0.6700 ± 0.0395,0.6821 ± 0.0318,0.8238 ± 0.0209,0.6535 ± 0.0221,0.5608 ± 0.0195,0.5505 ± 0.0232,0.5469 ± 0.0207,0.7453 ± 0.0193,0.7012 ± 0.0194,0.6535 ± 0.0221,0.6704 ± 0.0199,0.8093 ± 0.0198
STACKING_gaussian_nb,0.6806 ± 0.0337,0.5599 ± 0.0350,0.5563 ± 0.0348,0.5514 ± 0.0356,0.7613 ± 0.0280,0.6883 ± 0.0328,0.6806 ± 0.0337,0.6763 ± 0.0332,0.8238 ± 0.0246,0.6733 ± 0.0115,0.5573 ± 0.0120,0.5542 ± 0.0137,0.5498 ± 0.0128,0.7013 ± 0.0154,0.6839 ± 0.0111,0.6733 ± 0.0115,0.6712 ± 0.0109,0.7641 ± 0.0130
