model,sampler,target_type,classes,n_classes,accuracy_cv_mean,accuracy_cv_std,accuracy_train_mean,accuracy_train_std,accuracy_test_mean,accuracy_test_std,f1_cv_mean,f1_cv_std,f1_train_mean,f1_train_std,f1_test_mean,f1_test_std,recall_cv_mean,recall_cv_std,recall_train_mean,recall_train_std,recall_test_mean,recall_test_std,precision_cv_mean,precision_cv_std,precision_train_mean,precision_train_std,precision_test_mean,precision_test_std,misclassification_cost_mean_cv_mean,misclassification_cost_mean_cv_std,misclassification_cost_mean_train_mean,misclassification_cost_mean_train_std,misclassification_cost_mean_test_mean,misclassification_cost_mean_test_std,misclassification_cost_total_cv_mean,misclassification_cost_total_cv_std,misclassification_cost_total_train_mean,misclassification_cost_total_train_std,misclassification_cost_total_test_mean,misclassification_cost_total_test_std,misclassification_score_cv_mean,misclassification_score_cv_std,misclassification_score_train_mean,misclassification_score_train_std,misclassification_score_test_mean,misclassification_score_test_std,misclassification_cost_mean_true_class_0_cv_mean,misclassification_cost_mean_true_class_0_cv_std,misclassification_cost_mean_true_class_0_train_mean,misclassification_cost_mean_true_class_0_train_std,misclassification_cost_mean_true_class_0_test_mean,misclassification_cost_mean_true_class_0_test_std,misclassification_cost_mean_true_class_1_cv_mean,misclassification_cost_mean_true_class_1_cv_std,misclassification_cost_mean_true_class_1_train_mean,misclassification_cost_mean_true_class_1_train_std,misclassification_cost_mean_true_class_1_test_mean,misclassification_cost_mean_true_class_1_test_std,roc_auc_cv_mean,roc_auc_cv_std,roc_auc_train_mean,roc_auc_train_std,roc_auc_test_mean,roc_auc_test_std,aucpr_cv_mean,aucpr_cv_std,aucpr_train_mean,aucpr_train_std,aucpr_test_mean,aucpr_test_std,aucpr_baseline_cv_mean,aucpr_baseline_cv_std,aucpr_baseline_train_mean,aucpr_baseline_train_std,aucpr_baseline_test_mean,aucpr_baseline_test_std,precision_class_0_cv_mean,precision_class_0_cv_std,precision_class_0_train_mean,precision_class_0_train_std,precision_class_0_test_mean,precision_class_0_test_std,recall_class_0_cv_mean,recall_class_0_cv_std,recall_class_0_train_mean,recall_class_0_train_std,recall_class_0_test_mean,recall_class_0_test_std,f1_class_0_cv_mean,f1_class_0_cv_std,f1_class_0_train_mean,f1_class_0_train_std,f1_class_0_test_mean,f1_class_0_test_std,support_class_0_cv_mean,support_class_0_cv_std,support_class_0_train_mean,support_class_0_train_std,support_class_0_test_mean,support_class_0_test_std,precision_class_1_cv_mean,precision_class_1_cv_std,precision_class_1_train_mean,precision_class_1_train_std,precision_class_1_test_mean,precision_class_1_test_std,recall_class_1_cv_mean,recall_class_1_cv_std,recall_class_1_train_mean,recall_class_1_train_std,recall_class_1_test_mean,recall_class_1_test_std,f1_class_1_cv_mean,f1_class_1_cv_std,f1_class_1_train_mean,f1_class_1_train_std,f1_class_1_test_mean,f1_class_1_test_std,support_class_1_cv_mean,support_class_1_cv_std,support_class_1_train_mean,support_class_1_train_std,support_class_1_test_mean,support_class_1_test_std,tn_cv_mean,tn_cv_std,tn_train_mean,tn_train_std,tn_test_mean,tn_test_std,fp_cv_mean,fp_cv_std,fp_train_mean,fp_train_std,fp_test_mean,fp_test_std,fn_cv_mean,fn_cv_std,fn_train_mean,fn_train_std,fn_test_mean,fn_test_std,tp_cv_mean,tp_cv_std,tp_train_mean,tp_train_std,tp_test_mean,tp_test_std,specificity_cv_mean,specificity_cv_std,specificity_train_mean,specificity_train_std,specificity_test_mean,specificity_test_std,npv_cv_mean,npv_cv_std,npv_train_mean,npv_train_std,npv_test_mean,npv_test_std,fpr_cv_mean,fpr_cv_std,fpr_train_mean,fpr_train_std,fpr_test_mean,fpr_test_std,fnr_cv_mean,fnr_cv_std,fnr_train_mean,fnr_train_std,fnr_test_mean,fnr_test_std,OVR_Label,X_Processing
dummy_most_frequent,,binary,"[0, 1]",2,0.9253731343283583,0.0,0.9252615844544095,0.0,0.9233449477351916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.373134328358209,0.0,0.37369207772795215,0.0,0.3832752613240418,0.0,75.0,0.0,250.0,0.0,110.0,0.0,-0.373134328358209,0.0,-0.37369207772795215,0.0,-0.3832752613240418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.07462686567164178,0.0,0.07473841554559044,0.0,0.07665505226480837,1.4628472785736255e-17,0.07462686567164178,0.0,0.07473841554559044,0.0,0.07665505226480837,1.4628472785736255e-17,0.9253731343283583,0.0,0.9252615844544095,0.0,0.9233449477351916,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.9612403100775195,0.0,0.9611801242236024,0.0,0.960144927536232,1.1702778228589004e-16,186.0,0.0,619.0,0.0,265.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,50.0,0.0,22.0,0.0,186.0,0.0,619.0,0.0,265.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,50.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.9253731343283583,0.0,0.9252615844544095,0.0,0.9233449477351916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2 0-1,X_STATS_V2
dummy_stratified,,binary,"[0, 1]",2,0.8707462686567166,0.0022714286790399925,0.8535127055306427,0.004674056561856907,0.8599303135888501,0.006732346920413206,0.07214285714285713,0.016305613017394218,0.057692307692307696,0.030066767691175833,0.06511627906976744,0.044934501538571904,0.06733333333333333,0.015218572149567936,0.06000000000000001,0.03126943839882287,0.06363636363636363,0.04391326286724072,0.0776923076923077,0.01755989094180916,0.05555555555555556,0.028953183702613763,0.06666666666666667,0.04600437062282361,0.40766169154228854,0.006814286037119966,0.4275037369207773,0.014022169685570808,0.42717770034843205,0.020197040761239637,81.94,1.369671493461116,286.0,9.38083151964686,122.6,5.796550698475776,-0.40766169154228854,0.006814286037119966,-0.4275037369207773,0.014022169685570808,-0.42717770034843205,0.020197040761239637,0.06446236559139784,0.001227304205610316,0.08239095315024234,0.002525802778580196,0.0739622641509434,0.0036456293701105495,4.663333333333333,0.07609286074783954,4.7,0.1563471919941144,4.681818181818182,0.21956631433620344,0.5014354838709678,0.00822293817758916,0.48880452342487885,0.016897620588701548,0.4948370497427101,0.023779446118675617,0.07919173363949483,0.003554102954277517,0.07440225876100315,0.00147136913717324,0.07783760954492662,0.004246759143235228,0.07462686567164178,0.0,0.07473841554559044,0.0,0.07665505226480837,1.4628472785736255e-17,0.9255851063829785,0.0012142477778910288,0.9235772357723577,0.002542230764131964,0.9225563909774437,0.003631923996538733,0.9355376344086019,0.001227304205610345,0.9176090468497577,0.0025258027785802044,0.9260377358490566,0.00364562937011055,0.9305347593582887,0.0012207410815161025,0.9205834683954619,0.0025339901457717357,0.9242937853107345,0.003638763778076464,186.0,0.0,619.0,0.0,265.0,0.0,0.0776923076923077,0.01755989094180916,0.05555555555555556,0.028953183702613763,0.06666666666666667,0.04600437062282361,0.06733333333333333,0.015218572149567936,0.06000000000000001,0.03126943839882287,0.06363636363636363,0.04391326286724072,0.07214285714285713,0.016305613017394218,0.057692307692307696,0.030066767691175833,0.06511627906976744,0.044934501538571904,15.0,0.0,50.0,0.0,22.0,0.0,174.01,0.2282785822435158,568.0,1.5634719199411433,245.4,0.9660917830792958,11.99,0.22827858224351888,51.0,1.5634719199411433,19.6,0.9660917830792958,13.99,0.22827858224351888,47.0,1.5634719199411433,20.6,0.9660917830792958,1.01,0.22827858224351907,3.0,1.5634719199411433,1.4,0.9660917830792959,0.9355376344086019,0.001227304205610345,0.9176090468497577,0.0025258027785802044,0.9260377358490566,0.00364562937011055,0.9255851063829785,0.0012142477778910288,0.9235772357723577,0.002542230764131964,0.9225563909774437,0.003631923996538733,0.06446236559139784,0.001227304205610316,0.08239095315024234,0.002525802778580196,0.0739622641509434,0.0036456293701105495,0.9326666666666666,0.015218572149567894,0.9399999999999998,0.031269438398822846,0.9363636363636363,0.04391326286724074,2 0-1,X_STATS_V2
dummy_most_frequent,,binary,"[0, 1]",2,0.5024875621890548,0.0,0.5022421524663676,1.1702778228589004e-16,0.5017421602787457,1.1702778228589004e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.487562189054727,4.681111291435602e-16,2.4887892376681613,0.0,2.491289198606272,0.0,500.0,0.0,1665.0,0.0,715.0,0.0,-2.487562189054727,4.681111291435602e-16,-2.4887892376681613,0.0,-2.491289198606272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.49751243781094534,0.0,0.49775784753363234,5.851389114294502e-17,0.4982578397212543,5.851389114294502e-17,0.49751243781094534,0.0,0.49775784753363234,5.851389114294502e-17,0.4982578397212543,5.851389114294502e-17,0.5024875621890548,0.0,0.5022421524663676,1.1702778228589004e-16,0.5017421602787457,1.1702778228589004e-16,1.0,0.0,1.0,0.0,1.0,0.0,0.6688741721854303,0.0,0.6686567164179105,0.0,0.6682134570765662,1.1702778228589004e-16,101.0,0.0,336.0,0.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,333.0,0.0,143.0,0.0,101.0,0.0,336.0,0.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,333.0,0.0,143.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.5024875621890548,0.0,0.5022421524663676,1.1702778228589004e-16,0.5017421602787457,1.1702778228589004e-16,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1 vs 0-2,X_STATS_V2
dummy_stratified,,binary,"[0, 1]",2,0.5073631840796019,0.01398119127244282,0.49357249626307925,0.017837290152677193,0.5010452961672474,0.029964256439669386,0.5024120603015075,0.014121705757593047,0.49432835820895515,0.01781066733155378,0.5095890410958904,0.029451169856798364,0.49989999999999996,0.014051097228805048,0.49729729729729727,0.017917638306518078,0.5202797202797202,0.03006902656708083,0.5049494949494949,0.014193027503843469,0.4913946587537092,0.01770496604175228,0.49932885906040275,0.028858193282500402,1.4878606965174128,0.04194357381732853,1.507324364723468,0.053511870458031546,1.4550522648083624,0.08989276931900823,299.06,8.43065833728303,1008.4,35.799441336423115,417.6,25.79922479455536,-1.4878606965174128,0.04194357381732853,-1.507324364723468,0.053511870458031546,-1.4550522648083624,0.08989276931900823,0.4852475247524753,0.013911977454262463,0.5101190476190476,0.017757659393067025,0.5180555555555555,0.029860213882587215,2.5004999999999997,0.07025548614402517,2.513513513513513,0.08958819153259036,2.3986013986013983,0.1503451328354042,0.5073262376237625,0.01398153734153377,0.49358912483912487,0.017837648849792553,0.5011120823620823,0.02996462022483401,0.5026716267149103,0.00712278532964565,0.4948789590111728,0.0087485601922495,0.4995960333658811,0.014626806306972892,0.49751243781094534,0.0,0.49775784753363234,5.851389114294502e-17,0.4982578397212543,5.851389114294502e-17,0.5097058823529411,0.013775585518436353,0.4957831325301204,0.017971607096597945,0.5028985507246377,0.031158484051395364,0.5147524752475248,0.013911977454262455,0.48988095238095236,0.01775765939306703,0.48194444444444445,0.02986021388258722,0.5122167487684729,0.013843445545620767,0.492814371257485,0.017863992682845865,0.4921985815602836,0.030495537582216726,101.0,0.0,336.0,0.0,144.0,0.0,0.5049494949494949,0.014193027503843469,0.4913946587537092,0.01770496604175228,0.49932885906040275,0.028858193282500402,0.49989999999999996,0.014051097228805048,0.49729729729729727,0.017917638306518078,0.5202797202797202,0.03006902656708083,0.5024120603015075,0.014121705757593047,0.49432835820895515,0.01781066733155378,0.5095890410958904,0.029451169856798364,100.0,0.0,333.0,0.0,143.0,0.0,51.989999999999995,1.405109722880506,164.6,5.96657355607052,69.4,4.2998707990925595,49.010000000000005,1.405109722880506,171.4,5.96657355607052,74.6,4.2998707990925595,50.010000000000005,1.405109722880506,167.4,5.96657355607052,68.6,4.2998707990925595,49.989999999999995,1.405109722880506,165.6,5.96657355607052,74.4,4.2998707990925595,0.5147524752475248,0.013911977454262455,0.48988095238095236,0.01775765939306703,0.48194444444444445,0.02986021388258722,0.5097058823529411,0.013775585518436353,0.4957831325301204,0.017971607096597945,0.5028985507246377,0.031158484051395364,0.4852475247524753,0.013911977454262463,0.5101190476190476,0.017757659393067025,0.5180555555555555,0.029860213882587215,0.5001,0.01405109722880508,0.5027027027027027,0.01791763830651807,0.47972027972027975,0.030069026567080832,1 vs 0-2,X_STATS_V2
dummy_most_frequent,,binary,"[0, 1]",2,0.5721393034825868,1.1702778228589004e-16,0.5724962630792227,0.0,0.5749128919860629,1.1702778228589004e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1393034825870645,0.0,2.1375186846038865,0.0,2.1254355400696867,4.681111291435602e-16,430.0,0.0,1430.0,0.0,610.0,0.0,-2.1393034825870645,0.0,-2.1375186846038865,0.0,-2.1254355400696867,4.681111291435602e-16,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.4278606965174129,0.0,0.4275037369207773,5.851389114294502e-17,0.42508710801393723,5.851389114294502e-17,0.4278606965174129,0.0,0.4275037369207773,5.851389114294502e-17,0.42508710801393723,5.851389114294502e-17,0.5721393034825868,1.1702778228589004e-16,0.5724962630792227,0.0,0.5749128919860629,1.1702778228589004e-16,1.0,0.0,1.0,0.0,1.0,0.0,0.7278481012658229,0.0,0.7281368821292775,0.0,0.7300884955752213,0.0,115.0,0.0,383.0,0.0,165.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,0.0,286.0,0.0,122.0,0.0,115.0,0.0,383.0,0.0,165.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,0.0,286.0,0.0,122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.5721393034825868,1.1702778228589004e-16,0.5724962630792227,0.0,0.5749128919860629,1.1702778228589004e-16,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0 vs 1-2,X_STATS_V2
dummy_stratified,,binary,"[0, 1]",2,0.5085572139303484,0.009966266819486237,0.5150971599402092,0.013648943631899503,0.4989547038327526,0.024462036918747057,0.4155029585798816,0.011853370595957015,0.43286713286713285,0.0159635372198265,0.4201612903225806,0.028308889498711326,0.40825581395348837,0.011646625759981002,0.43286713286713285,0.0159635372198265,0.42704918032786887,0.028772969654427907,0.42301204819277105,0.012067588136847815,0.43286713286713285,0.0159635372198265,0.41349206349206347,0.02785954204635083,1.504179104477612,0.02989880045845866,1.4547085201793721,0.040946830895698484,1.4752613240418118,0.07338611075624121,302.34,6.009658892150198,973.2,27.39342986922229,423.4,21.06181378704123,-1.504179104477612,0.02989880045845866,-1.4547085201793721,0.040946830895698484,-1.4752613240418118,0.07338611075624121,0.41643478260869565,0.008709650568333628,0.4234986945169713,0.01192055259757279,0.4478787878787879,0.021274559380849732,2.958720930232558,0.05823312879990512,2.8356643356643354,0.07981768609913263,2.864754098360655,0.14386484827213958,0.49591051567239636,0.010178138164157285,0.5046842191750807,0.013942044908699644,0.48958519622454044,0.025023764517638807,0.4273042813391713,0.004795976850231449,0.43005472581501936,0.007033889925471208,0.42085689533710324,0.011471090283074218,0.4278606965174129,0.0,0.4275037369207773,5.851389114294502e-17,0.42508710801393723,5.851389114294502e-17,0.568728813559322,0.008488218774223458,0.5765013054830287,0.011920552597572794,0.5658385093167702,0.021803119862361522,0.5835652173913043,0.008709650568333657,0.5765013054830287,0.011920552597572794,0.552121212121212,0.021274559380849732,0.5760515021459228,0.008597509144707029,0.5765013054830287,0.011920552597572794,0.5588957055214724,0.021535596919265064,115.0,0.0,383.0,0.0,165.0,0.0,0.42301204819277105,0.012067588136847815,0.43286713286713285,0.0159635372198265,0.41349206349206347,0.02785954204635083,0.40825581395348837,0.011646625759981002,0.43286713286713285,0.0159635372198265,0.42704918032786887,0.028772969654427907,0.4155029585798816,0.011853370595957015,0.43286713286713285,0.0159635372198265,0.4201612903225806,0.028308889498711326,86.0,0.0,286.0,0.0,122.0,0.0,67.10999999999999,1.0016098153583683,220.8,4.565571644870381,91.1,3.5103022978402048,47.89,1.0016098153583681,162.2,4.565571644870381,73.9,3.5103022978402048,50.89,1.0016098153583681,162.2,4.565571644870381,69.9,3.5103022978402048,35.11,1.0016098153583681,123.8,4.565571644870381,52.1,3.5103022978402048,0.5835652173913043,0.008709650568333657,0.5765013054830287,0.011920552597572794,0.552121212121212,0.021274559380849732,0.568728813559322,0.008488218774223458,0.5765013054830287,0.011920552597572794,0.5658385093167702,0.021803119862361522,0.41643478260869565,0.008709650568333628,0.4234986945169713,0.01192055259757279,0.4478787878787879,0.021274559380849732,0.5917441860465116,0.01164662575998102,0.5671328671328671,0.015963537219826514,0.5729508196721311,0.02877296965442791,0 vs 1-2,X_STATS_V2
dummy_most_frequent,,binary,"[0, 1]",2,0.9253731343283583,0.0,0.9252615844544095,0.0,0.9233449477351916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.373134328358209,0.0,0.37369207772795215,0.0,0.3832752613240418,0.0,75.0,0.0,250.0,0.0,110.0,0.0,-0.373134328358209,0.0,-0.37369207772795215,0.0,-0.3832752613240418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.07462686567164178,0.0,0.07473841554559044,0.0,0.07665505226480837,1.4628472785736255e-17,0.07462686567164178,0.0,0.07473841554559044,0.0,0.07665505226480837,1.4628472785736255e-17,0.9253731343283583,0.0,0.9252615844544095,0.0,0.9233449477351916,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.9612403100775195,0.0,0.9611801242236024,0.0,0.960144927536232,1.1702778228589004e-16,186.0,0.0,619.0,0.0,265.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,50.0,0.0,22.0,0.0,186.0,0.0,619.0,0.0,265.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,50.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.9253731343283583,0.0,0.9252615844544095,0.0,0.9233449477351916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2 0-1,X_VX_STATS_V2
dummy_stratified,,binary,"[0, 1]",2,0.8707462686567166,0.0022714286790399925,0.8535127055306427,0.004674056561856907,0.8599303135888501,0.006732346920413206,0.07214285714285713,0.016305613017394218,0.057692307692307696,0.030066767691175833,0.06511627906976744,0.044934501538571904,0.06733333333333333,0.015218572149567936,0.06000000000000001,0.03126943839882287,0.06363636363636363,0.04391326286724072,0.0776923076923077,0.01755989094180916,0.05555555555555556,0.028953183702613763,0.06666666666666667,0.04600437062282361,0.40766169154228854,0.006814286037119966,0.4275037369207773,0.014022169685570808,0.42717770034843205,0.020197040761239637,81.94,1.369671493461116,286.0,9.38083151964686,122.6,5.796550698475776,-0.40766169154228854,0.006814286037119966,-0.4275037369207773,0.014022169685570808,-0.42717770034843205,0.020197040761239637,0.06446236559139784,0.001227304205610316,0.08239095315024234,0.002525802778580196,0.0739622641509434,0.0036456293701105495,4.663333333333333,0.07609286074783954,4.7,0.1563471919941144,4.681818181818182,0.21956631433620344,0.5014354838709678,0.00822293817758916,0.48880452342487885,0.016897620588701548,0.4948370497427101,0.023779446118675617,0.07919173363949483,0.003554102954277517,0.07440225876100315,0.00147136913717324,0.07783760954492662,0.004246759143235228,0.07462686567164178,0.0,0.07473841554559044,0.0,0.07665505226480837,1.4628472785736255e-17,0.9255851063829785,0.0012142477778910288,0.9235772357723577,0.002542230764131964,0.9225563909774437,0.003631923996538733,0.9355376344086019,0.001227304205610345,0.9176090468497577,0.0025258027785802044,0.9260377358490566,0.00364562937011055,0.9305347593582887,0.0012207410815161025,0.9205834683954619,0.0025339901457717357,0.9242937853107345,0.003638763778076464,186.0,0.0,619.0,0.0,265.0,0.0,0.0776923076923077,0.01755989094180916,0.05555555555555556,0.028953183702613763,0.06666666666666667,0.04600437062282361,0.06733333333333333,0.015218572149567936,0.06000000000000001,0.03126943839882287,0.06363636363636363,0.04391326286724072,0.07214285714285713,0.016305613017394218,0.057692307692307696,0.030066767691175833,0.06511627906976744,0.044934501538571904,15.0,0.0,50.0,0.0,22.0,0.0,174.01,0.2282785822435158,568.0,1.5634719199411433,245.4,0.9660917830792958,11.99,0.22827858224351888,51.0,1.5634719199411433,19.6,0.9660917830792958,13.99,0.22827858224351888,47.0,1.5634719199411433,20.6,0.9660917830792958,1.01,0.22827858224351907,3.0,1.5634719199411433,1.4,0.9660917830792959,0.9355376344086019,0.001227304205610345,0.9176090468497577,0.0025258027785802044,0.9260377358490566,0.00364562937011055,0.9255851063829785,0.0012142477778910288,0.9235772357723577,0.002542230764131964,0.9225563909774437,0.003631923996538733,0.06446236559139784,0.001227304205610316,0.08239095315024234,0.002525802778580196,0.0739622641509434,0.0036456293701105495,0.9326666666666666,0.015218572149567894,0.9399999999999998,0.031269438398822846,0.9363636363636363,0.04391326286724074,2 0-1,X_VX_STATS_V2
dummy_most_frequent,,binary,"[0, 1]",2,0.5024875621890548,0.0,0.5022421524663676,1.1702778228589004e-16,0.5017421602787457,1.1702778228589004e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.487562189054727,4.681111291435602e-16,2.4887892376681613,0.0,2.491289198606272,0.0,500.0,0.0,1665.0,0.0,715.0,0.0,-2.487562189054727,4.681111291435602e-16,-2.4887892376681613,0.0,-2.491289198606272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.49751243781094534,0.0,0.49775784753363234,5.851389114294502e-17,0.4982578397212543,5.851389114294502e-17,0.49751243781094534,0.0,0.49775784753363234,5.851389114294502e-17,0.4982578397212543,5.851389114294502e-17,0.5024875621890548,0.0,0.5022421524663676,1.1702778228589004e-16,0.5017421602787457,1.1702778228589004e-16,1.0,0.0,1.0,0.0,1.0,0.0,0.6688741721854303,0.0,0.6686567164179105,0.0,0.6682134570765662,1.1702778228589004e-16,101.0,0.0,336.0,0.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,333.0,0.0,143.0,0.0,101.0,0.0,336.0,0.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,333.0,0.0,143.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.5024875621890548,0.0,0.5022421524663676,1.1702778228589004e-16,0.5017421602787457,1.1702778228589004e-16,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1 vs 0-2,X_VX_STATS_V2
dummy_stratified,,binary,"[0, 1]",2,0.5073631840796019,0.01398119127244282,0.49357249626307925,0.017837290152677193,0.5010452961672474,0.029964256439669386,0.5024120603015075,0.014121705757593047,0.49432835820895515,0.01781066733155378,0.5095890410958904,0.029451169856798364,0.49989999999999996,0.014051097228805048,0.49729729729729727,0.017917638306518078,0.5202797202797202,0.03006902656708083,0.5049494949494949,0.014193027503843469,0.4913946587537092,0.01770496604175228,0.49932885906040275,0.028858193282500402,1.4878606965174128,0.04194357381732853,1.507324364723468,0.053511870458031546,1.4550522648083624,0.08989276931900823,299.06,8.43065833728303,1008.4,35.799441336423115,417.6,25.79922479455536,-1.4878606965174128,0.04194357381732853,-1.507324364723468,0.053511870458031546,-1.4550522648083624,0.08989276931900823,0.4852475247524753,0.013911977454262463,0.5101190476190476,0.017757659393067025,0.5180555555555555,0.029860213882587215,2.5004999999999997,0.07025548614402517,2.513513513513513,0.08958819153259036,2.3986013986013983,0.1503451328354042,0.5073262376237625,0.01398153734153377,0.49358912483912487,0.017837648849792553,0.5011120823620823,0.02996462022483401,0.5026716267149103,0.00712278532964565,0.4948789590111728,0.0087485601922495,0.4995960333658811,0.014626806306972892,0.49751243781094534,0.0,0.49775784753363234,5.851389114294502e-17,0.4982578397212543,5.851389114294502e-17,0.5097058823529411,0.013775585518436353,0.4957831325301204,0.017971607096597945,0.5028985507246377,0.031158484051395364,0.5147524752475248,0.013911977454262455,0.48988095238095236,0.01775765939306703,0.48194444444444445,0.02986021388258722,0.5122167487684729,0.013843445545620767,0.492814371257485,0.017863992682845865,0.4921985815602836,0.030495537582216726,101.0,0.0,336.0,0.0,144.0,0.0,0.5049494949494949,0.014193027503843469,0.4913946587537092,0.01770496604175228,0.49932885906040275,0.028858193282500402,0.49989999999999996,0.014051097228805048,0.49729729729729727,0.017917638306518078,0.5202797202797202,0.03006902656708083,0.5024120603015075,0.014121705757593047,0.49432835820895515,0.01781066733155378,0.5095890410958904,0.029451169856798364,100.0,0.0,333.0,0.0,143.0,0.0,51.989999999999995,1.405109722880506,164.6,5.96657355607052,69.4,4.2998707990925595,49.010000000000005,1.405109722880506,171.4,5.96657355607052,74.6,4.2998707990925595,50.010000000000005,1.405109722880506,167.4,5.96657355607052,68.6,4.2998707990925595,49.989999999999995,1.405109722880506,165.6,5.96657355607052,74.4,4.2998707990925595,0.5147524752475248,0.013911977454262455,0.48988095238095236,0.01775765939306703,0.48194444444444445,0.02986021388258722,0.5097058823529411,0.013775585518436353,0.4957831325301204,0.017971607096597945,0.5028985507246377,0.031158484051395364,0.4852475247524753,0.013911977454262463,0.5101190476190476,0.017757659393067025,0.5180555555555555,0.029860213882587215,0.5001,0.01405109722880508,0.5027027027027027,0.01791763830651807,0.47972027972027975,0.030069026567080832,1 vs 0-2,X_VX_STATS_V2
