modelo,n_samples,n_samples_evaluadas,n_clusters,samples_por_grupo,silhouette,calinski_harabasz,davies_bouldin,homogeneity,completeness,v_measure,adjusted_rand_index,adjusted_mutual_info,normalized_mutual_info,X_processing
agglo,986,986,3,"{0: 383, 1: 444, 2: 159}",0.6019425492627073,1844.6550426581357,0.6312797562617253,0.74826395834325,0.697353211868369,0.7219121153626303,0.7463870259556348,0.7213356319238344,0.7219121153626304,X_STATS_V2_SMOTE
kmeans,986,986,3,"{0: 438, 1: 444, 2: 104}",0.6418273916638451,2492.5832695299114,0.48048451745925513,0.8562722461385409,0.8512733958888508,0.8537655039314451,0.865710351172163,0.8534516039900356,0.8537655039314452,X_STATS_V2_SMOTE
gmm,986,986,3,"{0: 440, 1: 101, 2: 445}",0.6400545790639791,2459.817334476827,0.48071891592169846,0.8511793168973179,0.850153377305975,0.8506660377700123,0.8680807559065126,0.8503446798797569,0.8506660377700123,X_STATS_V2_SMOTE
agglo,986,986,3,"{0: 347, 1: 428, 2: 211}",0.5422051432552709,1395.6217548226678,0.7696235647742293,0.6648672393670307,0.5968964078163089,0.6290510393746693,0.6412470656930358,0.6282974872620747,0.6290510393746693,X_STATS_V2_ROS
kmeans,986,986,3,"{0: 441, 1: 101, 2: 444}",0.6480497882289938,2645.874671852491,0.4643757264916997,0.8371882726751532,0.8361711486736217,0.8366794015533399,0.858995056995655,0.8363279469602612,0.8366794015533399,X_STATS_V2_ROS
gmm,986,986,3,"{0: 100, 1: 439, 2: 447}",0.6464947426849862,2620.4647280441627,0.46509124985920147,0.8266868868456712,0.8270155729445041,0.826851197230641,0.8601350753449939,0.8264782689504994,0.8268511972306409,X_STATS_V2_ROS
agglo,986,986,3,"{0: 464, 1: 392, 2: 130}",0.5937747611763894,1756.30756850694,0.5979324521596413,0.713405641979177,0.686572122459573,0.699731721788653,0.7248341178319071,0.6990983997549601,0.6997317217886528,X_VX_STATS_V2_SMOTE
kmeans,986,986,3,"{0: 456, 1: 422, 2: 108}",0.6127935024248873,2032.7337241174976,0.5275599129338756,0.7510905521105646,0.7427263308647069,0.7468850248969388,0.7789711482135587,0.7463432735281552,0.7468850248969389,X_VX_STATS_V2_SMOTE
gmm,986,986,3,"{0: 441, 1: 438, 2: 107}",0.607032905958616,1968.4987922458606,0.5328225424308717,0.7428963432981128,0.7352079136633208,0.7390321326144,0.7873245229241881,0.738473322749744,0.7390321326144,X_VX_STATS_V2_SMOTE
agglo,986,986,3,"{0: 136, 1: 458, 2: 392}",0.5945883223526827,1711.3523118078895,0.6224227843245188,0.7027887084366229,0.6712182492866177,0.686640782775789,0.7225303289901168,0.6859825480120969,0.6866407827757891,X_VX_STATS_V2_ROS
kmeans,986,986,3,"{0: 430, 1: 458, 2: 98}",0.6188222952532157,2149.710106393065,0.5118411481045063,0.7390172672751314,0.7420051880434663,0.7405082136366262,0.7752409438643169,0.739948229437626,0.7405082136366262,X_VX_STATS_V2_ROS
gmm,986,986,3,"{0: 451, 1: 435, 2: 100}",0.6107072815878225,2065.3193097153044,0.5195599806035066,0.734262653937673,0.7346394877267308,0.7344510224955223,0.7883955237261517,0.7338790490396564,0.7344510224955222,X_VX_STATS_V2_ROS
agglo,986,986,3,"{0: 487, 1: 308, 2: 191}",0.5393767968941081,1403.9175970772296,0.7124836884987232,0.6069719472090997,0.5607388319065721,0.5829401368305315,0.5582132597162276,0.5820798126770353,0.5829401368305315,X_VX_DELTA_V2_SMOTE
kmeans,986,986,3,"{0: 118, 1: 472, 2: 396}",0.5849509169529808,1803.0802826180343,0.5637325905211493,0.7013671705320343,0.6857178733158031,0.6934542430889445,0.7117549026033595,0.6928021802074625,0.6934542430889445,X_VX_DELTA_V2_SMOTE
gmm,986,986,3,"{0: 128, 1: 466, 2: 392}",0.5320953991241937,1398.1477063745435,0.6435203888203812,0.6400345938827172,0.6175856470389798,0.6286097598122223,0.6785489040004699,0.6278253206999536,0.6286097598122223,X_VX_DELTA_V2_SMOTE
agglo,986,986,3,"{0: 489, 1: 208, 2: 289}",0.5216880766245584,1297.9425798881355,0.7523403588347328,0.5978084030826938,0.5490994535570315,0.5724195986001043,0.5359883263147333,0.5715403369841612,0.5724195986001044,X_VX_DELTA_V2_ROS
kmeans,986,986,3,"{0: 408, 1: 473, 2: 105}",0.586737538878562,1821.8006074318205,0.555794250985655,0.6940356433651144,0.6906722111019878,0.692349842373141,0.7153085714501148,0.6916891517773242,0.692349842373141,X_VX_DELTA_V2_ROS
gmm,986,986,3,"{0: 114, 1: 393, 2: 479}",0.535496377908481,1423.795085267432,0.6136319393378821,0.6646391748571538,0.6540380818065474,0.6592960162471652,0.7116101468991278,0.6585687821582666,0.6592960162471652,X_VX_DELTA_V2_ROS
agglo,956,956,3,"{0: 446, 1: 378, 2: 132}",0.5964139119943241,1558.5341191081236,0.7276145566223384,0.7362208774994735,0.6692638113045387,0.701147432429949,0.729557806918212,0.7004827810679589,0.701147432429949,X_STATS_V2
