model_name,train_accuracy_mean_cv,train_accuracy_std_cv,val_accuracy_mean_cv,val_accuracy_std_cv,test_accuracy_mean_cv,test_accuracy_std_cv,train_f1_macro_mean_cv,train_f1_macro_std_cv,val_f1_macro_mean_cv,val_f1_macro_std_cv,test_f1_macro_mean_cv,test_f1_macro_std_cv,train_precision_macro_mean_cv,train_precision_macro_std_cv,val_precision_macro_mean_cv,val_precision_macro_std_cv,test_precision_macro_mean_cv,test_precision_macro_std_cv,train_recall_macro_mean_cv,train_recall_macro_std_cv,val_recall_macro_mean_cv,val_recall_macro_std_cv,test_recall_macro_mean_cv,test_recall_macro_std_cv,train_f1_weighted_mean_cv,train_f1_weighted_std_cv,val_f1_weighted_mean_cv,val_f1_weighted_std_cv,test_f1_weighted_mean_cv,test_f1_weighted_std_cv,train_precision_weighted_mean_cv,train_precision_weighted_std_cv,val_precision_weighted_mean_cv,val_precision_weighted_std_cv,test_precision_weighted_mean_cv,test_precision_weighted_std_cv,train_recall_weighted_mean_cv,train_recall_weighted_std_cv,val_recall_weighted_mean_cv,val_recall_weighted_std_cv,test_recall_weighted_mean_cv,test_recall_weighted_std_cv,train_special_rate_mean_cv,train_special_rate_std_cv,val_special_rate_mean_cv,val_special_rate_std_cv,test_special_rate_mean_cv,test_special_rate_std_cv,train_coverage_mean_cv,train_coverage_std_cv,val_coverage_mean_cv,val_coverage_std_cv,test_coverage_mean_cv,test_coverage_std_cv,train_n_total_mean_cv,train_n_total_std_cv,val_n_total_mean_cv,val_n_total_std_cv,test_n_total_mean_cv,test_n_total_std_cv,train_n_special_mean_cv,train_n_special_std_cv,val_n_special_mean_cv,val_n_special_std_cv,test_n_special_mean_cv,test_n_special_std_cv,train_n_accepted_mean_cv,train_n_accepted_std_cv,val_n_accepted_mean_cv,val_n_accepted_std_cv,test_n_accepted_mean_cv,test_n_accepted_std_cv,train_precision_class_0_mean_cv,train_precision_class_0_std_cv,val_precision_class_0_mean_cv,val_precision_class_0_std_cv,test_precision_class_0_mean_cv,test_precision_class_0_std_cv,train_recall_class_0_mean_cv,train_recall_class_0_std_cv,val_recall_class_0_mean_cv,val_recall_class_0_std_cv,test_recall_class_0_mean_cv,test_recall_class_0_std_cv,train_f1_class_0_mean_cv,train_f1_class_0_std_cv,val_f1_class_0_mean_cv,val_f1_class_0_std_cv,test_f1_class_0_mean_cv,test_f1_class_0_std_cv,train_support_class_0_mean_cv,train_support_class_0_std_cv,val_support_class_0_mean_cv,val_support_class_0_std_cv,test_support_class_0_mean_cv,test_support_class_0_std_cv,train_precision_class_1_mean_cv,train_precision_class_1_std_cv,val_precision_class_1_mean_cv,val_precision_class_1_std_cv,test_precision_class_1_mean_cv,test_precision_class_1_std_cv,train_recall_class_1_mean_cv,train_recall_class_1_std_cv,val_recall_class_1_mean_cv,val_recall_class_1_std_cv,test_recall_class_1_mean_cv,test_recall_class_1_std_cv,train_f1_class_1_mean_cv,train_f1_class_1_std_cv,val_f1_class_1_mean_cv,val_f1_class_1_std_cv,test_f1_class_1_mean_cv,test_f1_class_1_std_cv,train_support_class_1_mean_cv,train_support_class_1_std_cv,val_support_class_1_mean_cv,val_support_class_1_std_cv,test_support_class_1_mean_cv,test_support_class_1_std_cv,train_precision_class_2_mean_cv,train_precision_class_2_std_cv,val_precision_class_2_mean_cv,val_precision_class_2_std_cv,test_precision_class_2_mean_cv,test_precision_class_2_std_cv,train_recall_class_2_mean_cv,train_recall_class_2_std_cv,val_recall_class_2_mean_cv,val_recall_class_2_std_cv,test_recall_class_2_mean_cv,test_recall_class_2_std_cv,train_f1_class_2_mean_cv,train_f1_class_2_std_cv,val_f1_class_2_mean_cv,val_f1_class_2_std_cv,test_f1_class_2_mean_cv,test_f1_class_2_std_cv,train_support_class_2_mean_cv,train_support_class_2_std_cv,val_support_class_2_mean_cv,val_support_class_2_std_cv,test_support_class_2_mean_cv,test_support_class_2_std_cv,model
t0_0.3_t1_0.4,0.8187369860167694,0.00921711784414081,0.8207784472003754,0.011130915497461225,0.8098841428053731,0.009913814165600004,0.6192976473408199,0.024963030568689155,0.6016391111104085,0.018357011183210356,0.6039935221533657,0.013998517556097927,0.8789128843106045,0.005842511403366223,0.6149439739937267,0.1526876757313303,0.8065400518980258,0.1454246167417544,0.6657132080855008,0.012674080074666923,0.6563461655415679,0.014216557842776874,0.6542906958656685,0.008220439126288068,0.7523797343220047,0.016964552038264014,0.7501414351751012,0.014333479065926299,0.7416373778032781,0.01167647221563012,0.8496783329877381,0.007032956408042681,0.7198825597755034,0.07811108360857395,0.8088130023082286,0.0706612669203098,0.8187369860167694,0.00921711784414081,0.8207784472003754,0.011130915497461225,0.8098841428053731,0.009913814165600004,0.03759124087591241,0.008421883765849875,0.03768115942028986,0.009448119427829927,0.04081632653061225,0.00867180189386528,0.9624087591240876,0.008421883765849857,0.9623188405797102,0.009448119427829912,0.9591836734693878,0.00867180189386529,548.0,0.0,138.0,0.0,294.0,0.0,20.6,4.61519230368573,5.2,1.3038404810405297,12.0,2.5495097567963922,527.4,4.61519230368573,132.8,1.3038404810405297,282.0,2.5495097567963922,0.8576931218658927,0.01636359684468909,0.8594626298301792,0.042286307221876936,0.8416842245187095,0.03101117096537305,0.9954872333548804,0.004524968039372754,0.9965517241379309,0.0077105792327579106,0.9848870115352486,0.007048183693306753,0.9213989205393567,0.009737351194396919,0.9224058922218443,0.022509048769880562,0.907430213013836,0.019096857053882168,221.2,2.6832815729997477,56.8,1.3038404810405297,119.2,1.3038404810405297,1.0,0.0,0.2,0.44721359549995804,0.8,0.44721359549995804,0.040457802253112456,0.03669251506476334,0.009523809523809523,0.021295885499997995,0.02502629420562551,0.022247892918643306,0.07591959800451427,0.06557448936274618,0.01818181818181818,0.040655781409087086,0.04810590858416945,0.04174082996080204,89.8,1.4832396974191324,21.8,1.3038404810405297,47.6,1.6733200530681511,0.7790455310659208,0.007983133235050243,0.7853692921510009,0.030879540703307604,0.7779359311753677,0.010872075659889513,0.9611945886485096,0.00691398737041628,0.962962962962963,0.0392837100659193,0.952958781856131,0.016411046951907142,0.8605744234785891,0.006789357046314516,0.8643296229275628,0.01769944512638902,0.8564444448620915,0.0033683620117245104,216.4,1.816590212458495,54.2,0.4472135954999579,115.2,1.7888543819998317,Ordinal_special_HY43
t0_0.3_t1_0.5,0.832159727517813,0.00651393161282914,0.8182191599443825,0.01616955852369583,0.7988678033875166,0.014224228178310169,0.6923992741530645,0.020972283207713844,0.6410514000025519,0.033436592302332944,0.6372362166213349,0.023279992237489014,0.8785377329837708,0.005926039859837851,0.7989644953325602,0.1515624815684076,0.7673512993069124,0.0544878941685285,0.7045543292772373,0.01319521354638875,0.6744494203114892,0.01922454553855653,0.6640898982835999,0.015405807732637302,0.7886524494486248,0.01217195955458754,0.7606786927388635,0.02029188041098755,0.7473231997940257,0.017154132920082426,0.8542491143158728,0.003161451395450103,0.8088696988441333,0.08298035934512976,0.7838266341262167,0.032409407863770084,0.832159727517813,0.00651393161282914,0.8182191599443825,0.01616955852369583,0.7988678033875166,0.014224228178310169,0.012773722627737228,0.003413920973333888,0.011594202898550725,0.008262140761587957,0.008843537414965987,0.005691564806354256,0.9872262773722627,0.003413920973333906,0.9884057971014493,0.00826214076158794,0.9911564625850339,0.005691564806354262,548.0,0.0,138.0,0.0,294.0,0.0,7.0,1.8708286933869707,1.6,1.140175425099138,2.6,1.6733200530681511,541.0,1.8708286933869707,136.4,1.140175425099138,291.4,1.6733200530681511,0.8373491743525463,0.00883613397543048,0.8303294339115235,0.050727520963253,0.8060875771201165,0.027261651869671496,0.9956140350877192,0.004385964912280715,0.9965517241379309,0.0077105792327579106,0.985205256740279,0.006930951806989245,0.9096227803093031,0.005247532285365987,0.9051651515151515,0.029366548664096884,0.88650445468159,0.017636503924188335,227.4,0.8944271909999159,57.8,0.4472135954999579,121.8,0.4472135954999579,0.9807780320366133,0.026518964953442824,0.76,0.433589667773576,0.6987301587301588,0.1499827822485816,0.17184770436730123,0.0405640778382197,0.08484848484848485,0.05902288236600744,0.10292116846738694,0.038272752821272696,0.2904738276251421,0.056770262773632306,0.15004420866489832,0.09829625400904743,0.178113797058397,0.061520675389677995,94.2,0.4472135954999579,23.4,0.8944271909999159,50.6,0.8944271909999159,0.8174859925621526,0.012413584623699158,0.8065640520861571,0.025717874485392245,0.797236162070462,0.008368656318718786,0.9462012483766913,0.006115313587122336,0.9419480519480519,0.04713856371991683,0.9041432696431337,0.02858821202987556,0.8771012145247479,0.007729455231283458,0.8679448398276056,0.011979677959569654,0.8470903981240179,0.01090984425462891,219.4,0.8944271909999159,55.2,0.4472135954999579,119.0,1.5811388300841898,Ordinal_special_HY43
t0_0.3_t1_0.6,0.8298560350026539,0.0066234602669239225,0.7962974717021052,0.02739062616255437,0.7895116950889947,0.015796304148234342,0.7404168809403769,0.01184951800307613,0.6815689470503156,0.024470754572873527,0.6873492869432867,0.022763274920010373,0.7955230968810898,0.009415266940763415,0.7174961606680685,0.038807502712186075,0.723092653984055,0.031207403500962298,0.7338470240107602,0.010187051557041627,0.6869097377718066,0.022784727405139316,0.6889310771050055,0.018675813778075312,0.8095881503049833,0.008834487886983064,0.7704224878156402,0.024765431016930756,0.7669853399382645,0.017317785991743335,0.8186720968069444,0.008088615171256603,0.7713630184557141,0.025934632359193667,0.7692344549705947,0.02047326811137242,0.8298560350026539,0.0066234602669239225,0.7962974717021052,0.02739062616255437,0.7895116950889947,0.015796304148234342,0.0025547445255474453,0.0020806120895969673,0.004347826086956522,0.003969004039892508,0.0013605442176870747,0.0030422693571425705,0.9974452554744525,0.0020806120895969864,0.9956521739130434,0.003969004039892526,0.9986394557823128,0.0030422693571425744,548.0,0.0,138.0,0.0,294.0,0.0,1.4,1.140175425099138,0.6,0.5477225575051662,0.4,0.8944271909999161,546.6,1.140175425099138,137.4,0.5477225575051661,293.6,0.894427190999916,0.8225689799075768,0.010017764390127736,0.8218436981757877,0.05685858983556963,0.795672124651989,0.026920272966367127,0.9956140350877192,0.004385964912280715,0.9965517241379309,0.0077105792327579106,0.9852459016393442,0.0068578690699514465,0.9008223320156737,0.005822977130121488,0.8998976533388957,0.03291509113559671,0.880183047938728,0.01756373945773947,228.0,0.0,58.0,0.0,122.0,0.0,0.698014184397163,0.021714433796207935,0.49058823529411766,0.10171955642367063,0.5298124098124098,0.08180029186162513,0.3347368421052631,0.026210314943134184,0.2333333333333333,0.0372677996249965,0.27058823529411763,0.05075364355115601,0.45188829578179374,0.024515526264234998,0.31056228528928653,0.03680184020888799,0.35519895709408794,0.05076887813661192,95.0,0.0,24.0,0.0,51.0,0.0,0.8659861263385291,0.017142693781460105,0.8400565485343001,0.032154094859777806,0.8437934274877662,0.02515626113978827,0.8711901948392979,0.007494865040905654,0.8308441558441558,0.06872924946357711,0.8109590943815542,0.031010400486486282,0.8685400150236632,0.011500486255470066,0.8342469025227646,0.042090928390793036,0.8266658557970438,0.020068169834179427,223.6,1.140175425099138,55.4,0.5477225575051661,120.6,0.8944271909999159,Ordinal_special_HY43
t0_0.3_t1_0.7,0.8040145985401459,0.012416807179710972,0.7623188405797102,0.03175203231914008,0.7476190476190475,0.019150596272461528,0.7428005880035782,0.013362136775397429,0.6831461486444537,0.036560291176226736,0.6742442735674212,0.022163901176953625,0.7549554820688944,0.013917686880613081,0.6975975555718976,0.03421221218001386,0.6888668459440003,0.02470906146224196,0.7435984405458089,0.011405421275456051,0.6873426382047072,0.03488878664467115,0.6791742267064438,0.02069214036648295,0.7988714641286113,0.012075813049469815,0.7550541816067218,0.03365932793771178,0.7423094580177313,0.018505201989936406,0.8093445517033011,0.00939608074707929,0.7690707885136578,0.030950956003579434,0.7604695490250339,0.01962908030089282,0.8040145985401459,0.012416807179710972,0.7623188405797102,0.03175203231914008,0.7476190476190475,0.019150596272461528,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,548.0,0.0,138.0,0.0,294.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,548.0,0.0,138.0,0.0,294.0,0.0,0.8184393368503585,0.011012708265350729,0.814813147395958,0.05499368915846817,0.7937970514069403,0.03056575419662497,0.9956140350877192,0.004385964912280715,0.9965517241379309,0.0077105792327579106,0.9852459016393442,0.0068578690699514465,0.8983345371017265,0.00650291485078552,0.895687541403856,0.03189998721568298,0.8789758500211446,0.019862342135297174,228.0,0.0,58.0,0.0,122.0,0.0,0.5271496467203519,0.03326085987171132,0.3966952129995608,0.05543179685594932,0.38963449593884375,0.053482448255947376,0.4947368421052632,0.01664356663246518,0.38333333333333336,0.08014743359029727,0.39607843137254906,0.04250879095819371,0.5100295243941653,0.02006513358524145,0.3863265935421347,0.052185295342894046,0.39129523568260133,0.03968954733141198,95.0,0.0,24.0,0.0,51.0,0.0,0.9192774626359727,0.010522929404990274,0.8812843063201743,0.04337801085695066,0.8831689904862168,0.04232784822107304,0.7404444444444445,0.030566664647198954,0.6821428571428572,0.06846531968814579,0.656198347107438,0.03535413163009494,0.8200377025148431,0.021800890237138656,0.7674243109873702,0.048712535510170886,0.7524617349985183,0.03272171517265696,225.0,0.0,56.0,0.0,121.0,0.0,Ordinal_special_HY43
t0_0.4_t1_0.4,0.8166088526772943,0.007494831925063371,0.8159395166716867,0.007934043918266721,0.8072287178643052,0.00939366258393695,0.6358119610824702,0.015603601192722527,0.6100692494844869,0.010679902324336132,0.6093862291547947,0.016438625452312408,0.8490466948415847,0.03314250459550143,0.6801429534826293,0.1368216677430382,0.7921103535795619,0.1410849591452748,0.6734291288290926,0.009543188278629633,0.6590545266214011,0.004578556723223192,0.6567750101220726,0.008857728132463855,0.7560070588953401,0.011110964187172799,0.7491910627221744,0.00897501500574431,0.7407516968577443,0.010345387015498203,0.8343254286899899,0.020246894258753576,0.7480786085368861,0.06799225082552417,0.7998435220311415,0.07044014451890888,0.8166088526772943,0.007494831925063371,0.8159395166716867,0.007934043918266721,0.8072287178643052,0.00939366258393695,0.016788321167883213,0.004161224179193935,0.015942028985507246,0.007938008079785015,0.022448979591836733,0.010916194922368172,0.9832116788321168,0.004161224179193922,0.9840579710144928,0.00793800807978502,0.9775510204081634,0.010916194922368184,548.0,0.0,138.0,0.0,294.0,0.0,9.2,2.280350850198276,2.2,1.0954451150103321,6.6,3.209361307176242,538.8,2.2803508501982757,135.8,1.0954451150103324,287.4,3.2093613071762426,0.8698459319359928,0.014932879688629452,0.8662713371488685,0.03554343916462826,0.846543740424867,0.031091156643887088,0.9883040501716971,0.005191090823733097,0.9859627517068533,0.007850080192306812,0.9799848310244395,0.011163068583872757,0.9252545150858381,0.009668220902401405,0.9219047453654993,0.019650947996872847,0.9082001957718931,0.021044309478280225,222.8,1.6431676725154984,57.2,0.8366600265340756,119.8,1.3038404810405297,0.9114285714285714,0.08829449794492825,0.4,0.4183300132670378,0.76,0.433589667773576,0.06989921612541994,0.020633044435910113,0.02691511387163561,0.024628110255425092,0.03610485896486254,0.028949706533470093,0.1293743737067552,0.035945132108659045,0.05018181818181818,0.04602550496668143,0.0679756517991812,0.05270073090583353,94.4,0.5477225575051661,22.8,1.0954451150103321,49.4,1.51657508881031,0.7658655811601901,0.009824423424288605,0.7741575232990197,0.029375715931381937,0.769787320313819,0.012815470993193454,0.9620841201901607,0.006918812642873024,0.9642857142857142,0.03788072042070791,0.9542353403769157,0.0156935638096015,0.852806994454817,0.00735726436814292,0.8581211849061438,0.01823398045026912,0.8519828398933098,0.005152897793112564,221.6,1.140175425099138,55.8,0.4472135954999579,118.2,0.8366600265340756,Ordinal_special_HY43
t0_0.4_t1_0.5,0.8420960134266957,0.008451603340630791,0.820004231460912,0.012392271445997732,0.8047685588432621,0.017060934319863608,0.7258102988366333,0.023744080810226706,0.6598477660226126,0.04249013372122126,0.6588362075861445,0.03367717269721889,0.8624997945690399,0.008712691684457699,0.7703545204677431,0.09044401687054557,0.7500500169577283,0.05934160399530099,0.7260208009435647,0.016170770676275852,0.6848087860831489,0.02620656215305151,0.6771437616278503,0.021938210230919755,0.8088899142876974,0.014621650650316032,0.7711471236931023,0.021606110063954145,0.7615538524841825,0.02270331195636303,0.851442061897042,0.006918399537515058,0.7984893611735322,0.05091580872375193,0.7802718205892962,0.036706819795300744,0.8420960134266957,0.008451603340630791,0.820004231460912,0.012392271445997732,0.8047685588432621,0.017060934319863608,0.00145985401459854,0.0015267518732373642,0.0014492753623188406,0.0032406782282605644,0.0034013605442176865,0.004165798882284316,0.9985401459854014,0.001526751873237379,0.9985507246376812,0.003240678228260579,0.9965986394557822,0.004165798882284321,548.0,0.0,138.0,0.0,294.0,0.0,0.8,0.8366600265340756,0.2,0.44721359549995804,1.0,1.224744871391589,547.2,0.8366600265340756,137.8,0.447213595499958,293.0,1.224744871391589,0.8617893147894262,0.01456187309715424,0.8526633774712014,0.03918432513307789,0.827896250642717,0.0336052385668582,0.9885964912280703,0.0050007694083295685,0.986206896551724,0.0077105792327579106,0.9802872239533938,0.011020128169356606,0.9208055987159138,0.00951775721159643,0.9141693380778756,0.022132222744874964,0.8974122838384184,0.022073192355535388,228.0,0.0,58.0,0.0,121.8,0.4472135954999579,0.9092953641340739,0.027165178175827344,0.6566666666666666,0.2537496579089101,0.6241228070175439,0.1562074811339193,0.24210526315789474,0.05102820902543503,0.12536231884057972,0.09733336732094944,0.1458823529411765,0.063742079288718,0.37963625010813407,0.0628424642806338,0.19993535875888815,0.1280544454802009,0.23100110118843392,0.08704839675053579,95.0,0.0,23.8,0.4472135954999579,50.8,0.4472135954999579,0.8164147047836199,0.012160320905519904,0.8017335172653614,0.027171946781487606,0.7981309932129238,0.00937132094757275,0.9473606484447291,0.0059078232094581596,0.9428571428571428,0.04622206823408852,0.9052617079889809,0.028075050075360194,0.8769890476858523,0.007998318696856792,0.865438601231074,0.00821328967577267,0.8480952377315812,0.011207026793528493,224.2,0.8366600265340756,56.0,0.0,120.4,0.5477225575051661,Ordinal_special_HY43
t0_0.4_t1_0.6,0.8411821614913462,0.007204127899167196,0.8028985507246377,0.020107879602190716,0.7959183673469388,0.017006802721088454,0.7662438100988125,0.012412444750770895,0.7011083835035176,0.02074344580833366,0.7026632421885111,0.030709741753631187,0.7969125891792801,0.010240454017354569,0.720770390653895,0.027263128226813704,0.7239111907440348,0.03324762036691028,0.7584047619047618,0.011638508023527437,0.7033388067870827,0.017671302591962715,0.7031817252032908,0.026063860206016608,0.8279040372207543,0.009173213332009435,0.7844721721452981,0.01701076271083279,0.7787417779587641,0.020675630676914924,0.8287290075685163,0.008708377249338041,0.7807348445149922,0.01702841036261926,0.7766500782386481,0.0232643542535971,0.8411821614913462,0.007204127899167196,0.8028985507246377,0.020107879602190716,0.7959183673469388,0.017006802721088454,0.000364963503649635,0.0008160832034670765,0.0,0.0,0.0,0.0,0.9996350364963504,0.0008160832034670631,1.0,0.0,1.0,0.0,548.0,0.0,138.0,0.0,294.0,0.0,0.2,0.447213595499958,0.0,0.0,0.0,0.0,547.8,0.4472135954999579,138.0,0.0,294.0,0.0,0.8598760285705097,0.016581909368222812,0.8504333305228446,0.04287396456673133,0.8236608225739731,0.03525517666365573,0.9885964912280703,0.0050007694083295685,0.986206896551724,0.0077105792327579106,0.980327868852459,0.010997055627048159,0.9196968061553014,0.01057434350965547,0.9128097674159793,0.024547288049234044,0.8949089938769224,0.023170820760502885,228.0,0.0,58.0,0.0,122.0,0.0,0.6641748019241652,0.024190652691465454,0.4702776171197224,0.07412362971301316,0.5038328580070867,0.08093861976211339,0.4147368421052631,0.03295258072104953,0.29166666666666663,0.06588078458684123,0.3176470588235294,0.08364991767726096,0.5097984388638224,0.026101947154242557,0.3548333814803683,0.05657240947132347,0.38587975983471046,0.07812481782610693,95.0,0.0,24.0,0.0,51.0,0.0,0.8666869370431654,0.017204662047964888,0.8416002243191183,0.0324331869553506,0.8442398916510445,0.025834254955305207,0.8718809523809524,0.00741562516573212,0.8321428571428571,0.06984859719859983,0.8115702479338843,0.03114288211804427,0.8692361852773139,0.011536522477311188,0.8356820016142048,0.043298417890076636,0.8272009728539,0.020655621598462372,224.8,0.4472135954999579,56.0,0.0,121.0,0.0,Ordinal_special_HY43
t0_0.4_t1_0.7,0.8149635036496351,0.01129324704143487,0.7681159420289856,0.02112663730016414,0.7537414965986395,0.01532500724635209,0.7623306061167228,0.011961586000097973,0.697673971751385,0.019830222123736665,0.6863084357598587,0.01904761656814496,0.7674759425834918,0.011017620287691647,0.7077799134099427,0.01851299712685887,0.6978430804344216,0.020851705727520275,0.7679259259259259,0.011109149650747746,0.7033388067870826,0.01882799222830774,0.6932211569539526,0.0193698570066831,0.8141223816378128,0.010994412080270825,0.7668524348539048,0.021079821291347993,0.7524355465524357,0.015023984211561727,0.8257538166746852,0.008264653684463455,0.7831593101850592,0.018671249588070118,0.7723528538886182,0.017446574282025125,0.8149635036496351,0.01129324704143487,0.7681159420289856,0.02112663730016414,0.7537414965986395,0.01532500724635209,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,548.0,0.0,138.0,0.0,294.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,548.0,0.0,138.0,0.0,294.0,0.0,0.8592208854041793,0.01672690586109539,0.8504333305228446,0.04287396456673133,0.8236608225739731,0.03525517666365573,0.9885964912280703,0.0050007694083295685,0.986206896551724,0.0077105792327579106,0.980327868852459,0.010997055627048159,0.9193228651678634,0.010762275516201217,0.9128097674159793,0.024547288049234044,0.8949089938769224,0.023170820760502885,228.0,0.0,58.0,0.0,122.0,0.0,0.5239294797103232,0.024338735423751076,0.3916221033868093,0.023498140536712224,0.38669942824307474,0.03842888019286899,0.5747368421052632,0.02844053912864484,0.4416666666666667,0.06319062870042956,0.4431372549019608,0.06292865308188708,0.5476312506674621,0.01796923022208803,0.41278783685080533,0.025668745175923234,0.4115545784041359,0.04236950755984479,95.0,0.0,24.0,0.0,51.0,0.0,0.9192774626359727,0.010522929404990274,0.8812843063201743,0.04337801085695066,0.8831689904862168,0.04232784822107304,0.7404444444444445,0.030566664647198954,0.6821428571428572,0.06846531968814579,0.656198347107438,0.03535413163009494,0.8200377025148431,0.021800890237138656,0.7674243109873702,0.048712535510170886,0.7524617349985183,0.03272171517265696,225.0,0.0,56.0,0.0,121.0,0.0,Ordinal_special_HY43
t0_0.5_t1_0.4,0.8160994191240487,0.008269218638203568,0.8110758489368456,0.010853073431120443,0.8054748566269904,0.007872080743059359,0.6499590655948636,0.01675270448452096,0.6284964696089246,0.020300668115388616,0.629642675141881,0.017144875934354334,0.8070402281198383,0.04160497245950144,0.7406617418919751,0.11862760295821086,0.7500770130448544,0.07529789641112651,0.6782466783146834,0.010851037159054586,0.6665989686860829,0.007938975613109448,0.6630932938771859,0.009318292395953292,0.7629759000421429,0.011855457385984867,0.7522474511612992,0.008448298815205446,0.7501422382959477,0.008774045913816777,0.8137114591249816,0.0248658424797744,0.7792892146194119,0.05865869896035572,0.7806941628195367,0.03796418152662846,0.8160994191240487,0.008269218638203568,0.8110758489368456,0.010853073431120443,0.8054748566269904,0.007872080743059359,0.007664233576642335,0.0029984811542253615,0.002898550724637681,0.003969004039892508,0.006802721088435373,0.005378023231578876,0.9923357664233577,0.002998481154225343,0.9971014492753623,0.003969004039892526,0.9931972789115646,0.005378023231578883,548.0,0.0,138.0,0.0,294.0,0.0,4.2,1.6431676725154984,0.4,0.5477225575051662,2.0,1.5811388300841898,543.8,1.6431676725154984,137.6,0.5477225575051661,292.0,1.5811388300841898,0.8809706977785785,0.014837673245480808,0.8786898839137646,0.03309407804863787,0.8636931361990943,0.02393009746258089,0.9732926665229981,0.004575385809833199,0.9688445251058682,0.022504821794998804,0.9587589757485435,0.010040195076664402,0.9247996005505923,0.009859831960555083,0.9213014767571952,0.023208811558040908,0.9086489263669938,0.016410575118538856,224.8,1.6431676725154984,57.8,0.4472135954999579,121.2,0.4472135954999579,0.7793006993006993,0.11295557232116474,0.5866666666666667,0.363318042491699,0.6244444444444445,0.23099355984823045,0.09894736842105264,0.023062002421270152,0.06666666666666667,0.04750730937913075,0.07530052020808323,0.03452408237600475,0.17522865673809068,0.03830278917012471,0.11663856960408683,0.07918199151062243,0.132602757131059,0.0565540206310492,95.0,0.0,23.8,0.4472135954999579,50.2,0.8366600265340756,0.7608492872802373,0.009953546727308527,0.7566286750954944,0.014021932081872808,0.7620934584910244,0.011923317778093957,0.9625,0.006770424503617479,0.9642857142857142,0.03788072042070791,0.9552203856749312,0.01502975114713512,0.8498489394959078,0.007383895899382595,0.8475493624654915,0.015101697628868151,0.8476763419275904,0.006959878408939212,224.0,0.0,56.0,0.0,120.6,0.5477225575051661,Ordinal_special_HY43
t0_0.5_t1_0.5,0.8422737159556439,0.009546227511872191,0.8246376811594203,0.013938684102660383,0.8059970745977573,0.01567224358455899,0.7357598062536979,0.021760946947372736,0.6929275363607432,0.03895291365220662,0.679983756195225,0.02706306589440847,0.8195163978964422,0.016215745105434554,0.7688003301007356,0.04365045717142121,0.723148250692103,0.041884312177091404,0.7330276385407963,0.01658771198609055,0.7039408866995075,0.02680820070707474,0.6886070417509008,0.019402634073514443,0.8150628520345989,0.014147045385243986,0.78852740449348,0.02057233092657194,0.7748275934775533,0.017906525664934964,0.8334893795323521,0.012359280096703671,0.8022838504012915,0.027084415149972126,0.7736643551595112,0.02609574367790643,0.8422737159556439,0.009546227511872191,0.8246376811594203,0.013938684102660383,0.8059970745977573,0.01567224358455899,0.000364963503649635,0.0008160832034670764,0.0,0.0,0.0006802721088435374,0.0015211346785712853,0.9996350364963504,0.0008160832034670631,1.0,0.0,0.9993197278911564,0.0015211346785712872,548.0,0.0,138.0,0.0,294.0,0.0,0.2,0.44721359549995804,0.0,0.0,0.2,0.447213595499958,547.8,0.44721359549995804,138.0,0.0,293.8,0.4472135954999579,0.8796916852061722,0.01374656430432075,0.8761357270050993,0.03129128525178882,0.8582443482443484,0.024601942684492662,0.9736842105263157,0.004385964912280715,0.9689655172413794,0.022480008293802225,0.9590163934426229,0.010038892388455659,0.9242749148955237,0.009145398130411148,0.9199580766761779,0.02192134091191341,0.9057175312913017,0.016304215844284632,228.0,0.0,58.0,0.0,122.0,0.0,0.7620195174844131,0.03498335206550092,0.6311111111111112,0.11416632873699649,0.5133333333333333,0.11017662587358938,0.27789473684210525,0.0480073863199637,0.2,0.10374916331657277,0.20101960784313727,0.059076319570749956,0.4057098440308877,0.05402816669828555,0.294842513808031,0.12082153706367922,0.286060606060606,0.0730937991390077,95.0,0.0,24.0,0.0,50.8,0.4472135954999579,0.8168379909987411,0.012143647340834552,0.7991541521859962,0.024879500322913434,0.7978670704986276,0.010343118439856134,0.9475039682539682,0.005855030644653929,0.9428571428571428,0.04622206823408852,0.9057851239669421,0.027781382337143185,0.8772946598346817,0.007964474457921084,0.8639820185980207,0.006861044605741112,0.8481731312337674,0.011270661102564292,224.8,0.447213595499958,56.0,0.0,121.0,0.0,Ordinal_special_HY43
