seed,fold,feature,mean_abs_shap
777,1,NP3GAIT_min,0.0192894924435927
777,1,NP2HOBB_mean,0.019083819508140396
777,1,ENRLGBA,0.018908300012522326
777,1,NP3RTARU_mean,0.018748264593814214
777,1,NP3RIGLL_min,0.01867450281945843
777,1,NP3PTRML_max,0.01857129965237197
777,1,NP2RISE_mean,0.01837723768715853
777,1,NP2HYGN_max,0.018311735501434796
777,1,NP2EAT_var,0.01774933018100744
777,1,NP3BRADY_var,0.01743505776013402
777,1,NP3RTALL_mean,0.017426791361628453
777,1,NP2TRMR_std,0.017378531211379
777,1,NP3RIGRU_std,0.017263124454340733
777,1,NP2HOBB_max,0.01724061755962669
777,1,NP3TTAPL_std,0.016868562624169102
777,1,NP3FTAPR_max,0.01676941965784741
777,1,NP2SPCH_mean,0.01668522162614622
777,1,NP2HWRT_std,0.016367706128725998
777,1,NP2RISE_max,0.01618578407630735
777,1,NP3FACXP_var,0.01615263690458213
777,1,NP3PTRMR_var,0.015965374638999087
777,1,NP3RTALL_max,0.01588017921198093
777,1,AGE_AT_VISIT,0.01585269265164204
777,1,NP3LGAGR_var,0.015674369463618668
777,1,NP3GAIT_var,0.015573892452513905
777,1,NP1SLPN_min,0.015413738269413097
777,1,NP2SPCH_max,0.01539006248004561
777,1,NP1DPRS_max,0.015351125262119587
777,1,NP1FATG_mean,0.015059170173335034
777,1,NP3LGAGR_std,0.015028127622387404
777,1,NP1SLPN_mean,0.015010866115118392
777,1,NP2RISE_var,0.014709977902963358
777,1,NP3PRSPR_var,0.014536139018357435
777,1,NP3HMOVL_std,0.014334854531927581
777,1,NP3FTAPR_std,0.014284742563312823
777,1,NP3PTRML_mean,0.014253967770523575
777,1,NP1CNST_mean,0.014224612964308377
777,1,NP2HYGN_mean,0.014163928813784013
777,1,NP2SPCH_min,0.013981242526447881
777,1,NP3PSTBL_var,0.013978055859325562
777,1,NP2WALK_std,0.013912613552232299
777,1,NP3PTRML_min,0.013776681998907527
777,1,NP2SALV_mean,0.013761211962783317
777,1,SEX,0.013748476441249059
777,1,NP3PRSPL_var,0.013719923945318388
777,1,NP1PAIN_mean,0.013656834070571245
777,1,NP1SLPD_mean,0.013552818771512817
777,1,NP3PTRMR_std,0.013551706786899759
