epoch,train_loss,val_loss,val_acc,val_balanced_acc,val_f1
1,0.28160260214998917,0.1877813747001661,0.9391891891891891,0.9431545973834531,0.9419354838709677
2,0.1399420003935292,0.20788566033179695,0.918918918918919,0.9194766906209693,0.925
3,0.10533696964282442,0.1881201124271831,0.9391891891891891,0.9418647503224618,0.9426751592356688
4,0.07773503107396332,0.23920807960078222,0.9391891891891891,0.9418647503224618,0.9426751592356688
5,0.05055326207012341,0.3110687275089928,0.9324324324324325,0.9369817578772802,0.935064935064935
6,0.03210922202561051,0.3252548003581831,0.9324324324324325,0.9331122166943062,0.9375
7,0.02489479611697764,0.439427014865745,0.9256756756756757,0.929519071310116,0.9290322580645162
8,0.029632873732889246,0.3908505941516204,0.9256756756756757,0.9256495301271421,0.9316770186335404
9,0.005807133876628909,0.45830015205885155,0.9256756756756757,0.9256495301271421,0.9316770186335404
10,0.005903452961393742,0.510197469462779,0.918918918918919,0.9181868435599778,0.9259259259259259
11,0.017722729705171233,0.39971821328544066,0.9391891891891891,0.9405749032614704,0.9433962264150944
