epoch,train_loss,val_loss,val_acc,val_f1,val_balanced_acc
1,0.3571428290090045,0.19303120229695295,0.9256756756756757,0.9299363057324841,0.9282292242491248
2,0.18200872717676936,0.16229436898956429,0.9391891891891891,0.9426751592356688,0.9418647503224618
3,0.14911042455885862,0.15678794188676654,0.9391891891891891,0.9433962264150944,0.9405749032614704
4,0.11635587263751675,0.1614265022925227,0.9459459459459459,0.9493670886075949,0.9480375898286346
5,0.0927966164072623,0.16820013183924193,0.9527027027027027,0.9559748427672956,0.9542104293348075
6,0.07618610394766202,0.17504261269838223,0.9594594594594594,0.9625,0.9603832688409804
7,0.062163792097487965,0.18753897708941353,0.9594594594594594,0.9625,0.9603832688409804
8,0.035420941865398875,0.2221875543260909,0.9594594594594594,0.9625,0.9603832688409804
9,0.027428820147179067,0.24267578096545106,0.9527027027027027,0.9559748427672956,0.9542104293348075
10,0.019746433400762948,0.256348309231406,0.9527027027027027,0.9559748427672956,0.9542104293348075
11,0.020715026765419926,0.2551513822175833,0.9594594594594594,0.9625,0.9603832688409804
12,0.014457921547865545,0.2858052320937261,0.9527027027027027,0.9559748427672956,0.9542104293348075
13,0.016360449080034537,0.31086924993547116,0.9527027027027027,0.9559748427672956,0.9542104293348075
