epoch,train_loss,val_loss,val_acc,val_f1_macro,val_f1_weighted,val_balanced_acc,val_recall_0,val_recall_1,val_recall_2
1,1.980874091386795,1.2974978737209155,0.08695652173913043,0.07407407407407407,0.07729468599033816,0.08333333333333333,0.0,0.25,0.0
2,1.2847225368022919,0.8449947134308193,0.5652173913043478,0.47348484848484845,0.49407114624505927,0.5416666666666666,0.875,0.75,0.0
3,1.0943186655640602,0.7679563294286313,0.5652173913043478,0.47348484848484845,0.49407114624505927,0.5416666666666666,0.875,0.75,0.0
4,1.029790811240673,0.8068959816642429,0.6521739130434783,0.5916666666666667,0.5869565217391305,0.6666666666666666,0.875,0.125,1.0
5,0.9801003225147724,0.7782224416732788,0.6521739130434783,0.625,0.6231884057971014,0.6607142857142857,0.875,0.25,0.8571428571428571
6,0.85618095099926,0.7371286775754846,0.5217391304347826,0.4503968253968254,0.4699792960662526,0.5,0.875,0.625,0.0
7,0.9551142230629921,0.7247537866882656,0.5217391304347826,0.4503968253968254,0.4699792960662526,0.5,0.875,0.625,0.0
8,1.048354186117649,0.7394297174785448,0.5652173913043478,0.525,0.5391304347826087,0.5476190476190476,0.875,0.625,0.14285714285714285
9,0.9504518434405327,0.7065423053243886,0.5652173913043478,0.47348484848484845,0.49407114624505927,0.5416666666666666,0.875,0.75,0.0
10,0.8434596061706543,0.7029831642689912,0.5652173913043478,0.47348484848484845,0.49407114624505927,0.5416666666666666,0.875,0.75,0.0
11,0.8477924689650536,0.712164070295251,0.5652173913043478,0.47348484848484845,0.49407114624505927,0.5416666666666666,0.875,0.75,0.0
12,0.9543457701802254,0.7289226806682089,0.5652173913043478,0.525,0.5391304347826087,0.5476190476190476,0.875,0.625,0.14285714285714285
13,0.8120482638478279,0.711890925531802,0.5217391304347826,0.4503968253968254,0.4699792960662526,0.5,0.875,0.625,0.0
14,0.746801070868969,0.7134015197339265,0.5217391304347826,0.4503968253968254,0.4699792960662526,0.5,0.875,0.625,0.0
15,0.7706175819039345,0.7039790516314299,0.5217391304347826,0.4503968253968254,0.4699792960662526,0.5,0.875,0.625,0.0
16,0.674703948199749,0.7256570328836855,0.6086956521739131,0.6023755656108598,0.6084989179618335,0.6011904761904762,0.875,0.5,0.42857142857142855
17,0.8218576088547707,0.7694466710090637,0.6521739130434783,0.5916666666666667,0.5869565217391305,0.6666666666666666,0.875,0.125,1.0
18,0.77762171626091,0.7648868120234945,0.6521739130434783,0.5916666666666667,0.5869565217391305,0.6666666666666666,0.875,0.125,1.0
19,0.8078756704926491,0.697598001231318,0.5217391304347826,0.4503968253968254,0.4699792960662526,0.5,0.875,0.625,0.0
20,0.7620759308338165,0.6958270539408145,0.5217391304347826,0.4503968253968254,0.4699792960662526,0.5,0.875,0.625,0.0
21,0.8232179880142212,0.7276932934056157,0.6521739130434783,0.6428571428571429,0.6436335403726708,0.6547619047619048,0.875,0.375,0.7142857142857143
22,0.8076691552996635,0.7403680889502816,0.6521739130434783,0.5916666666666667,0.5869565217391305,0.6666666666666666,0.875,0.125,1.0
23,0.7173568531870842,0.7723480877668961,0.6521739130434783,0.5916666666666667,0.5869565217391305,0.6666666666666666,0.875,0.125,1.0
24,0.7698428258299828,0.7467384442039158,0.6521739130434783,0.5916666666666667,0.5869565217391305,0.6666666666666666,0.875,0.125,1.0
25,0.7417575195431709,0.7279051101726034,0.6521739130434783,0.625,0.6231884057971014,0.6607142857142857,0.875,0.25,0.8571428571428571
26,0.6312507539987564,0.7006515471831612,0.6521739130434783,0.625,0.6347826086956523,0.6369047619047619,0.875,0.75,0.2857142857142857
27,0.7173184528946877,0.6904764952866927,0.5652173913043478,0.47348484848484845,0.49407114624505927,0.5416666666666666,0.875,0.75,0.0
28,0.7361659333109856,0.696583830791971,0.6086956521739131,0.5562169312169312,0.5707384403036577,0.5892857142857143,0.875,0.75,0.14285714285714285
29,0.7322108708322048,0.7214814916900967,0.6086956521739131,0.5903092006033183,0.5903993704505214,0.6130952380952381,0.875,0.25,0.7142857142857143
30,0.73597551882267,0.7198243037514065,0.6956521739130435,0.6584928229665072,0.6550863324318703,0.7083333333333334,0.875,0.25,1.0
31,0.6909380443394184,0.7354053777197133,0.6956521739130435,0.6584928229665072,0.6550863324318703,0.7083333333333334,0.875,0.25,1.0
32,0.7306669317185879,0.7781610773957294,0.6521739130434783,0.5916666666666667,0.5869565217391305,0.6666666666666666,0.875,0.125,1.0
33,0.6694368422031403,0.7239819376364999,0.6956521739130435,0.6584928229665072,0.6550863324318703,0.7083333333333334,0.875,0.25,1.0
34,0.6263055540621281,0.7025856971740723,0.6521739130434783,0.6488095238095238,0.6521739130434783,0.6488095238095238,0.875,0.5,0.5714285714285714
35,0.7228094935417175,0.6904007922048154,0.6956521739130435,0.6840111642743221,0.6900353650925733,0.6845238095238094,0.875,0.75,0.42857142857142855
36,0.7372745126485825,0.7277076840400696,0.6956521739130435,0.6584928229665072,0.6550863324318703,0.7083333333333334,0.875,0.25,1.0
37,0.658489253371954,0.6926131041153617,0.6956521739130435,0.6840111642743221,0.6900353650925733,0.6845238095238094,0.875,0.75,0.42857142857142855
38,0.6870282329618931,0.7077608160350634,0.6521739130434783,0.6428571428571429,0.6436335403726708,0.6547619047619048,0.875,0.375,0.7142857142857143
39,0.6509041860699654,0.7437503208284792,0.6956521739130435,0.6584928229665072,0.6550863324318703,0.7083333333333334,0.875,0.25,1.0
40,0.613372441381216,0.6845826869425566,0.6956521739130435,0.6840111642743221,0.6900353650925733,0.6845238095238094,0.875,0.75,0.42857142857142855
