epoch,train_loss,val_loss,val_acc,val_f1,val_balanced_acc
1,0.3576994985342026,0.19339942217275902,0.9256756756756757,0.9299363057324841,0.9282292242491248
2,0.18236357517339088,0.16211635433137417,0.9391891891891891,0.9426751592356688,0.9418647503224618
3,0.1504543260545344,0.15761179358673258,0.9391891891891891,0.9433962264150944,0.9405749032614704
4,0.11779750133487019,0.1605952741653734,0.9459459459459459,0.9493670886075949,0.9480375898286346
5,0.09382722521754536,0.1737150174842493,0.9459459459459459,0.9493670886075949,0.9480375898286346
6,0.07486774951118876,0.17595766747773095,0.9594594594594594,0.9625,0.9603832688409804
7,0.06432759950591906,0.18817803146619652,0.9594594594594594,0.9625,0.9603832688409804
8,0.03752793817201982,0.2216937838561166,0.9527027027027027,0.9559748427672956,0.9542104293348075
9,0.031768031160321994,0.24489468764403607,0.9459459459459459,0.9493670886075949,0.9480375898286346
10,0.028225595628641343,0.24421065082188342,0.9527027027027027,0.9559748427672956,0.9542104293348075
11,0.025536498138240563,0.23467701325874235,0.9594594594594594,0.9625,0.9603832688409804
12,0.029832705863235467,0.27058274028948637,0.9459459459459459,0.95,0.9467477427676432
13,0.018290659475668863,0.267147494590923,0.9459459459459459,0.9493670886075949,0.9480375898286346
