Accuracy_Testing,Precision_macro_Testing,Recall_macro_Testing,F1_macro_Testing,AUC_macro_Testing,Precision_weighted_Testing,Recall_weighted_Testing,F1_weighted_Testing,AUC_weighted_Testing,Accuracy_CV,Precision_macro_CV,Recall_macro_CV,F1_macro_CV,AUC_macro_CV,Precision_weighted_CV,Recall_weighted_CV,F1_weighted_CV,AUC_weighted_CV
0.7549 ± 0.0196,0.6232 ± 0.0264,0.6222 ± 0.0315,0.6210 ± 0.0279,0.7498 ± 0.0205,0.7705 ± 0.0197,0.7549 ± 0.0196,0.7615 ± 0.0185,0.8162 ± 0.0152,0.7571 ± 0.0185,0.6250 ± 0.0208,0.6237 ± 0.0230,0.6239 ± 0.0222,0.7501 ± 0.0152,0.7670 ± 0.0122,0.7571 ± 0.0185,0.7618 ± 0.0153,0.8147 ± 0.0121
0.8678 ± 0.0116,0.8268 ± 0.1153,0.6666 ± 0.0187,0.6499 ± 0.0308,0.8897 ± 0.0146,0.8553 ± 0.0425,0.8678 ± 0.0116,0.8278 ± 0.0157,0.9394 ± 0.0091,0.8640 ± 0.0052,0.8265 ± 0.0525,0.6610 ± 0.0102,0.6436 ± 0.0178,0.8903 ± 0.0083,0.8526 ± 0.0194,0.8640 ± 0.0052,0.8239 ± 0.0081,0.9383 ± 0.0045
0.8652 ± 0.0103,0.8514 ± 0.1030,0.6656 ± 0.0124,0.6504 ± 0.0210,0.8864 ± 0.0148,0.8614 ± 0.0327,0.8652 ± 0.0103,0.8258 ± 0.0111,0.9377 ± 0.0086,0.8619 ± 0.0062,0.8276 ± 0.0405,0.6624 ± 0.0115,0.6481 ± 0.0196,0.8905 ± 0.0065,0.8519 ± 0.0141,0.8619 ± 0.0062,0.8237 ± 0.0088,0.9380 ± 0.0032
0.8484 ± 0.0117,0.7145 ± 0.0462,0.6638 ± 0.0180,0.6576 ± 0.0252,0.8871 ± 0.0124,0.8145 ± 0.0186,0.8484 ± 0.0117,0.8197 ± 0.0121,0.9363 ± 0.0079,0.8426 ± 0.0084,0.6919 ± 0.0382,0.6596 ± 0.0134,0.6550 ± 0.0191,0.8783 ± 0.0115,0.8064 ± 0.0138,0.8426 ± 0.0084,0.8168 ± 0.0090,0.9301 ± 0.0056
0.8198 ± 0.0154,0.6632 ± 0.0268,0.6540 ± 0.0147,0.6523 ± 0.0175,0.8571 ± 0.0114,0.7971 ± 0.0106,0.8198 ± 0.0154,0.8057 ± 0.0104,0.9240 ± 0.0026,0.8137 ± 0.0128,0.6563 ± 0.0265,0.6517 ± 0.0197,0.6511 ± 0.0223,0.8457 ± 0.0085,0.7927 ± 0.0149,0.8137 ± 0.0128,0.8020 ± 0.0136,0.9172 ± 0.0051
0.8601 ± 0.0057,0.7243 ± 0.1635,0.6500 ± 0.0065,0.6209 ± 0.0146,0.8655 ± 0.0131,0.8164 ± 0.0518,0.8601 ± 0.0057,0.8142 ± 0.0050,0.9254 ± 0.0077,0.8503 ± 0.0044,0.6517 ± 0.1185,0.6380 ± 0.0050,0.6053 ± 0.0086,0.8647 ± 0.0074,0.7875 ± 0.0394,0.8503 ± 0.0044,0.8040 ± 0.0050,0.9229 ± 0.0041
0.7531 ± 0.0176,0.6267 ± 0.0255,0.6241 ± 0.0306,0.6226 ± 0.0267,0.8130 ± 0.0136,0.7781 ± 0.0173,0.7531 ± 0.0176,0.7638 ± 0.0161,0.8833 ± 0.0077,0.7480 ± 0.0089,0.6206 ± 0.0116,0.6182 ± 0.0135,0.6178 ± 0.0123,0.8072 ± 0.0149,0.7697 ± 0.0088,0.7480 ± 0.0089,0.7580 ± 0.0081,0.8793 ± 0.0096
0.7879 ± 0.0281,0.6506 ± 0.0486,0.6274 ± 0.0362,0.6240 ± 0.0430,0.8374 ± 0.0201,0.7728 ± 0.0282,0.7879 ± 0.0281,0.7677 ± 0.0310,0.9005 ± 0.0161,0.7892 ± 0.0091,0.6358 ± 0.0236,0.6176 ± 0.0138,0.6108 ± 0.0176,0.8348 ± 0.0103,0.7646 ± 0.0120,0.7892 ± 0.0091,0.7652 ± 0.0093,0.8977 ± 0.0065
0.7154 ± 0.0356,0.6625 ± 0.0266,0.6532 ± 0.0414,0.6247 ± 0.0360,0.8471 ± 0.0167,0.8164 ± 0.0218,0.7154 ± 0.0356,0.7398 ± 0.0325,0.9070 ± 0.0136,0.6947 ± 0.0341,0.6427 ± 0.0150,0.6301 ± 0.0256,0.6043 ± 0.0286,0.8300 ± 0.0081,0.7973 ± 0.0128,0.6947 ± 0.0341,0.7215 ± 0.0317,0.8935 ± 0.0050
