Accuracy_Testing,Precision_macro_Testing,Recall_macro_Testing,F1_macro_Testing,AUC_macro_Testing,Precision_weighted_Testing,Recall_weighted_Testing,F1_weighted_Testing,AUC_weighted_Testing,Accuracy_CV,Precision_macro_CV,Recall_macro_CV,F1_macro_CV,AUC_macro_CV,Precision_weighted_CV,Recall_weighted_CV,F1_weighted_CV,AUC_weighted_CV
0.7125 ± 0.0364,0.5103 ± 0.0363,0.5173 ± 0.0548,0.5108 ± 0.0426,0.7059 ± 0.0316,0.7271 ± 0.0317,0.7125 ± 0.0364,0.7183 ± 0.0339,0.7892 ± 0.0286,0.6953 ± 0.0144,0.4893 ± 0.0301,0.4901 ± 0.0333,0.4886 ± 0.0310,0.6893 ± 0.0182,0.7114 ± 0.0126,0.6953 ± 0.0144,0.7027 ± 0.0129,0.7769 ± 0.0106
0.8348 ± 0.0126,0.4305 ± 0.0408,0.4832 ± 0.0078,0.4492 ± 0.0086,0.8947 ± 0.0131,0.7300 ± 0.0211,0.8348 ± 0.0126,0.7758 ± 0.0117,0.9310 ± 0.0072,0.8289 ± 0.0044,0.4404 ± 0.0786,0.4803 ± 0.0026,0.4456 ± 0.0029,0.8890 ± 0.0117,0.7301 ± 0.0335,0.8289 ± 0.0044,0.7695 ± 0.0039,0.9244 ± 0.0063
0.8381 ± 0.0099,0.5195 ± 0.1296,0.4903 ± 0.0135,0.4616 ± 0.0219,0.8815 ± 0.0127,0.7625 ± 0.0523,0.8381 ± 0.0099,0.7808 ± 0.0099,0.9243 ± 0.0067,0.8280 ± 0.0043,0.4528 ± 0.0844,0.4813 ± 0.0051,0.4484 ± 0.0088,0.8836 ± 0.0068,0.7313 ± 0.0342,0.8280 ± 0.0043,0.7695 ± 0.0041,0.9215 ± 0.0044
0.8293 ± 0.0105,0.6282 ± 0.1102,0.5393 ± 0.0454,0.5383 ± 0.0536,0.8773 ± 0.0179,0.7836 ± 0.0248,0.8293 ± 0.0105,0.7913 ± 0.0143,0.9223 ± 0.0112,0.8204 ± 0.0065,0.6094 ± 0.0774,0.5119 ± 0.0205,0.5094 ± 0.0299,0.8609 ± 0.0124,0.7696 ± 0.0193,0.8204 ± 0.0065,0.7780 ± 0.0071,0.9133 ± 0.0054
0.7883 ± 0.0206,0.5808 ± 0.0761,0.5504 ± 0.0618,0.5507 ± 0.0613,0.8493 ± 0.0128,0.7652 ± 0.0169,0.7883 ± 0.0206,0.7730 ± 0.0154,0.9015 ± 0.0091,0.7770 ± 0.0157,0.5912 ± 0.0428,0.5434 ± 0.0275,0.5575 ± 0.0316,0.8488 ± 0.0086,0.7602 ± 0.0129,0.7770 ± 0.0157,0.7668 ± 0.0137,0.8956 ± 0.0081
0.8253 ± 0.0104,0.4128 ± 0.0054,0.4771 ± 0.0061,0.4424 ± 0.0056,0.8827 ± 0.0111,0.7152 ± 0.0093,0.8253 ± 0.0104,0.7658 ± 0.0096,0.9211 ± 0.0051,0.8181 ± 0.0064,0.4098 ± 0.0032,0.4738 ± 0.0037,0.4390 ± 0.0034,0.8754 ± 0.0077,0.7093 ± 0.0056,0.8181 ± 0.0064,0.7590 ± 0.0059,0.9151 ± 0.0046
0.7491 ± 0.0226,0.5743 ± 0.0596,0.5467 ± 0.0428,0.5487 ± 0.0350,0.8157 ± 0.0197,0.7504 ± 0.0141,0.7491 ± 0.0226,0.7481 ± 0.0168,0.8815 ± 0.0067,0.7467 ± 0.0184,0.5423 ± 0.0295,0.5297 ± 0.0269,0.5345 ± 0.0271,0.8084 ± 0.0123,0.7432 ± 0.0156,0.7467 ± 0.0184,0.7446 ± 0.0168,0.8764 ± 0.0087
0.6645 ± 0.0260,0.4497 ± 0.1006,0.3934 ± 0.0221,0.3781 ± 0.0318,0.7253 ± 0.0188,0.6465 ± 0.0252,0.6645 ± 0.0260,0.6164 ± 0.0283,0.8268 ± 0.0117,0.6604 ± 0.0114,0.4054 ± 0.0218,0.3870 ± 0.0052,0.3675 ± 0.0058,0.7149 ± 0.0097,0.6377 ± 0.0106,0.6604 ± 0.0114,0.6123 ± 0.0113,0.8157 ± 0.0040
0.4484 ± 0.0878,0.4513 ± 0.0444,0.4623 ± 0.0894,0.3514 ± 0.0670,0.7281 ± 0.0520,0.6981 ± 0.0481,0.4484 ± 0.0878,0.4800 ± 0.0808,0.8345 ± 0.0191,0.4442 ± 0.0608,0.4447 ± 0.0161,0.4449 ± 0.0366,0.3543 ± 0.0377,0.7122 ± 0.0202,0.6879 ± 0.0199,0.4442 ± 0.0608,0.4867 ± 0.0594,0.8181 ± 0.0109
