Accuracy_Testing,Precision_macro_Testing,Recall_macro_Testing,F1_macro_Testing,AUC_macro_Testing,Precision_weighted_Testing,Recall_weighted_Testing,F1_weighted_Testing,AUC_weighted_Testing,Accuracy_CV,Precision_macro_CV,Recall_macro_CV,F1_macro_CV,AUC_macro_CV,Precision_weighted_CV,Recall_weighted_CV,F1_weighted_CV,AUC_weighted_CV
0.4476 ± 0.0213,0.2988 ± 0.0255,0.3100 ± 0.0445,0.3013 ± 0.0304,0.5452 ± 0.0238,0.4569 ± 0.0174,0.4476 ± 0.0213,0.4511 ± 0.0189,0.5609 ± 0.0148,0.4505 ± 0.0255,0.2991 ± 0.0244,0.3010 ± 0.0260,0.2995 ± 0.0251,0.5410 ± 0.0175,0.4576 ± 0.0241,0.4505 ± 0.0255,0.4537 ± 0.0246,0.5619 ± 0.0199
0.5945 ± 0.0177,0.2975 ± 0.0090,0.3429 ± 0.0103,0.3178 ± 0.0096,0.6789 ± 0.0286,0.5150 ± 0.0156,0.5945 ± 0.0177,0.5506 ± 0.0165,0.6996 ± 0.0210,0.5805 ± 0.0139,0.2896 ± 0.0070,0.3355 ± 0.0081,0.3108 ± 0.0075,0.6692 ± 0.0171,0.5008 ± 0.0121,0.5805 ± 0.0139,0.5377 ± 0.0129,0.6860 ± 0.0147
0.6143 ± 0.0212,0.3074 ± 0.0108,0.3546 ± 0.0125,0.3286 ± 0.0115,0.6909 ± 0.0184,0.5327 ± 0.0188,0.6143 ± 0.0212,0.5693 ± 0.0198,0.7160 ± 0.0129,0.6011 ± 0.0135,0.3001 ± 0.0070,0.3475 ± 0.0080,0.3220 ± 0.0075,0.6734 ± 0.0193,0.5191 ± 0.0121,0.6011 ± 0.0135,0.5570 ± 0.0129,0.6992 ± 0.0110
0.6048 ± 0.0248,0.3268 ± 0.0338,0.3509 ± 0.0150,0.3306 ± 0.0149,0.6786 ± 0.0283,0.5412 ± 0.0247,0.6048 ± 0.0248,0.5671 ± 0.0229,0.7187 ± 0.0149,0.5877 ± 0.0109,0.3205 ± 0.0203,0.3425 ± 0.0068,0.3231 ± 0.0077,0.6653 ± 0.0142,0.5250 ± 0.0125,0.5877 ± 0.0109,0.5509 ± 0.0093,0.7014 ± 0.0107
0.5634 ± 0.0340,0.3387 ± 0.0582,0.3405 ± 0.0294,0.3269 ± 0.0369,0.6569 ± 0.0143,0.5164 ± 0.0272,0.5634 ± 0.0340,0.5317 ± 0.0291,0.6512 ± 0.0240,0.5533 ± 0.0164,0.3132 ± 0.0256,0.3255 ± 0.0111,0.3106 ± 0.0142,0.6410 ± 0.0180,0.5012 ± 0.0175,0.5533 ± 0.0164,0.5219 ± 0.0159,0.6354 ± 0.0162
0.5799 ± 0.0317,0.2893 ± 0.0161,0.3340 ± 0.0184,0.3094 ± 0.0172,0.6977 ± 0.0235,0.5008 ± 0.0277,0.5799 ± 0.0317,0.5364 ± 0.0296,0.6919 ± 0.0243,0.5748 ± 0.0107,0.2863 ± 0.0054,0.3316 ± 0.0063,0.3068 ± 0.0060,0.6852 ± 0.0183,0.4950 ± 0.0094,0.5748 ± 0.0107,0.5312 ± 0.0103,0.6825 ± 0.0167
0.4949 ± 0.0288,0.3518 ± 0.0418,0.3562 ± 0.0497,0.3498 ± 0.0442,0.6458 ± 0.0173,0.5266 ± 0.0305,0.4949 ± 0.0288,0.5079 ± 0.0293,0.6530 ± 0.0229,0.4918 ± 0.0202,0.3639 ± 0.0200,0.3540 ± 0.0163,0.3562 ± 0.0166,0.6395 ± 0.0268,0.5178 ± 0.0200,0.4918 ± 0.0202,0.5034 ± 0.0199,0.6521 ± 0.0180
0.4744 ± 0.0175,0.2800 ± 0.0234,0.2839 ± 0.0149,0.2639 ± 0.0183,0.5731 ± 0.0265,0.4375 ± 0.0248,0.4744 ± 0.0175,0.4281 ± 0.0182,0.5709 ± 0.0220,0.4656 ± 0.0106,0.2755 ± 0.0107,0.2761 ± 0.0054,0.2550 ± 0.0070,0.5512 ± 0.0183,0.4277 ± 0.0118,0.4656 ± 0.0106,0.4169 ± 0.0102,0.5522 ± 0.0146
0.1282 ± 0.0201,0.2828 ± 0.0229,0.2948 ± 0.0627,0.1224 ± 0.0225,0.5468 ± 0.0437,0.4320 ± 0.0372,0.1282 ± 0.0201,0.1129 ± 0.0111,0.5526 ± 0.0146,0.1403 ± 0.0203,0.2623 ± 0.0343,0.2863 ± 0.0324,0.1297 ± 0.0163,0.5323 ± 0.0308,0.3968 ± 0.0575,0.1403 ± 0.0203,0.1285 ± 0.0217,0.5380 ± 0.0152
