Accuracy_Testing,Precision_macro_Testing,Recall_macro_Testing,F1_macro_Testing,AUC_macro_Testing,Precision_weighted_Testing,Recall_weighted_Testing,F1_weighted_Testing,AUC_weighted_Testing,F1_macro_CV,Best_Params_Outer_Folds
0.7912 ± 0.0288,0.6265 ± 0.0424,0.6326 ± 0.0299,0.6271 ± 0.0343,0.8198 ± 0.0176,0.7758 ± 0.0232,0.7912 ± 0.0288,0.7816 ± 0.0213,0.8901 ± 0.0133,0.6598 ± 0.0135,"[OrderedDict({'model__criterion': 'gini', 'model__max_depth': 29, 'model__max_features': None, 'model__min_samples_leaf': 7, 'model__min_samples_split': 19}), OrderedDict({'model__criterion': 'gini', 'model__max_depth': 30, 'model__max_features': None, 'model__min_samples_leaf': 10, 'model__min_samples_split': 3}), OrderedDict({'model__criterion': 'entropy', 'model__max_depth': 14, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 7, 'model__min_samples_split': 18}), OrderedDict({'model__criterion': 'entropy', 'model__max_depth': 25, 'model__max_features': None, 'model__min_samples_leaf': 8, 'model__min_samples_split': 10}), OrderedDict({'model__criterion': 'gini', 'model__max_depth': 21, 'model__max_features': None, 'model__min_samples_leaf': 5, 'model__min_samples_split': 11}), OrderedDict({'model__criterion': 'entropy', 'model__max_depth': 7, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 8, 'model__min_samples_split': 11}), OrderedDict({'model__criterion': 'gini', 'model__max_depth': 30, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 8, 'model__min_samples_split': 20}), OrderedDict({'model__criterion': 'gini', 'model__max_depth': 29, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 9, 'model__min_samples_split': 20}), OrderedDict({'model__criterion': 'gini', 'model__max_depth': 11, 'model__max_features': None, 'model__min_samples_leaf': 7, 'model__min_samples_split': 18}), OrderedDict({'model__criterion': 'entropy', 'model__max_depth': 27, 'model__max_features': None, 'model__min_samples_leaf': 8, 'model__min_samples_split': 20})]"
0.8597 ± 0.0135,0.7430 ± 0.0319,0.6907 ± 0.0159,0.6936 ± 0.0204,0.8938 ± 0.0129,0.8356 ± 0.0114,0.8597 ± 0.0135,0.8390 ± 0.0126,0.9423 ± 0.0085,0.6982 ± 0.0144,"[OrderedDict({'model__bootstrap': True, 'model__max_depth': 4, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 3, 'model__min_samples_split': 20, 'model__n_estimators': 416}), OrderedDict({'model__bootstrap': True, 'model__max_depth': 11, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 10, 'model__min_samples_split': 2, 'model__n_estimators': 200}), OrderedDict({'model__bootstrap': True, 'model__max_depth': 4, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 6, 'model__min_samples_split': 2, 'model__n_estimators': 800}), OrderedDict({'model__bootstrap': True, 'model__max_depth': 4, 'model__max_features': 'log2', 'model__min_samples_leaf': 10, 'model__min_samples_split': 20, 'model__n_estimators': 200}), OrderedDict({'model__bootstrap': True, 'model__max_depth': 26, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 8, 'model__min_samples_split': 20, 'model__n_estimators': 206}), OrderedDict({'model__bootstrap': True, 'model__max_depth': 4, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 3, 'model__min_samples_split': 20, 'model__n_estimators': 641}), OrderedDict({'model__bootstrap': True, 'model__max_depth': 4, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 5, 'model__min_samples_split': 2, 'model__n_estimators': 569}), OrderedDict({'model__bootstrap': True, 'model__max_depth': 4, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 9, 'model__n_estimators': 800}), OrderedDict({'model__bootstrap': True, 'model__max_depth': 28, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 10, 'model__min_samples_split': 20, 'model__n_estimators': 223}), OrderedDict({'model__bootstrap': True, 'model__max_depth': 4, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 9, 'model__min_samples_split': 20, 'model__n_estimators': 800})]"
0.8619 ± 0.0079,0.5750 ± 0.0054,0.6455 ± 0.0059,0.6081 ± 0.0057,0.8867 ± 0.0146,0.7678 ± 0.0073,0.8619 ± 0.0079,0.8119 ± 0.0076,0.9394 ± 0.0084,0.6070 ± 0.0032,"[OrderedDict({'model__max_depth': 26, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 2, 'model__n_estimators': 216}), OrderedDict({'model__max_depth': 4, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 4, 'model__n_estimators': 200}), OrderedDict({'model__max_depth': 4, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 239}), OrderedDict({'model__max_depth': 4, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 20, 'model__n_estimators': 746}), OrderedDict({'model__max_depth': 19, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 6, 'model__min_samples_split': 8, 'model__n_estimators': 676}), OrderedDict({'model__max_depth': 4, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 15, 'model__n_estimators': 387}), OrderedDict({'model__max_depth': 4, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 17, 'model__n_estimators': 800}), OrderedDict({'model__max_depth': 4, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 4, 'model__n_estimators': 270}), OrderedDict({'model__max_depth': 4, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 3, 'model__min_samples_split': 13, 'model__n_estimators': 582}), OrderedDict({'model__max_depth': 7, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 216})]"
0.8447 ± 0.0147,0.6939 ± 0.0877,0.6527 ± 0.0140,0.6397 ± 0.0207,0.8734 ± 0.0197,0.8080 ± 0.0300,0.8447 ± 0.0147,0.8140 ± 0.0113,0.9282 ± 0.0105,0.6555 ± 0.0075,"[OrderedDict({'model__colsample_bytree': 0.6, 'model__gamma': 0.000361773336773307, 'model__learning_rate': 0.12454920357026578, 'model__max_depth': 5, 'model__min_child_weight': 9, 'model__n_estimators': 576, 'model__reg_alpha': 5.308897771900206e-08, 'model__reg_lambda': 0.3200756266643965, 'model__subsample': 1.0}), OrderedDict({'model__colsample_bytree': 0.9249583953429453, 'model__gamma': 3.1268392668305813e-07, 'model__learning_rate': 0.07645185888630145, 'model__max_depth': 9, 'model__min_child_weight': 6, 'model__n_estimators': 238, 'model__reg_alpha': 0.03755659098197096, 'model__reg_lambda': 0.3899287596962131, 'model__subsample': 0.9647715446027535}), OrderedDict({'model__colsample_bytree': 0.7482029667370053, 'model__gamma': 6.854047156062535e-05, 'model__learning_rate': 0.12307385220059788, 'model__max_depth': 4, 'model__min_child_weight': 3, 'model__n_estimators': 581, 'model__reg_alpha': 2.5309915736642386e-05, 'model__reg_lambda': 0.14100931865239527, 'model__subsample': 0.8611662134198701}), OrderedDict({'model__colsample_bytree': 0.6608917235837516, 'model__gamma': 0.09924821845015132, 'model__learning_rate': 0.29999999999999993, 'model__max_depth': 5, 'model__min_child_weight': 5, 'model__n_estimators': 594, 'model__reg_alpha': 4.341215500970465e-07, 'model__reg_lambda': 0.0018584881767190818, 'model__subsample': 0.7472033593298071}), OrderedDict({'model__colsample_bytree': 0.7952201030089542, 'model__gamma': 1e-08, 'model__learning_rate': 0.29999999999999993, 'model__max_depth': 4, 'model__min_child_weight': 10, 'model__n_estimators': 200, 'model__reg_alpha': 1.0754225040374066, 'model__reg_lambda': 0.9029997564737487, 'model__subsample': 0.6}), OrderedDict({'model__colsample_bytree': 0.6, 'model__gamma': 1.9777842925191467e-07, 'model__learning_rate': 0.037346939325261654, 'model__max_depth': 9, 'model__min_child_weight': 7, 'model__n_estimators': 370, 'model__reg_alpha': 2.059186799697628, 'model__reg_lambda': 1e-08, 'model__subsample': 0.9076550655557476}), OrderedDict({'model__colsample_bytree': 0.7640415835413256, 'model__gamma': 0.021402495345900878, 'model__learning_rate': 0.2387586688716479, 'model__max_depth': 5, 'model__min_child_weight': 7, 'model__n_estimators': 366, 'model__reg_alpha': 1.1291227449182555e-05, 'model__reg_lambda': 0.027097245828168533, 'model__subsample': 0.7217853244146024}), OrderedDict({'model__colsample_bytree': 0.7640415835413256, 'model__gamma': 0.021402495345900878, 'model__learning_rate': 0.2387586688716479, 'model__max_depth': 5, 'model__min_child_weight': 7, 'model__n_estimators': 366, 'model__reg_alpha': 1.1291227449182555e-05, 'model__reg_lambda': 0.027097245828168533, 'model__subsample': 0.7217853244146024}), OrderedDict({'model__colsample_bytree': 1.0, 'model__gamma': 1.627848396907331, 'model__learning_rate': 0.29999999999999993, 'model__max_depth': 4, 'model__min_child_weight': 4, 'model__n_estimators': 559, 'model__reg_alpha': 7.278656988107176e-08, 'model__reg_lambda': 1.6477594748667794, 'model__subsample': 0.6180468097367661}), OrderedDict({'model__colsample_bytree': 0.739734246713768, 'model__gamma': 0.013112179054096012, 'model__learning_rate': 0.29999999999999993, 'model__max_depth': 3, 'model__min_child_weight': 10, 'model__n_estimators': 583, 'model__reg_alpha': 2.032239242771842e-07, 'model__reg_lambda': 0.0001698422038950948, 'model__subsample': 0.7517990566639985})]"
0.8128 ± 0.0171,0.6645 ± 0.0211,0.6588 ± 0.0161,0.6572 ± 0.0179,0.8495 ± 0.0142,0.8009 ± 0.0127,0.8128 ± 0.0171,0.8043 ± 0.0116,0.9215 ± 0.0079,0.6707 ± 0.0131,"[OrderedDict({'model__learning_rate': 0.9960467865487066, 'model__n_estimators': 496}), OrderedDict({'model__learning_rate': 0.9636419685880194, 'model__n_estimators': 51}), OrderedDict({'model__learning_rate': 0.9985084666409385, 'model__n_estimators': 176}), OrderedDict({'model__learning_rate': 0.594145667716944, 'model__n_estimators': 314}), OrderedDict({'model__learning_rate': 0.9998233890004765, 'model__n_estimators': 135}), OrderedDict({'model__learning_rate': 0.9995052090345935, 'model__n_estimators': 58}), OrderedDict({'model__learning_rate': 0.1528248824152411, 'model__n_estimators': 361}), OrderedDict({'model__learning_rate': 0.36806290512007667, 'model__n_estimators': 340}), OrderedDict({'model__learning_rate': 1.0, 'model__n_estimators': 50}), OrderedDict({'model__learning_rate': 1.0, 'model__n_estimators': 500})]"
0.8190 ± 0.0293,0.6565 ± 0.0494,0.6527 ± 0.0322,0.6493 ± 0.0376,0.8554 ± 0.0168,0.7959 ± 0.0248,0.8190 ± 0.0293,0.8050 ± 0.0245,0.9198 ± 0.0091,0.6472 ± 0.0177,"[OrderedDict({'model__C': 1000.0, 'model__gamma': 0.007320380292100616, 'model__kernel': 'rbf'}), OrderedDict({'model__C': 62.7076678988192, 'model__gamma': 0.0015493371417640521, 'model__kernel': 'rbf'}), OrderedDict({'model__C': 62.7076678988192, 'model__gamma': 0.0015493371417640521, 'model__kernel': 'rbf'}), OrderedDict({'model__C': 1000.0, 'model__gamma': 0.0006849057809847919, 'model__kernel': 'rbf'}), OrderedDict({'model__C': 114.13982779493196, 'model__gamma': 0.0014505442534663664, 'model__kernel': 'rbf'}), OrderedDict({'model__C': 1000.0, 'model__gamma': 0.003299249920800092, 'model__kernel': 'rbf'}), OrderedDict({'model__C': 1000.0, 'model__gamma': 0.0001827398345931212, 'model__kernel': 'rbf'}), OrderedDict({'model__C': 541.953174116056, 'model__gamma': 0.00015677643883551439, 'model__kernel': 'rbf'}), OrderedDict({'model__C': 62.7076678988192, 'model__gamma': 0.0015493371417640521, 'model__kernel': 'rbf'}), OrderedDict({'model__C': 24.31886173562691, 'model__gamma': 0.0025840423488501674, 'model__kernel': 'rbf'})]"
0.7985 ± 0.0226,0.6563 ± 0.0230,0.6540 ± 0.0227,0.6530 ± 0.0227,0.8581 ± 0.0189,0.8031 ± 0.0141,0.7985 ± 0.0226,0.7988 ± 0.0174,0.9235 ± 0.0105,0.6613 ± 0.0151,"[OrderedDict({'model__C': 0.002835798651964616, 'model__penalty': 'l2', 'model__solver': 'saga'}), OrderedDict({'model__C': 0.004412977936444855, 'model__penalty': 'l2', 'model__solver': 'saga'}), OrderedDict({'model__C': 0.007915115996329955, 'model__penalty': 'l2', 'model__solver': 'saga'}), OrderedDict({'model__C': 0.2773469606836148, 'model__penalty': 'l2', 'model__solver': 'saga'}), OrderedDict({'model__C': 0.21992586764448638, 'model__penalty': 'l2', 'model__solver': 'saga'}), OrderedDict({'model__C': 0.0028665334744904657, 'model__penalty': 'l2', 'model__solver': 'lbfgs'}), OrderedDict({'model__C': 0.0017770499225372837, 'model__penalty': 'l2', 'model__solver': 'lbfgs'}), OrderedDict({'model__C': 0.009006547376874357, 'model__penalty': 'l2', 'model__solver': 'saga'}), OrderedDict({'model__C': 0.02130218762837579, 'model__penalty': 'l2', 'model__solver': 'saga'}), OrderedDict({'model__C': 0.012974898546784847, 'model__penalty': 'l2', 'model__solver': 'lbfgs'})]"
0.7055 ± 0.0253,0.5844 ± 0.1071,0.5362 ± 0.0237,0.5154 ± 0.0284,0.7772 ± 0.0385,0.7116 ± 0.0443,0.7055 ± 0.0253,0.6708 ± 0.0252,0.8438 ± 0.0349,0.5361 ± 0.0145,"[OrderedDict({'model__n_neighbors': 3, 'model__p': 2, 'model__weights': 'distance'}), OrderedDict({'model__n_neighbors': 5, 'model__p': 2, 'model__weights': 'distance'}), OrderedDict({'model__n_neighbors': 4, 'model__p': 2, 'model__weights': 'distance'}), OrderedDict({'model__n_neighbors': 11, 'model__p': 2, 'model__weights': 'distance'}), OrderedDict({'model__n_neighbors': 7, 'model__p': 2, 'model__weights': 'distance'}), OrderedDict({'model__n_neighbors': 4, 'model__p': 2, 'model__weights': 'distance'}), OrderedDict({'model__n_neighbors': 5, 'model__p': 1, 'model__weights': 'distance'}), OrderedDict({'model__n_neighbors': 3, 'model__p': 2, 'model__weights': 'distance'}), OrderedDict({'model__n_neighbors': 3, 'model__p': 1, 'model__weights': 'distance'}), OrderedDict({'model__n_neighbors': 3, 'model__p': 1, 'model__weights': 'distance'})]"
0.6004 ± 0.0268,0.6259 ± 0.0176,0.5888 ± 0.0334,0.5457 ± 0.0233,0.8092 ± 0.0195,0.7823 ± 0.0166,0.6004 ± 0.0268,0.6459 ± 0.0224,0.8771 ± 0.0135,0.5379 ± 0.0152,"[OrderedDict({'model__var_smoothing': 1e-06}), OrderedDict({'model__var_smoothing': 1e-06}), OrderedDict({'model__var_smoothing': 6.636085077612337e-07}), OrderedDict({'model__var_smoothing': 6.636085077612337e-07}), OrderedDict({'model__var_smoothing': 5.263010863147886e-07}), OrderedDict({'model__var_smoothing': 1e-06}), OrderedDict({'model__var_smoothing': 9.966916991770303e-07}), OrderedDict({'model__var_smoothing': 9.966916991770303e-07}), OrderedDict({'model__var_smoothing': 7.072142735451169e-07}), OrderedDict({'model__var_smoothing': 6.636085077612337e-07})]"
