Accuracy_Testing,Precision_macro_Testing,Recall_macro_Testing,F1_macro_Testing,AUC_macro_Testing,Precision_weighted_Testing,Recall_weighted_Testing,F1_weighted_Testing,AUC_weighted_Testing,Accuracy_CV,Precision_macro_CV,Recall_macro_CV,F1_macro_CV,AUC_macro_CV,Precision_weighted_CV,Recall_weighted_CV,F1_weighted_CV,AUC_weighted_CV
0.7363 ± 0.0214,0.5297 ± 0.0310,0.5357 ± 0.0315,0.5303 ± 0.0307,0.7198 ± 0.0183,0.7489 ± 0.0203,0.7363 ± 0.0214,0.7415 ± 0.0203,0.8077 ± 0.0167,0.7222 ± 0.0141,0.5230 ± 0.0272,0.5258 ± 0.0320,0.5231 ± 0.0285,0.7121 ± 0.0181,0.7358 ± 0.0163,0.7222 ± 0.0141,0.7284 ± 0.0146,0.7969 ± 0.0120
0.8451 ± 0.0098,0.6871 ± 0.1395,0.5109 ± 0.0139,0.4996 ± 0.0266,0.8926 ± 0.0086,0.8228 ± 0.0399,0.8451 ± 0.0098,0.7956 ± 0.0114,0.9291 ± 0.0068,0.8336 ± 0.0075,0.6424 ± 0.1175,0.4955 ± 0.0086,0.4759 ± 0.0143,0.8949 ± 0.0112,0.8045 ± 0.0386,0.8336 ± 0.0075,0.7818 ± 0.0092,0.9282 ± 0.0047
0.8451 ± 0.0098,0.7565 ± 0.1276,0.5367 ± 0.0303,0.5419 ± 0.0446,0.8930 ± 0.0147,0.8382 ± 0.0253,0.8451 ± 0.0098,0.8023 ± 0.0098,0.9296 ± 0.0064,0.8335 ± 0.0075,0.7457 ± 0.0904,0.5168 ± 0.0214,0.5144 ± 0.0349,0.8925 ± 0.0101,0.8216 ± 0.0189,0.8335 ± 0.0075,0.7873 ± 0.0113,0.9279 ± 0.0044
0.8293 ± 0.0188,0.6940 ± 0.1040,0.5726 ± 0.0422,0.5846 ± 0.0467,0.8780 ± 0.0173,0.8051 ± 0.0280,0.8293 ± 0.0188,0.8024 ± 0.0166,0.9218 ± 0.0080,0.8159 ± 0.0077,0.6403 ± 0.0353,0.5436 ± 0.0215,0.5580 ± 0.0257,0.8686 ± 0.0135,0.7767 ± 0.0116,0.8159 ± 0.0077,0.7862 ± 0.0086,0.9169 ± 0.0070
0.7971 ± 0.0159,0.6464 ± 0.0406,0.5872 ± 0.0383,0.5973 ± 0.0350,0.8609 ± 0.0194,0.7793 ± 0.0117,0.7971 ± 0.0159,0.7840 ± 0.0116,0.9073 ± 0.0130,0.7704 ± 0.0168,0.5784 ± 0.0399,0.5395 ± 0.0338,0.5515 ± 0.0365,0.8496 ± 0.0078,0.7528 ± 0.0165,0.7704 ± 0.0168,0.7600 ± 0.0163,0.8953 ± 0.0084
0.8315 ± 0.0093,0.5162 ± 0.1148,0.4838 ± 0.0064,0.4534 ± 0.0093,0.8840 ± 0.0066,0.7651 ± 0.0508,0.8315 ± 0.0093,0.7748 ± 0.0089,0.9208 ± 0.0048,0.8239 ± 0.0027,0.5320 ± 0.0955,0.4799 ± 0.0029,0.4490 ± 0.0061,0.8794 ± 0.0035,0.7670 ± 0.0418,0.8239 ± 0.0027,0.7673 ± 0.0029,0.9162 ± 0.0035
0.7337 ± 0.0378,0.5522 ± 0.0503,0.5526 ± 0.0469,0.5467 ± 0.0435,0.8151 ± 0.0278,0.7503 ± 0.0219,0.7337 ± 0.0378,0.7398 ± 0.0300,0.8721 ± 0.0146,0.7165 ± 0.0135,0.5289 ± 0.0249,0.5321 ± 0.0255,0.5292 ± 0.0252,0.8014 ± 0.0201,0.7351 ± 0.0104,0.7165 ± 0.0135,0.7250 ± 0.0116,0.8626 ± 0.0125
0.7685 ± 0.0140,0.5816 ± 0.1361,0.4892 ± 0.0364,0.4951 ± 0.0531,0.8067 ± 0.0232,0.7390 ± 0.0265,0.7685 ± 0.0140,0.7396 ± 0.0171,0.8847 ± 0.0146,0.7580 ± 0.0082,0.6012 ± 0.1063,0.4785 ± 0.0136,0.4827 ± 0.0231,0.7990 ± 0.0109,0.7279 ± 0.0163,0.7580 ± 0.0082,0.7281 ± 0.0077,0.8780 ± 0.0065
0.6176 ± 0.0422,0.5173 ± 0.0362,0.6180 ± 0.0522,0.4741 ± 0.0444,0.8416 ± 0.0337,0.7624 ± 0.0391,0.6176 ± 0.0422,0.6268 ± 0.0468,0.8910 ± 0.0148,0.6119 ± 0.0276,0.5151 ± 0.0189,0.6018 ± 0.0357,0.4771 ± 0.0261,0.8176 ± 0.0166,0.7560 ± 0.0216,0.6119 ± 0.0276,0.6280 ± 0.0326,0.8793 ± 0.0069
