Accuracy_Testing,Precision_macro_Testing,Recall_macro_Testing,F1_macro_Testing,AUC_macro_Testing,Precision_weighted_Testing,Recall_weighted_Testing,F1_weighted_Testing,AUC_weighted_Testing,Accuracy_CV,Precision_macro_CV,Recall_macro_CV,F1_macro_CV,AUC_macro_CV,Precision_weighted_CV,Recall_weighted_CV,F1_weighted_CV,AUC_weighted_CV
0.7535 ± 0.0236,0.6208 ± 0.0304,0.6195 ± 0.0363,0.6185 ± 0.0323,0.7480 ± 0.0240,0.7689 ± 0.0231,0.7535 ± 0.0236,0.7601 ± 0.0223,0.8150 ± 0.0183,0.7561 ± 0.0186,0.6243 ± 0.0206,0.6230 ± 0.0230,0.6231 ± 0.0221,0.7496 ± 0.0154,0.7669 ± 0.0130,0.7561 ± 0.0186,0.7612 ± 0.0157,0.8143 ± 0.0126
0.8689 ± 0.0114,0.8328 ± 0.1118,0.6683 ± 0.0182,0.6525 ± 0.0300,0.8905 ± 0.0145,0.8578 ± 0.0412,0.8689 ± 0.0114,0.8291 ± 0.0155,0.9397 ± 0.0090,0.8642 ± 0.0060,0.8256 ± 0.0527,0.6615 ± 0.0118,0.6443 ± 0.0205,0.8904 ± 0.0084,0.8524 ± 0.0198,0.8642 ± 0.0060,0.8242 ± 0.0092,0.9383 ± 0.0046
0.8652 ± 0.0103,0.8514 ± 0.1030,0.6656 ± 0.0124,0.6504 ± 0.0210,0.8864 ± 0.0148,0.8614 ± 0.0327,0.8652 ± 0.0103,0.8258 ± 0.0111,0.9377 ± 0.0086,0.8619 ± 0.0062,0.8276 ± 0.0405,0.6624 ± 0.0115,0.6481 ± 0.0196,0.8905 ± 0.0065,0.8519 ± 0.0141,0.8619 ± 0.0062,0.8237 ± 0.0088,0.9380 ± 0.0032
0.8484 ± 0.0117,0.7145 ± 0.0462,0.6638 ± 0.0180,0.6576 ± 0.0252,0.8871 ± 0.0124,0.8145 ± 0.0186,0.8484 ± 0.0117,0.8197 ± 0.0121,0.9363 ± 0.0079,0.8425 ± 0.0086,0.6918 ± 0.0383,0.6595 ± 0.0135,0.6548 ± 0.0192,0.8782 ± 0.0115,0.8062 ± 0.0140,0.8425 ± 0.0086,0.8166 ± 0.0092,0.9301 ± 0.0056
0.8198 ± 0.0154,0.6632 ± 0.0268,0.6540 ± 0.0147,0.6523 ± 0.0175,0.8571 ± 0.0114,0.7971 ± 0.0106,0.8198 ± 0.0154,0.8057 ± 0.0104,0.9240 ± 0.0026,0.8137 ± 0.0128,0.6563 ± 0.0265,0.6517 ± 0.0197,0.6511 ± 0.0223,0.8457 ± 0.0085,0.7927 ± 0.0149,0.8137 ± 0.0128,0.8020 ± 0.0136,0.9172 ± 0.0051
0.8612 ± 0.0050,0.6811 ± 0.1427,0.6500 ± 0.0059,0.6198 ± 0.0145,0.8713 ± 0.0129,0.8033 ± 0.0454,0.8612 ± 0.0050,0.8151 ± 0.0042,0.9298 ± 0.0074,0.8509 ± 0.0056,0.6102 ± 0.1069,0.6370 ± 0.0049,0.6022 ± 0.0064,0.8722 ± 0.0073,0.7740 ± 0.0362,0.8509 ± 0.0056,0.8036 ± 0.0059,0.9278 ± 0.0039
0.7703 ± 0.0197,0.6514 ± 0.0209,0.6504 ± 0.0264,0.6472 ± 0.0239,0.8552 ± 0.0145,0.7993 ± 0.0136,0.7703 ± 0.0197,0.7824 ± 0.0167,0.9174 ± 0.0070,0.7662 ± 0.0142,0.6471 ± 0.0175,0.6471 ± 0.0212,0.6436 ± 0.0187,0.8431 ± 0.0150,0.7958 ± 0.0135,0.7662 ± 0.0142,0.7790 ± 0.0135,0.9080 ± 0.0082
0.8037 ± 0.0241,0.6558 ± 0.0433,0.6368 ± 0.0284,0.6325 ± 0.0340,0.8470 ± 0.0152,0.7817 ± 0.0220,0.8037 ± 0.0241,0.7831 ± 0.0239,0.9099 ± 0.0112,0.8035 ± 0.0084,0.6469 ± 0.0308,0.6302 ± 0.0163,0.6242 ± 0.0217,0.8420 ± 0.0076,0.7764 ± 0.0143,0.8035 ± 0.0084,0.7804 ± 0.0104,0.9065 ± 0.0039
0.7205 ± 0.0333,0.6618 ± 0.0281,0.6546 ± 0.0419,0.6284 ± 0.0346,0.8479 ± 0.0168,0.8148 ± 0.0237,0.7205 ± 0.0333,0.7447 ± 0.0299,0.9073 ± 0.0134,0.6998 ± 0.0308,0.6419 ± 0.0142,0.6312 ± 0.0243,0.6081 ± 0.0254,0.8308 ± 0.0086,0.7960 ± 0.0114,0.6998 ± 0.0308,0.7270 ± 0.0275,0.8940 ± 0.0052
