Accuracy_Testing,Precision_macro_Testing,Recall_macro_Testing,F1_macro_Testing,AUC_macro_Testing,Precision_weighted_Testing,Recall_weighted_Testing,F1_weighted_Testing,AUC_weighted_Testing,Accuracy_CV,Precision_macro_CV,Recall_macro_CV,F1_macro_CV,AUC_macro_CV,Precision_weighted_CV,Recall_weighted_CV,F1_weighted_CV,AUC_weighted_CV
0.7549 ± 0.0196,0.6232 ± 0.0264,0.6222 ± 0.0315,0.6210 ± 0.0279,0.7498 ± 0.0205,0.7705 ± 0.0197,0.7549 ± 0.0196,0.7615 ± 0.0185,0.8162 ± 0.0152,0.7571 ± 0.0191,0.6257 ± 0.0213,0.6244 ± 0.0237,0.6246 ± 0.0229,0.7505 ± 0.0157,0.7673 ± 0.0126,0.7571 ± 0.0191,0.7619 ± 0.0158,0.8147 ± 0.0126
0.8674 ± 0.0117,0.8265 ± 0.1151,0.6663 ± 0.0188,0.6496 ± 0.0310,0.8898 ± 0.0145,0.8550 ± 0.0423,0.8674 ± 0.0117,0.8274 ± 0.0159,0.9394 ± 0.0093,0.8648 ± 0.0052,0.8109 ± 0.0946,0.6620 ± 0.0117,0.6447 ± 0.0214,0.8906 ± 0.0078,0.8479 ± 0.0337,0.8648 ± 0.0052,0.8247 ± 0.0091,0.9385 ± 0.0044
0.8652 ± 0.0100,0.8458 ± 0.1082,0.6647 ± 0.0134,0.6485 ± 0.0228,0.8865 ± 0.0147,0.8596 ± 0.0353,0.8652 ± 0.0100,0.8253 ± 0.0116,0.9378 ± 0.0086,0.8616 ± 0.0068,0.8219 ± 0.0455,0.6622 ± 0.0128,0.6478 ± 0.0214,0.8904 ± 0.0067,0.8500 ± 0.0170,0.8616 ± 0.0068,0.8234 ± 0.0096,0.9380 ± 0.0032
0.8484 ± 0.0155,0.7015 ± 0.0503,0.6629 ± 0.0172,0.6562 ± 0.0222,0.8892 ± 0.0125,0.8122 ± 0.0216,0.8484 ± 0.0155,0.8205 ± 0.0140,0.9375 ± 0.0077,0.8423 ± 0.0065,0.6838 ± 0.0338,0.6561 ± 0.0127,0.6492 ± 0.0184,0.8822 ± 0.0116,0.8030 ± 0.0130,0.8423 ± 0.0065,0.8149 ± 0.0082,0.9317 ± 0.0064
0.8198 ± 0.0154,0.6632 ± 0.0268,0.6540 ± 0.0147,0.6523 ± 0.0175,0.8571 ± 0.0114,0.7971 ± 0.0106,0.8198 ± 0.0154,0.8057 ± 0.0104,0.9240 ± 0.0026,0.8137 ± 0.0128,0.6563 ± 0.0265,0.6517 ± 0.0197,0.6511 ± 0.0223,0.8457 ± 0.0085,0.7927 ± 0.0149,0.8137 ± 0.0128,0.8020 ± 0.0136,0.9172 ± 0.0051
0.8601 ± 0.0057,0.7243 ± 0.1635,0.6500 ± 0.0065,0.6209 ± 0.0146,0.8655 ± 0.0131,0.8164 ± 0.0518,0.8601 ± 0.0057,0.8142 ± 0.0050,0.9254 ± 0.0077,0.8503 ± 0.0044,0.6517 ± 0.1185,0.6380 ± 0.0050,0.6053 ± 0.0086,0.8647 ± 0.0074,0.7875 ± 0.0394,0.8503 ± 0.0044,0.8040 ± 0.0050,0.9229 ± 0.0041
0.7531 ± 0.0176,0.6267 ± 0.0255,0.6241 ± 0.0306,0.6226 ± 0.0267,0.8130 ± 0.0136,0.7781 ± 0.0173,0.7531 ± 0.0176,0.7638 ± 0.0161,0.8833 ± 0.0077,0.7481 ± 0.0088,0.6211 ± 0.0114,0.6187 ± 0.0133,0.6183 ± 0.0121,0.8072 ± 0.0149,0.7700 ± 0.0085,0.7481 ± 0.0088,0.7582 ± 0.0079,0.8793 ± 0.0096
0.7879 ± 0.0281,0.6506 ± 0.0486,0.6274 ± 0.0362,0.6240 ± 0.0430,0.8374 ± 0.0201,0.7728 ± 0.0282,0.7879 ± 0.0281,0.7677 ± 0.0310,0.9005 ± 0.0161,0.7892 ± 0.0091,0.6358 ± 0.0236,0.6176 ± 0.0138,0.6108 ± 0.0176,0.8348 ± 0.0103,0.7646 ± 0.0120,0.7892 ± 0.0091,0.7652 ± 0.0093,0.8977 ± 0.0065
0.7154 ± 0.0356,0.6625 ± 0.0266,0.6532 ± 0.0414,0.6247 ± 0.0360,0.8471 ± 0.0167,0.8164 ± 0.0218,0.7154 ± 0.0356,0.7398 ± 0.0325,0.9070 ± 0.0136,0.6947 ± 0.0341,0.6427 ± 0.0150,0.6301 ± 0.0256,0.6043 ± 0.0286,0.8300 ± 0.0081,0.7973 ± 0.0128,0.6947 ± 0.0341,0.7215 ± 0.0317,0.8935 ± 0.0050
