Accuracy_Testing,Precision_macro_Testing,Recall_macro_Testing,F1_macro_Testing,AUC_macro_Testing,Precision_weighted_Testing,Recall_weighted_Testing,F1_weighted_Testing,AUC_weighted_Testing,Accuracy_CV,Precision_macro_CV,Recall_macro_CV,F1_macro_CV,AUC_macro_CV,Precision_weighted_CV,Recall_weighted_CV,F1_weighted_CV,AUC_weighted_CV
0.4930 ± 0.0484,0.3938 ± 0.0459,0.3918 ± 0.0442,0.3916 ± 0.0439,0.5551 ± 0.0356,0.4942 ± 0.0476,0.4930 ± 0.0484,0.4926 ± 0.0469,0.5776 ± 0.0413,0.4926 ± 0.0248,0.4030 ± 0.0263,0.4023 ± 0.0282,0.4022 ± 0.0272,0.5610 ± 0.0206,0.4994 ± 0.0239,0.4926 ± 0.0248,0.4957 ± 0.0243,0.5797 ± 0.0205
0.6194 ± 0.0155,0.4130 ± 0.0104,0.4639 ± 0.0116,0.4367 ± 0.0111,0.6625 ± 0.0237,0.5514 ± 0.0138,0.6194 ± 0.0155,0.5831 ± 0.0149,0.7060 ± 0.0146,0.6119 ± 0.0119,0.4080 ± 0.0079,0.4576 ± 0.0089,0.4313 ± 0.0083,0.6622 ± 0.0204,0.5457 ± 0.0105,0.6119 ± 0.0119,0.5768 ± 0.0112,0.7072 ± 0.0120
0.6322 ± 0.0216,0.4222 ± 0.0146,0.4735 ± 0.0162,0.4459 ± 0.0151,0.6628 ± 0.0155,0.5637 ± 0.0195,0.6322 ± 0.0216,0.5954 ± 0.0202,0.7167 ± 0.0150,0.6267 ± 0.0147,0.4182 ± 0.0095,0.4687 ± 0.0109,0.4418 ± 0.0103,0.6644 ± 0.0180,0.5593 ± 0.0126,0.6267 ± 0.0147,0.5909 ± 0.0138,0.7136 ± 0.0111
0.6286 ± 0.0235,0.4555 ± 0.0604,0.4741 ± 0.0176,0.4529 ± 0.0192,0.6856 ± 0.0228,0.5766 ± 0.0275,0.6286 ± 0.0235,0.5970 ± 0.0215,0.7325 ± 0.0226,0.6285 ± 0.0177,0.4722 ± 0.0340,0.4743 ± 0.0133,0.4548 ± 0.0136,0.6761 ± 0.0154,0.5818 ± 0.0178,0.6285 ± 0.0177,0.5979 ± 0.0167,0.7270 ± 0.0150
0.6275 ± 0.0192,0.4272 ± 0.0257,0.4707 ± 0.0155,0.4456 ± 0.0166,0.6594 ± 0.0242,0.5648 ± 0.0202,0.6275 ± 0.0192,0.5931 ± 0.0190,0.7074 ± 0.0233,0.6212 ± 0.0218,0.4417 ± 0.0409,0.4656 ± 0.0158,0.4422 ± 0.0142,0.6461 ± 0.0224,0.5663 ± 0.0206,0.6212 ± 0.0218,0.5886 ± 0.0199,0.7014 ± 0.0153
0.6245 ± 0.0154,0.4170 ± 0.0105,0.4678 ± 0.0115,0.4404 ± 0.0108,0.6689 ± 0.0214,0.5568 ± 0.0141,0.6245 ± 0.0154,0.5880 ± 0.0145,0.7168 ± 0.0151,0.6186 ± 0.0137,0.4125 ± 0.0092,0.4626 ± 0.0103,0.4360 ± 0.0097,0.6632 ± 0.0139,0.5518 ± 0.0123,0.6186 ± 0.0137,0.5831 ± 0.0129,0.7108 ± 0.0100
0.5333 ± 0.0271,0.4477 ± 0.0240,0.4471 ± 0.0265,0.4450 ± 0.0249,0.6221 ± 0.0327,0.5509 ± 0.0258,0.5333 ± 0.0271,0.5404 ± 0.0266,0.6546 ± 0.0320,0.5143 ± 0.0229,0.4290 ± 0.0196,0.4250 ± 0.0211,0.4253 ± 0.0202,0.6076 ± 0.0243,0.5351 ± 0.0222,0.5143 ± 0.0229,0.5238 ± 0.0223,0.6421 ± 0.0250
0.4971 ± 0.0185,0.4071 ± 0.0338,0.3841 ± 0.0205,0.3552 ± 0.0298,0.5907 ± 0.0173,0.4983 ± 0.0263,0.4971 ± 0.0185,0.4509 ± 0.0276,0.6048 ± 0.0165,0.5000 ± 0.0167,0.4084 ± 0.0244,0.3851 ± 0.0145,0.3574 ± 0.0202,0.5966 ± 0.0188,0.5024 ± 0.0162,0.5000 ± 0.0167,0.4548 ± 0.0185,0.6083 ± 0.0169
0.1747 ± 0.0173,0.3703 ± 0.0529,0.3502 ± 0.0166,0.1633 ± 0.0196,0.5600 ± 0.0172,0.4562 ± 0.0709,0.1747 ± 0.0173,0.1505 ± 0.0272,0.5755 ± 0.0179,0.1750 ± 0.0125,0.3630 ± 0.0282,0.3456 ± 0.0155,0.1676 ± 0.0126,0.5345 ± 0.0104,0.4478 ± 0.0376,0.1750 ± 0.0125,0.1578 ± 0.0144,0.5437 ± 0.0133
