Accuracy_Testing,Precision_Testing,Recall_Testing,F1_Testing,AUC_Testing,Accuracy_CV,Precision_CV,Recall_CV,F1_CV,AUC_CV
0.7148 ± 0.0290,0.5152 ± 0.0656,0.5225 ± 0.0633,0.5122 ± 0.0574,0.7103 ± 0.0348,0.7227 ± 0.0092,0.5258 ± 0.0277,0.5285 ± 0.0311,0.5259 ± 0.0284,0.7139 ± 0.0172
0.8418 ± 0.0155,0.6993 ± 0.1199,0.5325 ± 0.0424,0.5350 ± 0.0610,0.9029 ± 0.0150,0.8362 ± 0.0043,0.7334 ± 0.0649,0.5215 ± 0.0138,0.5218 ± 0.0232,0.8939 ± 0.0047
0.8352 ± 0.0119,0.6611 ± 0.1125,0.5082 ± 0.0195,0.4988 ± 0.0319,0.9026 ± 0.0121,0.8351 ± 0.0060,0.7528 ± 0.0461,0.5191 ± 0.0095,0.5179 ± 0.0157,0.8933 ± 0.0041
0.8154 ± 0.0149,0.6051 ± 0.0881,0.5414 ± 0.0338,0.5488 ± 0.0486,0.8771 ± 0.0300,0.8136 ± 0.0074,0.6288 ± 0.0427,0.5444 ± 0.0199,0.5569 ± 0.0274,0.8633 ± 0.0147
0.7907 ± 0.0191,0.6066 ± 0.0750,0.5770 ± 0.0402,0.5811 ± 0.0478,0.8623 ± 0.0158,0.7733 ± 0.0131,0.5792 ± 0.0351,0.5485 ± 0.0212,0.5585 ± 0.0249,0.8498 ± 0.0097
0.7346 ± 0.0269,0.5278 ± 0.0327,0.5280 ± 0.0290,0.5256 ± 0.0296,0.8073 ± 0.0309,0.7303 ± 0.0119,0.5277 ± 0.0167,0.5204 ± 0.0189,0.5234 ± 0.0172,0.7994 ± 0.0149
0.7357 ± 0.0287,0.5486 ± 0.0546,0.5357 ± 0.0355,0.5384 ± 0.0377,0.7981 ± 0.0217,0.7318 ± 0.0092,0.5409 ± 0.0336,0.5201 ± 0.0274,0.5282 ± 0.0299,0.7803 ± 0.0095
0.8247 ± 0.0196,0.5145 ± 0.1194,0.4827 ± 0.0146,0.4543 ± 0.0193,nan ± nan,0.8243 ± 0.0048,0.5299 ± 0.1144,0.4794 ± 0.0031,0.4482 ± 0.0056,nan ± nan
0.7632 ± 0.0213,0.5623 ± 0.1315,0.4786 ± 0.0312,0.4809 ± 0.0476,0.7955 ± 0.0358,0.7631 ± 0.0073,0.5934 ± 0.1028,0.4799 ± 0.0196,0.4849 ± 0.0326,0.7897 ± 0.0094
0.6137 ± 0.0358,0.5220 ± 0.0181,0.6285 ± 0.0331,0.4846 ± 0.0314,0.8433 ± 0.0219,0.6147 ± 0.0242,0.5154 ± 0.0087,0.6094 ± 0.0181,0.4783 ± 0.0203,0.8314 ± 0.0051
