Accuracy_Testing,Precision_macro_Testing,Recall_macro_Testing,F1_macro_Testing,AUC_macro_Testing,Precision_weighted_Testing,Recall_weighted_Testing,F1_weighted_Testing,AUC_weighted_Testing,Accuracy_CV,Precision_macro_CV,Recall_macro_CV,F1_macro_CV,AUC_macro_CV,Precision_weighted_CV,Recall_weighted_CV,F1_weighted_CV,AUC_weighted_CV
0.7590 ± 0.0283,0.6219 ± 0.0311,0.6194 ± 0.0351,0.6198 ± 0.0333,0.7485 ± 0.0235,0.7671 ± 0.0201,0.7590 ± 0.0283,0.7622 ± 0.0240,0.8163 ± 0.0191,0.7473 ± 0.0138,0.6107 ± 0.0185,0.6088 ± 0.0206,0.6093 ± 0.0196,0.7399 ± 0.0133,0.7568 ± 0.0125,0.7473 ± 0.0138,0.7518 ± 0.0129,0.8065 ± 0.0108
0.8615 ± 0.0082,0.5750 ± 0.0062,0.6452 ± 0.0062,0.6080 ± 0.0061,0.8863 ± 0.0181,0.7678 ± 0.0083,0.8615 ± 0.0082,0.8118 ± 0.0082,0.9385 ± 0.0102,0.8563 ± 0.0029,0.5882 ± 0.0526,0.6407 ± 0.0023,0.6047 ± 0.0034,0.8849 ± 0.0073,0.7700 ± 0.0172,0.8563 ± 0.0029,0.8079 ± 0.0028,0.9361 ± 0.0043
0.8579 ± 0.0108,0.6396 ± 0.1438,0.6442 ± 0.0103,0.6095 ± 0.0138,0.8810 ± 0.0148,0.7870 ± 0.0512,0.8579 ± 0.0108,0.8095 ± 0.0113,0.9354 ± 0.0087,0.8558 ± 0.0048,0.6713 ± 0.1600,0.6418 ± 0.0046,0.6079 ± 0.0079,0.8774 ± 0.0086,0.7968 ± 0.0511,0.8558 ± 0.0048,0.8083 ± 0.0046,0.9328 ± 0.0042
0.8516 ± 0.0058,0.6567 ± 0.0514,0.6495 ± 0.0109,0.6290 ± 0.0196,0.8801 ± 0.0120,0.7952 ± 0.0186,0.8516 ± 0.0058,0.8139 ± 0.0085,0.9329 ± 0.0071,0.8440 ± 0.0053,0.6737 ± 0.0457,0.6449 ± 0.0091,0.6277 ± 0.0149,0.8758 ± 0.0154,0.7962 ± 0.0162,0.8440 ± 0.0053,0.8084 ± 0.0068,0.9283 ± 0.0075
0.8179 ± 0.0214,0.6702 ± 0.0372,0.6610 ± 0.0224,0.6610 ± 0.0262,0.8525 ± 0.0172,0.8012 ± 0.0164,0.8179 ± 0.0214,0.8073 ± 0.0168,0.9216 ± 0.0081,0.8052 ± 0.0089,0.6449 ± 0.0093,0.6446 ± 0.0080,0.6432 ± 0.0089,0.8343 ± 0.0119,0.7885 ± 0.0074,0.8052 ± 0.0089,0.7961 ± 0.0076,0.9127 ± 0.0055
0.8623 ± 0.0074,0.5752 ± 0.0050,0.6458 ± 0.0055,0.6083 ± 0.0053,0.8673 ± 0.0160,0.7680 ± 0.0067,0.8623 ± 0.0074,0.8122 ± 0.0071,0.9277 ± 0.0088,0.8542 ± 0.0041,0.5694 ± 0.0027,0.6387 ± 0.0031,0.6021 ± 0.0029,0.8665 ± 0.0101,0.7616 ± 0.0037,0.8542 ± 0.0041,0.8052 ± 0.0039,0.9256 ± 0.0056
0.7938 ± 0.0261,0.6498 ± 0.0342,0.6488 ± 0.0353,0.6486 ± 0.0348,0.8406 ± 0.0139,0.7962 ± 0.0199,0.7938 ± 0.0261,0.7944 ± 0.0226,0.9077 ± 0.0083,0.7789 ± 0.0079,0.6355 ± 0.0110,0.6353 ± 0.0115,0.6351 ± 0.0112,0.8321 ± 0.0138,0.7838 ± 0.0043,0.7789 ± 0.0079,0.7812 ± 0.0058,0.9012 ± 0.0078
0.6879 ± 0.0270,0.5734 ± 0.0593,0.5246 ± 0.0275,0.5032 ± 0.0357,0.7828 ± 0.0186,0.7058 ± 0.0219,0.6879 ± 0.0270,0.6503 ± 0.0306,0.8478 ± 0.0120,0.6869 ± 0.0060,0.5755 ± 0.0245,0.5240 ± 0.0042,0.5048 ± 0.0074,0.7800 ± 0.0108,0.7065 ± 0.0086,0.6869 ± 0.0060,0.6507 ± 0.0064,0.8472 ± 0.0104
0.5451 ± 0.0559,0.6235 ± 0.0193,0.5658 ± 0.0456,0.5059 ± 0.0390,0.8052 ± 0.0187,0.7814 ± 0.0204,0.5451 ± 0.0559,0.5939 ± 0.0436,0.8740 ± 0.0134,0.5269 ± 0.0471,0.6106 ± 0.0134,0.5496 ± 0.0278,0.4897 ± 0.0315,0.7851 ± 0.0109,0.7683 ± 0.0148,0.5269 ± 0.0471,0.5774 ± 0.0399,0.8551 ± 0.0079
