Accuracy_Testing,Precision_macro_Testing,Recall_macro_Testing,F1_macro_Testing,AUC_macro_Testing,Precision_weighted_Testing,Recall_weighted_Testing,F1_weighted_Testing,AUC_weighted_Testing,Accuracy_CV,Precision_macro_CV,Recall_macro_CV,F1_macro_CV,AUC_macro_CV,Precision_weighted_CV,Recall_weighted_CV,F1_weighted_CV,AUC_weighted_CV
0.7359 ± 0.0200,0.5293 ± 0.0291,0.5361 ± 0.0305,0.5301 ± 0.0292,0.7200 ± 0.0176,0.7495 ± 0.0205,0.7359 ± 0.0200,0.7414 ± 0.0197,0.8078 ± 0.0163,0.7230 ± 0.0135,0.5231 ± 0.0282,0.5250 ± 0.0331,0.5227 ± 0.0296,0.7118 ± 0.0184,0.7360 ± 0.0156,0.7230 ± 0.0135,0.7289 ± 0.0139,0.7973 ± 0.0115
0.8454 ± 0.0089,0.7122 ± 0.1032,0.5124 ± 0.0104,0.5028 ± 0.0204,0.8926 ± 0.0084,0.8340 ± 0.0195,0.8454 ± 0.0089,0.7969 ± 0.0088,0.9292 ± 0.0066,0.8332 ± 0.0085,0.6366 ± 0.1022,0.4955 ± 0.0094,0.4763 ± 0.0152,0.8949 ± 0.0111,0.8016 ± 0.0362,0.8332 ± 0.0085,0.7816 ± 0.0105,0.9281 ± 0.0047
0.8451 ± 0.0098,0.7565 ± 0.1276,0.5367 ± 0.0303,0.5419 ± 0.0446,0.8930 ± 0.0147,0.8382 ± 0.0253,0.8451 ± 0.0098,0.8023 ± 0.0098,0.9296 ± 0.0064,0.8335 ± 0.0075,0.7457 ± 0.0904,0.5168 ± 0.0214,0.5144 ± 0.0349,0.8925 ± 0.0101,0.8216 ± 0.0189,0.8335 ± 0.0075,0.7873 ± 0.0113,0.9279 ± 0.0044
0.8286 ± 0.0183,0.6876 ± 0.0989,0.5715 ± 0.0431,0.5829 ± 0.0479,0.8769 ± 0.0166,0.8021 ± 0.0235,0.8286 ± 0.0183,0.8015 ± 0.0166,0.9219 ± 0.0080,0.8159 ± 0.0077,0.6403 ± 0.0353,0.5436 ± 0.0215,0.5580 ± 0.0257,0.8685 ± 0.0133,0.7767 ± 0.0116,0.8159 ± 0.0077,0.7862 ± 0.0086,0.9168 ± 0.0067
0.7974 ± 0.0151,0.6466 ± 0.0412,0.5874 ± 0.0380,0.5976 ± 0.0347,0.8610 ± 0.0194,0.7795 ± 0.0117,0.7974 ± 0.0151,0.7842 ± 0.0110,0.9073 ± 0.0130,0.7704 ± 0.0168,0.5784 ± 0.0399,0.5395 ± 0.0338,0.5515 ± 0.0365,0.8496 ± 0.0078,0.7528 ± 0.0165,0.7704 ± 0.0168,0.7600 ± 0.0163,0.8953 ± 0.0084
0.8333 ± 0.0074,0.4508 ± 0.0817,0.4829 ± 0.0055,0.4500 ± 0.0079,0.8878 ± 0.0074,0.7378 ± 0.0379,0.8333 ± 0.0074,0.7751 ± 0.0074,0.9245 ± 0.0052,0.8239 ± 0.0055,0.4649 ± 0.0554,0.4786 ± 0.0032,0.4465 ± 0.0046,0.8857 ± 0.0041,0.7377 ± 0.0232,0.8239 ± 0.0055,0.7666 ± 0.0049,0.9204 ± 0.0039
0.7377 ± 0.0285,0.5513 ± 0.0399,0.5786 ± 0.0523,0.5572 ± 0.0451,0.8591 ± 0.0147,0.7677 ± 0.0198,0.7377 ± 0.0285,0.7485 ± 0.0231,0.9033 ± 0.0116,0.7327 ± 0.0083,0.5471 ± 0.0112,0.5594 ± 0.0168,0.5498 ± 0.0122,0.8528 ± 0.0114,0.7596 ± 0.0099,0.7327 ± 0.0083,0.7440 ± 0.0084,0.8969 ± 0.0077
0.7853 ± 0.0080,0.5751 ± 0.1116,0.5051 ± 0.0339,0.5115 ± 0.0516,0.8145 ± 0.0242,0.7504 ± 0.0191,0.7853 ± 0.0080,0.7578 ± 0.0106,0.8944 ± 0.0122,0.7758 ± 0.0091,0.6046 ± 0.0756,0.4895 ± 0.0123,0.4936 ± 0.0194,0.8010 ± 0.0139,0.7425 ± 0.0113,0.7758 ± 0.0091,0.7467 ± 0.0097,0.8892 ± 0.0073
0.6396 ± 0.0344,0.5280 ± 0.0327,0.6326 ± 0.0489,0.4985 ± 0.0365,0.8430 ± 0.0338,0.7687 ± 0.0344,0.6396 ± 0.0344,0.6530 ± 0.0354,0.8922 ± 0.0141,0.6278 ± 0.0261,0.5211 ± 0.0170,0.6101 ± 0.0343,0.4932 ± 0.0246,0.8185 ± 0.0169,0.7596 ± 0.0181,0.6278 ± 0.0261,0.6472 ± 0.0291,0.8798 ± 0.0075
