Accuracy_Testing,Precision_macro_Testing,Recall_macro_Testing,F1_macro_Testing,AUC_macro_Testing,Precision_weighted_Testing,Recall_weighted_Testing,F1_weighted_Testing,AUC_weighted_Testing,F1_macro_CV,Best_Params_Outer_Folds
0.7516 ± 0.0507,0.5465 ± 0.0805,0.5102 ± 0.0377,0.5138 ± 0.0402,0.7478 ± 0.0499,0.7408 ± 0.0377,0.7516 ± 0.0507,0.7419 ± 0.0397,0.8369 ± 0.0541,0.5687 ± 0.0278,"[OrderedDict({'model__criterion': 'gini', 'model__max_depth': 27, 'model__max_features': None, 'model__min_samples_leaf': 3, 'model__min_samples_split': 20}), OrderedDict({'model__criterion': 'entropy', 'model__max_depth': 7, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 17}), OrderedDict({'model__criterion': 'gini', 'model__max_depth': 15, 'model__max_features': None, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2}), OrderedDict({'model__criterion': 'gini', 'model__max_depth': 27, 'model__max_features': None, 'model__min_samples_leaf': 6, 'model__min_samples_split': 17}), OrderedDict({'model__criterion': 'gini', 'model__max_depth': 28, 'model__max_features': None, 'model__min_samples_leaf': 5, 'model__min_samples_split': 5}), OrderedDict({'model__criterion': 'entropy', 'model__max_depth': 23, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 10, 'model__min_samples_split': 2}), OrderedDict({'model__criterion': 'entropy', 'model__max_depth': 22, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 2}), OrderedDict({'model__criterion': 'entropy', 'model__max_depth': 28, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 20}), OrderedDict({'model__criterion': 'gini', 'model__max_depth': 13, 'model__max_features': None, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2}), OrderedDict({'model__criterion': 'entropy', 'model__max_depth': 28, 'model__max_features': None, 'model__min_samples_leaf': 8, 'model__min_samples_split': 20})]"
0.8253 ± 0.0138,0.6774 ± 0.0540,0.6385 ± 0.0363,0.6461 ± 0.0304,0.8948 ± 0.0097,0.8067 ± 0.0146,0.8253 ± 0.0138,0.8125 ± 0.0139,0.9305 ± 0.0082,0.6330 ± 0.0171,"[OrderedDict({'model__bootstrap': True, 'model__max_depth': 4, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 5, 'model__min_samples_split': 18, 'model__n_estimators': 246}), OrderedDict({'model__bootstrap': True, 'model__max_depth': 4, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 10, 'model__min_samples_split': 7, 'model__n_estimators': 540}), OrderedDict({'model__bootstrap': True, 'model__max_depth': 4, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 3, 'model__min_samples_split': 20, 'model__n_estimators': 358}), OrderedDict({'model__bootstrap': True, 'model__max_depth': 4, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 3, 'model__min_samples_split': 17, 'model__n_estimators': 635}), OrderedDict({'model__bootstrap': True, 'model__max_depth': 4, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 9, 'model__min_samples_split': 11, 'model__n_estimators': 200}), OrderedDict({'model__bootstrap': True, 'model__max_depth': 4, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 8, 'model__min_samples_split': 20, 'model__n_estimators': 200}), OrderedDict({'model__bootstrap': True, 'model__max_depth': 4, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 5, 'model__min_samples_split': 18, 'model__n_estimators': 200}), OrderedDict({'model__bootstrap': True, 'model__max_depth': 4, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 9, 'model__min_samples_split': 20, 'model__n_estimators': 240}), OrderedDict({'model__bootstrap': True, 'model__max_depth': 4, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 10, 'model__min_samples_split': 7, 'model__n_estimators': 200}), OrderedDict({'model__bootstrap': True, 'model__max_depth': 4, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 7, 'model__min_samples_split': 2, 'model__n_estimators': 762})]"
0.8370 ± 0.0092,0.4188 ± 0.0048,0.4838 ± 0.0054,0.4487 ± 0.0051,0.8927 ± 0.0111,0.7256 ± 0.0084,0.8370 ± 0.0092,0.7770 ± 0.0087,0.9280 ± 0.0074,0.4522 ± 0.0076,"[OrderedDict({'model__max_depth': 29, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 8, 'model__min_samples_split': 3, 'model__n_estimators': 772}), OrderedDict({'model__max_depth': 7, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 10, 'model__min_samples_split': 2, 'model__n_estimators': 200}), OrderedDict({'model__max_depth': 6, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 20, 'model__n_estimators': 209}), OrderedDict({'model__max_depth': 18, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 6, 'model__n_estimators': 201}), OrderedDict({'model__max_depth': 18, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 2, 'model__n_estimators': 200}), OrderedDict({'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 20, 'model__n_estimators': 552}), OrderedDict({'model__max_depth': 30, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 732}), OrderedDict({'model__max_depth': 24, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 200}), OrderedDict({'model__max_depth': 30, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 3, 'model__n_estimators': 221}), OrderedDict({'model__max_depth': 6, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 18, 'model__n_estimators': 210})]"
0.8293 ± 0.0190,0.6752 ± 0.1159,0.5427 ± 0.0495,0.5474 ± 0.0548,0.8771 ± 0.0159,0.7898 ± 0.0383,0.8293 ± 0.0190,0.7928 ± 0.0219,0.9201 ± 0.0092,0.5552 ± 0.0218,"[OrderedDict({'model__colsample_bytree': 0.9931913090589908, 'model__gamma': 0.0018572374549603698, 'model__learning_rate': 0.04827286601982428, 'model__max_depth': 7, 'model__min_child_weight': 6, 'model__n_estimators': 600, 'model__reg_alpha': 0.004598697896333927, 'model__reg_lambda': 1.3409831766855013e-06, 'model__subsample': 0.9492324333411498}), OrderedDict({'model__colsample_bytree': 0.7640415835413256, 'model__gamma': 0.021402495345900878, 'model__learning_rate': 0.2387586688716479, 'model__max_depth': 5, 'model__min_child_weight': 7, 'model__n_estimators': 366, 'model__reg_alpha': 1.1291227449182555e-05, 'model__reg_lambda': 0.027097245828168533, 'model__subsample': 0.7217853244146024}), OrderedDict({'model__colsample_bytree': 0.9767970606982965, 'model__gamma': 0.2988766263235797, 'model__learning_rate': 0.17719574280180908, 'model__max_depth': 10, 'model__min_child_weight': 1, 'model__n_estimators': 580, 'model__reg_alpha': 1.7143397211333102e-05, 'model__reg_lambda': 1e-08, 'model__subsample': 1.0}), OrderedDict({'model__colsample_bytree': 0.9823847900952161, 'model__gamma': 0.0023414402914937547, 'model__learning_rate': 0.21152851115929827, 'model__max_depth': 4, 'model__min_child_weight': 2, 'model__n_estimators': 493, 'model__reg_alpha': 0.09311313512773212, 'model__reg_lambda': 0.0014793747430448438, 'model__subsample': 0.7928428187406491}), OrderedDict({'model__colsample_bytree': 0.7721553875857108, 'model__gamma': 1.8494150818492035e-07, 'model__learning_rate': 0.17114157529588042, 'model__max_depth': 7, 'model__min_child_weight': 1, 'model__n_estimators': 600, 'model__reg_alpha': 1.9126321206077804e-05, 'model__reg_lambda': 0.05101419376245275, 'model__subsample': 0.6210966070072456}), OrderedDict({'model__colsample_bytree': 0.8869839725399564, 'model__gamma': 2.3583950092319178e-05, 'model__learning_rate': 0.29999999999999993, 'model__max_depth': 10, 'model__min_child_weight': 5, 'model__n_estimators': 600, 'model__reg_alpha': 0.11006594171101972, 'model__reg_lambda': 4.999999999999999, 'model__subsample': 1.0}), OrderedDict({'model__colsample_bytree': 0.8363833882798329, 'model__gamma': 0.18464221415816678, 'model__learning_rate': 0.25969151132001156, 'model__max_depth': 3, 'model__min_child_weight': 7, 'model__n_estimators': 376, 'model__reg_alpha': 5.668243375029576e-07, 'model__reg_lambda': 0.0007234676331808746, 'model__subsample': 0.9079222900461336}), OrderedDict({'model__colsample_bytree': 1.0, 'model__gamma': 2.89731947154051, 'model__learning_rate': 0.29999999999999993, 'model__max_depth': 10, 'model__min_child_weight': 3, 'model__n_estimators': 352, 'model__reg_alpha': 1e-08, 'model__reg_lambda': 3.539851649447314e-08, 'model__subsample': 0.7788417056120707}), OrderedDict({'model__colsample_bytree': 0.861060410046276, 'model__gamma': 0.05989008086927507, 'model__learning_rate': 0.012885470208454755, 'model__max_depth': 5, 'model__min_child_weight': 3, 'model__n_estimators': 504, 'model__reg_alpha': 0.005396046582492938, 'model__reg_lambda': 0.0698024986487648, 'model__subsample': 1.0}), OrderedDict({'model__colsample_bytree': 1.0, 'model__gamma': 0.12077537617645488, 'model__learning_rate': 0.052158595659330134, 'model__max_depth': 10, 'model__min_child_weight': 5, 'model__n_estimators': 200, 'model__reg_alpha': 1.5146918327455076e-08, 'model__reg_lambda': 6.390106975179606e-05, 'model__subsample': 1.0})]"
0.7700 ± 0.0227,0.5665 ± 0.0623,0.5630 ± 0.0603,0.5599 ± 0.0564,0.8511 ± 0.0135,0.7654 ± 0.0191,0.7700 ± 0.0227,0.7659 ± 0.0203,0.9002 ± 0.0121,0.5843 ± 0.0392,"[OrderedDict({'model__learning_rate': 1.0, 'model__n_estimators': 436}), OrderedDict({'model__learning_rate': 0.9792407516311941, 'model__n_estimators': 493}), OrderedDict({'model__learning_rate': 1.0, 'model__n_estimators': 500}), OrderedDict({'model__learning_rate': 0.9628891618632321, 'model__n_estimators': 51}), OrderedDict({'model__learning_rate': 0.9889954351596889, 'model__n_estimators': 498}), OrderedDict({'model__learning_rate': 0.9783661375416947, 'model__n_estimators': 498}), OrderedDict({'model__learning_rate': 0.6698610465174746, 'model__n_estimators': 194}), OrderedDict({'model__learning_rate': 1.0, 'model__n_estimators': 500}), OrderedDict({'model__learning_rate': 0.9479679173738874, 'model__n_estimators': 498}), OrderedDict({'model__learning_rate': 0.9982352551806514, 'model__n_estimators': 148})]"
0.7938 ± 0.0239,0.5802 ± 0.0676,0.5429 ± 0.0307,0.5504 ± 0.0419,0.8646 ± 0.0146,0.7638 ± 0.0184,0.7938 ± 0.0239,0.7758 ± 0.0162,0.9082 ± 0.0054,0.5395 ± 0.0259,"[OrderedDict({'model__C': 32.99308586225066, 'model__gamma': 0.0006991411561281635, 'model__kernel': 'rbf'}), OrderedDict({'model__C': 1000.0, 'model__gamma': 2.663557875765936e-05, 'model__kernel': 'rbf'}), OrderedDict({'model__C': 320.75600647066165, 'model__gamma': 0.0012747825457162213, 'model__kernel': 'rbf'}), OrderedDict({'model__C': 1000.0, 'model__gamma': 0.001469544535790946, 'model__kernel': 'rbf'}), OrderedDict({'model__C': 234.23158971700877, 'model__gamma': 0.00028256424890808307, 'model__kernel': 'rbf'}), OrderedDict({'model__C': 155.43979052257856, 'model__gamma': 0.0021111047029100027, 'model__kernel': 'rbf'}), OrderedDict({'model__C': 1000.0, 'model__gamma': 9.921913620454279e-05, 'model__kernel': 'rbf'}), OrderedDict({'model__C': 1000.0, 'model__gamma': 7.067854678245219e-05, 'model__kernel': 'rbf'}), OrderedDict({'model__C': 1000.0, 'model__gamma': 0.0034453532955612044, 'model__kernel': 'rbf'}), OrderedDict({'model__C': 492.89566988387935, 'model__gamma': 0.00014167542454180903, 'model__kernel': 'rbf'})]"
0.7535 ± 0.0176,0.5591 ± 0.0211,0.6117 ± 0.0472,0.5697 ± 0.0228,0.8651 ± 0.0220,0.7675 ± 0.0146,0.7535 ± 0.0176,0.7546 ± 0.0157,0.9075 ± 0.0126,0.5659 ± 0.0206,"[OrderedDict({'model__C': 0.0050891596173902294, 'model__penalty': 'l2', 'model__solver': 'lbfgs'}), OrderedDict({'model__C': 0.006987127941482819, 'model__penalty': 'l2', 'model__solver': 'lbfgs'}), OrderedDict({'model__C': 0.002920300148252037, 'model__penalty': 'l2', 'model__solver': 'lbfgs'}), OrderedDict({'model__C': 99.98897110612083, 'model__penalty': 'l2', 'model__solver': 'lbfgs'}), OrderedDict({'model__C': 0.0036891308970345557, 'model__penalty': 'l2', 'model__solver': 'lbfgs'}), OrderedDict({'model__C': 0.03442200757806107, 'model__penalty': 'l2', 'model__solver': 'lbfgs'}), OrderedDict({'model__C': 0.007888891087125462, 'model__penalty': 'l2', 'model__solver': 'lbfgs'}), OrderedDict({'model__C': 0.011197954488734065, 'model__penalty': 'l2', 'model__solver': 'lbfgs'}), OrderedDict({'model__C': 0.00445739577318807, 'model__penalty': 'l2', 'model__solver': 'lbfgs'}), OrderedDict({'model__C': 0.010907738044715806, 'model__penalty': 'l2', 'model__solver': 'lbfgs'})]"
0.6758 ± 0.0189,0.4168 ± 0.0415,0.4022 ± 0.0138,0.3892 ± 0.0210,0.7341 ± 0.0266,0.6516 ± 0.0174,0.6758 ± 0.0189,0.6375 ± 0.0165,0.8264 ± 0.0217,0.4041 ± 0.0160,"[OrderedDict({'model__n_neighbors': 3, 'model__p': 2, 'model__weights': 'distance'}), OrderedDict({'model__n_neighbors': 4, 'model__p': 2, 'model__weights': 'distance'}), OrderedDict({'model__n_neighbors': 3, 'model__p': 2, 'model__weights': 'distance'}), OrderedDict({'model__n_neighbors': 4, 'model__p': 1, 'model__weights': 'distance'}), OrderedDict({'model__n_neighbors': 3, 'model__p': 1, 'model__weights': 'distance'}), OrderedDict({'model__n_neighbors': 3, 'model__p': 2, 'model__weights': 'distance'}), OrderedDict({'model__n_neighbors': 5, 'model__p': 1, 'model__weights': 'distance'}), OrderedDict({'model__n_neighbors': 3, 'model__p': 2, 'model__weights': 'distance'}), OrderedDict({'model__n_neighbors': 3, 'model__p': 1, 'model__weights': 'distance'}), OrderedDict({'model__n_neighbors': 5, 'model__p': 2, 'model__weights': 'distance'})]"
0.5267 ± 0.0353,0.4629 ± 0.0401,0.4987 ± 0.0656,0.4017 ± 0.0421,0.7424 ± 0.0508,0.7050 ± 0.0434,0.5267 ± 0.0353,0.5520 ± 0.0375,0.8499 ± 0.0181,0.4124 ± 0.0188,"[OrderedDict({'model__var_smoothing': 9.970112347691563e-07}), OrderedDict({'model__var_smoothing': 8.004194758501358e-07}), OrderedDict({'model__var_smoothing': 1e-06}), OrderedDict({'model__var_smoothing': 6.636085077612337e-07}), OrderedDict({'model__var_smoothing': 9.966916991770303e-07}), OrderedDict({'model__var_smoothing': 9.966916991770303e-07}), OrderedDict({'model__var_smoothing': 9.966916991770303e-07}), OrderedDict({'model__var_smoothing': 9.966916991770303e-07}), OrderedDict({'model__var_smoothing': 9.968698120347767e-07}), OrderedDict({'model__var_smoothing': 9.966916991770303e-07})]"
