epoch,train_loss,val_loss,val_acc,val_f1,val_balanced_acc
1,0.3710136399478526,0.20508685305311875,0.918918918918919,0.9230769230769231,0.9220563847429519
2,0.19346520324816574,0.17520294892224106,0.9324324324324325,0.9358974358974359,0.9356919108162889
3,0.16680227864432978,0.17213382894122922,0.9324324324324325,0.9358974358974359,0.9356919108162889
4,0.1388685427404739,0.1758039886685642,0.9391891891891891,0.9426751592356688,0.9418647503224618
5,0.11021529842872878,0.19590226641377886,0.9324324324324325,0.9358974358974359,0.9356919108162889
6,0.10487915338898027,0.18334218502246044,0.9324324324324325,0.9367088607594937,0.9344020637552976
7,0.0795742982646098,0.19402626929552974,0.9324324324324325,0.9367088607594937,0.9344020637552976
8,0.07457152779239255,0.19022540654987097,0.9391891891891891,0.9426751592356688,0.9418647503224618
9,0.05931082113671142,0.19180686138822017,0.9391891891891891,0.9433962264150944,0.9405749032614704
10,0.05215906690353075,0.20101691055036075,0.9391891891891891,0.9440993788819876,0.9392850562004791
11,0.030069487119043194,0.2690657126124181,0.9256756756756757,0.9308176100628931,0.9269393771881334
12,0.040166294808276125,0.2696619703358895,0.9391891891891891,0.9447852760736196,0.9379952091394878
13,0.023138181583301443,0.3192932813591953,0.918918918918919,0.926829268292683,0.9168969964989866
