feature,mean_abs_shap_mean,mean_abs_shap_std
NP3BRADY_mean,0.0788691879065257,0.02692956793395408
NP3BRADY_max,0.0688585821888654,0.018620094115201866
NP3PSTBL_min,0.06365782519449498,0.04355574824194796
NP3BRADY_min,0.061108803585582516,0.01832195886192287
NP3RTCON_max,0.05990457177608484,0.01712028604646059
NP3RTCON_mean,0.056566019669410765,0.016320034251626463
NP3PRSPL_mean,0.05637169905719335,0.015484258091467999
ENRLGBA,0.05370574587897793,0.02421791333040815
NP3PRSPR_std,0.0536448122753826,0.02088169795983715
NP3PRSPR_max,0.053445826018726626,0.019386706574416483
NP3FACXP_min,0.053226131214835055,0.012837083651108885
NP3RTCON_std,0.05311943247155947,0.019984623895366038
NP2TRMR_mean,0.05308196917364582,0.013528739750418527
NP3PRSPR_mean,0.05296566441208499,0.01803308899757327
NP3FACXP_mean,0.05251939261507248,0.013280284407082735
NP3PRSPL_min,0.05175695357151491,0.01470741161571816
NP3PRSPL_max,0.051241206849378516,0.015893511630758975
NP3RIGLU_mean,0.05037187278741336,0.010125541337644709
AGE_AT_VISIT,0.04784149428277765,0.022856143185131805
NP2TRMR_max,0.04716081301955879,0.015367991727957884
NP3FACXP_max,0.04654702910487856,0.01011258498150953
NP3HMOVL_min,0.04623526792018019,0.011426472346094894
NP2SPCH_max,0.046186647348331444,0.020795425227996846
NP3HMOVL_mean,0.04591865562337964,0.015095349326088942
NP3RIGRU_max,0.04577212945953211,0.015420531813728459
NP3RTARU_std,0.04567005933744001,0.01559978824799757
NP3RTARU_max,0.04552758363870742,0.014321703566438374
NP3RIGLU_min,0.04490470323213456,0.017027630768141892
NP3PSTBL_mean,0.0447535817208042,0.01929293645849411
NP2SPCH_mean,0.0445015776123081,0.015902374364315634
NP3RIGRU_mean,0.04444413233732074,0.014697676397885141
NP3RIGLU_max,0.04378368288208247,0.009388997685522536
NP3RIGRU_min,0.04282228145359719,0.014915168060299524
NP3HMOVR_min,0.041991314156791824,0.012062663213487805
NP3BRADY_std,0.041486319821241825,0.018329730492379428
NP3LGAGL_min,0.041154739682039754,0.013510843889631686
NP3LGAGL_mean,0.04063345319112446,0.013706879273157634
NP3RIGRL_max,0.040622794075105065,0.014154152564679388
NP2TRMR_std,0.040326578185309055,0.013681786941075613
NP3HMOVR_mean,0.040083801937722166,0.00957206830537518
NP3RISNG_mean,0.039806373755626255,0.012254395379193827
NP3RIGLL_mean,0.03959280670912377,0.013041561669445997
NP2WALK_min,0.03904235908547252,0.014634973890738204
NP3RTCON_min,0.03879177592169098,0.010485823296629757
NP3GAIT_min,0.03840926397910773,0.015073600983400286
NP3LGAGR_mean,0.037875926398887906,0.014534573823771326
NP2HYGN_std,0.03780765811749146,0.009456328462053562
NP1SLPD_mean,0.037734911451567904,0.01752648789505974
NP3LGAGL_max,0.03667062287430704,0.015940976570565077
NP3GAIT_mean,0.0366469233403229,0.0161641747241795
NP3RTARU_mean,0.03637955529948545,0.01632656649644862
NP3TTAPR_mean,0.03609147850786087,0.010385581998724224
NP3RTALU_max,0.035862191704070456,0.012539601785797348
NP2TRMR_min,0.03567343384263171,0.008484302691921576
NP3GAIT_max,0.03537738329691046,0.009516978785133088
NP2SPCH_min,0.03530475358277432,0.022195797451108043
NP3PRSPL_std,0.035296160843779775,0.011864935621355446
NP3RISNG_max,0.03486583896116558,0.011282727200942987
NP3RIGRL_mean,0.034581343226775335,0.012701682902994359
NP3FTAPR_mean,0.03440191894007553,0.011766417982851675
NP3FTAPL_mean,0.03397065192987148,0.007241409170237744
