class,feature,mean_abs_shap_mean,mean_abs_shap_std,n_evaluations
0,NP3BRADY_mean,0.13438097749869565,0.05429447253348433,25
0,NP3BRADY_min,0.11654081308378533,0.0427189937624364,25
0,NP3BRADY_max,0.11150083447422329,0.042957272606261115,25
0,NP3RTCON_max,0.10150011582307915,0.03917449685656717,25
0,NP3PRSPL_mean,0.09923906587582054,0.035698374482905505,25
0,NP3RTCON_std,0.09580372627917154,0.03685597530732538,25
0,NP3RTCON_mean,0.09038557268380297,0.029923163640614116,25
0,NP3RIGLU_mean,0.08913255244807324,0.029436178368430804,25
0,NP3FACXP_mean,0.08796156766556497,0.030613077342981642,25
0,NP3FACXP_min,0.08686102715623333,0.029581451504178933,25
0,NP3PRSPL_min,0.08592230023834829,0.04474100565559336,25
0,NP3PRSPR_mean,0.08465112003623744,0.030005012403347842,25
0,AGE_AT_VISIT,0.0822656837568367,0.05518645163381725,25
0,NP2TRMR_mean,0.08159630979507479,0.02471850914076241,25
0,NP3FACXP_max,0.080470232491709,0.03424163176434834,25
0,NP3RIGLU_min,0.07904259403803618,0.025744541021399208,25
0,ENRLGBA,0.07899666434757475,0.042977498495323965,25
0,NP3PRSPR_max,0.07770606607559367,0.03369860405488678,25
0,NP3HMOVL_mean,0.07761654327689073,0.03691412585882814,25
0,NP3RIGRU_mean,0.07594953601905406,0.0254276518864783,25
0,NP3RIGRU_min,0.07526899727660785,0.027993529522550485,25
0,NP3HMOVL_min,0.07490040618473175,0.025936940443006404,25
0,NP3PRSPL_max,0.0748684281554724,0.024344579994988975,25
0,NP3GAIT_mean,0.07438294243373543,0.02627891001781141,25
0,NP3PRSPR_std,0.0741026688627205,0.03501956532730288,25
0,NP3RTARU_max,0.07230249999502901,0.027979980745601082,25
0,NP3RTCON_min,0.07200848929564871,0.033331348779641494,25
0,NP3HMOVR_min,0.07141224669160151,0.03550233495000138,25
0,NP2TRMR_max,0.07118463420025539,0.028055604206862043,25
0,NP3RIGLU_max,0.06755224879146375,0.024456998333350646,25
0,NP3RTALU_mean,0.06743577228952623,0.016687904650209147,25
0,NP2SPCH_mean,0.06715652725413673,0.053552160008478136,25
0,NP3RTARU_std,0.06641491927235346,0.025420131585750506,25
0,NP3RTARU_mean,0.0663909406637663,0.03087922990416498,25
0,NP3BRADY_std,0.0658214561836209,0.028003033699021185,25
0,NP3FTAPR_min,0.06555079528481017,0.029399278184077525,25
0,NP3HMOVR_mean,0.06510896495484228,0.030448327273318625,25
0,NP3RIGRU_max,0.06466795551455522,0.02338104563702543,25
0,NP2SPCH_max,0.06391497659360053,0.03236058351227656,25
0,NP3FTAPL_min,0.06325038573765472,0.02496878990935182,25
0,NP3RIGLL_mean,0.0622208948882492,0.023831362438854645,25
0,NP3PSTBL_min,0.06117204180638766,0.07135371344125312,25
0,NP3RTALU_max,0.059995291118372984,0.016223156630821363,25
0,NP3GAIT_min,0.059648700619089265,0.02656432358424884,25
0,NP3FTAPR_mean,0.05881575765569127,0.024273798798954985,25
0,NP2TRMR_std,0.05873718370694337,0.023534944040500157,25
0,NP3GAIT_max,0.05771038189797026,0.02927095534192412,25
0,NP3RIGRL_max,0.05760642026001709,0.02198596480560693,25
0,NP2TRMR_min,0.057455704150816765,0.022572027463388173,25
0,NP3RIGLL_max,0.05630851059974223,0.0197159272171886,25
0,NP3LGAGL_mean,0.05629785644573682,0.02532367996115443,25
0,NP3RTALU_min,0.056010732767275584,0.024879932330272782,25
0,NP3LGAGR_mean,0.05573055636936668,0.029071558602373575,25
0,NP3PRSPR_min,0.0552771953432628,0.024531073291068496,25
0,NP3RIGN_std,0.05463587923269119,0.02199916933968179,25
0,NP2SPCH_min,0.05420194829528203,0.04868731033049747,25
0,NP2HYGN_std,0.05417579081976822,0.016718178421715843,25
0,NP3FTAPL_max,0.05310344533936325,0.022280564643366127,25
0,NP3TTAPR_max,0.05308742358384559,0.021573891870884692,25
0,NP2TURN_min,0.052530959131811564,0.0374968537425514,25
0,NP1SLPD_mean,0.05230821558627847,0.02487274060222931,25
0,NP3RIGRL_mean,0.05213325418116263,0.03044171535557835,25
0,NP1SLPD_min,0.05205006895128643,0.02265493546725528,25
0,NP3FTAPL_mean,0.05190495990586966,0.019384204385456186,25
0,NP3RIGLL_std,0.05189291850522841,0.024346110909572078,25
0,NP3PSTBL_max,0.05066872773894061,0.03185846627430972,25
0,NP3RIGN_mean,0.050471304381426885,0.01971364244159476,25
0,NP2HYGN_max,0.05018590367907701,0.017628604844229758,25
0,NP3TTAPL_max,0.04991068140217433,0.021129100998531197,25
0,NP2TRMR_var,0.04972986240167752,0.020166688315078767,25
0,NP3TTAPL_mean,0.049421888003538535,0.0202161276791261,25
0,NP3LGAGR_max,0.04910418900105418,0.022273824279763543,25
0,NP3HMOVL_max,0.04839336373731342,0.02208336972657098,25
0,NP3BRADY_var,0.04817879126415921,0.02364011839579505,25
0,NP3SPCH_min,0.048143753126569246,0.022701548565598004,25
0,NP3PRSPL_std,0.04798768098364926,0.020315556373483926,25
0,NP3RTCON_var,0.04755504343053893,0.020710047370301226,25
0,NP3LGAGL_min,0.04746529039705522,0.016188230776597853,25
0,NP3RIGN_max,0.047211641552788446,0.023758883460980432,25
0,NP2WALK_min,0.04703289793813969,0.03011753061293987,25
0,NP3RIGRL_std,0.04697575258927283,0.017388323224350848,25
0,NP2WALK_mean,0.046917197611471055,0.021679972283713232,25
0,NP3HMOVR_max,0.04664750726853703,0.02017613828252423,25
0,NP3LGAGL_max,0.046458089477164434,0.01996372569159138,25
0,NP3PSTBL_mean,0.0464142305542749,0.02056462189945285,25
0,NP3PRSPR_var,0.04632303853161645,0.024508230852355446,25
0,NP3RTARU_min,0.04576489274422853,0.019625835160152087,25
0,NP2HOBB_min,0.04543488174167884,0.035139713753621696,25
0,NP3RTARU_var,0.044603443748823995,0.01793748062923861,25
0,NP3FACXP_std,0.04440053531191599,0.024283874978379624,25
0,NP2DRES_mean,0.04432637459412825,0.01625308138832531,25
0,NP3RIGRU_std,0.04426072115966154,0.020715174917997264,25
0,NP3TTAPR_mean,0.043708530388576534,0.017712447719475607,25
0,NP3RIGLU_std,0.04282637040251108,0.02186259037337573,25
0,NP1LTHD_mean,0.04239048679619376,0.016442286342031983,25
0,NP3FTAPR_max,0.0423404507076232,0.017079796399695837,25
0,NP3PTRMR_mean,0.04151069039182551,0.015943637511913408,25
0,NP1SLPN_mean,0.04150687207666543,0.032526147814219974,25
0,NP1DPRS_var,0.041260552235653274,0.02542724168200651,25
0,NP3TTAPR_min,0.04106133743954313,0.0212784615104715,25
0,NP3RIGRL_min,0.04097205328801931,0.020291758134231497,25
0,NP1FATG_mean,0.03993981669772814,0.028313020822657905,25
0,NP1SLPN_min,0.03985725275327637,0.033819917943221214,25
0,NP3RTALU_std,0.039695926244751045,0.01884788804877443,25
0,NP1SLPD_max,0.03955139535828668,0.01846115345999276,25
0,NP1LTHD_min,0.03904736651118797,0.02344259922221951,25
0,NP2WALK_max,0.03893860433349422,0.026097752339640727,25
0,NP3PRSPL_var,0.038482668867974294,0.01762800278699921,25
0,NP3PSTBL_std,0.038467294246554644,0.021874958808627755,25
0,NP2DRES_min,0.03813670679146191,0.021669484396778453,25
0,NP1FATG_std,0.037695710039394086,0.017983402612065602,25
0,NP2DRES_std,0.03761127974710539,0.01895679739061406,25
0,NP2HOBB_std,0.037385627520299176,0.028776951150825923,25
0,NP3TTAPR_std,0.03714481469665325,0.022275811135765534,25
0,NP3LGAGR_std,0.03712592703331194,0.022714809919914942,25
0,NP3RIGLL_min,0.03704219520985767,0.01606854237038602,25
0,NP3SPCH_max,0.03639265141949887,0.017776266428245847,25
0,NP2SPCH_std,0.03593132107633941,0.02421036354729235,25
0,NP3PTRMR_std,0.035753746583090745,0.013971303001511903,25
0,NP3RISNG_min,0.03560133425300512,0.02507693293819304,25
0,NP3RIGRU_var,0.034187140873871986,0.01630001410273626,25
0,NP3RISNG_std,0.033688037877688995,0.01481596481137129,25
0,NP3SPCH_mean,0.0336055426808384,0.012183547073347279,25
0,NP3PTRML_var,0.03294818621235438,0.021941507988834114,25
0,NP2DRES_max,0.03275296310627504,0.01761281779001878,25
0,NP3LGAGL_std,0.03260333832829818,0.021235337316218253,25
0,NP3RISNG_mean,0.03181413782849671,0.020914077159318086,25
0,NP2TURN_mean,0.03170540514056295,0.025743916657802898,25
0,NP2HWRT_mean,0.03167778832499402,0.01863622502352171,25
0,NP3PTRML_max,0.03166218665394171,0.011993875692096203,25
0,NP2HYGN_mean,0.031614150361441544,0.013219003014677832,25
0,NP3RIGRL_var,0.03156539491748426,0.012324239327831402,25
0,NP3RISNG_max,0.031519729436711656,0.019238757850080133,25
0,NP2HWRT_max,0.030921861683695637,0.017352045794343827,25
0,NP1FATG_max,0.03090200028656197,0.029046877956098373,25
0,NP1SLPN_max,0.030855159804933124,0.018922873140019322,25
0,NP3RISNG_var,0.030830195167270542,0.008841522344564517,25
0,NP2EAT_max,0.030742424958956897,0.016404733315268306,25
0,NP3PTRML_std,0.030280798376548207,0.01624583777052694,25
0,NP3RIGN_var,0.03023300569605186,0.0167557850397651,25
0,NP2HYGN_var,0.03020310080797906,0.013155410018419399,25
0,NP1CNST_min,0.029994695144864667,0.01734632321447558,25
0,NP3FRZGT_std,0.02987341866389694,0.02151352718469667,25
0,NP3PTRMR_max,0.02974965296977293,0.015605458430013788,25
0,NP3TTAPL_min,0.029593265448968654,0.018223235669763325,25
0,NP3HMOVR_std,0.029532453522988125,0.017751763173747916,25
0,NP2HWRT_min,0.029340242024332622,0.017461383461739047,25
0,NP1CNST_var,0.02924008952156368,0.018203443965983564,25
0,NP2HWRT_std,0.029132197342373864,0.016136516296243866,25
0,NP3GAIT_std,0.028848738396531494,0.015300849391865125,25
0,NP3RIGLL_var,0.028770131389407115,0.015372194667771136,25
0,NP2SALV_var,0.02855210997080994,0.02525232626736119,25
0,NP3LGAGR_min,0.028118740563194335,0.016680410724810545,25
0,NP3RTALL_max,0.027778142005462268,0.020704397690014108,25
0,NP2HOBB_max,0.027654827179195984,0.023294322546461983,25
0,NP2EAT_std,0.027156232179988825,0.019164955571212883,25
0,NP1FATG_var,0.027091955048726003,0.016875011370862367,25
0,NP3PTRML_mean,0.027050863777244468,0.018117499558692074,25
0,NP3POSTR_max,0.02683682411896814,0.03154419996854333,25
0,NP2DRES_var,0.026739363333623093,0.02304012796971353,25
0,NP3PTRMR_var,0.026708097888520358,0.014602516251302471,25
0,NP3TTAPL_var,0.02668856087201672,0.018098245880837523,25
0,NP1URIN_max,0.026451264805029493,0.016482290574098446,25
0,NP3KTRMR_std,0.026278122672634133,0.024392602454379148,25
0,NP3RTALL_std,0.02626961813031259,0.017211758425128856,25
0,NP3SPCH_std,0.026020833526852267,0.018420261516410453,25
0,NP3RTALU_var,0.02597264063170472,0.013072575196495797,25
