seed,fold,feature,mean_abs_shap
7,1,AGE_AT_VISIT,0.01906189770104287
7,1,NP3RIGRL_var,0.019039361869448254
7,1,NP1SLPN_var,0.01896156137804184
7,1,NP3PTRML_var,0.018901426013941493
7,1,NP3PRSPR_var,0.018868046019453907
7,1,NP3PTRMR_mean,0.018803118272637368
7,1,NP3FRZGT_mean,0.018799028569344067
7,1,EDUCYRS,0.01854336298701896
7,1,NP3LGAGL_mean,0.018538906013312758
7,1,NP3PTRMR_std,0.018421551856127146
7,1,NP2HYGN_mean,0.018133281141617774
7,1,NP3SPCH_max,0.017899913025108898
7,1,NP1HALL_std,0.01772811441337057
7,1,NP1APAT_max,0.017617022420985635
7,1,NP3SPCH_mean,0.017598319715932408
7,1,NP2TURN_std,0.01759350070016937
7,1,NP1SLPD_std,0.017484444821831608
7,1,NP1DPRS_max,0.017422213543776825
7,1,NP2HWRT_min,0.017407316803358813
7,1,NP3RISNG_max,0.017064494538212606
7,1,NP1PAIN_std,0.016944213540367927
7,1,NP3TTAPR_std,0.016888243066451643
7,1,NP3RTCON_var,0.016676274187177955
7,1,NP3KTRMR_var,0.016668739497872342
7,1,NP3RIGLL_var,0.016664164523120414
7,1,NP2TURN_max,0.01648159999523637
7,1,NP1SLPD_mean,0.016417928222886676
7,1,NP1LTHD_min,0.016357524237455377
7,1,NP3RIGLU_var,0.016341431744373112
7,1,NP3PRSPL_var,0.015809446357088773
7,1,NP1FATG_mean,0.015775653211634634
7,1,NP1HALL_mean,0.015588565518377402
7,1,NP2SALV_mean,0.015562580816962372
7,1,NP1CNST_mean,0.015518573253149988
7,1,NP3LGAGL_max,0.015391590453152654
7,1,NP2RISE_mean,0.01535343888035273
7,1,NP3RISNG_std,0.015144716305889
7,1,NP3PTRML_max,0.01464797015322329
7,1,NP2WALK_min,0.014604157266818565
7,1,NP3LGAGR_std,0.014452824675756712
7,1,NP1SLPD_max,0.01439551741247379
7,1,NP2RISE_min,0.014277088858122192
7,1,NP3TTAPR_var,0.014196900447687878
7,1,NP1DPRS_std,0.014134619129218283
7,1,NP3RIGN_min,0.014096384313356521
7,1,NP3LGAGL_std,0.01381229905290196
7,1,NP3POSTR_mean,0.013767971069260448
7,1,NP3TTAPL_mean,0.013611286250471888
7,1,NP3TTAPL_max,0.013532551918844088
7,1,NP1HALL_var,0.013268299658768967
7,1,NP3FACXP_var,0.013219093245163264
7,1,NP2HOBB_var,0.013190628239060849
7,1,NP2HOBB_min,0.01302299266933122
7,1,NP3HMOVR_std,0.012872916998755276
7,1,NP3POSTR_std,0.012672427548354043
7,1,NP1SLPD_min,0.012636014979402033
7,1,NP3FRZGT_std,0.012422335730451598
7,1,NP1URIN_std,0.012382123016956443
7,1,NP3POSTR_min,0.012381255010760447
7,1,NP2RISE_max,0.012379882642384227
7,1,NP1FATG_std,0.012301257100478474
7,1,NP2HWRT_max,0.012239313286814954
7,1,NP1LTHD_std,0.01221928854844459
7,1,NP2TURN_mean,0.012193048194815485
7,1,NP1URIN_min,0.01217427511028801
7,1,NP1PAIN_max,0.012096338438831782
7,1,NP3PTRMR_min,0.012094669703249494
7,1,NP3RTALL_std,0.012046822066048181
7,1,NP3RIGLL_min,0.011964484290493321
7,1,NP3RTALL_mean,0.011896885783092863
7,1,NP3TTAPL_min,0.011661127802314814
7,1,NP1APAT_var,0.011650710420176033
7,1,NP3FTAPR_std,0.01150436443508951
7,1,NP1SLPN_max,0.011490953332546197
7,1,NP2SWAL_max,0.011434984679859992
