epoch,train_loss,val_loss,val_acc,val_f1,val_balanced_acc
1,0.38683125598205104,0.2881657740957028,0.8783783783783784,0.8783783783783784,0.8863091947669062
2,0.18138354291787018,0.2982351780189453,0.8851351351351351,0.8874172185430463,0.8911921872120877
3,0.13649353797774058,0.32741237708015014,0.8783783783783784,0.881578947368421,0.8837295006449235
4,0.10078871904595478,0.3679035213898641,0.8648648648648649,0.8701298701298701,0.8688041275105951
5,0.08241725335451397,0.4267070611334733,0.831081081081081,0.84472049689441,0.830200847613783
6,0.06829385592828731,0.4615091407243666,0.831081081081081,0.84472049689441,0.830200847613783
7,0.06585280879123791,0.4424708927918628,0.8716216216216216,0.8758169934640523,0.8762668140777594
8,0.044836760275191755,0.5995356989142483,0.8716216216216216,0.8741721854304636,0.8775566611387506
9,0.037090546110128936,0.6108210373583731,0.8581081081081081,0.864516129032258,0.861341440943431
10,0.024237808093390857,0.6868300348064253,0.8445945945945946,0.8535031847133758,0.8464160678091026
11,0.016237909189815557,0.7320798830940574,0.8648648648648649,0.8701298701298701,0.8688041275105951
