,Model,Feature_Selection,F1_macro_CV,F1_macro_Testing,Accuracy_Testing,Precision_macro_Testing,Recall_macro_Testing,AUC_macro_Testing,Precision_weighted_Testing,Recall_weighted_Testing,F1_weighted_Testing,AUC_weighted_Testing,Accuracy_CV,Precision_macro_CV,Recall_macro_CV,AUC_macro_CV,Precision_weighted_CV,Recall_weighted_CV,F1_weighted_CV,AUC_weighted_CV
21,adaboost,mutual_info,0.6304 ± 0.0181,0.6218 ± 0.0253,0.8238 ± 0.0127,0.6272 ± 0.0448,0.6353 ± 0.0163,0.8464 ± 0.0210,0.7759 ± 0.0214,0.8238 ± 0.0127,0.7958 ± 0.0141,0.9175 ± 0.0094,0.8193 ± 0.0081,0.6423 ± 0.0225,0.6381 ± 0.0131,0.8334 ± 0.0106,0.7812 ± 0.0107,0.8193 ± 0.0081,0.7964 ± 0.0080,0.9098 ± 0.0052
22,adaboost,spearman_sulov,0.6300 ± 0.0104,0.6191 ± 0.0319,0.8209 ± 0.0156,0.6217 ± 0.0473,0.6323 ± 0.0241,0.8466 ± 0.0196,0.7746 ± 0.0201,0.8209 ± 0.0156,0.7942 ± 0.0155,0.9171 ± 0.0080,0.8175 ± 0.0088,0.6394 ± 0.0119,0.6370 ± 0.0075,0.8301 ± 0.0101,0.7812 ± 0.0071,0.8175 ± 0.0088,0.7960 ± 0.0068,0.9080 ± 0.0038
23,adaboost,chi2,0.6342 ± 0.0265,0.6374 ± 0.0151,0.8304 ± 0.0152,0.6812 ± 0.0395,0.6461 ± 0.0112,0.8608 ± 0.0136,0.7937 ± 0.0149,0.8304 ± 0.0152,0.8022 ± 0.0108,0.9220 ± 0.0070,0.8223 ± 0.0108,0.6535 ± 0.0330,0.6418 ± 0.0190,0.8484 ± 0.0096,0.7836 ± 0.0165,0.8223 ± 0.0108,0.7978 ± 0.0125,0.9161 ± 0.0053
24,adaboost,chi2_mi_union_topk,0.6291 ± 0.0175,0.6230 ± 0.0242,0.8297 ± 0.0165,0.6436 ± 0.0431,0.6372 ± 0.0193,0.8538 ± 0.0210,0.7823 ± 0.0173,0.8297 ± 0.0165,0.7990 ± 0.0146,0.9203 ± 0.0085,0.8165 ± 0.0104,0.6409 ± 0.0263,0.6364 ± 0.0120,0.8344 ± 0.0069,0.7787 ± 0.0114,0.8165 ± 0.0104,0.7938 ± 0.0088,0.9099 ± 0.0042
25,svm,spearman_corr,0.6009 ± 0.0047,0.6072 ± 0.0132,0.8549 ± 0.0095,0.6370 ± 0.1436,0.6419 ± 0.0095,0.8865 ± 0.0176,0.7835 ± 0.0509,0.8549 ± 0.0095,0.8064 ± 0.0103,0.9367 ± 0.0093,0.8513 ± 0.0038,0.5843 ± 0.0539,0.6369 ± 0.0034,0.8775 ± 0.0065,0.7646 ± 0.0190,0.8513 ± 0.0038,0.8028 ± 0.0041,0.9299 ± 0.0037
26,svm,mutual_info,0.6031 ± 0.0067,0.6133 ± 0.0149,0.8579 ± 0.0088,0.6725 ± 0.1444,0.6458 ± 0.0097,0.8847 ± 0.0182,0.7974 ± 0.0517,0.8579 ± 0.0088,0.8104 ± 0.0103,0.9361 ± 0.0094,0.8528 ± 0.0052,0.6189 ± 0.1150,0.6384 ± 0.0050,0.8779 ± 0.0098,0.7771 ± 0.0400,0.8528 ± 0.0052,0.8047 ± 0.0056,0.9299 ± 0.0053
27,svm,spearman_sulov,0.6009 ± 0.0047,0.6072 ± 0.0132,0.8549 ± 0.0095,0.6370 ± 0.1436,0.6419 ± 0.0095,0.8865 ± 0.0176,0.7835 ± 0.0509,0.8549 ± 0.0095,0.8064 ± 0.0103,0.9367 ± 0.0093,0.8513 ± 0.0038,0.5843 ± 0.0539,0.6369 ± 0.0034,0.8775 ± 0.0065,0.7646 ± 0.0190,0.8513 ± 0.0038,0.8028 ± 0.0041,0.9299 ± 0.0037
28,svm,chi2,0.6060 ± 0.0107,0.6177 ± 0.0150,0.8527 ± 0.0082,0.7416 ± 0.1376,0.6453 ± 0.0092,0.8856 ± 0.0182,0.8171 ± 0.0463,0.8527 ± 0.0082,0.8079 ± 0.0093,0.9337 ± 0.0099,0.8464 ± 0.0057,0.6580 ± 0.0898,0.6365 ± 0.0067,0.8745 ± 0.0060,0.7867 ± 0.0310,0.8464 ± 0.0057,0.8013 ± 0.0066,0.9255 ± 0.0032
29,svm,chi2_mi_union_topk,0.6049 ± 0.0061,0.6184 ± 0.0187,0.8597 ± 0.0091,0.7233 ± 0.1705,0.6489 ± 0.0115,0.8912 ± 0.0187,0.8150 ± 0.0613,0.8597 ± 0.0091,0.8129 ± 0.0115,0.9387 ± 0.0099,0.8541 ± 0.0035,0.6531 ± 0.1429,0.6397 ± 0.0040,0.8828 ± 0.0070,0.7892 ± 0.0478,0.8541 ± 0.0035,0.8061 ± 0.0039,0.9317 ± 0.0040
30,logistic_regression,spearman_corr,0.6465 ± 0.0189,0.6557 ± 0.0110,0.7777 ± 0.0148,0.6597 ± 0.0118,0.6609 ± 0.0125,0.8619 ± 0.0142,0.8026 ± 0.0126,0.7777 ± 0.0148,0.7864 ± 0.0119,0.9212 ± 0.0085,0.7734 ± 0.0108,0.6492 ± 0.0174,0.6496 ± 0.0215,0.8474 ± 0.0087,0.7978 ± 0.0107,0.7734 ± 0.0108,0.7837 ± 0.0105,0.9116 ± 0.0054
31,logistic_regression,mutual_info,0.6550 ± 0.0169,0.6611 ± 0.0192,0.7791 ± 0.0167,0.6658 ± 0.0192,0.6678 ± 0.0211,0.8675 ± 0.0142,0.8066 ± 0.0145,0.7791 ± 0.0167,0.7884 ± 0.0132,0.9240 ± 0.0083,0.7788 ± 0.0117,0.6573 ± 0.0151,0.6590 ± 0.0190,0.8532 ± 0.0126,0.8033 ± 0.0093,0.7788 ± 0.0117,0.7889 ± 0.0104,0.9150 ± 0.0075
32,logistic_regression,spearman_sulov,0.6465 ± 0.0189,0.6557 ± 0.0110,0.7777 ± 0.0148,0.6597 ± 0.0118,0.6609 ± 0.0125,0.8619 ± 0.0142,0.8026 ± 0.0126,0.7777 ± 0.0148,0.7864 ± 0.0119,0.9212 ± 0.0085,0.7734 ± 0.0108,0.6492 ± 0.0174,0.6496 ± 0.0215,0.8474 ± 0.0087,0.7978 ± 0.0107,0.7734 ± 0.0108,0.7837 ± 0.0105,0.9116 ± 0.0054
33,logistic_regression,chi2,0.6566 ± 0.0150,0.6611 ± 0.0149,0.7685 ± 0.0144,0.6685 ± 0.0147,0.6724 ± 0.0185,0.8810 ± 0.0141,0.8118 ± 0.0120,0.7685 ± 0.0144,0.7836 ± 0.0112,0.9307 ± 0.0093,0.7631 ± 0.0108,0.6628 ± 0.0129,0.6676 ± 0.0177,0.8707 ± 0.0080,0.8070 ± 0.0095,0.7631 ± 0.0108,0.7798 ± 0.0099,0.9235 ± 0.0050
34,logistic_regression,chi2_mi_union_topk,0.6577 ± 0.0137,0.6723 ± 0.0252,0.7879 ± 0.0220,0.6758 ± 0.0223,0.6794 ± 0.0274,0.8753 ± 0.0170,0.8142 ± 0.0159,0.7879 ± 0.0220,0.7970 ± 0.0183,0.9280 ± 0.0101,0.7772 ± 0.0089,0.6601 ± 0.0127,0.6633 ± 0.0160,0.8613 ± 0.0102,0.8042 ± 0.0083,0.7772 ± 0.0089,0.7881 ± 0.0082,0.9192 ± 0.0062
35,knn,spearman_corr,0.5157 ± 0.0143,0.5112 ± 0.0320,0.6799 ± 0.0188,0.5820 ± 0.0384,0.5278 ± 0.0247,0.7719 ± 0.0206,0.7164 ± 0.0194,0.6799 ± 0.0188,0.6471 ± 0.0232,0.8369 ± 0.0178,0.6769 ± 0.0127,0.5911 ± 0.0186,0.5299 ± 0.0115,0.7752 ± 0.0092,0.7183 ± 0.0085,0.6769 ± 0.0127,0.6449 ± 0.0134,0.8399 ± 0.0071
36,knn,mutual_info,0.5342 ± 0.0172,0.5457 ± 0.0349,0.7037 ± 0.0278,0.6133 ± 0.0406,0.5549 ± 0.0285,0.7836 ± 0.0195,0.7348 ± 0.0175,0.7037 ± 0.0278,0.6769 ± 0.0308,0.8459 ± 0.0177,0.7002 ± 0.0146,0.5912 ± 0.0220,0.5460 ± 0.0136,0.7763 ± 0.0086,0.7242 ± 0.0138,0.7002 ± 0.0146,0.6723 ± 0.0161,0.8432 ± 0.0072
37,knn,spearman_sulov,0.5157 ± 0.0143,0.5112 ± 0.0320,0.6799 ± 0.0188,0.5820 ± 0.0384,0.5278 ± 0.0247,0.7719 ± 0.0206,0.7164 ± 0.0194,0.6799 ± 0.0188,0.6471 ± 0.0232,0.8369 ± 0.0178,0.6769 ± 0.0127,0.5911 ± 0.0186,0.5299 ± 0.0115,0.7752 ± 0.0092,0.7183 ± 0.0085,0.6769 ± 0.0127,0.6449 ± 0.0134,0.8399 ± 0.0071
38,knn,chi2,0.6138 ± 0.0170,0.6214 ± 0.0297,0.7985 ± 0.0198,0.6556 ± 0.0427,0.6271 ± 0.0239,0.8489 ± 0.0173,0.7771 ± 0.0205,0.7985 ± 0.0198,0.7744 ± 0.0198,0.9056 ± 0.0098,0.7994 ± 0.0078,0.6395 ± 0.0264,0.6220 ± 0.0116,0.8285 ± 0.0120,0.7696 ± 0.0106,0.7994 ± 0.0078,0.7735 ± 0.0076,0.8936 ± 0.0060
39,knn,chi2_mi_union_topk,0.5472 ± 0.0208,0.5500 ± 0.0304,0.7201 ± 0.0254,0.6128 ± 0.0510,0.5606 ± 0.0246,0.7909 ± 0.0178,0.7368 ± 0.0228,0.7201 ± 0.0254,0.6925 ± 0.0261,0.8557 ± 0.0158,0.7178 ± 0.0131,0.5982 ± 0.0265,0.5586 ± 0.0160,0.7823 ± 0.0107,0.7292 ± 0.0141,0.7178 ± 0.0131,0.6898 ± 0.0151,0.8506 ± 0.0090
40,gaussian_nb,spearman_corr,0.6114 ± 0.0282,0.6326 ± 0.0344,0.7267 ± 0.0554,0.6621 ± 0.0236,0.6569 ± 0.0319,0.8562 ± 0.0139,0.8139 ± 0.0224,0.7267 ± 0.0554,0.7514 ± 0.0426,0.9117 ± 0.0095,0.7022 ± 0.0492,0.6440 ± 0.0082,0.6353 ± 0.0148,0.8371 ± 0.0094,0.7967 ± 0.0094,0.7022 ± 0.0492,0.7299 ± 0.0405,0.8959 ± 0.0054
41,gaussian_nb,mutual_info,0.6227 ± 0.0205,0.6438 ± 0.0366,0.7374 ± 0.0571,0.6715 ± 0.0225,0.6691 ± 0.0291,0.8615 ± 0.0161,0.8228 ± 0.0212,0.7374 ± 0.0571,0.7619 ± 0.0456,0.9159 ± 0.0114,0.7153 ± 0.0381,0.6502 ± 0.0124,0.6437 ± 0.0178,0.8459 ± 0.0107,0.8033 ± 0.0124,0.7153 ± 0.0381,0.7434 ± 0.0296,0.9022 ± 0.0058
42,gaussian_nb,spearman_sulov,0.6114 ± 0.0282,0.6326 ± 0.0344,0.7267 ± 0.0554,0.6621 ± 0.0236,0.6569 ± 0.0319,0.8562 ± 0.0139,0.8139 ± 0.0224,0.7267 ± 0.0554,0.7514 ± 0.0426,0.9117 ± 0.0095,0.7022 ± 0.0492,0.6440 ± 0.0082,0.6353 ± 0.0148,0.8371 ± 0.0094,0.7967 ± 0.0094,0.7022 ± 0.0492,0.7299 ± 0.0405,0.8959 ± 0.0054
43,gaussian_nb,chi2,0.6336 ± 0.0159,0.6439 ± 0.0222,0.7348 ± 0.0368,0.6732 ± 0.0173,0.6713 ± 0.0224,0.8728 ± 0.0128,0.8253 ± 0.0154,0.7348 ± 0.0368,0.7600 ± 0.0282,0.9244 ± 0.0081,0.7182 ± 0.0297,0.6640 ± 0.0102,0.6645 ± 0.0144,0.8624 ± 0.0112,0.8140 ± 0.0125,0.7182 ± 0.0297,0.7456 ± 0.0227,0.9140 ± 0.0056
44,gaussian_nb,chi2_mi_union_topk,0.6371 ± 0.0199,0.6566 ± 0.0301,0.7502 ± 0.0440,0.6772 ± 0.0188,0.6779 ± 0.0282,0.8666 ± 0.0142,0.8273 ± 0.0160,0.7502 ± 0.0440,0.7754 ± 0.0329,0.9201 ± 0.0094,0.7275 ± 0.0301,0.6590 ± 0.0142,0.6578 ± 0.0200,0.8563 ± 0.0094,0.8104 ± 0.0111,0.7275 ± 0.0301,0.7563 ± 0.0224,0.9090 ± 0.0057
