exp_id,seed,fold,reserved_per_class,hidden_dims,dropout,bin_lr,head_lr,ft_lr,weight_decay,scaler_strategy,use_transfer,transfer_mode,phase1_freeze,phase2_finetune,use_class_weights,multiclass_weights,selection_score,val_loss_final,val_acc_final,val_balanced_acc_final,val_f1_macro_final,val_f1_weighted_final,val_precision_macro_final,val_recall_0_final,val_recall_1_final,val_recall_2_final,val_precision_0_final,val_precision_1_final,val_precision_2_final,test_loss,test_acc,test_balanced_acc,test_f1_macro,test_f1_weighted,test_precision_macro,test_recall_0,test_recall_1,test_recall_2,test_precision_0,test_precision_1,test_precision_2,bin_val_loss,bin_val_acc,bin_val_f1,bin_val_balanced_acc,n_splits_cv,val_accuracy,val_balanced_accuracy,val_precision_macro,val_precision_weighted,val_precision_class_0,val_precision_class_1,val_precision_class_2,val_recall_macro,val_recall_weighted,val_recall_class_0,val_recall_class_1,val_recall_class_2,val_f1_macro,val_f1_weighted,val_f1_class_0,val_f1_class_1,val_f1_class_2,test_accuracy,test_balanced_accuracy,test_precision_weighted,test_precision_class_0,test_precision_class_1,test_precision_class_2,test_recall_macro,test_recall_weighted,test_recall_class_0,test_recall_class_1,test_recall_class_2,test_f1_class_0,test_f1_class_1,test_f1_class_2
FINAL_SELECTED_MODEL,7,1,72,"(384, 64)",0.3,0.001,0.001,0.0003,0.0001,binary_train,True,all,True,True,True,"(1.0, 1.5, 1.0)",0.7553927553927554,0.8649351642682002,0.7692307692307693,0.7777777777777777,0.7553927553927554,0.7502582887198271,0.8222222222222223,0.8888888888888888,0.4444444444444444,1.0,0.6666666666666666,1.0,0.8,0.44935374097390607,0.8181818181818182,0.8111111111111112,0.7991310160427808,0.8028302746718521,0.8313983488132095,1.0,0.5,0.9333333333333333,0.8823529411764706,0.875,0.7368421052631579,0.3051489527161057,0.8918918918918919,0.8987341772151899,0.8934954855352866,5,0.7692307692307693,0.7777777777777777,0.8222222222222223,0.823076923076923,0.6666666666666666,1.0,0.8,0.7777777777777777,0.7692307692307693,0.8888888888888888,0.4444444444444444,1.0,0.7553927553927554,0.7502582887198271,0.7619047619047619,0.6153846153846154,0.8888888888888888,0.8181818181818182,0.8111111111111112,0.8304074021953279,0.8823529411764706,0.875,0.7368421052631579,0.8111111111111112,0.8181818181818182,1.0,0.5,0.9333333333333333,0.9375,0.6363636363636364,0.8235294117647058
FINAL_SELECTED_MODEL,7,2,72,"(384, 64)",0.3,0.001,0.001,0.0003,0.0001,binary_train,True,all,True,True,True,"(1.0, 1.5, 1.0)",0.9211816305469557,0.3660791934682773,0.9230769230769231,0.9259259259259259,0.9211816305469557,0.9204125982376756,0.9296296296296296,1.0,0.7777777777777778,1.0,0.8888888888888888,1.0,0.9,0.22453532835771872,0.9302325581395349,0.9285714285714285,0.9284007509813961,0.9293156622488955,0.9297161172161172,1.0,0.8571428571428571,0.9285714285714286,0.9375,0.9230769230769231,0.9285714285714286,0.3051489527161057,0.8918918918918919,0.8987341772151899,0.8934954855352866,5,0.9230769230769231,0.9259259259259259,0.9296296296296296,0.9311965811965811,0.8888888888888888,1.0,0.9,0.9259259259259259,0.9230769230769231,1.0,0.7777777777777778,1.0,0.9211816305469557,0.9204125982376756,0.9411764705882353,0.875,0.9473684210526315,0.9302325581395349,0.9285714285714285,0.9298971377459749,0.9375,0.9230769230769231,0.9285714285714286,0.9285714285714285,0.9302325581395349,1.0,0.8571428571428571,0.9285714285714286,0.967741935483871,0.8888888888888888,0.9285714285714286
FINAL_SELECTED_MODEL,7,3,72,"(384, 64)",0.3,0.001,0.001,0.0003,0.0001,binary_train,True,all,True,True,True,"(1.0, 1.5, 1.0)",0.8721997300944669,0.2961257891013072,0.8846153846153846,0.875,0.8721997300944669,0.8761600747430708,0.9060606060606061,1.0,0.625,1.0,0.8181818181818182,1.0,0.9,0.27589386077814326,0.9069767441860465,0.9095238095238095,0.9064039408866996,0.9052583342880056,0.9076923076923077,1.0,0.8,0.9285714285714286,0.9333333333333333,0.9230769230769231,0.8666666666666667,0.3051489527161057,0.8918918918918919,0.8987341772151899,0.8934954855352866,5,0.8846153846153846,0.875,0.9060606060606061,0.9024475524475524,0.8181818181818182,1.0,0.9,0.875,0.8846153846153846,1.0,0.625,1.0,0.8721997300944669,0.8761600747430708,0.9,0.7692307692307693,0.9473684210526315,0.9069767441860465,0.9095238095238095,0.9080500894454382,0.9333333333333333,0.9230769230769231,0.8666666666666667,0.9095238095238095,0.9069767441860465,1.0,0.8,0.9285714285714286,0.9655172413793104,0.8571428571428571,0.896551724137931
FINAL_SELECTED_MODEL,7,4,72,"(384, 64)",0.3,0.001,0.001,0.0003,0.0001,binary_train,True,all,True,True,True,"(1.0, 1.5, 1.0)",0.9237472766884531,0.2869247392966197,0.9230769230769231,0.9259259259259259,0.9237472766884531,0.9250879839115134,0.9333333333333332,0.8888888888888888,1.0,0.8888888888888888,1.0,0.8,1.0,0.6824235950791558,0.8372093023255814,0.8396825396825397,0.8380587484035761,0.8362113516884968,0.8404304029304029,0.9285714285714286,0.7333333333333333,0.8571428571428571,0.8125,0.7857142857142857,0.9230769230769231,0.3051489527161057,0.8918918918918919,0.8987341772151899,0.8934954855352866,5,0.9230769230769231,0.9259259259259259,0.9333333333333332,0.9384615384615385,1.0,0.8,1.0,0.9259259259259259,0.9230769230769231,0.8888888888888888,1.0,0.8888888888888888,0.9237472766884531,0.9250879839115134,0.9411764705882353,0.8888888888888888,0.9411764705882353,0.8372093023255814,0.8396825396825397,0.8391579350881677,0.8125,0.7857142857142857,0.9230769230769231,0.8396825396825397,0.8372093023255814,0.9285714285714286,0.7333333333333333,0.8571428571428571,0.8666666666666667,0.7586206896551724,0.8888888888888888
FINAL_SELECTED_MODEL,7,5,72,"(384, 64)",0.3,0.001,0.001,0.0003,0.0001,binary_train,True,all,True,True,True,"(1.0, 1.5, 1.0)",1.0,0.028451379102009993,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9498249417127564,0.8372093023255814,0.8365079365079365,0.838966372892958,0.8403055671079573,0.8503734827264239,0.7857142857142857,0.8571428571428571,0.8666666666666667,0.9166666666666666,0.7058823529411765,0.9285714285714286,0.3051489527161057,0.8918918918918919,0.8987341772151899,0.8934954855352866,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8372093023255814,0.8365079365079365,0.8521920396065402,0.9166666666666666,0.7058823529411765,0.9285714285714286,0.8365079365079365,0.8372093023255814,0.7857142857142857,0.8571428571428571,0.8666666666666667,0.8461538461538461,0.7741935483870968,0.896551724137931
FINAL_SELECTED_MODEL,21,1,72,"(384, 64)",0.3,0.001,0.001,0.0003,0.0001,binary_train,True,all,True,True,True,"(1.0, 1.5, 1.0)",0.8472222222222222,0.4313047665816087,0.8461538461538461,0.8472222222222222,0.8472222222222222,0.8461538461538461,0.8472222222222222,0.8888888888888888,0.7777777777777778,0.875,0.8888888888888888,0.7777777777777778,0.875,0.31161897019906476,0.9090909090909091,0.9063492063492063,0.907051282051282,0.9084353146853147,0.9133986928104575,1.0,0.7857142857142857,0.9333333333333333,1.0,0.9166666666666666,0.8235294117647058,0.2578404267897477,0.9121621621621622,0.9182389937106918,0.9133038511147964,5,0.8461538461538461,0.8472222222222222,0.8472222222222222,0.8461538461538461,0.8888888888888888,0.7777777777777778,0.875,0.8472222222222222,0.8461538461538461,0.8888888888888888,0.7777777777777778,0.875,0.8472222222222222,0.8461538461538461,0.8888888888888888,0.7777777777777778,0.875,0.9090909090909091,0.9063492063492063,0.9133244206773619,1.0,0.9166666666666666,0.8235294117647058,0.9063492063492063,0.9090909090909091,1.0,0.7857142857142857,0.9333333333333333,1.0,0.8461538461538461,0.875
FINAL_SELECTED_MODEL,21,2,72,"(384, 64)",0.3,0.001,0.001,0.0003,0.0001,binary_train,True,all,True,True,True,"(1.0, 1.5, 1.0)",0.8884920634920634,0.2971688142189613,0.8846153846153846,0.8842592592592592,0.8884920634920634,0.8867673992673992,0.9166666666666666,0.875,1.0,0.7777777777777778,1.0,0.75,1.0,0.4372556174910346,0.8837209302325582,0.8809523809523809,0.8804012345679012,0.8817291128337639,0.8838612368024134,1.0,0.7857142857142857,0.8571428571428571,0.8823529411764706,0.8461538461538461,0.9230769230769231,0.2578404267897477,0.9121621621621622,0.9182389937106918,0.9133038511147964,5,0.8846153846153846,0.8842592592592592,0.9166666666666666,0.9134615384615384,1.0,0.75,1.0,0.8842592592592592,0.8846153846153846,0.875,1.0,0.7777777777777778,0.8884920634920634,0.8867673992673992,0.9333333333333333,0.8571428571428571,0.875,0.8837209302325582,0.8809523809523809,0.8838261601599495,0.8823529411764706,0.8461538461538461,0.9230769230769231,0.8809523809523809,0.8837209302325582,1.0,0.7857142857142857,0.8571428571428571,0.9375,0.8148148148148148,0.8888888888888888
FINAL_SELECTED_MODEL,21,3,72,"(384, 64)",0.3,0.001,0.001,0.0003,0.0001,binary_train,True,all,True,True,True,"(1.0, 1.5, 1.0)",0.8380952380952381,0.3612946432370406,0.8461538461538461,0.8379629629629629,0.8380952380952381,0.8428571428571429,0.8535353535353535,1.0,0.625,0.8888888888888888,1.0,0.8333333333333334,0.7272727272727273,0.4268197458843852,0.9302325581395349,0.9301587301587301,0.9306066569692821,0.9299698930037549,0.9361111111111112,1.0,0.9333333333333333,0.8571428571428571,0.9333333333333333,0.875,1.0,0.2578404267897477,0.9121621621621622,0.9182389937106918,0.9133038511147964,5,0.8461538461538461,0.8379629629629629,0.8535353535353535,0.8543123543123544,1.0,0.8333333333333334,0.7272727272727273,0.8379629629629629,0.8461538461538461,1.0,0.625,0.8888888888888888,0.8380952380952381,0.8428571428571429,1.0,0.7142857142857143,0.8,0.9302325581395349,0.9301587301587301,0.9346899224806201,0.9333333333333333,0.875,1.0,0.9301587301587301,0.9302325581395349,1.0,0.9333333333333333,0.8571428571428571,0.9655172413793104,0.9032258064516129,0.9230769230769231
FINAL_SELECTED_MODEL,21,4,72,"(384, 64)",0.3,0.001,0.001,0.0003,0.0001,binary_train,True,all,True,True,True,"(1.0, 1.5, 1.0)",0.960233918128655,0.2858203248335765,0.9615384615384616,0.9583333333333334,0.960233918128655,0.9612685560053982,0.9666666666666667,1.0,0.875,1.0,1.0,1.0,0.9,0.7223803089108578,0.7906976744186046,0.792063492063492,0.7931623931623931,0.7917710196779965,0.7999999999999999,0.7857142857142857,0.7333333333333333,0.8571428571428571,0.9166666666666666,0.7333333333333333,0.75,0.2578404267897477,0.9121621621621622,0.9182389937106918,0.9133038511147964,5,0.9615384615384616,0.9583333333333334,0.9666666666666667,0.9653846153846154,1.0,1.0,0.9,0.9583333333333334,0.9615384615384616,1.0,0.875,1.0,0.960233918128655,0.9612685560053982,1.0,0.9333333333333333,0.9473684210526315,0.7906976744186046,0.792063492063492,0.7984496124031006,0.9166666666666666,0.7333333333333333,0.75,0.792063492063492,0.7906976744186046,0.7857142857142857,0.7333333333333333,0.8571428571428571,0.8461538461538461,0.7333333333333333,0.8
FINAL_SELECTED_MODEL,21,5,72,"(384, 64)",0.3,0.001,0.001,0.0003,0.0001,binary_train,True,all,True,True,True,"(1.0, 1.5, 1.0)",0.754251012145749,0.49616047052236706,0.7692307692307693,0.7592592592592592,0.754251012145749,0.7595920274057926,0.7787878787878788,1.0,0.7777777777777778,0.5,0.9,0.6363636363636364,0.8,0.2981082090111666,0.9069767441860465,0.9063492063492063,0.9049656313282565,0.9049251702846136,0.9083333333333333,1.0,0.7857142857142857,0.9333333333333333,0.9333333333333333,0.9166666666666666,0.875,0.2578404267897477,0.9121621621621622,0.9182389937106918,0.9133038511147964,5,0.7692307692307693,0.7592592592592592,0.7787878787878788,0.7779720279720279,0.9,0.6363636363636364,0.8,0.7592592592592592,0.7692307692307693,1.0,0.7777777777777778,0.5,0.754251012145749,0.7595920274057926,0.9473684210526315,0.7,0.6153846153846154,0.9069767441860465,0.9063492063492063,0.9075581395348837,0.9333333333333333,0.9166666666666666,0.875,0.9063492063492063,0.9069767441860465,1.0,0.7857142857142857,0.9333333333333333,0.9655172413793104,0.8461538461538461,0.9032258064516129
