,Accuracy_Testing,Precision_macro_Testing,Recall_macro_Testing,F1_macro_Testing,AUC_macro_Testing,Precision_weighted_Testing,Recall_weighted_Testing,F1_weighted_Testing,AUC_weighted_Testing,Accuracy_CV,Precision_macro_CV,Recall_macro_CV,F1_macro_CV,AUC_macro_CV,Precision_weighted_CV,Recall_weighted_CV,F1_weighted_CV,AUC_weighted_CV
decision_tree,0.8322 ± 0.0136,0.6116 ± 0.0366,0.6202 ± 0.0397,0.6133 ± 0.0351,0.7588 ± 0.0218,0.8337 ± 0.0141,0.8322 ± 0.0136,0.8319 ± 0.0123,0.8459 ± 0.0128,0.8283 ± 0.0130,0.6438 ± 0.0180,0.6526 ± 0.0251,0.6469 ± 0.0201,0.7737 ± 0.0132,0.8308 ± 0.0114,0.8283 ± 0.0130,0.8293 ± 0.0122,0.8422 ± 0.0117
random_forest,0.9007 ± 0.0116,0.6340 ± 0.1056,0.6223 ± 0.0162,0.6169 ± 0.0272,0.9434 ± 0.0143,0.8813 ± 0.0138,0.9007 ± 0.0116,0.8894 ± 0.0117,0.9588 ± 0.0065,0.8994 ± 0.0052,0.6499 ± 0.1103,0.6213 ± 0.0061,0.6154 ± 0.0126,0.9551 ± 0.0070,0.8784 ± 0.0075,0.8994 ± 0.0052,0.8870 ± 0.0047,0.9617 ± 0.0029
extra_trees,0.9004 ± 0.0168,0.7344 ± 0.1772,0.6354 ± 0.0311,0.6416 ± 0.0487,0.9531 ± 0.0122,0.8894 ± 0.0251,0.9004 ± 0.0168,0.8909 ± 0.0175,0.9623 ± 0.0064,0.9005 ± 0.0058,0.8261 ± 0.0646,0.6517 ± 0.0115,0.6686 ± 0.0197,0.9596 ± 0.0057,0.8952 ± 0.0075,0.9005 ± 0.0058,0.8917 ± 0.0051,0.9630 ± 0.0028
xgboost,0.8971 ± 0.0104,0.7599 ± 0.0721,0.6877 ± 0.0419,0.7072 ± 0.0511,0.9251 ± 0.0245,0.8919 ± 0.0133,0.8971 ± 0.0104,0.8923 ± 0.0114,0.9569 ± 0.0037,0.8942 ± 0.0075,0.7837 ± 0.0715,0.6896 ± 0.0207,0.7141 ± 0.0296,0.9368 ± 0.0117,0.8894 ± 0.0095,0.8942 ± 0.0075,0.8896 ± 0.0074,0.9552 ± 0.0041
adaboost,0.8766 ± 0.0235,0.7165 ± 0.0747,0.6999 ± 0.0512,0.7015 ± 0.0535,0.9139 ± 0.0130,0.8788 ± 0.0184,0.8766 ± 0.0235,0.8765 ± 0.0209,0.9222 ± 0.0126,0.8780 ± 0.0065,0.7510 ± 0.0447,0.7210 ± 0.0370,0.7308 ± 0.0356,0.9182 ± 0.0137,0.8768 ± 0.0071,0.8780 ± 0.0065,0.8769 ± 0.0068,0.9232 ± 0.0095
svm,0.8993 ± 0.0111,0.5995 ± 0.0074,0.6169 ± 0.0075,0.6076 ± 0.0075,0.9467 ± 0.0097,0.8772 ± 0.0106,0.8993 ± 0.0111,0.8874 ± 0.0110,0.9549 ± 0.0074,0.8972 ± 0.0081,0.5981 ± 0.0054,0.6165 ± 0.0055,0.6071 ± 0.0055,0.9504 ± 0.0052,0.8719 ± 0.0078,0.8972 ± 0.0081,0.8842 ± 0.0079,0.9568 ± 0.0035
logistic_regression,0.8513 ± 0.0260,0.6512 ± 0.0362,0.6661 ± 0.0460,0.6524 ± 0.0358,0.8909 ± 0.0297,0.8594 ± 0.0193,0.8513 ± 0.0260,0.8533 ± 0.0227,0.9162 ± 0.0126,0.8527 ± 0.0118,0.6808 ± 0.0347,0.6926 ± 0.0298,0.6857 ± 0.0324,0.8971 ± 0.0184,0.8559 ± 0.0108,0.8527 ± 0.0118,0.8540 ± 0.0112,0.9197 ± 0.0094
knn,0.8560 ± 0.0153,0.6780 ± 0.1396,0.6091 ± 0.0226,0.6092 ± 0.0382,0.8557 ± 0.0344,0.8576 ± 0.0146,0.8560 ± 0.0153,0.8456 ± 0.0150,0.9228 ± 0.0089,0.8572 ± 0.0067,0.7474 ± 0.1311,0.6159 ± 0.0223,0.6201 ± 0.0369,0.8646 ± 0.0077,0.8593 ± 0.0125,0.8572 ± 0.0067,0.8462 ± 0.0073,0.9213 ± 0.0056
gaussian_nb,0.7883 ± 0.0268,0.6479 ± 0.0137,0.7815 ± 0.0344,0.6337 ± 0.0225,0.9021 ± 0.0274,0.8881 ± 0.0159,0.7883 ± 0.0268,0.8177 ± 0.0243,0.9271 ± 0.0113,0.7953 ± 0.0275,0.6528 ± 0.0146,0.7824 ± 0.0400,0.6474 ± 0.0293,0.8855 ± 0.0231,0.8829 ± 0.0075,0.7953 ± 0.0275,0.8237 ± 0.0210,0.9225 ± 0.0068
